,USSR,Australia & New Zealand,Australia,Pakistan,Thailand,Belize,Ethiopia,Kenya,South Africa,Zambia,Lebanon,Albania,Niger,"China, Hong Kong SAR",Serbia,Slovenia,Hungary,Argentina,Colombia,Spain,India,Ecuador,Madagascar,Republic of Moldova,Canada,Turkey,Switzerland,Belgium-Luxembourg,South Sudan,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Egypt,Bolivia (Plurinational State of),Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Cyprus,Peru,New Zealand,Portugal,Netherlands,Guatemala,Slovakia,Romania,Norway,Philippines,Czechia,United Republic of Tanzania,Belgium,Luxembourg,Libya,Poland,Italy,Germany,Sweden,Uzbekistan,China,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Jordan,Chile,Malta,Syrian Arab Republic,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Denmark,Austria,Sudan,Azerbaijan,Mauritius,Lithuania,Russian Federation,Tunisia,Latvia,Ukraine,United Kingdom,Ireland,Croatia,Bulgaria,Occupied Palestinian Territory
1961,40100.0,29884.0,25234.0,,1000.0,-1.0,,-1.0,4000.0,,200.0,-1.0,-1.0,-1.0,,,25109.0,11797.0,-1.0,5400.0,60000.0,1900.0,450.0,,19769.0,4400.0,3000.0,5392.0,,,,3165.0,2061.0,39944.0,3539.0,10678.0,,,9440.0,5500.0,-1.0,,165000.0,22000.0,50.0,6800.0,4650.0,,5100.0,-1.0,,11200.0,675.0,5100.0,,-1.0,,,30.0,-1.0,50178.0,12083.0,5650.0,,24509.0,147.0,,,-1.0,4700.0,189.0,6000.0,-1.0,256.0,,2509.0,1220.0,-1.0,18900.0,,2008.0,629.0,,,70.0,,,810.0,,,40185.0,400.0,,3994.0,-1.0
1962,40800.0,29189.0,23729.0,,1100.0,-1.0,,-1.0,4000.0,,200.0,-1.0,-1.0,-1.0,,,26469.0,11336.0,-1.0,8215.0,62000.0,1900.0,480.0,,21157.0,4700.0,3000.0,6499.0,,,,3117.0,2243.0,40029.0,3298.0,10508.0,,,8857.0,5500.0,-1.0,,167000.0,22000.0,50.0,6900.0,5460.0,,5548.0,-1.0,,11400.0,590.0,5100.0,,-1.0,,,49.0,-1.0,52614.0,12923.0,4950.0,,24613.0,109.0,,,-1.0,2938.0,200.0,6000.0,-1.0,248.0,,2613.0,1050.0,-1.0,21500.0,,1905.0,601.0,,,70.0,,,830.0,,,40589.0,400.0,,4204.0,-1.0
1963,45500.0,28257.0,22717.0,,1200.0,-1.0,,-1.0,4000.0,,250.0,-1.0,-1.0,-1.0,,,29663.0,9733.0,-1.0,9005.0,64000.0,1900.0,480.0,,21120.0,4900.0,3000.0,7470.0,,,,4780.0,2365.0,45422.0,3466.0,10678.0,,,8546.0,5400.0,-1.0,,173000.0,22000.0,50.0,7000.0,5540.0,,7110.0,-1.0,,13700.0,575.0,5100.0,,-1.0,,,29.0,-1.0,52185.0,13209.0,5850.0,,24875.0,93.0,,,-1.0,3000.0,137.0,6100.0,-1.0,248.0,,2875.0,1015.0,-1.0,19500.0,,2731.0,839.0,,,70.0,,,1880.0,,,43867.0,400.0,,4505.0,-1.0
1964,56700.0,28850.0,23450.0,,1300.0,-1.0,,-1.0,4000.0,,300.0,-1.0,-1.0,-1.0,,,27615.0,11712.0,-1.0,12363.0,65000.0,1900.0,500.0,,24799.0,5300.0,3000.0,7063.0,,,,5560.0,2471.0,45518.0,2941.0,10667.0,,,9602.0,5800.0,-1.0,,171000.0,25000.0,50.0,7000.0,5400.0,,5888.0,-1.0,,12000.0,548.0,5200.0,,-1.0,,,23.0,-1.0,48459.0,11122.0,5650.0,,27234.0,102.0,,,-1.0,6000.0,152.0,6300.0,-1.0,250.0,,2234.0,910.0,-1.0,18700.0,,2632.0,817.0,,,80.0,,,880.0,,,43382.0,400.0,,4445.0,-1.0
1965,57500.0,32188.0,27088.0,,1400.0,-1.0,,-1.0,4000.0,,300.0,-1.0,-1.0,-1.0,,,27032.0,13716.0,-1.0,12500.0,67000.0,1700.0,500.0,,23751.0,5700.0,2200.0,4927.0,,,,5330.0,2076.0,40122.0,3413.0,10484.0,,,11853.0,5800.0,-1.0,,179973.0,25000.0,50.0,7410.0,5100.0,,4308.0,-1.0,,13000.0,532.0,5200.0,,-1.0,,,52.0,-1.0,50762.0,11169.0,5450.0,,28242.0,145.0,,,-1.0,8971.0,173.0,6380.0,-1.0,769.0,,3242.0,1195.0,-1.0,18900.0,,2294.0,963.0,,,83.0,,,1370.0,,,41035.0,400.0,,4833.0,-1.0
1966,56100.0,32529.0,26694.0,,1500.0,-1.0,,-1.0,6000.0,,350.0,-1.0,-1.0,-1.0,,,27002.0,13692.0,-1.0,13425.0,69000.0,1700.0,550.0,,20477.0,5800.0,2450.0,7283.0,,,,4680.0,1991.0,41561.0,4208.0,11000.0,,,12106.0,6100.0,-1.0,,176817.0,27000.0,50.0,9820.0,5835.0,,5993.0,-1.0,,13800.0,611.0,5200.0,,-1.0,,,25.0,-1.0,51239.0,11210.0,5850.0,,30064.0,147.0,,,-1.0,5847.0,173.0,6500.0,-1.0,642.0,,3064.0,1525.0,-1.0,18500.0,,2862.0,1111.0,,,52.0,,,1400.0,,,41723.0,400.0,,6208.0,-1.0
1967,57300.0,28481.0,23240.0,,1600.0,-1.0,,-1.0,6000.0,,370.0,-1.0,-1.0,-1.0,,,31536.0,9850.0,-1.0,14157.0,70000.0,1700.0,550.0,,22600.0,4400.0,2400.0,8508.0,,,,4360.0,1781.0,46216.0,5460.0,11167.0,,,12917.0,8900.0,-1.0,,186161.0,28000.0,50.0,11145.0,5241.0,,7147.0,-1.0,,13000.0,687.0,5300.0,,-1.0,,,40.0,-1.0,53030.0,12885.0,6950.0,,30935.0,162.0,,,-1.0,6000.0,79.0,7000.0,-1.0,649.0,,2935.0,1380.0,-1.0,16800.0,,2722.0,1076.0,,,60.0,,,1450.0,,,47753.0,400.0,,6855.0,-1.0
1968,57000.0,31263.0,24672.0,,1700.0,-1.0,,-1.0,5000.0,,392.0,-1.0,-1.0,-1.0,,,33292.0,10550.0,-1.0,15582.0,73000.0,1900.0,600.0,,23780.0,5800.0,2400.0,8932.0,,,,4910.0,1600.0,46803.0,5041.0,11334.0,,,10498.0,7450.0,-1.0,,183761.0,29000.0,60.0,8315.0,6591.0,,7045.0,-1.0,,13600.0,649.0,5300.0,,-1.0,,,50.0,-1.0,53094.0,12699.0,7840.0,,31777.0,107.0,,,-1.0,6000.0,23.0,7500.0,-1.0,480.0,,2777.0,1175.0,-1.0,15800.0,,2517.0,1337.0,,,37.0,,,2000.0,,,51394.0,400.0,,6983.0,-1.0
1969,58000.0,33866.0,24959.0,,1850.0,-1.0,,-1.0,4000.0,,400.0,-1.0,-1.0,-1.0,,,30034.0,10350.0,-1.0,14488.0,75000.0,2100.0,600.0,,20190.0,6800.0,2400.0,11262.0,,,,5040.0,1976.0,46449.0,5881.0,11350.0,,,11170.0,8200.0,-1.0,,164360.0,29000.0,60.0,12940.0,8907.0,,6989.0,-1.0,,15000.0,519.0,5400.0,,-1.0,,,60.0,-1.0,52804.0,11858.0,7530.0,,32531.0,100.0,,,-1.0,6000.0,0.0,7500.0,-1.0,482.0,,3531.0,1035.0,-1.0,15100.0,,2605.0,1216.0,,,33.0,,,2300.0,,,53013.0,400.0,,7466.0,-1.0
1970,56200.0,24932.0,16247.0,,2000.0,-1.0,,-1.0,4000.0,,400.0,-1.0,-1.0,-1.0,,,28726.0,11500.0,-1.0,16233.0,77000.0,2500.0,600.0,,20044.0,6900.0,2400.0,11736.0,,,,5000.0,2085.0,46000.0,6721.0,11350.0,,,13923.0,8650.0,-1.0,,157566.0,30000.0,67.0,12090.0,8685.0,,6805.0,-1.0,,15000.0,732.0,5400.0,,-1.0,,,60.0,-1.0,53106.0,11797.0,7990.0,,34294.0,100.0,,,-1.0,6000.0,24.0,7800.0,-1.0,768.0,,4294.0,1130.0,-1.0,14100.0,,3353.0,1208.0,,,36.0,,,2500.0,,,55564.0,400.0,,7345.0,-1.0
