,USSR,Australia & New Zealand,Australia,Pakistan,Thailand,Belize,Ethiopia,Kenya,South Africa,Lebanon,Albania,Niger,"China, Hong Kong SAR",Serbia,Slovenia,Hungary,Argentina,Colombia,Spain,India,Ecuador,Madagascar,Republic of Moldova,Canada,Russian Federation,Switzerland,Belgium-Luxembourg,South Sudan,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Egypt,Bolivia (Plurinational State of),Montenegro,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,"China, mainland",Cyprus,Peru,New Zealand,Portugal,Netherlands,Guatemala,Slovakia,Romania,Norway,Philippines,Czechia,United Republic of Tanzania,Belgium,Luxembourg,Libya,Poland,Italy,Germany,Sweden,Uzbekistan,China,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Jordan,Chile,Malta,Syrian Arab Republic,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Denmark,Austria,Azerbaijan,Mauritius,Lithuania,Turkey,Tunisia,Latvia,Ukraine,United Kingdom,Ireland,Croatia,Bulgaria,Occupied Palestinian Territory
1961,25337.0,34350.0,33653.0,,20000.0,,,,60000.0,20000.0,,,,,,24296.0,34924.0,,46852.0,91667.0,10526.0,10000.0,,25120.0,,66667.0,146083.0,,,,16825.0,61087.0,69247.0,60308.0,5900.0,,,12985.0,30000.0,,,70848.0,61364.0,140000.0,27941.0,38129.0,,136571.0,,,25179.0,47452.0,25098.0,,,,,66667.0,,42688.0,82770.0,44602.0,,58346.0,27211.0,,,,17021.0,50106.0,26667.0,,42344.0,,31881.0,46721.0,,59683.0,,39841.0,84070.0,,14286.0,,45455.0,77778.0,,,97798.0,25000.0,,35756.0,
1962,24657.0,33922.0,35305.0,,20000.0,,,,65000.0,20000.0,,,,,,25699.0,36874.0,,35910.0,88710.0,10526.0,10000.0,,27622.0,,66667.0,136129.0,,,,21383.0,51235.0,70826.0,69633.0,5900.0,,,14442.0,30909.0,,,72156.0,63636.0,140000.0,28986.0,27912.0,,158326.0,,,23158.0,28102.0,25098.0,,,,,65306.0,,41738.0,90012.0,36970.0,,60283.0,18349.0,,,,37100.0,62850.0,30000.0,,50242.0,,32047.0,38571.0,,56465.0,,41995.0,74309.0,,14286.0,,44681.0,78313.0,,,104215.0,25000.0,,33095.0,
1963,22220.0,34051.0,34388.0,,20000.0,,,,65000.0,20000.0,,,,,,27993.0,33597.0,,33698.0,89063.0,10526.0,10000.0,,25028.0,,56667.0,137912.0,,,,18167.0,55763.0,76961.0,72444.0,5900.0,,,14450.0,32778.0,,,68208.0,63636.0,140000.0,29286.0,32671.0,,115062.0,,,21679.0,39930.0,25098.0,,,,,65517.0,,42100.0,86657.0,43077.0,,59884.0,43011.0,,,,28333.0,79124.0,42623.0,,50242.0,,31172.0,47291.0,,35231.0,,51263.0,73564.0,,17143.0,,44898.0,77660.0,,,98935.0,25000.0,,47687.0,
1964,20670.0,41739.0,43590.0,,20000.0,,,,72500.0,26667.0,,,,,,23727.0,36629.0,,47345.0,92308.0,10526.0,10000.0,,25207.0,,60000.0,96206.0,,,,23255.0,49417.0,77789.0,74505.0,6000.0,,,14631.0,34828.0,,,64561.0,58000.0,140000.0,30000.0,33704.0,,121136.0,,,23333.0,39745.0,25000.0,,,,,65217.0,,44636.0,77956.0,45841.0,,56262.0,39216.0,,,,41667.0,57434.0,34921.0,,50400.0,,36817.0,51099.0,,52781.0,,52755.0,69388.0,,15000.0,,45283.0,78409.0,,,118482.0,25000.0,,49930.0,
1965,22087.0,38092.0,38508.0,,20000.0,,,,65000.0,26667.0,,,,,,31641.0,34412.0,,54480.0,93284.0,10588.0,10000.0,,31435.0,,26818.0,119951.0,,,,24246.0,51941.0,77018.0,74960.0,6200.0,,,12067.0,31897.0,,,76123.0,58000.0,140000.0,28350.0,35882.0,,98052.0,,,23077.0,39342.0,25000.0,,,,,65385.0,,45467.0,80737.0,48991.0,,55426.0,41379.0,,,,14866.0,58960.0,36000.0,,24161.0,,35577.0,64854.0,,53598.0,,46020.0,64372.0,,14699.0,,43860.0,75182.0,,,100646.0,25000.0,,34871.0,
1966,27701.0,43172.0,45745.0,,20000.0,,,,61667.0,28571.0,,,,,,29881.0,30602.0,,62421.0,94928.0,10588.0,10000.0,,25829.0,,42041.0,60586.0,,,,26577.0,54922.0,80010.0,76595.0,6000.0,,,12214.0,35738.0,,,65548.0,54815.0,140000.0,28249.0,31404.0,,92503.0,,,23188.0,44795.0,25000.0,,,,,40000.0,,48420.0,85213.0,47863.0,,53147.0,47619.0,,,,40517.0,58960.0,38462.0,,22913.0,,38453.0,68525.0,,53730.0,,40556.0,76679.0,,14808.0,,43276.0,76429.0,,,117202.0,25000.0,,55938.0,
1967,31239.0,39726.0,40306.0,,20000.0,,,,60000.0,37541.0,,,,,,37518.0,31777.0,,59405.0,100000.0,10588.0,10000.0,,24958.0,,41667.0,156571.0,,,,26739.0,66581.0,86232.0,49451.0,6000.0,,,17767.0,38652.0,,,72088.0,52857.0,162600.0,28588.0,37157.0,,105653.0,,,23846.0,52707.0,25094.0,,,,,37500.0,,49368.0,91049.0,54101.0,,52757.0,43210.0,,,,21667.0,60886.0,42857.0,,24391.0,,51802.0,52174.0,,50357.0,,43486.0,75084.0,,17167.0,,45455.0,60690.0,,,105753.0,25000.0,,45056.0,
1968,28947.0,46477.0,48573.0,,20000.0,,,,56000.0,28648.0,,,,,,24811.0,29858.0,,66973.0,100000.0,10526.0,10000.0,,33230.0,,45833.0,144536.0,,,,26287.0,27694.0,82048.0,63479.0,6000.0,,,20809.0,35705.0,,,72025.0,52759.0,169333.0,28019.0,38628.0,,108529.0,,,18162.0,64961.0,25094.0,,,,,40000.0,,45485.0,88484.0,37245.0,,51416.0,37383.0,,,,30000.0,68261.0,46667.0,,30438.0,,37393.0,59149.0,,54873.0,,46710.0,70830.0,,17297.0,,45079.0,49000.0,,,98455.0,25000.0,,25108.0,
1969,28103.0,50316.0,56302.0,,20000.0,,,,65000.0,30000.0,,,,,,45466.0,28986.0,,66400.0,100000.0,10476.0,10000.0,,27091.0,,45833.0,119695.0,,,,37613.0,37576.0,81793.0,54413.0,5991.0,,,17743.0,38293.0,,,72526.0,54483.0,166667.0,22413.0,33543.0,,112501.0,,,25867.0,57148.0,25000.0,,,,,41667.0,,47364.0,78825.0,45418.0,,53395.0,40000.0,,,,30000.0,,50667.0,,37739.0,,44458.0,60870.0,,53709.0,,37708.0,85535.0,,17879.0,,45353.0,58261.0,,,105446.0,25000.0,,38391.0,
1970,31495.0,44465.0,50033.0,,20000.0,,,,57500.0,30000.0,,,,,,49402.0,29565.0,,38317.0,101299.0,9600.0,11667.0,,30130.0,,47917.0,119121.0,,,,34942.0,48115.0,88892.0,53563.0,5991.0,,,22084.0,38382.0,,,70637.0,54333.0,181940.0,29375.0,34048.0,,91528.0,,,26667.0,51585.0,25000.0,,,,,41667.0,,47829.0,70893.0,48310.0,,54426.0,40000.0,,,,30000.0,75417.0,51282.0,,33099.0,,55070.0,84513.0,,49858.0,,36657.0,84760.0,,18056.0,,44928.0,50800.0,,,98805.0,25000.0,,47436.0,
1971,31754.0,49915.0,55127.0,,20000.0,,,,55000.0,30000.0,,,,,,55546.0,25743.0,,38846.0,101250.0,9286.0,12933.0,,29568.0,,50000.0,158544.0,,,,34373.0,44563.0,79920.0,51012.0,6579.0,,,26224.0,38375.0,,,76346.0,56000.0,165125.0,27865.0,36635.0,,93336.0,,,27083.0,50238.0,25000.0,,,,,65148.0,,52110.0,67674.0,44244.0,,56189.0,64000.0,,,,32258.0,58889.0,48000.0,,37530.0,,58253.0,79044.0,,59023.0,,45314.0,83729.0,,17778.0,,45333.0,46800.0,,,113840.0,25000.0,,45833.0,
1972,29322.0,45742.0,49147.0,,20000.0,,,,67500.0,30000.0,,,,,,52812.0,27107.0,,42833.0,101205.0,9333.0,16222.0,,27754.0,,44643.0,115834.0,,,,35548.0,52004.0,84904.0,52712.0,10920.0,,,27862.0,33171.0,,,75753.0,55806.0,140115.0,28150.0,37150.0,,74394.0,,,28764.0,44895.0,25091.0,,,,,66947.0,,53216.0,54059.0,45323.0,,56598.0,50691.0,,,,32258.0,50000.0,47297.0,,45064.0,,65218.0,84669.0,,57519.0,,37913.0,81177.0,,17143.0,,45455.0,60217.0,,,111246.0,25000.0,,40703.0,
