,Fiji,Dominica,Sri Lanka,United Republic of Tanzania,Samoa,Ethiopia,Kenya,Guyana,Costa Rica,Zambia,Uganda,Benin,Uzbekistan,Brazil,Cambodia,Niger,Slovenia,Honduras,Philippines,Zimbabwe,Kyrgyzstan,Malawi,India,Saint Lucia,Ecuador,Indonesia,Ethiopia PDR,"China, Macao SAR",Melanesia,Malaysia,Mexico,Tajikistan,Polynesia,Viet Nam,Mali,Bolivia (Plurinational State of),Thailand,Peru,Ghana,Brunei Darussalam,Guatemala,"China, mainland",Madagascar,Côte d'Ivoire,Rwanda,Cameroon,China
1961,610.0,,5500.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1300.0,400.0,,2946.0,600.0,-1.0,,100.0,-1.0,-1.0,,-1.0,103000.0,-1.0,-1.0,17000.0,400.0,70.0,610.0,5000.0,100.0,,8.0,300.0,,-1.0,800.0,-1.0,-1.0,15.0,-1.0,5000.0,9900.0,-1.0,-1.0,160.0,5070.0
1962,610.0,,5500.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1300.0,400.0,,2980.0,600.0,-1.0,,100.0,-1.0,-1.0,,-1.0,102000.0,-1.0,-1.0,35000.0,500.0,50.0,610.0,6000.0,140.0,,8.0,300.0,,-1.0,850.0,-1.0,-1.0,15.0,-1.0,5000.0,10000.0,-1.0,-1.0,160.0,5050.0
1963,607.0,,5500.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1300.0,400.0,,3748.0,600.0,-1.0,,100.0,-1.0,-1.0,,-1.0,102000.0,-1.0,-1.0,37000.0,600.0,50.0,607.0,6000.0,200.0,,8.0,300.0,,-1.0,900.0,-1.0,-1.0,20.0,-1.0,5000.0,10200.0,-1.0,-1.0,170.0,5050.0
1964,607.0,,5595.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1300.0,400.0,,3755.0,650.0,-1.0,,100.0,-1.0,-1.0,,-1.0,103000.0,-1.0,-1.0,36000.0,800.0,40.0,607.0,5000.0,270.0,,8.0,300.0,,-1.0,950.0,-1.0,-1.0,20.0,-1.0,5000.0,10175.0,-1.0,-1.0,170.0,5040.0
1965,607.0,,5826.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1300.0,400.0,,4426.0,650.0,-1.0,,200.0,-1.0,-1.0,,-1.0,102000.0,-1.0,-1.0,20000.0,700.0,40.0,607.0,8000.0,200.0,,8.0,350.0,,-1.0,1000.0,-1.0,-1.0,20.0,-1.0,5000.0,10675.0,-1.0,-1.0,200.0,5040.0
1966,405.0,,4721.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1300.0,400.0,,4394.0,700.0,-1.0,,200.0,-1.0,-1.0,,-1.0,121000.0,-1.0,-1.0,38000.0,200.0,65.0,405.0,6000.0,260.0,,8.0,390.0,,-1.0,1100.0,-1.0,-1.0,23.0,-1.0,5000.0,11105.0,-1.0,-1.0,190.0,5065.0
1967,607.0,,4885.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1300.0,600.0,,4768.0,860.0,-1.0,,200.0,-1.0,-1.0,,-1.0,128000.0,-1.0,-1.0,20000.0,200.0,50.0,607.0,9000.0,200.0,,8.0,390.0,,-1.0,1200.0,-1.0,-1.0,23.0,-1.0,6000.0,11470.0,-1.0,-1.0,270.0,6050.0
1968,1330.0,,5645.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1300.0,400.0,,5567.0,700.0,-1.0,,200.0,-1.0,-1.0,,-1.0,121200.0,-1.0,-1.0,40000.0,200.0,50.0,1330.0,6800.0,260.0,,8.0,350.0,,-1.0,1300.0,-1.0,-1.0,21.0,-1.0,6000.0,11670.0,-1.0,-1.0,270.0,6050.0
1969,1300.0,,5574.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1300.0,400.0,,5453.0,576.0,-1.0,,200.0,-1.0,-1.0,,-1.0,120300.0,-1.0,-1.0,34000.0,200.0,60.0,1300.0,7612.0,320.0,,8.0,370.0,,-1.0,1400.0,-1.0,-1.0,21.0,-1.0,6000.0,11800.0,-1.0,-1.0,100.0,6060.0
1970,1290.0,,6429.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1600.0,400.0,,5473.0,576.0,-1.0,,300.0,-1.0,-1.0,,-1.0,119960.0,-1.0,-1.0,36000.0,200.0,50.0,1290.0,6950.0,315.0,,8.0,340.0,,-1.0,1500.0,-1.0,-1.0,20.0,-1.0,6000.0,7000.0,-1.0,-1.0,100.0,6050.0
1971,1280.0,,5508.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1600.0,400.0,,5741.0,570.0,-1.0,,200.0,-1.0,-1.0,,-1.0,118630.0,-1.0,-1.0,40300.0,200.0,50.0,1280.0,7407.0,310.0,,8.0,350.0,,-1.0,1600.0,-1.0,-1.0,20.0,-1.0,7000.0,11195.0,-1.0,-1.0,130.0,7050.0
1972,1270.0,,5884.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1600.0,400.0,,6105.0,680.0,-1.0,,200.0,-1.0,-1.0,,-1.0,119800.0,-1.0,-1.0,37000.0,200.0,60.0,1270.0,7254.0,310.0,,8.0,260.0,,-1.0,1700.0,-1.0,-1.0,60.0,-1.0,7000.0,7830.0,-1.0,-1.0,170.0,7060.0
1973,1260.0,,5942.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1600.0,400.0,,8359.0,570.0,-1.0,,200.0,-1.0,-1.0,,-1.0,121720.0,-1.0,-1.0,38000.0,200.0,60.0,1260.0,7930.0,380.0,,8.0,325.0,,-1.0,1800.0,-1.0,-1.0,46.0,-1.0,7000.0,7500.0,-1.0,-1.0,220.0,7060.0
1974,1250.0,,5970.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1600.0,800.0,,8261.0,500.0,-1.0,,200.0,-1.0,-1.0,,-1.0,121920.0,-1.0,-1.0,39000.0,200.0,60.0,1250.0,8630.0,460.0,,8.0,320.0,,-1.0,1900.0,-1.0,-1.0,44.0,-1.0,7000.0,5800.0,-1.0,-1.0,220.0,7060.0
1975,1240.0,,6445.0,-1.0,8.0,,-1.0,-1.0,-1.0,-1.0,1600.0,600.0,,9909.0,500.0,-1.0,,400.0,-1.0,-1.0,,-1.0,111930.0,-1.0,-1.0,40300.0,200.0,60.0,1240.0,9225.0,490.0,,8.0,320.0,,-1.0,2000.0,-1.0,-1.0,15.0,-1.0,7000.0,9000.0,-1.0,-1.0,220.0,7060.0
1976,1230.0,,6535.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,1600.0,800.0,,11173.0,500.0,-1.0,,200.0,-1.0,-1.0,,-1.0,114340.0,-1.0,-1.0,42000.0,200.0,60.0,1230.0,9956.0,651.0,,10.0,810.0,,-1.0,2100.0,-1.0,-1.0,13.0,-1.0,8000.0,7215.0,-1.0,-1.0,220.0,8060.0
1977,1250.0,,7128.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,1600.0,600.0,,12578.0,500.0,-1.0,,400.0,-1.0,-1.0,,-1.0,111970.0,-1.0,-1.0,47555.0,200.0,60.0,1250.0,10647.0,1134.0,,10.0,414.0,,-1.0,2200.0,-1.0,-1.0,25.0,-1.0,8000.0,6200.0,-1.0,-1.0,220.0,8060.0
1978,1250.0,,7443.0,-1.0,10.0,,-1.0,-1.0,-1.0,-1.0,2000.0,600.0,,15786.0,425.0,-1.0,,300.0,-1.0,-1.0,,-1.0,84570.0,-1.0,-1.0,52685.0,200.0,70.0,1250.0,11520.0,1550.0,,10.0,403.0,,-1.0,2300.0,-1.0,-1.0,49.0,-1.0,8000.0,5315.0,-1.0,-1.0,220.0,8070.0
1979,1350.0,,7830.0,-1.0,12.0,,-1.0,-1.0,-1.0,-1.0,2000.0,600.0,,19879.0,300.0,-1.0,,300.0,-1.0,290.0,,-1.0,110720.0,-1.0,-1.0,50527.0,200.0,70.0,1350.0,12160.0,1534.0,,12.0,628.0,,-1.0,2400.0,-1.0,-1.0,33.0,-1.0,8000.0,5480.0,-1.0,-1.0,220.0,8070.0
1980,1350.0,,9080.0,-1.0,12.0,,-1.0,-1.0,-1.0,-1.0,2000.0,600.0,,23069.0,320.0,-1.0,,400.0,-1.0,290.0,,-1.0,109290.0,-1.0,-1.0,50038.0,300.0,80.0,1350.0,12720.0,1573.0,,12.0,426.0,,-1.0,2500.0,-1.0,-1.0,35.0,-1.0,8000.0,5860.0,-1.0,-1.0,220.0,8080.0
1981,1470.0,,9470.0,-1.0,12.0,,-1.0,-1.0,145.0,-1.0,2000.0,600.0,,22998.0,300.0,-1.0,,600.0,-1.0,430.0,,-1.0,111020.0,-1.0,-1.0,51765.0,200.0,80.0,1470.0,13405.0,1573.0,,12.0,900.0,,-1.0,3000.0,-1.0,-1.0,32.0,-1.0,8000.0,5955.0,-1.0,-1.0,220.0,8080.0
1982,1470.0,,9704.0,-1.0,12.0,,-1.0,-1.0,200.0,-1.0,2000.0,600.0,,22481.0,305.0,-1.0,,300.0,-1.0,430.0,,-1.0,111000.0,-1.0,-1.0,50137.0,200.0,80.0,1470.0,12800.0,1573.0,,12.0,1200.0,,-1.0,3000.0,-1.0,-1.0,36.0,-1.0,8500.0,6000.0,-1.0,-1.0,220.0,8580.0
1983,1470.0,,9990.0,-1.0,12.0,,-1.0,-1.0,260.0,-1.0,2000.0,600.0,,20732.0,310.0,-1.0,,500.0,-1.0,570.0,,250.0,110440.0,-1.0,-1.0,52000.0,200.0,85.0,1470.0,12755.0,1585.0,,12.0,1583.0,,-1.0,3000.0,-1.0,-1.0,41.0,-1.0,9000.0,6100.0,-1.0,-1.0,220.0,9085.0
1984,1600.0,,11310.0,-1.0,12.0,,-1.0,-1.0,315.0,-1.0,2000.0,600.0,,20177.0,315.0,-1.0,,600.0,-1.0,570.0,,800.0,107350.0,-1.0,-1.0,53000.0,200.0,85.0,1600.0,10550.0,1816.0,,12.0,1921.0,,-1.0,3500.0,-1.0,-1.0,41.0,-1.0,9000.0,6120.0,-1.0,-1.0,220.0,9085.0
1985,1600.0,,11510.0,-1.0,12.0,,-1.0,-1.0,375.0,25.0,2000.0,600.0,,19219.0,320.0,-1.0,,350.0,-1.0,700.0,,1000.0,109400.0,8.0,-1.0,53500.0,200.0,80.0,1600.0,5413.0,716.0,,12.0,2176.0,,-1.0,3500.0,-1.0,-1.0,40.0,650.0,9000.0,6200.0,200.0,-1.0,230.0,9080.0
1986,1600.0,,13812.0,-1.0,12.0,,-1.0,-1.0,430.0,25.0,2500.0,600.0,,20532.0,325.0,-1.0,,300.0,-1.0,700.0,,1000.0,125100.0,50.0,-1.0,50983.0,200.0,80.0,1600.0,6120.0,1428.0,,12.0,3900.0,,-1.0,3500.0,-1.0,-1.0,35.0,650.0,12000.0,6100.0,200.0,-1.0,240.0,12080.0
1987,1600.0,,15013.0,-1.0,13.0,,-1.0,-1.0,490.0,40.0,2500.0,600.0,,20852.0,325.0,-1.0,,300.0,-1.0,700.0,,1000.0,132810.0,100.0,-1.0,52468.0,200.0,80.0,1600.0,9704.0,1241.0,,13.0,5900.0,,23.0,3500.0,-1.0,-1.0,37.0,650.0,12000.0,6250.0,200.0,-1.0,240.0,12080.0
1988,1600.0,,15620.0,-1.0,13.0,,-1.0,-1.0,500.0,40.0,2500.0,600.0,,23785.0,325.0,-1.0,,800.0,-1.0,810.0,,1000.0,149930.0,140.0,-1.0,70000.0,200.0,70.0,1600.0,9607.0,1236.0,,13.0,7600.0,,23.0,3500.0,-1.0,-1.0,40.0,650.0,14000.0,7290.0,200.0,-1.0,240.0,14070.0
1989,1600.0,,15940.0,-1.0,13.0,,-1.0,-1.0,500.0,60.0,2500.0,600.0,,28450.0,330.0,-1.0,,800.0,-1.0,810.0,,1000.0,160740.0,200.0,-1.0,73700.0,200.0,70.0,1600.0,10872.0,1063.0,,13.0,7964.0,,26.0,5000.0,-1.0,-1.0,40.0,650.0,17200.0,6470.0,200.0,-1.0,250.0,17270.0
1990,1918.0,0.0,15601.0,-1.0,13.0,,0.0,-1.0,499.0,80.0,2628.0,720.0,,34093.0,330.0,-1.0,,600.0,-1.0,930.0,,1051.0,171490.0,280.0,-1.0,74776.0,210.0,60.0,1918.0,11512.0,1242.0,,13.0,9196.0,,29.0,5080.0,-1.0,-1.0,43.0,778.0,14000.0,6800.0,240.0,-1.0,254.0,14060.0
1991,1626.0,-1.0,16667.0,-1.0,13.0,,400.0,-1.0,650.0,100.0,2200.0,572.0,,36888.0,328.0,1300.0,,850.0,1102.0,1050.0,,1300.0,173430.0,160.0,-1.0,75796.0,790.0,71.0,1626.0,11262.0,1251.0,,13.0,8863.0,,34.0,2880.0,-1.0,-1.0,35.0,606.0,10000.0,6638.0,1179.0,-1.0,260.0,10071.0
1992,1650.0,-1.0,17190.0,-1.0,13.0,,500.0,-1.0,498.0,110.0,2300.0,572.0,150.0,29109.0,335.0,1500.0,,320.0,1215.0,1566.0,150.0,1100.0,184200.0,250.0,-1.0,76025.0,300.0,80.0,1650.0,10197.0,1304.0,-1.0,13.0,6400.0,,37.0,2720.0,-1.0,-1.0,38.0,620.0,13000.0,5434.0,1159.0,-1.0,234.0,13080.0
