,Kenya,Bolivia (Plurinational State of),Peru,Guyana,Cameroon,Zambia,Malaysia,Tajikistan,Melanesia,Philippines,Brazil,Benin,Ethiopia,Indonesia,Zimbabwe,Malawi,Uzbekistan,Rwanda,Guatemala,Thailand,Madagascar,Kyrgyzstan,Saint Lucia,Cambodia,Uganda,Costa Rica,India,Fiji,Niger,Ethiopia PDR,Mexico,Ecuador,Honduras,Brunei Darussalam,Sri Lanka,China,Côte d'Ivoire,United Republic of Tanzania,Polynesia,Samoa,Viet Nam,Ghana,"China, mainland","China, Macao SAR"
1961,-1.0,-1.0,-1.0,-1.0,1250.0,-1.0,30000.0,-1.0,820.0,-1.0,15913.0,2500.0,-1.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,2020.0,-1.0,-1.0,21667.0,3846.0,-1.0,2718.0,820.0,-1.0,6250.0,15000.0,-1.0,5000.0,4000.0,4909.0,2170.0,-1.0,-1.0,5000.0,5000.0,15000.0,-1.0,2000.0,14286.0
1962,-1.0,-1.0,-1.0,-1.0,1250.0,-1.0,26667.0,-1.0,820.0,-1.0,12594.0,2500.0,-1.0,15829.0,-1.0,-1.0,-1.0,-1.0,-1.0,15294.0,1700.0,-1.0,-1.0,23333.0,3846.0,-1.0,2549.0,820.0,-1.0,7000.0,14286.0,-1.0,5000.0,4000.0,4909.0,2515.0,-1.0,-1.0,5000.0,5000.0,15000.0,-1.0,2400.0,14000.0
1963,-1.0,-1.0,-1.0,-1.0,1765.0,-1.0,28333.0,-1.0,824.0,-1.0,17220.0,2500.0,-1.0,15649.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,2059.0,-1.0,-1.0,24167.0,3846.0,-1.0,2353.0,824.0,-1.0,8333.0,15000.0,-1.0,5000.0,4000.0,4909.0,2515.0,-1.0,-1.0,5000.0,5000.0,15000.0,-1.0,2400.0,14000.0
1964,-1.0,-1.0,-1.0,-1.0,1765.0,-1.0,30000.0,-1.0,824.0,-1.0,17206.0,2500.0,-1.0,12889.0,-1.0,-1.0,-1.0,-1.0,-1.0,14737.0,2034.0,-1.0,-1.0,23077.0,3846.0,-1.0,2330.0,824.0,-1.0,10000.0,14815.0,-1.0,5000.0,4000.0,5004.0,2083.0,-1.0,-1.0,5000.0,5000.0,15000.0,-1.0,2000.0,12500.0
1965,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,25000.0,-1.0,824.0,-1.0,20160.0,2500.0,-1.0,5500.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,1611.0,-1.0,-1.0,23077.0,3846.0,-1.0,2255.0,824.0,-1.0,8571.0,15000.0,-1.0,5000.0,5000.0,5064.0,2500.0,-1.0,-1.0,5000.0,5000.0,17286.0,-1.0,2400.0,15000.0
1966,-1.0,-1.0,-1.0,-1.0,2053.0,-1.0,26882.0,-1.0,741.0,-1.0,21812.0,2500.0,-1.0,9553.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,2121.0,-1.0,-1.0,22857.0,3846.0,-1.0,2231.0,741.0,-1.0,5000.0,15385.0,-1.0,5000.0,3043.0,5084.0,2665.0,-1.0,-1.0,5000.0,5000.0,11282.0,-1.0,2500.0,15385.0
1967,-1.0,-1.0,-1.0,-1.0,2222.0,-1.0,25312.0,-1.0,824.0,-1.0,21651.0,2500.0,-1.0,8250.0,-1.0,-1.0,-1.0,-1.0,-1.0,15000.0,2310.0,-1.0,-1.0,29302.0,3846.0,-1.0,2031.0,824.0,-1.0,5000.0,15000.0,-1.0,5000.0,3478.0,5015.0,2612.0,-1.0,-1.0,5000.0,5000.0,12051.0,-1.0,2500.0,16000.0
1968,-1.0,-1.0,-1.0,-1.0,2222.0,-1.0,40779.0,-1.0,414.0,-1.0,25317.0,2500.0,-1.0,11666.0,-1.0,-1.0,-1.0,-1.0,-1.0,15385.0,2498.0,-1.0,-1.0,25714.0,3846.0,-1.0,2120.0,414.0,-1.0,5000.0,15385.0,-1.0,5000.0,5238.0,5049.0,2760.0,-1.0,-1.0,5000.0,5000.0,12857.0,-1.0,2667.0,14000.0
1969,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,43211.0,-1.0,462.0,-1.0,25731.0,2500.0,-1.0,5021.0,-1.0,-1.0,-1.0,-1.0,-1.0,15714.0,2347.0,-1.0,-1.0,28993.0,3846.0,-1.0,2120.0,462.0,-1.0,5000.0,15625.0,-1.0,5000.0,1429.0,5023.0,2459.0,-1.0,-1.0,5000.0,5000.0,11757.0,-1.0,2333.0,15000.0
1970,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,45468.0,-1.0,504.0,-1.0,26068.0,2500.0,-1.0,4783.0,-1.0,-1.0,-1.0,-1.0,-1.0,15333.0,3021.0,-1.0,-1.0,28993.0,4375.0,-1.0,2181.0,504.0,-1.0,5000.0,15873.0,-1.0,5000.0,3000.0,5055.0,2603.0,-1.0,-1.0,5000.0,5000.0,12059.0,-1.0,2500.0,15000.0
1971,-1.0,-1.0,-1.0,-1.0,2538.0,-1.0,37802.0,-1.0,547.0,-1.0,26288.0,2500.0,-1.0,6616.0,-1.0,-1.0,-1.0,-1.0,-1.0,15625.0,3117.0,-1.0,-1.0,29298.0,4375.0,-1.0,2205.0,547.0,-1.0,5000.0,16129.0,-1.0,5000.0,3000.0,5084.0,2227.0,-1.0,-1.0,5000.0,5000.0,13571.0,-1.0,2143.0,14000.0
