,Georgia,Spain,Egypt,Jordan,"China, Taiwan Province of",China,Morocco,Japan,Argentina,Mexico,Bulgaria
1961,-1.0,2360.0,-1,-1.0,45251.0,45251.0,-1.0,37000.0,23000.0,-1,-1.0
1962,-1.0,4144.0,-1,-1.0,55218.0,55218.0,-1.0,22000.0,24000.0,-1,-1.0
1963,-1.0,3730.0,-1,-1.0,29828.0,29828.0,-1.0,22000.0,25000.0,-1,-1.0
1964,-1.0,5100.0,-1,-1.0,3156.0,3156.0,-1.0,16000.0,26970.0,-1,-1.0
1965,-1.0,4465.0,-1,-1.0,74.0,74.0,-1.0,11500.0,27860.0,-1,-1.0
1966,-1.0,4080.0,-1,-1.0,1454.0,1454.0,-1.0,12400.0,29020.0,-1,-1.0
1967,-1.0,2040.0,-1,-1.0,1881.0,1881.0,-1.0,20900.0,25000.0,-1,-1.0
1968,-1.0,3085.0,-1,-1.0,644.0,644.0,-1.0,20800.0,27000.0,-1,-1.0
1969,-1.0,3060.0,-1,-1.0,1325.0,1325.0,-1.0,11900.0,21300.0,-1,-1.0
1970,-1.0,8200.0,-1,-1.0,2323.0,2323.0,-1.0,12000.0,21230.0,-1,-1.0
1971,-1.0,11800.0,-1,-1.0,8997.0,8997.0,-1.0,12000.0,20760.0,-1,-1.0
1972,-1.0,6400.0,-1,-1.0,11974.0,11974.0,-1.0,12000.0,18185.0,-1,-1.0
1973,-1.0,8102.0,-1,-1.0,7899.0,7899.0,-1.0,12000.0,20570.0,-1,-1.0
1974,-1.0,11600.0,-1,-1.0,18222.0,18222.0,-1.0,12000.0,12158.0,-1,-1.0
1975,-1.0,11761.0,-1,-1.0,20466.0,20466.0,-1.0,12000.0,13180.0,-1,-1.0
1976,-1.0,11858.0,-1,-1.0,9011.0,9011.0,-1.0,11000.0,12787.0,-1,-1.0
1977,-1.0,6114.0,-1,-1.0,5923.0,5923.0,-1.0,11000.0,23180.0,-1,-1.0
1978,-1.0,10039.0,-1,-1.0,3522.0,3522.0,-1.0,12000.0,12300.0,-1,-1.0
1979,-1.0,6600.0,-1,-1.0,1566.0,1566.0,-1.0,9000.0,13980.0,-1,-1.0
1980,-1.0,7070.0,-1,-1.0,664.0,664.0,-1.0,7000.0,11100.0,-1,-1.0
1981,-1.0,6946.0,-1,-1.0,188.0,188.0,-1.0,7000.0,5400.0,-1,-1.0
1982,-1.0,8239.0,-1,148.0,164.0,164.0,-1.0,5000.0,8900.0,-1,-1.0
1983,-1.0,7561.0,-1,125.0,-1.0,-1.0,-1.0,3500.0,8500.0,-1,-1.0
1984,-1.0,5706.0,-1,108.0,-1.0,-1.0,-1.0,2800.0,8600.0,-1,-1.0
1985,-1.0,10651.0,-1,120.0,-1.0,-1.0,-1.0,2500.0,8500.0,-1,-1.0
1986,-1.0,10377.0,-1,110.0,-1.0,-1.0,5000.0,2100.0,8400.0,-1,-1.0
1987,-1.0,7317.0,-1,120.0,-1.0,-1.0,10000.0,1900.0,8300.0,-1,-1.0
1988,-1.0,7822.0,-1,120.0,-1.0,-1.0,15000.0,1700.0,8200.0,-1,-1.0
1989,-1.0,4553.0,-1,120.0,-1.0,-1.0,23306.0,1700.0,8100.0,-1,-1.0
1990,-1.0,2324.0,-1,-1.0,0.0,0.0,16950.0,1400.0,8000.0,-1,-1.0
1991,-1.0,1045.0,-1,-1.0,0.0,0.0,12819.0,1000.0,8000.0,-1,-1.0
1992,100.0,760.0,-1,-1.0,0.0,0.0,22000.0,500.0,8000.0,-1,-1.0
1993,90.0,754.0,-1,-1.0,0.0,0.0,30940.0,200.0,8000.0,-1,-1.0
1994,85.0,509.0,-1,-1.0,0.0,0.0,49065.0,0.0,8000.0,-1,-1.0
1995,60.0,622.0,-1,-1.0,0.0,0.0,49000.0,0.0,8000.0,-1,-1.0
1996,50.0,782.0,-1,-1.0,0.0,0.0,52000.0,0.0,8000.0,-1,-1.0
1997,50.0,650.0,-1,-1.0,0.0,0.0,48060.0,0.0,8000.0,-1,-1.0
1998,40.0,572.0,-1,-1.0,0.0,0.0,56800.0,0.0,8000.0,-1,-1.0
1999,35.0,530.0,-1,-1.0,0.0,0.0,80740.0,0.0,7000.0,-1,-1.0
2000,30.0,480.0,-1,-1.0,0.0,0.0,35590.0,0.0,7000.0,-1,-1.0
2001,35.0,440.0,-1,-1.0,0.0,0.0,53280.0,0.0,7000.0,-1,-1.0
2002,30.0,390.0,-1,-1.0,0.0,0.0,53320.0,0.0,7100.0,-1,-1.0
2003,30.0,340.0,-1,-1.0,0.0,0.0,107510.0,0.0,7100.0,-1,-1.0
2004,30.0,300.0,-1,-1.0,0.0,0.0,67700.0,0.0,7100.0,-1,-1.0
2005,30.0,260.0,-1,-1.0,0.0,0.0,61660.0,0.0,7100.0,-1,-1.0
2006,30.0,210.0,-1,-1.0,0.0,0.0,83945.0,0.0,7100.0,-1,-1.0
2007,30.0,170.0,-1,-1.0,0.0,0.0,66135.0,0.0,7100.0,-1,-1.0
2008,30.0,120.0,-1,-1.0,0.0,0.0,64605.0,0.0,7100.0,-1,-1.0
2009,30.0,100.0,-1,-1.0,0.0,0.0,51990.0,0.0,7100.0,-1,189.0
2010,30.0,90.0,-1,-1.0,0.0,0.0,71880.0,0.0,7100.0,-1,1631.0
2011,30.0,90.0,-1,-1.0,0.0,0.0,55319.0,0.0,7100.0,-1,356.0
2012,29.0,90.0,-1,-1.0,0.0,0.0,99005.0,0.0,7100.0,-1,126.0
2013,27.0,87.0,-1,-1.0,0.0,0.0,87602.0,0.0,7071.0,-1,330.0
2014,28.0,94.0,-1,-1.0,0.0,0.0,85120.0,0.0,7021.0,-1,33.0
