,"China, Taiwan Province of",Japan,Jordan,Spain,China,Bulgaria,Morocco
1961,93128.0,46250.0,,214545.0,93128.0,,
1962,80154.0,44000.0,,197333.0,80154.0,,
1963,78973.0,44000.0,,196316.0,78973.0,,
1964,78703.0,40000.0,,188889.0,78703.0,,
1965,61667.0,47917.0,,194130.0,61667.0,,
1966,62137.0,53913.0,,194286.0,62137.0,,
1967,70449.0,63333.0,,204000.0,70449.0,,
1968,55043.0,71724.0,,220357.0,55043.0,,
1969,58370.0,59500.0,,191250.0,58370.0,,
1970,61782.0,66667.0,,205000.0,61782.0,,
1971,60668.0,66667.0,,193443.0,60668.0,,
1972,38588.0,75000.0,,189349.0,38588.0,,
1973,25456.0,75000.0,,184136.0,25456.0,,
1974,45555.0,85714.0,,173913.0,45555.0,,
1975,45480.0,85714.0,,166116.0,45480.0,,
1976,36044.0,91667.0,,172857.0,36044.0,,
1977,29615.0,91667.0,,94791.0,29615.0,,
1978,29350.0,92308.0,,130887.0,29350.0,,
1979,19575.0,90000.0,,136364.0,19575.0,,
1980,18971.0,87500.0,,159955.0,18971.0,,
1981,17091.0,87500.0,,130564.0,17091.0,,
1982,16400.0,83333.0,64348.0,132247.0,16400.0,,
1983,,87500.0,62500.0,141327.0,,,
1984,,87500.0,60000.0,161643.0,,,
1985,,86207.0,60000.0,132640.0,,,
1986,,87500.0,55000.0,104818.0,,,227273.0
1987,,86364.0,60000.0,138057.0,,,222222.0
1988,,85000.0,60000.0,148990.0,,,230769.0
1989,,85000.0,60000.0,126825.0,,,233060.0
1990,,93333.0,,135116.0,,,226000.0
1991,,142857.0,,197170.0,,,233073.0
1992,,142857.0,,211111.0,,,231579.0
1993,,142857.0,,215429.0,,,229185.0
1994,,,,118372.0,,,233643.0
1995,,,,222143.0,,,233333.0
1996,,,,217222.0,,,241860.0
1997,,,,216667.0,,,212655.0
1998,,,,220000.0,,,233745.0
1999,,,,203846.0,,,336417.0
2000,,,,192000.0,,,213114.0
2001,,,,183333.0,,,149453.0
2002,,,,150000.0,,,200829.0
2003,,,,147826.0,,,272177.0
2004,,,,136364.0,,,209922.0
2005,,,,130000.0,,,197312.0
2006,,,,105000.0,,,250209.0
2007,,,,89474.0,,,225717.0
2008,,,,66667.0,,,219745.0
2009,,,,52632.0,,70000.0,190579.0
2010,,,,50000.0,,87219.0,279798.0
2011,,,,52941.0,,19037.0,260325.0
2012,,,,43155.0,,34054.0,247203.0
2013,,,,26119.0,,20625.0,250971.0
2014,,,,18465.0,,66000.0,246637.0
