,"China, mainland",Israel,Uzbekistan,Chile,Spain,New Zealand,"China, Taiwan Province of",Republic of Korea,Mexico,Australia,Azerbaijan,Brazil,Australia & New Zealand,Slovenia,Nepal,China,Japan,Iran (Islamic Republic of),Italy
1961,76000.0,-1.0,-1.0,-1.0,-1.0,-1.0,230.0,2346.0,-1.0,-1.0,-1.0,2500.0,0.0,-1.0,-1.0,76230.0,36700.0,5.0,4600.0
1962,80000.0,-1.0,-1.0,-1.0,-1.0,-1.0,230.0,2578.0,-1.0,-1.0,-1.0,2600.0,0.0,-1.0,-1.0,80230.0,37300.0,5.0,4600.0
1963,80000.0,-1.0,-1.0,-1.0,-1.0,-1.0,250.0,2883.0,-1.0,-1.0,-1.0,2700.0,0.0,-1.0,-1.0,80250.0,37500.0,5.0,4500.0
1964,90000.0,-1.0,-1.0,-1.0,-1.0,-1.0,260.0,3971.0,-1.0,-1.0,-1.0,2800.0,0.0,-1.0,-1.0,90260.0,37900.0,5.0,4200.0
1965,100000.0,-1.0,-1.0,-1.0,-1.0,-1.0,240.0,2661.0,-1.0,-1.0,-1.0,3185.0,0.0,-1.0,-1.0,100240.0,38300.0,5.0,4100.0
1966,130000.0,-1.0,-1.0,-1.0,-1.0,-1.0,240.0,3314.0,-1.0,-1.0,-1.0,3286.0,0.0,-1.0,-1.0,130240.0,38500.0,5.0,4000.0
1967,135000.0,-1.0,-1.0,-1.0,-1.0,-1.0,250.0,3770.0,-1.0,-1.0,-1.0,3181.0,0.0,-1.0,-1.0,135250.0,38400.0,5.0,3900.0
1968,155000.0,-1.0,-1.0,-1.0,-1.0,-1.0,270.0,4496.0,-1.0,-1.0,-1.0,3297.0,0.0,-1.0,-1.0,155270.0,37800.0,5.0,3800.0
1969,120000.0,-1.0,-1.0,-1.0,-1.0,-1.0,250.0,4939.0,-1.0,-1.0,-1.0,3419.0,0.0,-1.0,-1.0,120250.0,36900.0,5.0,3600.0
1970,140000.0,-1.0,-1.0,-1.0,-1.0,-1.0,270.0,5192.0,-1.0,-1.0,-1.0,3444.0,0.0,-1.0,-1.0,140270.0,35900.0,5.0,3800.0
1971,145000.0,-1.0,-1.0,-1.0,-1.0,-1.0,270.0,3039.0,-1.0,-1.0,-1.0,3700.0,0.0,-1.0,-1.0,145270.0,35400.0,5.0,3400.0
1972,135000.0,-1.0,-1.0,-1.0,-1.0,-1.0,290.0,4028.0,-1.0,-1.0,-1.0,4400.0,0.0,-1.0,-1.0,135290.0,34500.0,5.0,3400.0
1973,123000.0,-1.0,-1.0,-1.0,-1.0,-1.0,300.0,4752.0,-1.0,-1.0,-1.0,3450.0,0.0,-1.0,-1.0,123300.0,33400.0,5.0,3600.0
1974,155000.0,-1.0,-1.0,-1.0,-1.0,-1.0,340.0,5633.0,-1.0,-1.0,-1.0,3475.0,0.0,-1.0,-1.0,155340.0,32700.0,5.0,3600.0
1975,145000.0,-1.0,-1.0,-1.0,-1.0,-1.0,380.0,3724.0,-1.0,-1.0,-1.0,3551.0,0.0,-1.0,-1.0,145380.0,31900.0,7.0,3500.0
1976,155000.0,200.0,-1.0,-1.0,-1.0,-1.0,440.0,4854.0,-1.0,-1.0,-1.0,3537.0,0.0,-1.0,-1.0,155440.0,30800.0,7.0,3500.0
1977,155000.0,280.0,-1.0,-1.0,-1.0,-1.0,500.0,5805.0,-1.0,-1.0,-1.0,3599.0,0.0,-1.0,-1.0,155500.0,29800.0,7.0,4500.0
1978,140000.0,250.0,-1.0,-1.0,-1.0,-1.0,504.0,5644.0,-1.0,-1.0,-1.0,3997.0,0.0,-1.0,-1.0,140504.0,29400.0,7.0,4400.0
1979,100000.0,300.0,-1.0,-1.0,-1.0,-1.0,556.0,5754.0,-1.0,-1.0,-1.0,3977.0,0.0,-1.0,-1.0,100556.0,29300.0,7.0,3300.0
1980,110000.0,400.0,-1.0,-1.0,-1.0,-1.0,684.0,6590.0,-1.0,-1.0,-1.0,4051.0,0.0,-1.0,-1.0,110684.0,29400.0,7.0,3300.0
1981,115000.0,660.0,-1.0,-1.0,-1.0,-1.0,773.0,7621.0,8.0,-1.0,-1.0,3455.0,0.0,-1.0,-1.0,115773.0,29500.0,10.0,3400.0
1982,140000.0,950.0,-1.0,-1.0,-1.0,-1.0,679.0,7783.0,23.0,-1.0,-1.0,3498.0,0.0,-1.0,-1.0,140679.0,29600.0,14.0,3400.0
1983,150000.0,1200.0,-1.0,-1.0,-1.0,-1.0,786.0,8207.0,21.0,10.0,-1.0,3556.0,10.0,-1.0,-1.0,150786.0,29700.0,14.0,3175.0
1984,183000.0,1200.0,-1.0,-1.0,-1.0,-1.0,985.0,9296.0,46.0,15.0,-1.0,3496.0,15.0,-1.0,-1.0,183985.0,29700.0,13.0,3379.0
1985,190000.0,1200.0,-1.0,-1.0,-1.0,-1.0,1119.0,9838.0,51.0,30.0,-1.0,3692.0,30.0,-1.0,-1.0,191119.0,29800.0,12.0,3313.0
1986,200000.0,1200.0,-1.0,-1.0,-1.0,305.0,1160.0,10812.0,52.0,30.0,-1.0,3781.0,335.0,-1.0,-1.0,201160.0,29600.0,11.0,3231.0
1987,215000.0,1700.0,-1.0,-1.0,-1.0,390.0,1243.0,9863.0,32.0,30.0,-1.0,3764.0,420.0,-1.0,-1.0,216243.0,29500.0,9.0,3154.0
1988,202000.0,900.0,-1.0,-1.0,-1.0,441.0,1455.0,11010.0,33.0,30.0,-1.0,3804.0,471.0,-1.0,-1.0,203455.0,29300.0,20.0,3163.0
1989,187000.0,1300.0,-1.0,-1.0,-1.0,460.0,1549.0,12369.0,52.0,30.0,-1.0,3949.0,490.0,-1.0,-1.0,188549.0,29500.0,40.0,3165.0
1990,161500.0,1270.0,-1.0,0.0,0.0,488.0,1493.0,13581.0,46.0,42.0,-1.0,3960.0,530.0,-1.0,50.0,162993.0,29500.0,92.0,3055.0
1991,144000.0,932.0,-1.0,109.0,54.0,500.0,1507.0,15076.0,46.0,60.0,-1.0,4059.0,560.0,-1.0,53.0,145507.0,29300.0,99.0,3013.0
1992,181000.0,860.0,-1.0,109.0,51.0,415.0,1446.0,17584.0,46.0,60.0,-1.0,4048.0,475.0,-1.0,60.0,182446.0,28900.0,100.0,3007.0
1993,203000.0,850.0,-1.0,109.0,247.0,400.0,1531.0,19719.0,44.0,70.0,-1.0,4337.0,470.0,-1.0,58.0,204531.0,28600.0,108.0,2966.0
1994,234000.0,800.0,-1.0,109.0,551.0,412.0,1584.0,22440.0,44.0,71.0,-1.0,4605.0,483.0,-1.0,65.0,235584.0,28200.0,116.0,2876.0
1995,268000.0,710.0,-1.0,109.0,830.0,428.0,1568.0,25009.0,40.0,73.0,-1.0,4819.0,501.0,-1.0,68.0,269568.0,28000.0,122.0,2878.0
1996,280000.0,1300.0,-1.0,108.0,1089.0,361.0,1615.0,27201.0,42.0,75.0,-1.0,5152.0,436.0,-1.0,41.0,281615.0,28000.0,129.0,2900.0
1997,300000.0,1200.0,-1.0,108.0,1329.0,380.0,1677.0,28812.0,48.0,75.0,-1.0,5168.0,455.0,-1.0,42.0,301677.0,27000.0,136.0,3032.0
1998,356000.0,1300.0,-1.0,108.0,1498.0,346.0,1717.0,30031.0,50.0,76.0,3200.0,5524.0,421.0,-1.0,43.0,357717.0,27000.0,143.0,3239.0
1999,400000.0,1430.0,-1.0,108.0,2085.0,350.0,2380.0,30821.0,45.0,76.0,3500.0,5820.0,426.0,-1.0,47.0,402380.0,25000.0,150.0,2648.0
2000,469000.0,1520.0,2650.0,108.0,2300.0,384.0,2463.0,31193.0,28.0,77.0,3900.0,6230.0,461.0,-1.0,46.0,471463.0,25000.0,157.0,2227.0
2001,480000.0,1660.0,2700.0,108.0,2300.0,270.0,2562.0,30489.0,47.0,77.0,5200.0,6900.0,347.0,-1.0,48.0,482562.0,25000.0,165.0,2675.0
2002,537000.0,4400.0,2800.0,108.0,2252.0,282.0,3003.0,29070.0,29.0,78.0,5400.0,6958.0,360.0,-1.0,49.0,540003.0,24400.0,174.0,2891.0
2003,590000.0,4857.0,2900.0,108.0,2654.0,270.0,3108.0,27943.0,47.0,78.0,5706.0,7472.0,348.0,25.0,51.0,593108.0,24400.0,181.0,2840.0
2004,600000.0,4468.0,2700.0,108.0,2618.0,230.0,3107.0,27159.0,35.0,79.0,5782.0,8112.0,309.0,28.0,63.0,603107.0,23800.0,189.0,2820.0
2005,619000.0,5118.0,3100.0,108.0,2885.0,195.0,3321.0,26831.0,43.0,80.0,5932.0,8309.0,275.0,25.0,66.0,622321.0,23700.0,196.0,2720.0
2006,636000.0,2500.0,3125.0,108.0,3402.0,200.0,3545.0,28436.0,35.0,80.0,4956.0,8534.0,280.0,25.0,71.0,639545.0,23500.0,204.0,2837.0
2007,640000.0,3800.0,3200.0,107.0,3518.0,180.0,3676.0,28839.0,45.0,82.0,6672.0,8065.0,262.0,32.0,73.0,643676.0,23200.0,212.0,3000.0
2008,680000.0,4500.0,3000.0,107.0,4770.0,192.0,3869.0,30669.0,38.0,85.0,6917.0,8797.0,277.0,32.0,76.0,683869.0,23000.0,220.0,2693.0
2009,700000.0,3800.0,3400.0,108.0,4768.0,180.0,3930.0,30347.0,38.0,84.0,7178.0,8638.0,264.0,41.0,91.0,703930.0,22700.0,228.0,2640.0
2010,729903.0,2266.0,3500.0,107.0,5827.0,173.0,4963.0,31808.0,38.0,85.0,7704.0,8755.0,258.0,46.0,123.0,734866.0,22400.0,237.0,2583.0
2011,816232.0,1718.0,3700.0,107.0,7243.0,151.0,5052.0,31339.0,18.0,86.0,7910.0,8349.0,237.0,50.0,220.0,821284.0,22100.0,246.0,2601.0
2012,868999.0,1378.0,3830.0,112.0,9649.0,154.0,5137.0,30254.0,18.0,90.0,8041.0,8170.0,244.0,57.0,352.0,874136.0,21900.0,260.0,2498.0
2013,893467.0,1341.0,3916.0,107.0,11034.0,166.0,5086.0,29153.0,18.0,88.0,8600.0,8550.0,254.0,64.0,283.0,898553.0,21600.0,270.0,2504.0
2014,931907.0,1374.0,4218.0,102.0,13370.0,164.0,5263.0,27988.0,18.0,86.0,8712.0,8323.0,250.0,70.0,288.0,937170.0,21300.0,275.0,2531.0
