,"China, mainland",Israel,Uzbekistan,Chile,Spain,New Zealand,"China, Taiwan Province of",Republic of Korea,Mexico,Australia,Azerbaijan,Brazil,Australia & New Zealand,Slovenia,Nepal,China,Japan,Iran (Islamic Republic of),Italy
1961,65132.0,-1.0,-1.0,-1.0,-1.0,-1.0,97826.0,56569.0,-1.0,-1.0,-1.0,61192.0,-1.0,-1.0,-1.0,65230.0,107221.0,40000.0,153783.0
1962,55000.0,-1.0,-1.0,-1.0,-1.0,-1.0,91696.0,64368.0,-1.0,-1.0,-1.0,61558.0,-1.0,-1.0,-1.0,55105.0,86461.0,40000.0,158326.0
1963,59375.0,-1.0,-1.0,-1.0,-1.0,-1.0,72160.0,48956.0,-1.0,-1.0,-1.0,60144.0,-1.0,-1.0,-1.0,59415.0,102267.0,40000.0,167111.0
1964,51667.0,-1.0,-1.0,-1.0,-1.0,-1.0,90000.0,59436.0,-1.0,-1.0,-1.0,61421.0,-1.0,-1.0,-1.0,51777.0,122427.0,40000.0,175000.0
1965,51500.0,-1.0,-1.0,-1.0,-1.0,-1.0,83208.0,88350.0,-1.0,-1.0,-1.0,62757.0,-1.0,-1.0,-1.0,51576.0,90444.0,40000.0,175610.0
1966,38077.0,-1.0,-1.0,-1.0,-1.0,-1.0,87542.0,66611.0,-1.0,-1.0,-1.0,59604.0,-1.0,-1.0,-1.0,38168.0,108909.0,40000.0,178500.0
1967,35185.0,-1.0,-1.0,-1.0,-1.0,-1.0,88120.0,62623.0,-1.0,-1.0,-1.0,62990.0,-1.0,-1.0,-1.0,35283.0,131354.0,40000.0,188718.0
1968,30323.0,-1.0,-1.0,-1.0,-1.0,-1.0,86407.0,76911.0,-1.0,-1.0,-1.0,61956.0,-1.0,-1.0,-1.0,30420.0,119074.0,50000.0,192895.0
1969,34500.0,-1.0,-1.0,-1.0,-1.0,-1.0,86080.0,68544.0,-1.0,-1.0,-1.0,60980.0,-1.0,-1.0,-1.0,34607.0,120352.0,50000.0,205556.0
1970,32500.0,-1.0,-1.0,-1.0,-1.0,-1.0,86704.0,58378.0,-1.0,-1.0,-1.0,62889.0,-1.0,-1.0,-1.0,32604.0,95460.0,50000.0,156842.0
1971,29448.0,-1.0,-1.0,-1.0,-1.0,-1.0,89296.0,75311.0,-1.0,-1.0,-1.0,58265.0,-1.0,-1.0,-1.0,29560.0,85650.0,60000.0,174118.0
1972,35556.0,-1.0,-1.0,-1.0,-1.0,-1.0,81345.0,77247.0,-1.0,-1.0,-1.0,57245.0,-1.0,-1.0,-1.0,35654.0,88957.0,60000.0,181471.0
1973,43496.0,-1.0,-1.0,-1.0,-1.0,-1.0,83833.0,67938.0,-1.0,-1.0,-1.0,56157.0,-1.0,-1.0,-1.0,43594.0,103952.0,60000.0,163889.0
1974,34710.0,-1.0,-1.0,-1.0,-1.0,-1.0,80735.0,74433.0,-1.0,-1.0,-1.0,58837.0,-1.0,-1.0,-1.0,34810.0,86728.0,60000.0,176389.0
1975,36414.0,-1.0,-1.0,-1.0,-1.0,-1.0,74816.0,56096.0,-1.0,-1.0,-1.0,62275.0,-1.0,-1.0,-1.0,36514.0,86113.0,85714.0,171429.0
1976,34194.0,85000.0,-1.0,-1.0,-1.0,-1.0,86955.0,34911.0,-1.0,-1.0,-1.0,63229.0,-1.0,-1.0,-1.0,34343.0,85747.0,85714.0,173400.0
1977,33871.0,85714.0,-1.0,-1.0,-1.0,-1.0,88440.0,51917.0,-1.0,-1.0,-1.0,66132.0,-1.0,-1.0,-1.0,34046.0,92416.0,85714.0,138000.0
1978,40714.0,76000.0,-1.0,-1.0,-1.0,-1.0,88552.0,53125.0,-1.0,-1.0,-1.0,90918.0,-1.0,-1.0,-1.0,40886.0,97619.0,85714.0,131364.0
1979,50650.0,83333.0,-1.0,-1.0,-1.0,-1.0,94730.0,58022.0,-1.0,-1.0,-1.0,101546.0,-1.0,-1.0,-1.0,50894.0,90068.0,92857.0,177273.0
