,"China, Taiwan Province of",Israel,Japan,Chile,Slovenia,Iran (Islamic Republic of),Australia & New Zealand,Australia,Brazil,Uzbekistan,"China, mainland",Mexico,Azerbaijan,Nepal,Republic of Korea,Spain,Italy,China,New Zealand
1961,97826.0,,107221.0,,,40000.0,,,61192.0,,65132.0,,,,56569.0,,153783.0,65230.0,
1962,91696.0,,86461.0,,,40000.0,,,61558.0,,55000.0,,,,64368.0,,158326.0,55105.0,
1963,72160.0,,102267.0,,,40000.0,,,60144.0,,59375.0,,,,48956.0,,167111.0,59415.0,
1964,90000.0,,122427.0,,,40000.0,,,61421.0,,51667.0,,,,59436.0,,175000.0,51777.0,
1965,83208.0,,90444.0,,,40000.0,,,62757.0,,51500.0,,,,88350.0,,175610.0,51576.0,
1966,87542.0,,108909.0,,,40000.0,,,59604.0,,38077.0,,,,66611.0,,178500.0,38168.0,
1967,88120.0,,131354.0,,,40000.0,,,62990.0,,35185.0,,,,62623.0,,188718.0,35283.0,
1968,86407.0,,119074.0,,,50000.0,,,61956.0,,30323.0,,,,76911.0,,192895.0,30420.0,
1969,86080.0,,120352.0,,,50000.0,,,60980.0,,34500.0,,,,68544.0,,205556.0,34607.0,
1970,86704.0,,95460.0,,,50000.0,,,62889.0,,32500.0,,,,58378.0,,156842.0,32604.0,
1971,89296.0,,85650.0,,,60000.0,,,58265.0,,29448.0,,,,75311.0,,174118.0,29560.0,
1972,81345.0,,88957.0,,,60000.0,,,57245.0,,35556.0,,,,77247.0,,181471.0,35654.0,
1973,83833.0,,103952.0,,,60000.0,,,56157.0,,43496.0,,,,67938.0,,163889.0,43594.0,
1974,80735.0,,86728.0,,,60000.0,,,58837.0,,34710.0,,,,74433.0,,176389.0,34810.0,
1975,74816.0,,86113.0,,,85714.0,,,62275.0,,36414.0,,,,56096.0,,171429.0,36514.0,
1976,86955.0,85000.0,85747.0,,,85714.0,,,63229.0,,34194.0,,,,34911.0,,173400.0,34343.0,
1977,88440.0,85714.0,92416.0,,,85714.0,,,66132.0,,33871.0,,,,51917.0,,138000.0,34046.0,
1978,88552.0,76000.0,97619.0,,,85714.0,,,90918.0,,40714.0,,,,53125.0,,131364.0,40886.0,
1979,94730.0,83333.0,90068.0,,,92857.0,,,101546.0,,50650.0,,,,58022.0,,177273.0,50894.0,
1980,91199.0,85000.0,90204.0,,,92857.0,,,98637.0,,50945.0,,,,48311.0,,185152.0,51194.0,
1981,94605.0,84848.0,88305.0,,,90000.0,,,108822.0,,44000.0,65000.0,,,51508.0,,184706.0,44338.0,
1982,97511.0,85263.0,112736.0,,,180000.0,,,109766.0,,34429.0,60870.0,,,74273.0,,192353.0,34733.0,
1983,99873.0,105833.0,104343.0,,,107143.0,82000.0,82000.0,127385.0,,36867.0,60000.0,,,110944.0,,241575.0,37195.0,
1984,96701.0,115833.0,100135.0,,,76923.0,83333.0,83333.0,119894.0,,33224.0,65217.0,,,74023.0,,232021.0,33564.0,
1985,97811.0,67500.0,97215.0,,,50000.0,72000.0,72000.0,118250.0,,35789.0,50000.0,,,98629.0,,169635.0,36153.0,
1986,91603.0,99167.0,98412.0,,,42727.0,19731.0,70333.0,115017.0,,37500.0,77692.0,,,91478.0,,215723.0,37812.0,14754.0
1987,95020.0,112941.0,98373.0,,,50000.0,19357.0,77667.0,119554.0,,38140.0,62813.0,,,76728.0,,221370.0,38466.0,14872.0
1988,107863.0,77778.0,98157.0,,,50000.0,18684.0,76667.0,120255.0,,36283.0,71818.0,,,89316.0,,218685.0,36795.0,14739.0
1989,105901.0,123077.0,90881.0,,,100000.0,17796.0,77333.0,118602.0,,34774.0,61538.0,,,91683.0,,230395.0,35359.0,13913.0
1990,103530.0,135433.0,96847.0,,,100543.0,24547.0,78333.0,117960.0,,38686.0,59783.0,,74000.0,70509.0,,225106.0,39280.0,19918.0
1991,99104.0,173820.0,84915.0,,,79394.0,36875.0,80000.0,117423.0,,44554.0,25870.0,,75472.0,72779.0,109812.0,205144.0,45119.0,31700.0
1992,101217.0,202209.0,106471.0,,,100000.0,36338.0,84630.0,115146.0,,40018.0,63913.0,,74595.0,88211.0,114953.0,221304.0,40503.0,29325.0
1993,106989.0,185647.0,84580.0,,,92337.0,46170.0,91429.0,110874.0,,38873.0,76364.0,,72414.0,58862.0,120095.0,191345.0,39382.0,38250.0
1994,95328.0,172500.0,107163.0,,,92118.0,43812.0,86721.0,120317.0,,35336.0,71364.0,,71538.0,74631.0,125236.0,170372.0,35740.0,36408.0
1995,104847.0,154873.0,90750.0,,,91899.0,44422.0,85973.0,107253.0,,36170.0,68500.0,,73529.0,77806.0,130377.0,212995.0,36570.0,37383.0
1996,97901.0,140000.0,85893.0,,,91678.0,42431.0,86667.0,101968.0,,36615.0,87857.0,,71951.0,77485.0,135519.0,233793.0,36966.0,33241.0
1997,113405.0,140000.0,111741.0,,,91457.0,44266.0,85005.0,101002.0,,35847.0,90625.0,,83333.0,83149.0,140660.0,197226.0,36278.0,36255.0
1998,110437.0,133846.0,96333.0,,,91235.0,62270.0,84757.0,109383.0,,36914.0,88000.0,149688.0,79230.0,86801.0,145806.0,191418.0,37267.0,57351.0
1999,108210.0,97902.0,114400.0,,,91012.0,71776.0,84764.0,110131.0,,37033.0,88444.0,172286.0,77660.0,88850.0,141320.0,153961.0,37454.0,68952.0
2000,97000.0,93329.0,111520.0,,,90787.0,85268.0,84847.0,101605.0,60377.0,33943.0,88214.0,180256.0,78261.0,92279.0,143478.0,190615.0,34272.0,85352.0
2001,102143.0,89759.0,112720.0,,,90562.0,93768.0,84951.0,152174.0,59259.0,33014.0,85532.0,165385.0,81250.0,88667.0,150000.0,180336.0,33381.0,96296.0
2002,115708.0,81136.0,110369.0,,,90335.0,99028.0,85203.0,203168.0,58929.0,32413.0,66207.0,194074.0,83673.0,96712.0,160080.0,187375.0,32876.0,102837.0
2003,123060.0,82560.0,108607.0,,220000.0,90193.0,105361.0,85516.0,211631.0,58621.0,30426.0,73830.0,201365.0,81373.0,89184.0,170309.0,165493.0,30911.0,111111.0
2004,116437.0,86623.0,97689.0,,187180.0,90134.0,118989.0,85609.0,200059.0,70370.0,33304.0,78571.0,83170.0,67143.0,110109.0,174943.0,202518.0,33732.0,130435.0
2005,81635.0,93781.0,120633.0,,199600.0,90075.0,134089.0,85646.0,198398.0,67742.0,35300.0,85814.0,183690.0,67121.0,135598.0,180069.0,188721.0,35547.0,153846.0
2006,74457.0,98424.0,99021.0,,159200.0,90014.0,143976.0,87500.0,197181.0,87082.0,36483.0,82000.0,251180.0,67042.0,124076.0,185185.0,187170.0,36694.0,166566.0
2007,89668.0,98282.0,105517.0,,168125.0,89952.0,131007.0,87195.0,198203.0,87500.0,40221.0,98222.0,192457.0,66986.0,137180.0,190449.0,175000.0,40503.0,150966.0
2008,87617.0,100778.0,115913.0,,137813.0,89888.0,130888.0,84706.0,196996.0,103333.0,39867.0,95263.0,191093.0,66974.0,140377.0,200000.0,191608.0,40138.0,151378.0
2009,94229.0,84976.0,113656.0,,138780.0,89824.0,128633.0,83034.0,198605.0,117647.0,40488.0,108421.0,188840.0,57912.0,137313.0,210151.0,195428.0,40788.0,150000.0
2010,117673.0,124450.0,84554.0,,175000.0,89758.0,128245.0,81694.0,190994.0,108571.0,39397.0,95526.0,184564.0,56098.0,122809.0,214999.0,186469.0,39926.0,151160.0
2011,178345.0,170374.0,93891.0,29907.0,162600.0,89691.0,126203.0,80385.0,185202.0,144324.0,39048.0,123889.0,184683.0,73136.0,124707.0,220075.0,193568.0,39905.0,152318.0
2012,159420.0,227083.0,115890.0,62500.0,119474.0,86538.0,123361.0,73333.0,193685.0,146221.0,39328.0,135556.0,174210.0,79716.0,132561.0,220023.0,204823.0,40034.0,152597.0
2013,125234.0,266160.0,99398.0,62617.0,108750.0,88818.0,129299.0,79616.0,202537.0,191522.0,39608.0,99444.0,166402.0,68410.0,120739.0,220047.0,167166.0,40092.0,155704.0
2014,138256.0,266317.0,112958.0,,114429.0,89266.0,132371.0,82721.0,219020.0,156470.0,40034.0,97222.0,161163.0,66674.0,153052.0,183246.0,154678.0,40586.0,158537.0
