,Jamaica,Puerto Rico,Philippines,Panama,Trinidad and Tobago,Dominican Republic,Pakistan,Burundi,Grenada,Nepal,Kenya,Haiti,Democratic Republic of the Congo,Bangladesh,United Republic of Tanzania,Uganda,Comoros,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),India,Myanmar,Malawi,Bahamas
1961,1370.0,6202.0,-1.0,2000.0,1900.0,13000.0,490.0,2100.0,650.0,9600.0,-1.0,5900.0,5000.0,5666.0,16000.0,56655.0,-1.0,-1.0,3755.0,2433000.0,83765.0,80000.0,290.0
1962,1400.0,6288.0,-1.0,2000.0,2000.0,13000.0,1820.0,2100.0,650.0,10000.0,-1.0,5900.0,5000.0,4047.0,16000.0,59164.0,-1.0,-1.0,6539.0,2447000.0,57776.0,82000.0,320.0
1963,1470.0,6288.0,-1.0,2000.0,2500.0,13000.0,2670.0,2100.0,650.0,10400.0,-1.0,6000.0,5000.0,3642.0,39000.0,69443.0,-1.0,-1.0,9323.0,2452000.0,54545.0,84000.0,340.0
1964,1365.0,6524.0,-1.0,2000.0,2700.0,13000.0,2950.0,2100.0,650.0,10800.0,-1.0,6000.0,5000.0,3642.0,10000.0,89920.0,-1.0,-1.0,10870.0,2517000.0,73015.0,92000.0,350.0
1965,1160.0,5207.0,-1.0,2000.0,2700.0,13000.0,2230.0,2100.0,650.0,11200.0,-1.0,6000.0,5000.0,3642.0,13000.0,65000.0,-1.0,-1.0,11227.0,2578000.0,81738.0,104000.0,380.0
1966,2130.0,5384.0,-1.0,2000.0,2300.0,13000.0,2590.0,2100.0,650.0,11600.0,-1.0,6000.0,5000.0,3642.0,18000.0,57060.0,-1.0,-1.0,11551.0,2556000.0,91948.0,92000.0,400.0
1967,2898.0,4716.0,-1.0,2000.0,2900.0,13000.0,1940.0,2100.0,650.0,12000.0,-1.0,6200.0,5200.0,3642.0,18000.0,70000.0,-1.0,-1.0,12188.0,2521000.0,76075.0,95000.0,405.0
1968,4028.0,3812.0,-1.0,2000.0,2300.0,13000.0,2470.0,2100.0,650.0,12600.0,-1.0,6200.0,5200.0,3642.0,22200.0,89000.0,-1.0,-1.0,12663.0,2664700.0,65819.0,98000.0,410.0
1969,3218.0,3930.0,-1.0,2000.0,2000.0,14000.0,1376.0,2100.0,620.0,13000.0,-1.0,6300.0,5200.0,3731.0,21900.0,100000.0,-1.0,-1.0,13805.0,2528900.0,65357.0,101000.0,415.0
1970,2971.0,3000.0,-1.0,1963.0,1600.0,15000.0,1740.0,2100.0,600.0,13200.0,-1.0,6300.0,5200.0,3327.0,34000.0,80000.0,-1.0,-1.0,14186.0,2668700.0,58275.0,104000.0,420.0
1971,3155.0,3200.0,-1.0,2000.0,2400.0,16000.0,1860.0,2100.0,450.0,13500.0,-1.0,6400.0,5200.0,3337.0,30000.0,91000.0,-1.0,-1.0,11188.0,2655000.0,62399.0,107000.0,427.0
1972,4179.0,2712.0,-1.0,2000.0,2200.0,17000.0,1250.0,2100.0,540.0,13800.0,-1.0,6400.0,5700.0,2916.0,20000.0,121100.0,-1.0,-1.0,9796.0,2345500.0,73580.0,109000.0,436.0
1973,2934.0,2555.0,-1.0,2000.0,1465.0,17000.0,2954.0,2100.0,560.0,14000.0,-1.0,6400.0,5700.0,2880.0,20000.0,78200.0,-1.0,-1.0,8776.0,2424100.0,65401.0,112000.0,441.0
1974,2283.0,4716.0,-1.0,2000.0,1483.0,17000.0,1295.0,2100.0,560.0,14200.0,-1.0,6500.0,5700.0,2947.0,20000.0,115600.0,-1.0,-1.0,7715.0,2646000.0,72439.0,113000.0,449.0
1975,2800.0,6681.0,-1.0,2000.0,1500.0,18000.0,1457.0,2100.0,580.0,14500.0,-1.0,6500.0,6000.0,5000.0,25000.0,63800.0,-1.0,-1.0,7504.0,2528900.0,75384.0,110000.0,453.0
1976,2027.0,5502.0,-1.0,2000.0,1500.0,9000.0,1012.0,2100.0,610.0,14800.0,-1.0,6500.0,6000.0,8000.0,36000.0,86617.0,-1.0,-1.0,7771.0,2671000.0,63969.0,115000.0,445.0
1977,1487.0,5800.0,-1.0,2000.0,1650.0,9748.0,1020.0,2100.0,660.0,15000.0,-1.0,6500.0,6000.0,10000.0,33846.0,105821.0,-1.0,-1.0,6914.0,2566000.0,42895.0,116000.0,448.0
1978,2473.0,5896.0,-1.0,2000.0,2000.0,9182.0,1108.0,2300.0,610.0,15500.0,-1.0,7948.0,6000.0,15000.0,32308.0,105300.0,-1.0,-1.0,6865.0,2626200.0,33028.0,117000.0,373.0
1979,2554.0,6289.0,-1.0,2000.0,1950.0,13333.0,2790.0,2300.0,661.0,16000.0,-1.0,8000.0,6000.0,9600.0,30575.0,58000.0,-1.0,-1.0,6858.0,2634900.0,48928.0,115000.0,400.0
1980,2462.0,6485.0,-1.0,2100.0,1900.0,14915.0,2800.0,2350.0,500.0,16400.0,-1.0,8500.0,6000.0,9300.0,35279.0,50000.0,-1.0,-1.0,6624.0,2731000.0,31276.0,115000.0,420.0
1981,2673.0,5385.0,-1.0,2300.0,1800.0,20901.0,2800.0,2200.0,404.0,17000.0,-1.0,8500.0,6000.0,9300.0,39982.0,55000.0,-1.0,-1.0,6688.0,2842200.0,61070.0,115000.0,440.0
1982,2312.0,4900.0,-1.0,2700.0,1700.0,13700.0,2850.0,2500.0,410.0,18000.0,-1.0,8500.0,6000.0,9600.0,44685.0,60000.0,-1.0,-1.0,6981.0,3004000.0,70649.0,116000.0,460.0
1983,2273.0,5300.0,-1.0,2600.0,1500.0,15085.0,2900.0,2400.0,410.0,19000.0,-1.0,8500.0,6000.0,7200.0,49388.0,61900.0,-1.0,-1.0,7846.0,2926100.0,56781.0,117000.0,480.0
1984,2240.0,5198.0,-1.0,2650.0,1200.0,26952.0,2900.0,1800.0,410.0,20000.0,-1.0,8500.0,6000.0,7200.0,54091.0,72000.0,-1.0,-1.0,7776.0,3218000.0,55776.0,113000.0,500.0
1985,2338.0,5000.0,-1.0,2700.0,1400.0,19240.0,561.0,2300.0,400.0,14260.0,-1.0,8500.0,6500.0,7100.0,58794.0,60000.0,-1.0,-1.0,8729.0,3154900.0,78021.0,113000.0,500.0
1986,2553.0,3500.0,-1.0,2800.0,900.0,19048.0,824.0,2300.0,420.0,16050.0,-1.0,8500.0,6500.0,5906.0,63497.0,66613.0,-1.0,-1.0,8853.0,3183900.0,77344.0,115000.0,500.0
1987,1971.0,3537.0,-1.0,2900.0,1000.0,11842.0,979.0,2300.0,430.0,17470.0,-1.0,8500.0,6500.0,5634.0,68200.0,60000.0,-1.0,-1.0,8932.0,3147500.0,53612.0,115000.0,510.0
1988,2229.0,3537.0,-1.0,3000.0,1400.0,29559.0,975.0,2300.0,440.0,18460.0,-1.0,8500.0,6700.0,5561.0,72904.0,64000.0,-1.0,-1.0,9120.0,3333100.0,57802.0,115000.0,510.0
1989,1092.0,3537.0,-1.0,3000.0,1100.0,37377.0,800.0,2300.0,450.0,17920.0,154000.0,8500.0,6700.0,5762.0,77607.0,68000.0,-1.0,-1.0,9791.0,3488700.0,62025.0,108000.0,500.0
1990,1581.0,3537.0,-1.0,3899.0,976.0,32134.0,300.0,2222.0,460.0,18870.0,152444.0,8300.0,7416.0,5406.0,82310.0,62000.0,380.0,-1.0,10300.0,3599700.0,57064.0,110000.0,443.0
1991,1775.0,3537.0,-1.0,4000.0,1050.0,31993.0,0.0,2111.0,470.0,17930.0,156000.0,8100.0,7000.0,5376.0,87013.0,60000.0,377.0,-1.0,10300.0,3593000.0,68792.0,100000.0,440.0
1992,1956.0,2476.0,-1.0,4096.0,1000.0,36396.0,0.0,2543.0,470.0,17520.0,171000.0,7500.0,7500.0,5803.0,91716.0,62000.0,379.0,-1.0,10000.0,3627000.0,103906.0,95000.0,360.0
1993,1533.0,2162.0,-1.0,3400.0,1100.0,36016.0,0.0,2445.0,480.0,22800.0,150540.0,5139.0,7900.0,5781.0,96419.0,64000.0,390.0,-1.0,10800.0,3576000.0,206298.0,93000.0,295.0
1994,1449.0,2358.0,-1.0,3600.0,1200.0,25763.0,0.0,2100.0,485.0,22561.0,131400.0,3226.0,8300.0,6000.0,101122.0,67000.0,396.0,-1.0,10261.0,3532000.0,224096.0,90000.0,193.0
1995,1503.0,400.0,-1.0,3800.0,1900.0,30550.0,0.0,2500.0,490.0,26066.0,125217.0,2330.0,8800.0,6000.0,105826.0,70000.0,400.0,-1.0,8132.0,3314000.0,233800.0,97000.0,195.0
1996,1629.0,320.0,-1.0,4500.0,1800.0,34784.0,0.0,2300.0,490.0,25530.0,156492.0,4016.0,9338.0,6000.0,110529.0,71000.0,407.0,-1.0,6631.0,3447000.0,217700.0,105501.0,214.0
1997,1638.0,520.0,-1.0,4800.0,1600.0,16367.0,0.0,2400.0,500.0,25460.0,126452.0,4442.0,9600.0,6100.0,115232.0,72000.0,419.0,-1.0,5819.0,3513500.0,242400.0,115000.0,206.0
1998,1355.0,742.0,-1.0,4900.0,1000.0,23951.0,0.0,2300.0,500.0,26220.0,151697.0,942.0,9300.0,6100.0,119935.0,74000.0,417.0,-1.0,2319.0,3358900.0,242800.0,123259.0,202.0
1999,1300.0,130.0,-1.0,4700.0,1600.0,25000.0,5.0,2000.0,510.0,22692.0,145311.0,951.0,9400.0,5260.0,124638.0,76000.0,416.0,-1.0,2359.0,3439500.0,257000.0,126240.0,188.0
2000,1228.0,75.0,-1.0,4600.0,1000.0,14000.0,4.0,1800.0,510.0,22711.0,171842.0,974.0,9500.0,5260.0,129341.0,78000.0,414.0,-1.0,2494.0,3427000.0,306000.0,137057.0,170.0
2001,1165.0,120.0,-1.0,4250.0,1600.0,21000.0,4.0,2300.0,510.0,24035.0,164001.0,6750.0,9843.0,4047.0,134044.0,80000.0,420.0,-1.0,1948.0,3632300.0,358000.0,135608.0,160.0
2002,1035.0,290.0,-1.0,4300.0,2500.0,28000.0,4.0,2200.0,510.0,28000.0,164453.0,22950.0,9600.0,4047.0,138748.0,82000.0,438.0,-1.0,2512.0,3327700.0,483000.0,139652.0,170.0
2003,926.0,309.0,-1.0,4251.0,1500.0,28404.0,4.0,2350.0,520.0,26000.0,183612.0,36500.0,10000.0,4047.0,143451.0,84000.0,440.0,-1.0,3240.0,3358900.0,513150.0,147659.0,175.0
2004,899.0,206.0,796.0,4350.0,1072.0,22031.0,4.0,2400.0,520.0,22459.0,195307.0,47900.0,9622.0,3237.0,142100.0,84000.0,449.0,-1.0,3940.0,3515600.0,524100.0,138585.0,180.0
2005,563.0,272.0,799.0,4288.0,900.0,17895.0,4.0,2420.0,520.0,19337.0,180240.0,57700.0,9708.0,2110.0,162400.0,85000.0,452.0,-1.0,2270.0,3518500.0,552400.0,155990.0,181.0
2006,785.0,280.0,813.0,4334.0,1000.0,26404.0,0.0,2490.0,520.0,20703.0,196630.0,66200.0,9794.0,1748.0,162400.0,86000.0,450.0,-1.0,3344.0,3580700.0,533800.0,150173.0,190.0
2007,725.0,285.0,825.0,4347.0,376.0,20445.0,4.0,2800.0,550.0,20988.0,154554.0,73600.0,9880.0,1503.0,151605.0,87000.0,455.0,-1.0,2506.0,3561600.0,566600.0,161508.0,200.0
2008,565.0,205.0,730.0,4830.0,800.0,21996.0,5.0,3000.0,551.0,21363.0,195959.0,80150.0,9966.0,1213.0,125000.0,88000.0,457.0,-1.0,1815.0,3728500.0,588800.0,167787.0,167.0
2009,746.0,226.0,1061.0,4273.0,744.0,24782.0,6.0,3100.0,590.0,20883.0,118167.0,86000.0,10052.0,908.0,113910.0,90000.0,461.0,-1.0,2000.0,3380000.0,611685.0,175734.0,148.0
2010,723.0,294.0,913.0,4186.0,1280.0,23461.0,6.0,3666.0,603.0,21296.0,158746.0,91200.0,10139.0,811.0,187010.0,98200.0,466.0,28.0,2398.0,3470000.0,616192.0,190437.0,128.0
2011,830.0,339.0,914.0,3769.0,953.0,23217.0,6.0,4062.0,601.0,17469.0,138708.0,95900.0,9676.0,732.0,288161.0,101540.0,473.0,25.0,2709.0,4420000.0,643122.0,196552.0,130.0
2012,796.0,399.0,514.0,4026.0,1002.0,25213.0,6.0,5323.0,580.0,17471.0,276136.0,105150.0,9228.0,502.0,257292.0,33000.0,480.0,25.0,1992.0,4040000.0,605600.0,203400.0,131.0
2013,832.0,481.0,532.0,4138.0,915.0,24103.0,6.0,4786.0,550.0,17459.0,256396.0,108634.0,9542.0,405.0,287182.0,33000.0,500.0,33.0,633.0,4650000.0,631200.0,217068.0,135.0
2014,760.0,567.0,524.0,4096.0,504.0,23088.0,6.0,8396.0,507.0,17006.0,276124.0,110559.0,9677.0,400.0,250509.0,33000.0,507.0,27.0,1303.0,5602000.0,611600.0,81753.0,136.0
