,India,Burundi,Myanmar,Grenada,Comoros,Dominican Republic,Philippines,Panama,Puerto Rico,Nepal,Kenya,Pakistan,Jamaica,United Republic of Tanzania,Venezuela (Bolivarian Republic of),Trinidad and Tobago,Bahamas,Saint Vincent and the Grenadines,Bangladesh,Democratic Republic of the Congo,Malawi,Haiti,Uganda
1961,8492.0,10952.0,3802.0,11538.0,-1.0,15923.0,-1.0,7000.0,8044.0,6250.0,-1.0,4082.0,7285.0,6250.0,5297.0,7895.0,11034.0,-1.0,7173.0,6200.0,6500.0,4746.0,3001.0
1962,5586.0,10952.0,4221.0,11538.0,-1.0,15577.0,-1.0,7000.0,8368.0,6000.0,-1.0,5495.0,7393.0,6250.0,5284.0,8000.0,10938.0,-1.0,7532.0,6200.0,6585.0,4831.0,3042.0
1963,6452.0,10952.0,4330.0,11692.0,-1.0,15962.0,-1.0,7000.0,7934.0,5769.0,-1.0,4869.0,7415.0,5986.0,4864.0,8528.0,11176.0,-1.0,8369.0,6200.0,6667.0,4833.0,3024.0
1964,5483.0,10952.0,5007.0,11692.0,-1.0,15988.0,-1.0,6500.0,8066.0,5556.0,-1.0,4068.0,7399.0,4960.0,4553.0,8400.0,11429.0,-1.0,8369.0,6200.0,6739.0,4917.0,3003.0
1965,7331.0,10952.0,3285.0,11846.0,-1.0,16154.0,-1.0,6500.0,8083.0,5804.0,-1.0,4484.0,7500.0,5002.0,4810.0,8904.0,11316.0,-1.0,8369.0,6200.0,6731.0,5000.0,3077.0
1966,6780.0,10952.0,3234.0,12000.0,-1.0,16269.0,-1.0,6500.0,9266.0,5603.0,-1.0,5490.0,7512.0,5117.0,5100.0,9861.0,11500.0,-1.0,8369.0,6200.0,6739.0,5083.0,1781.0
1967,4481.0,10952.0,2247.0,11538.0,-1.0,16462.0,-1.0,6500.0,9042.0,6250.0,-1.0,5237.0,7798.0,5182.0,5220.0,9855.0,11852.0,-1.0,8369.0,6346.0,6737.0,5000.0,3857.0
1968,6534.0,10952.0,3202.0,11538.0,-1.0,16538.0,-1.0,6500.0,11542.0,5952.0,-1.0,5348.0,6199.0,5831.0,5461.0,10057.0,12195.0,-1.0,8369.0,6346.0,6735.0,5081.0,3034.0
1969,7180.0,10952.0,4342.0,11290.0,-1.0,16429.0,-1.0,6000.0,10850.0,6154.0,-1.0,2951.0,6333.0,5602.0,5340.0,9525.0,12530.0,-1.0,8175.0,6346.0,6733.0,5079.0,5032.0
1970,6903.0,10952.0,4027.0,10833.0,-1.0,16667.0,-1.0,7132.0,10583.0,6061.0,-1.0,5839.0,6718.0,4943.0,5371.0,11338.0,12857.0,-1.0,8046.0,6346.0,6731.0,5159.0,5000.0
1971,7093.0,10952.0,4133.0,11556.0,-1.0,16250.0,-1.0,7000.0,10631.0,6296.0,-1.0,5462.0,5981.0,4978.0,5284.0,14258.0,13115.0,-1.0,8043.0,6346.0,6729.0,5156.0,4396.0
1972,7175.0,10952.0,4087.0,12037.0,-1.0,15882.0,-1.0,7500.0,11541.0,6159.0,-1.0,6112.0,6947.0,4954.0,4977.0,16341.0,13188.0,-1.0,7414.0,6140.0,6697.0,5234.0,3980.0
1973,7952.0,10952.0,3484.0,12018.0,-1.0,15892.0,-1.0,7335.0,11538.0,6429.0,-1.0,5846.0,6012.0,5500.0,4501.0,16812.0,13492.0,-1.0,7233.0,6140.0,6696.0,5469.0,4003.0
1974,5321.0,10476.0,4343.0,12143.0,-1.0,16688.0,-1.0,7410.0,7309.0,6338.0,-1.0,6278.0,7534.0,7000.0,4730.0,16811.0,13586.0,-1.0,7520.0,6140.0,6726.0,5538.0,3971.0
1975,7253.0,10952.0,3752.0,12069.0,-1.0,16363.0,-1.0,7485.0,6450.0,6207.0,-1.0,5580.0,7654.0,6400.0,4560.0,16933.0,13797.0,-1.0,7200.0,6333.0,6727.0,5692.0,3997.0
