,Fiji,Australia,Panama,Puerto Rico,French Guiana,Thailand,Belize,Ethiopia,Saint Kitts and Nevis,Guyana,Lao People's Democratic Republic,Papua New Guinea,Suriname,Brazil,Mozambique,Australia & New Zealand,El Salvador,Saint Lucia,Argentina,South Sudan,Timor-Leste,Central African Republic,India,Jamaica,Ecuador,Swaziland,Indonesia,Seychelles,Dominica,Angola,Ethiopia PDR,Melanesia,Togo,Malaysia,Mexico,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Micronesia,Congo,Martinique,Dominican Republic,Peru,Ghana,"China, mainland",French Polynesia,Colombia,Guinea-Bissau,Rwanda,Portugal,Guatemala,Kenya,Cuba,Pacific Islands Trust Territory,United States of America,South Africa,Micronesia (Federated States of),Philippines,Madagascar,United Republic of Tanzania,Paraguay,Samoa,Nepal,Guinea,Costa Rica,Bangladesh,Mauritius,Uganda,Benin,China,Cambodia,Sudan (former),Morocco,Antigua and Barbuda,Honduras,Zimbabwe,Gabon,"China, Taiwan Province of",Israel,Réunion,Japan,Trinidad and Tobago,Grenada,Wallis and Futuna Islands,Nicaragua,Viet Nam,Cameroon,Bolivia (Plurinational State of),Sudan,Venezuela (Bolivarian Republic of),American Samoa,Brunei Darussalam,Cook Islands,Guadeloupe,Sri Lanka,Guam,Côte d'Ivoire,Polynesia,Liberia
1961,560.0,74586.0,3900.0,50325.0,50.0,450000.0,-1.0,,-1.0,1000.0,20200.0,5100.0,60.0,274089.0,16000.0,74586.0,21300.0,-1.0,2000.0,,-1.0,200.0,76000.0,3276.0,50000.0,2000.0,50000.0,200.0,-1.0,10000.0,,5660.0,,167300.0,177376.0,550.0,,110000.0,500000.0,130.0,4800.0,11752.0,3806.0,7000.0,18000.0,40000.0,750.0,70000.0,,-1.0,2400.0,11000.0,18000.0,50000.0,100.0,778360.0,152505.0,,116000.0,6000.0,28000.0,10000.0,3000.0,-1.0,11000.0,3500.0,19305.0,205.0,,2000.0,213547.0,20000.0,1800.0,10.0,,2344.0,,,173547.0,-1.0,700.0,33600.0,1800.0,-1.0,2.0,20500.0,60000.0,2000.0,2800.0,,22038.0,199.0,900.0,1300.0,600.0,17808.0,30.0,32000.0,5251.0,4000.0
1962,560.0,74586.0,4100.0,51521.0,60.0,321000.0,-1.0,,-1.0,1000.0,20600.0,5250.0,70.0,275954.0,16000.0,74586.0,21900.0,-1.0,2000.0,,-1.0,200.0,100000.0,3060.0,49691.0,3000.0,50000.0,205.0,-1.0,12000.0,,5810.0,,198768.0,177903.0,600.0,,107000.0,500000.0,128.0,4700.0,15101.0,3929.0,7000.0,20000.0,45000.0,780.0,73000.0,,-1.0,2400.0,11300.0,28000.0,45000.0,100.0,807390.0,120969.0,,140000.0,7000.0,29000.0,10000.0,2950.0,-1.0,12000.0,3600.0,21163.0,197.0,,2000.0,237307.0,22000.0,1800.0,20.0,,2414.0,,,192307.0,-1.0,600.0,32700.0,1850.0,-1.0,2.0,21300.0,68000.0,2000.0,3000.0,,32105.0,120.0,1100.0,1400.0,480.0,19630.0,28.0,36000.0,5252.0,4000.0
1963,560.0,78602.0,4400.0,58708.0,70.0,303000.0,-1.0,,-1.0,1547.0,21000.0,5400.0,80.0,274086.0,16000.0,78602.0,22500.0,-1.0,2000.0,,-1.0,200.0,150000.0,3258.0,48715.0,3000.0,70000.0,200.0,-1.0,12000.0,,5960.0,,192500.0,193330.0,650.0,,109000.0,500000.0,127.0,4700.0,19181.0,6044.0,8000.0,23200.0,48000.0,300.0,75000.0,,-1.0,2500.0,12200.0,30000.0,41174.0,100.0,838234.0,111631.0,,151000.0,7000.0,30000.0,15700.0,3000.0,-1.0,11000.0,3700.0,36577.0,420.0,,2500.0,211307.0,23000.0,1800.0,20.0,,2515.0,,,163307.0,-1.0,600.0,42800.0,1900.0,-1.0,2.0,21900.0,76000.0,2804.0,3150.0,,33948.0,61.0,1100.0,1450.0,300.0,25455.0,27.0,46000.0,4813.0,5000.0
1964,500.0,84682.0,4400.0,65212.0,80.0,260000.0,-1.0,,-1.0,1862.0,22000.0,5550.0,90.0,290723.0,17000.0,84682.0,22500.0,-1.0,2000.0,,-1.0,350.0,200000.0,558.0,51283.0,4000.0,70000.0,190.0,-1.0,13000.0,,6050.0,,221400.0,197759.0,700.0,,95000.0,500000.0,102.0,4800.0,22545.0,4078.0,8000.0,23200.0,50000.0,330.0,72000.0,,-1.0,2500.0,12800.0,36000.0,31881.0,100.0,775639.0,136395.0,,155000.0,7000.0,30000.0,14200.0,3250.0,-1.0,11000.0,3900.0,44714.0,413.0,,3000.0,276682.0,24370.0,2000.0,30.0,,2600.0,,,226682.0,-1.0,600.0,47800.0,1950.0,-1.0,2.0,22500.0,85000.0,2812.0,2500.0,,35030.0,71.0,1200.0,1450.0,250.0,27366.0,2.0,55000.0,5103.0,5000.0
1965,500.0,83115.0,4600.0,72700.0,90.0,300790.0,-1.0,,-1.0,1461.0,21000.0,5700.0,100.0,292235.0,17000.0,83115.0,23600.0,-1.0,2370.0,,-1.0,440.0,280000.0,744.0,54934.0,5634.0,90000.0,185.0,-1.0,13000.0,,6200.0,,258375.0,268858.0,750.0,,105000.0,500000.0,100.0,4500.0,22413.0,5213.0,8201.0,21439.0,50000.0,350.0,74000.0,,-1.0,3339.0,13000.0,33000.0,15765.0,100.0,851842.0,94028.0,,176000.0,7000.0,31000.0,18000.0,3300.0,-1.0,13000.0,4200.0,45162.0,306.0,,3000.0,281005.0,13720.0,2000.0,100.0,,2688.0,,,231005.0,-1.0,600.0,67100.0,2000.0,-1.0,2.0,20900.0,94000.0,2839.0,2500.0,,36147.0,60.0,1200.0,1500.0,300.0,30000.0,,62000.0,5212.0,5000.0
1966,500.0,93801.0,4600.0,65791.0,100.0,294542.0,-1.0,,-1.0,1649.0,23500.0,5500.0,110.0,295185.0,17000.0,93801.0,24800.0,-1.0,2000.0,,-1.0,440.0,340000.0,816.0,62336.0,7666.0,100000.0,175.0,-1.0,14000.0,,6000.0,,258166.0,268175.0,800.0,,110000.0,500000.0,,4500.0,19555.0,5621.0,19023.0,22455.0,50000.0,400.0,76000.0,,-1.0,3051.0,14100.0,27000.0,9681.0,,912627.0,95648.0,,188000.0,8000.0,31000.0,31040.0,3450.0,-1.0,15000.0,4400.0,56900.0,428.0,,3000.0,320389.0,15300.0,2000.0,200.0,2.0,3080.0,,,270389.0,-1.0,1000.0,87100.0,2100.0,-1.0,2.0,21500.0,100000.0,3215.0,3270.0,,37301.0,50.0,1260.0,1300.0,300.0,31913.0,,82300.0,5202.0,5000.0
1967,970.0,115422.0,5300.0,65292.0,80.0,233000.0,-1.0,,-1.0,1744.0,23000.0,5800.0,120.0,337487.0,18000.0,115422.0,26000.0,-1.0,1500.0,,-1.0,440.0,360000.0,1229.0,55289.0,13426.0,100000.0,145.0,-1.0,14000.0,,6770.0,,279800.0,259423.0,850.0,,113000.0,500000.0,,4700.0,21043.0,4134.0,24577.0,21134.0,52000.0,400.0,78000.0,,-1.0,3610.0,14700.0,12000.0,6678.0,,916256.0,144938.0,,208000.0,38256.0,32000.0,32000.0,3600.0,-1.0,16000.0,4600.0,92451.0,491.0,,3000.0,348081.0,20100.0,2100.0,300.0,2.0,3530.0,,,296081.0,-1.0,800.0,86600.0,2100.0,-1.0,2.0,22600.0,120000.0,3902.0,4380.0,,38490.0,40.0,1320.0,2200.0,300.0,44580.0,,104000.0,6242.0,5000.0
1968,1700.0,129620.0,6300.0,58540.0,80.0,182023.0,-1.0,,-1.0,1271.0,24000.0,5500.0,130.0,337847.0,18000.0,129620.0,29100.0,-1.0,1230.0,,-1.0,520.0,360000.0,1588.0,55116.0,10433.0,150000.0,148.0,-1.0,15000.0,,7200.0,,283000.0,256030.0,900.0,,145000.0,500000.0,,4800.0,25874.0,4595.0,37133.0,27738.0,53000.0,500.0,80000.0,,-1.0,3522.0,15200.0,14900.0,7214.0,,835516.0,133836.0,,225999.0,36000.0,33000.0,31200.0,3750.0,-1.0,18000.0,4900.0,96500.0,666.0,,3000.0,364364.0,22100.0,2400.0,700.0,3.0,4045.0,,,311364.0,-1.0,800.0,74900.0,2150.0,-1.0,2.0,25300.0,140000.0,4319.0,4760.0,,39419.0,30.0,1380.0,1233.0,1000.0,36838.0,,106500.0,5515.0,6000.0
1969,1200.0,121228.0,7400.0,48231.0,24.0,184753.0,-1.0,,-1.0,1352.0,26000.0,6300.0,165.0,389499.0,18000.0,121228.0,30900.0,-1.0,1330.0,,-1.0,520.0,370000.0,2771.0,57292.0,10886.0,120000.0,150.0,-1.0,18000.0,,7500.0,,306400.0,240589.0,950.0,,150800.0,500000.0,,4500.0,32779.0,11476.0,75349.0,26417.0,55000.0,500.0,83000.0,,-1.0,2899.0,16500.0,17100.0,10476.0,,830073.0,126797.0,,238362.0,35115.0,36000.0,34200.0,3900.0,-1.0,21000.0,5100.0,105700.0,670.0,,3000.0,380013.0,22780.0,2900.0,400.0,5.0,4636.0,,,325013.0,-1.0,800.0,101100.0,2200.0,-1.0,3.0,24500.0,160000.0,5142.0,5040.0,,40950.0,20.0,1440.0,1661.0,500.0,38038.0,,103000.0,6084.0,6000.0
1970,800.0,120862.0,3300.0,49021.0,60.0,193990.0,-1.0,,-1.0,1361.0,27000.0,6500.0,71.0,423903.0,18000.0,120862.0,33100.0,-1.0,1066.0,,-1.0,520.0,380000.0,3742.0,59090.0,9818.0,76000.0,155.0,-1.0,18000.0,,7300.0,,308400.0,248772.0,1000.0,,144500.0,600000.0,,4800.0,18178.0,13016.0,61971.0,30380.0,57000.0,600.0,85000.0,,-1.0,2090.0,17000.0,32000.0,14187.0,,865453.0,172357.0,,233431.0,35490.0,36000.0,34800.0,4050.0,-1.0,23000.0,5400.0,93500.0,545.0,,3000.0,395191.0,32800.0,3300.0,300.0,7.0,5313.0,,,338191.0,-1.0,900.0,67000.0,2250.0,-1.0,3.0,25300.0,180000.0,5656.0,5400.0,,35061.0,30.0,1500.0,1770.0,1000.0,38050.0,,124000.0,6453.0,7000.0
