,Fiji,Australia,Panama,Togo,French Guiana,Thailand,Belize,Ethiopia,Saint Kitts and Nevis,Guyana,Lao People's Democratic Republic,Papua New Guinea,Suriname,Brazil,Mozambique,Australia & New Zealand,El Salvador,Saint Lucia,Argentina,South Sudan,Timor-Leste,Central African Republic,India,Jamaica,Ecuador,Swaziland,Indonesia,Seychelles,Dominica,Angola,Ethiopia PDR,Melanesia,Malaysia,Mexico,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Micronesia,Congo,Martinique,Dominican Republic,Peru,Ghana,"China, mainland",French Polynesia,Colombia,Guinea-Bissau,Rwanda,Portugal,Guatemala,Kenya,Cuba,Puerto Rico,United States of America,South Africa,Philippines,Madagascar,United Republic of Tanzania,Paraguay,Samoa,Nepal,Guinea,Costa Rica,Bangladesh,Mauritius,Uganda,Benin,China,Cambodia,Sudan (former),Antigua and Barbuda,Honduras,Zimbabwe,Gabon,"China, Taiwan Province of",Israel,Réunion,Japan,Trinidad and Tobago,Grenada,Nicaragua,Viet Nam,Cameroon,Bolivia (Plurinational State of),Sudan,Venezuela (Bolivarian Republic of),Brunei Darussalam,Cook Islands,Guadeloupe,Sri Lanka,Guam,Côte d'Ivoire,Polynesia,Liberia
1961,60215.0,253005.0,,,,51487.0,,,,90909.0,134667.0,212500.0,,108143.0,72727.0,253005.0,163846.0,,,,,10000.0,109039.0,78000.0,227273.0,111111.0,50000.0,200000.0,,100000.0,,169970.0,167300.0,228784.0,,,250000.0,62500.0,,40000.0,,118938.0,127273.0,30000.0,95238.0,197368.0,388889.0,,,75000.0,137500.0,257143.0,208333.0,308364.0,260626.0,234623.0,69880.0,46154.0,46667.0,150376.0,250000.0,,11000.0,175000.0,53625.0,102500.0,,80000.0,168147.0,,90000.0,,28005.0,,,204173.0,,,105000.0,,,227778.0,75000.0,153846.0,107692.0,,113131.0,90000.0,130000.0,,50967.0,,213333.0,203527.0,50000.0
1962,60215.0,253005.0,,,,51525.0,,,,90909.0,137333.0,210000.0,,102711.0,72727.0,253005.0,168462.0,,,,,10000.0,108696.0,68000.0,226280.0,107143.0,50000.0,205000.0,,100000.0,,169388.0,165640.0,224966.0,,,248837.0,62500.0,,39167.0,,122781.0,127273.0,33333.0,95745.0,195000.0,384211.0,,,75000.0,141250.0,280000.0,195652.0,354340.0,278651.0,241938.0,70000.0,43750.0,48333.0,150376.0,268182.0,,12000.0,180000.0,37128.0,98500.0,,80000.0,167118.0,,90000.0,,27908.0,,,202428.0,,,96176.0,,,213000.0,75556.0,153846.0,107143.0,,140935.0,91667.0,140000.0,,74048.0,,240000.0,210080.0,50000.0
1963,60215.0,270575.0,,,,51531.0,,,,92083.0,140000.0,207692.0,,96265.0,72727.0,270575.0,173077.0,,,,,10000.0,108696.0,72400.0,206682.0,107143.0,50000.0,200000.0,,100000.0,,168839.0,160417.0,221429.0,,,247727.0,62500.0,,39167.0,,120880.0,133333.0,33143.0,96000.0,166667.0,384615.0,,,78125.0,135556.0,272727.0,196067.0,352813.0,300195.0,223262.0,69907.0,43750.0,50000.0,157000.0,250000.0,,11000.0,185000.0,59962.0,97674.0,,81967.0,145029.0,,90000.0,,27976.0,,,170645.0,,,115676.0,,,219000.0,84444.0,150753.0,112500.0,,133970.0,91667.0,145000.0,,87655.0,,255556.0,202227.0,52632.0
1964,61728.0,278376.0,,,,51485.0,,,,92178.0,146667.0,205556.0,,98647.0,77273.0,278376.0,187500.0,,,,,9211.0,109290.0,55800.0,201031.0,105263.0,50000.0,190000.0,,100000.0,,172365.0,158143.0,221455.0,,,237500.0,62500.0,,40000.0,,127438.0,133333.0,33143.0,96154.0,183333.0,378947.0,,,78125.0,142222.0,276923.0,177117.0,344127.0,294875.0,227325.0,70455.0,43750.0,50000.0,142000.0,264228.0,,11000.0,195000.0,61252.0,82600.0,,82192.0,176478.0,,66667.0,,28047.0,,,216341.0,,,119500.0,,,225000.0,85000.0,150374.0,108696.0,,134266.0,92308.0,134259.0,,98937.0,,275000.0,204940.0,52632.0
1965,61728.0,263773.0,,,,51505.0,,,,149082.0,140000.0,203571.0,,102657.0,77273.0,263773.0,181538.0,,,,,11000.0,108949.0,62521.0,201741.0,112680.0,50000.0,205556.0,,100000.0,,171745.0,161484.0,252046.0,,,244186.0,62500.0,,37500.0,,124119.0,136683.0,32627.0,96154.0,194444.0,389474.0,,,77651.0,144444.0,275000.0,131375.0,371487.0,323845.0,208951.0,70400.0,43750.0,44286.0,160000.0,261905.0,,13000.0,210000.0,58652.0,109286.0,,82192.0,172502.0,,50000.0,,27942.0,,,208300.0,,,142766.0,,,209000.0,94000.0,195793.0,108696.0,,134576.0,92308.0,128205.0,,94967.0,,310000.0,199693.0,52632.0
1966,61728.0,270009.0,,,,51674.0,,,,134065.0,156667.0,200000.0,,104739.0,77273.0,270009.0,190769.0,,,,,11000.0,108626.0,62769.0,217730.0,127767.0,50000.0,194444.0,,100000.0,,168539.0,161354.0,256799.0,,,250000.0,62500.0,,37500.0,,130721.0,131647.0,44607.0,96154.0,200000.0,370732.0,,,70953.0,141000.0,245455.0,111276.0,349580.0,346954.0,212551.0,73928.0,40000.0,44286.0,165106.0,267442.0,,13636.0,220000.0,70247.0,118889.0,,83333.0,186089.0,,50000.0,,30862.0,,,225005.0,,,170784.0,,,215000.0,83333.0,149535.0,109000.0,,134904.0,92647.0,128713.0,,92287.0,,329200.0,208080.0,52632.0
1967,59877.0,297173.0,,,,51778.0,,,,144132.0,153333.0,200000.0,,110561.0,75000.0,297173.0,185714.0,,,,,11000.0,108761.0,105043.0,206997.0,223767.0,50000.0,161111.0,,100000.0,,149779.0,164588.0,253046.0,,,251111.0,62500.0,,39167.0,,137800.0,143725.0,33022.0,96296.0,200000.0,380488.0,,,83953.0,147000.0,240000.0,103696.0,342560.0,348333.0,241563.0,89424.0,45007.0,45714.0,170213.0,272727.0,,13913.0,153333.0,91536.0,102292.0,,83333.0,201774.0,,46667.0,,34106.0,,,249836.0,,,160370.0,,,205455.0,85714.0,113430.0,109500.0,,135242.0,92958.0,144737.0,,64441.0,,346667.0,205329.0,52632.0
1968,76923.0,308987.0,,,,51799.0,,,,142809.0,160000.0,200000.0,,123162.0,75000.0,308987.0,194000.0,,,,,12093.0,108761.0,83579.0,172886.0,161003.0,65217.0,164444.0,,100000.0,,145161.0,157222.0,246254.0,,,250000.0,62500.0,,40000.0,,131286.0,160402.0,32641.0,96364.0,200000.0,380952.0,,,81907.0,152000.0,298000.0,106088.0,346391.0,317638.0,243338.0,78828.0,45000.0,47143.0,165957.0,277778.0,,15000.0,163333.0,91905.0,135918.0,,83333.0,210105.0,,48000.0,,37698.0,,,262932.0,,,144038.0,,,210833.0,87500.0,119640.0,110698.0,,135834.0,93243.0,82200.0,,56215.0,,355000.0,177903.0,60000.0
1969,80000.0,280166.0,,,,43726.0,,,,111736.0,173333.0,200000.0,,127138.0,75000.0,280166.0,193125.0,,,,,12093.0,108824.0,109526.0,160168.0,174176.0,57143.0,187500.0,,100000.0,,161290.0,161263.0,262480.0,,,260000.0,62500.0,,37500.0,,135012.0,179616.0,32638.0,93220.0,200000.0,386047.0,,,82829.0,137500.0,285000.0,115248.0,364282.0,320492.0,230540.0,79827.0,43894.0,51429.0,177202.0,282609.0,,15789.0,170000.0,96972.0,128846.0,,85714.0,207125.0,,48333.0,,41653.0,,,261118.0,,,202200.0,,,204167.0,88889.0,88808.0,109565.0,,134218.0,93506.0,164455.0,,64636.0,,343333.0,230455.0,60000.0
1970,80000.0,274874.0,,,,42192.0,,,,120442.0,135000.0,200000.0,,131692.0,75000.0,274874.0,194706.0,,,,,12093.0,108883.0,102521.0,162782.0,139262.0,58462.0,193750.0,,100000.0,,171765.0,162316.0,252868.0,,,258036.0,66667.0,,40000.0,,137011.0,158697.0,32667.0,91935.0,200000.0,395349.0,,,81961.0,141667.0,290909.0,217592.0,341610.0,350386.0,265165.0,80912.0,44363.0,45000.0,180311.0,285211.0,,17100.0,180000.0,96025.0,111224.0,,85714.0,208544.0,,47143.0,,46040.0,,,265248.0,,,139583.0,,,210833.0,94737.0,66463.0,110204.0,,109909.0,93750.0,175248.0,,62041.0,,354286.0,236374.0,70000.0
