,Morocco,Cameroon,Mexico,Italy,Syrian Arab Republic,Jordan,China,United States of America,Tunisia,Côte d'Ivoire,Spain,Pakistan,Australia,Uzbekistan,Cyprus,Azerbaijan,Greece,Australia & New Zealand,Afghanistan,Iran (Islamic Republic of),Mauritius,"China, mainland",Madagascar,Kyrgyzstan,Turkey
1961,-1.0,-1,-1.0,2800.0,2000.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,634.0,0.0,-1.0,6000.0,-1.0,4000.0,-1.0,-1.0,5280.0
1962,-1.0,-1,-1.0,1200.0,900.0,-1.0,4500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,740.0,0.0,-1.0,7000.0,-1.0,4500.0,-1.0,-1.0,5100.0
1963,-1.0,-1,-1.0,2500.0,900.0,-1.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,868.0,0.0,-1.0,5000.0,-1.0,5000.0,-1.0,-1.0,9890.0
1964,-1.0,-1,-1.0,1300.0,1300.0,-1.0,5500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,790.0,0.0,-1.0,8000.0,-1.0,5500.0,-1.0,-1.0,6000.0
1965,-1.0,-1,-1.0,2000.0,600.0,-1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1253.0,0.0,-1.0,7000.0,-1.0,6000.0,-1.0,-1.0,8170.0
1966,-1.0,-1,-1.0,1300.0,1500.0,-1.0,6500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,826.0,0.0,-1.0,15000.0,-1.0,6500.0,-1.0,-1.0,15000.0
1967,-1.0,-1,-1.0,1900.0,1500.0,-1.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,924.0,0.0,-1.0,4000.0,-1.0,7000.0,-1.0,-1.0,8500.0
1968,-1.0,-1,-1.0,1300.0,1483.0,-1.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1116.0,0.0,-1.0,18500.0,-1.0,8000.0,-1.0,-1.0,18700.0
1969,-1.0,-1,-1.0,2700.0,1681.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1031.0,0.0,-1.0,17500.0,-1.0,9000.0,-1.0,-1.0,4300.0
1970,-1.0,-1,-1.0,1300.0,4009.0,-1.0,10000.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1260.0,0.0,-1.0,16800.0,-1.0,10000.0,-1.0,-1.0,14200.0
1971,-1.0,-1,-1.0,2600.0,1191.0,-1.0,12000.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1035.0,0.0,-1.0,18500.0,-1.0,12000.0,-1.0,-1.0,9000.0
1972,-1.0,-1,-1.0,900.0,5903.0,-1.0,12500.0,-1.0,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1257.0,0.0,-1.0,27500.0,-1.0,12500.0,-1.0,-1.0,29000.0
1973,-1.0,-1,-1.0,2400.0,1884.0,-1.0,13000.0,-1.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1223.0,0.0,-1.0,31000.0,-1.0,13000.0,-1.0,-1.0,6500.0
1974,-1.0,-1,-1.0,600.0,5080.0,-1.0,15000.0,-1.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1566.0,0.0,-1.0,42000.0,-1.0,15000.0,-1.0,-1.0,23000.0
1975,-1.0,-1,-1.0,2200.0,8530.0,10.0,16000.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1430.0,0.0,0.0,26000.0,-1.0,16000.0,-1.0,-1.0,31000.0
1976,-1.0,-1,-1.0,500.0,3703.0,10.0,17000.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1899.0,0.0,3700.0,40000.0,-1.0,17000.0,-1.0,-1.0,4800.0
1977,-1.0,-1,-1.0,360.0,5389.0,10.0,18000.0,2087.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1640.0,0.0,2700.0,27000.0,-1.0,18000.0,-1.0,-1.0,40000.0
1978,-1.0,-1,-1.0,370.0,6868.0,10.0,16500.0,1179.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,1487.0,0.0,3800.0,69000.0,-1.0,16500.0,-1.0,-1.0,6300.0
1979,-1.0,-1,-1.0,1600.0,5153.0,10.0,17000.0,7802.0,26.0,-1.0,-1.0,40.0,-1.0,-1.0,3.0,-1.0,2190.0,0.0,2000.0,9000.0,-1.0,17000.0,-1.0,-1.0,20000.0
1980,-1.0,-1,-1.0,1560.0,7814.0,51.0,18000.0,12247.0,50.0,-1.0,-1.0,90.0,-1.0,-1.0,3.0,-1.0,2514.0,0.0,3200.0,23000.0,-1.0,18000.0,-1.0,-1.0,7500.0
1981,-1.0,-1,-1.0,1700.0,9189.0,48.0,18500.0,6622.0,62.0,-1.0,-1.0,120.0,-1.0,-1.0,4.0,-1.0,2253.0,0.0,2600.0,122137.0,-1.0,18500.0,-1.0,-1.0,25000.0
1982,-1.0,-1,-1.0,160.0,8011.0,47.0,19000.0,19685.0,60.0,-1.0,-1.0,140.0,-1.0,-1.0,4.0,-1.0,2150.0,0.0,3200.0,96121.0,-1.0,19000.0,-1.0,-1.0,13000.0
1983,-1.0,-1,-1.0,1450.0,9200.0,50.0,20000.0,11975.0,70.0,-1.0,-1.0,170.0,-1.0,-1.0,6.0,-1.0,3269.0,0.0,2500.0,119631.0,-1.0,20000.0,-1.0,-1.0,25000.0
1984,-1.0,-1,2.0,200.0,10800.0,32.0,18000.0,28620.0,100.0,-1.0,-1.0,210.0,-1.0,-1.0,5.0,-1.0,3600.0,0.0,3000.0,93839.0,-1.0,18000.0,-1.0,-1.0,23000.0
1985,-1.0,-1,13.0,2000.0,12028.0,30.0,19000.0,12290.0,120.0,-1.0,-1.0,222.0,-1.0,-1.0,10.0,-1.0,4067.0,0.0,2200.0,104657.0,-1.0,19000.0,-1.0,-1.0,35000.0
1986,-1.0,-1,24.0,200.0,14300.0,30.0,21000.0,33970.0,150.0,-1.0,-1.0,232.0,-1.0,-1.0,7.0,-1.0,3670.0,0.0,2600.0,97639.0,-1.0,21000.0,-1.0,-1.0,30000.0
1987,-1.0,-1,-1.0,3000.0,12474.0,30.0,22000.0,15000.0,180.0,-1.0,-1.0,252.0,-1.0,-1.0,18.0,-1.0,4348.0,0.0,2000.0,113684.0,-1.0,22000.0,-1.0,-1.0,30000.0
1988,-1.0,-1,-1.0,240.0,17900.0,30.0,20000.0,42600.0,200.0,-1.0,-1.0,252.0,-1.0,-1.0,20.0,-1.0,4244.0,0.0,2200.0,126274.0,-1.0,20000.0,-1.0,-1.0,15000.0
1989,-1.0,-1,-1.0,2010.0,15600.0,-1.0,21500.0,17690.0,400.0,-1.0,-1.0,245.0,-1.0,-1.0,17.0,-1.0,5551.0,0.0,1700.0,130359.0,-1.0,21500.0,-1.0,-1.0,40000.0
1990,50.0,-1,0.0,200.0,13000.0,0.0,22000.0,54430.0,600.0,-1.0,0.0,250.0,-1.0,-1.0,20.0,-1.0,3439.0,-1.0,2000.0,162831.0,10.0,22000.0,250.0,-1.0,14000.0
1991,50.0,-1,15.0,2400.0,14400.0,0.0,23000.0,34930.0,620.0,-1.0,3344.0,361.0,-1.0,-1.0,25.0,-1.0,4989.0,-1.0,2000.0,182484.0,20.0,23000.0,250.0,-1.0,64000.0
1992,50.0,-1,117.0,156.0,20200.0,0.0,21500.0,66680.0,800.0,-1.0,3310.0,285.0,-1.0,150.0,30.0,-1.0,4786.0,-1.0,2100.0,201632.0,14.0,21500.0,250.0,-1.0,29000.0
1993,50.0,-1,54.0,1799.0,13700.0,0.0,24000.0,68950.0,900.0,-1.0,3275.0,230.0,-1.0,200.0,27.0,-1.0,5573.0,-1.0,2200.0,229332.0,15.0,24000.0,250.0,-1.0,50000.0
1994,50.0,-1,12.0,2000.0,14925.0,0.0,25000.0,58500.0,900.0,-1.0,3241.0,210.0,-1.0,125.0,18.0,-1.0,5351.0,-1.0,2300.0,195000.0,11.0,25000.0,260.0,-1.0,40000.0
1995,50.0,-1,15.0,2200.0,14538.0,0.0,26051.0,67130.0,900.0,-1.0,3207.0,200.0,-1.0,150.0,30.0,-1.0,5591.0,-1.0,2400.0,238778.0,10.0,26051.0,260.0,-1.0,36000.0
1996,50.0,-1,13.0,2500.0,24324.0,0.0,28000.0,47630.0,1000.0,-1.0,3173.0,360.0,-1.0,170.0,35.0,-1.0,8892.0,-1.0,2500.0,260085.0,5.0,28000.0,260.0,-1.0,60000.0
1997,60.0,-1,52.0,5000.0,29428.0,0.0,30000.0,81900.0,1200.0,-1.0,3138.0,238.0,-1.0,180.0,32.0,-1.0,9137.0,-1.0,2600.0,314000.0,8.0,30000.0,270.0,-1.0,70000.0
1998,50.0,-1,59.0,5000.0,35684.0,0.0,26000.0,85280.0,1200.0,100.0,3104.0,238.0,-1.0,200.0,30.0,-1.0,8072.0,-1.0,2600.0,131000.0,7.0,26000.0,260.0,-1.0,35000.0
