,Kenya,"China, Taiwan Province of",Belarus,Croatia,Syrian Arab Republic,United Republic of Tanzania,Nepal,Denmark,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Republic of Korea,Norway,Australia & New Zealand,Yugoslav SFR,Algeria,Slovenia,Madagascar,Latvia,Ukraine,Israel,Belgium,Switzerland,Grenada,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Uzbekistan,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Portugal,Poland,"China, mainland",Russian Federation,Italy,India,Luxembourg,Bolivia (Plurinational State of),Peru,Yemen,Serbia and Montenegro,Cameroon,Serbia,Tajikistan,Armenia,United Kingdom,Canada,Japan,Afghanistan,Iraq,Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Pakistan,Czechoslovakia,Czechia,Argentina,Paraguay,Georgia,Germany,Austria,Morocco,Bhutan,Sweden,USSR,Mexico,Romania,Ecuador,Jordan,Tunisia,Albania,Turkmenistan,France,South Africa,Australia,Lithuania,Netherlands,Belgium-Luxembourg,Slovakia,Swaziland,Republic of Moldova,Turkey
1961,-1.0,6777.0,-1.0,-1.0,4500.0,-1.0,-1.0,10000.0,-1.0,28295.0,-1.0,-1.0,17800.0,25264.0,1130000.0,10800.0,-1.0,2500.0,-1.0,-1.0,11900.0,-1.0,52000.0,370.0,5145.0,-1.0,1531.0,-1.0,426777.0,-1.0,-1.0,200.0,5000.0,-1.0,-1.0,22000.0,325300.0,-1.0,-1.0,-1.0,41259.0,208700.0,420000.0,-1.0,118800.0,11000.0,-1.0,500.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68583.0,13109.0,49800.0,30100.0,1500.0,356.0,56600.0,3193.0,271865.0,462571.0,38000.0,57000.0,199689.0,-1.0,41700.0,1000.0,-1.0,944959.0,159971.0,4300.0,-1.0,4993.0,303000.0,48188.0,629800.0,2116.0,3100.0,5250.0,13206.0,-1.0,155950.0,9444.0,22071.0,-1.0,17436.0,24500.0,-1.0,-1.0,-1.0,93200.0
1962,-1.0,7084.0,-1.0,-1.0,4500.0,-1.0,-1.0,8000.0,-1.0,26426.0,-1.0,-1.0,13300.0,25466.0,874000.0,11000.0,-1.0,2500.0,-1.0,-1.0,13900.0,-1.0,33000.0,380.0,5000.0,-1.0,1378.0,-1.0,385084.0,-1.0,-1.0,400.0,6000.0,-1.0,-1.0,21000.0,214500.0,-1.0,-1.0,-1.0,17200.0,34800.0,378000.0,-1.0,107500.0,13000.0,-1.0,500.0,5000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69396.0,11045.0,44300.0,30100.0,2000.0,406.0,49300.0,3395.0,145717.0,496046.0,38000.0,54100.0,33874.0,-1.0,44500.0,1000.0,-1.0,310746.0,47041.0,4510.0,-1.0,4921.0,325000.0,55834.0,370500.0,653.0,3100.0,4220.0,10609.0,-1.0,133530.0,8825.0,22071.0,-1.0,10768.0,12000.0,-1.0,-1.0,-1.0,89270.0
1963,-1.0,7308.0,-1.0,-1.0,5000.0,-1.0,-1.0,4943.0,-1.0,23234.0,-1.0,-1.0,19200.0,27045.0,776000.0,10000.0,-1.0,2500.0,-1.0,-1.0,8200.0,-1.0,50000.0,380.0,5000.0,-1.0,1044.0,-1.0,402308.0,-1.0,-1.0,500.0,7200.0,-1.0,-1.0,23000.0,192200.0,-1.0,-1.0,-1.0,30400.0,98300.0,395000.0,-1.0,125100.0,11000.0,-1.0,500.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84840.0,15874.0,50900.0,30100.0,2000.0,445.0,61100.0,4160.0,266847.0,443429.0,39000.0,72900.0,139381.0,-1.0,39000.0,1156.0,-1.0,719044.0,96353.0,3000.0,-1.0,5005.0,415000.0,63241.0,662800.0,1815.0,2850.0,6300.0,9769.0,-1.0,156430.0,11631.0,22885.0,-1.0,13549.0,23000.0,-1.0,-1.0,-1.0,96840.0
1964,-1.0,10046.0,-1.0,-1.0,5300.0,-1.0,-1.0,5977.0,-1.0,24592.0,-1.0,-1.0,15551.0,29953.0,760000.0,11000.0,-1.0,2000.0,-1.0,-1.0,16800.0,-1.0,36000.0,390.0,5145.0,-1.0,2023.0,-1.0,385046.0,-1.0,-1.0,400.0,6600.0,-1.0,-1.0,23000.0,242200.0,-1.0,-1.0,-1.0,22700.0,76100.0,375000.0,-1.0,121100.0,15000.0,-1.0,500.0,6500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46738.0,15128.0,31900.0,36800.0,2000.0,610.0,73500.0,5000.0,151565.0,588851.0,39000.0,75200.0,51999.0,-1.0,43000.0,1065.0,-1.0,345599.0,81168.0,4573.0,-1.0,4497.0,457000.0,64721.0,318100.0,1787.0,3130.0,4900.0,8268.0,-1.0,95390.0,12202.0,24953.0,-1.0,12456.0,24000.0,-1.0,-1.0,-1.0,98800.0
1965,-1.0,12415.0,-1.0,-1.0,4100.0,-1.0,-1.0,4148.0,-1.0,21344.0,-1.0,-1.0,7577.0,28273.0,399000.0,10653.0,-1.0,2600.0,-1.0,-1.0,9700.0,-1.0,50000.0,390.0,5000.0,-1.0,2161.0,-1.0,417415.0,-1.0,-1.0,300.0,5900.0,-1.0,-1.0,21953.0,242607.0,-1.0,-1.0,-1.0,21400.0,79600.0,405000.0,-1.0,137500.0,14000.0,-1.0,500.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37797.0,10054.0,37300.0,40700.0,3000.0,559.0,91500.0,3550.0,190998.0,549207.0,40000.0,63000.0,55660.0,-1.0,43700.0,1250.0,-1.0,541382.0,77405.0,7452.0,-1.0,3301.0,473000.0,78665.0,694800.0,1401.0,3500.0,6200.0,8000.0,-1.0,139130.0,15598.0,24723.0,-1.0,9413.0,7500.0,-1.0,-1.0,-1.0,91298.0
1966,-1.0,12627.0,-1.0,-1.0,3300.0,-1.0,-1.0,4519.0,-1.0,22850.0,-1.0,-1.0,13603.0,28941.0,723000.0,9454.0,-1.0,2600.0,-1.0,-1.0,8700.0,-1.0,43000.0,400.0,4931.0,-1.0,1482.0,-1.0,383627.0,-1.0,-1.0,300.0,2997.0,-1.0,-1.0,22317.0,260393.0,-1.0,-1.0,-1.0,26000.0,178700.0,371000.0,-1.0,140000.0,15000.0,-1.0,500.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29262.0,12372.0,49700.0,45500.0,3000.0,762.0,61400.0,3639.0,314446.0,412608.0,40000.0,35500.0,144376.0,-1.0,41200.0,1290.0,-1.0,724159.0,74476.0,4173.0,-1.0,3518.0,487000.0,79687.0,837400.0,2153.0,3459.0,4800.0,10000.0,-1.0,130380.0,10777.0,25302.0,-1.0,8515.0,6800.0,-1.0,-1.0,-1.0,84600.0
1967,-1.0,13326.0,-1.0,-1.0,7200.0,-1.0,-1.0,3781.0,-1.0,24699.0,-1.0,-1.0,12427.0,25332.0,705000.0,7820.0,-1.0,3000.0,-1.0,-1.0,12100.0,-1.0,40000.0,400.0,5000.0,-1.0,1842.0,-1.0,388326.0,-1.0,-1.0,300.0,6576.0,-1.0,-1.0,25000.0,204728.0,-1.0,-1.0,-1.0,35000.0,127400.0,375000.0,-1.0,141600.0,16000.0,-1.0,500.0,8631.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14123.0,10396.0,61600.0,55200.0,3000.0,1016.0,69300.0,3296.0,191120.0,494087.0,40000.0,40900.0,70191.0,-1.0,63000.0,1330.0,-1.0,406669.0,45501.0,4600.0,-1.0,5464.0,497000.0,79103.0,669700.0,2500.0,4718.0,6300.0,12000.0,-1.0,131400.0,12395.0,22036.0,-1.0,1661.0,3500.0,-1.0,-1.0,-1.0,101750.0
1968,-1.0,16017.0,-1.0,-1.0,3977.0,-1.0,-1.0,3361.0,-1.0,24236.0,-1.0,1774.0,15240.0,31539.0,721000.0,9687.0,-1.0,3000.0,-1.0,-1.0,12700.0,-1.0,50000.0,410.0,5000.0,-1.0,1000.0,-1.0,386017.0,-1.0,-1.0,300.0,10012.0,-1.0,-1.0,24000.0,186874.0,-1.0,-1.0,-1.0,11850.0,162700.0,370000.0,-1.0,134400.0,17000.0,-1.0,500.0,7895.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82402.0,8255.0,67300.0,55800.0,4000.0,1118.0,80000.0,2870.0,293963.0,466100.0,40000.0,25500.0,111865.0,-1.0,63500.0,1500.0,-1.0,825164.0,118757.0,4600.0,-1.0,4860.0,590000.0,81808.0,562300.0,3280.0,1276.0,6700.0,14000.0,-1.0,174190.0,10078.0,28669.0,-1.0,14703.0,19000.0,-1.0,-1.0,-1.0,104600.0
1969,-1.0,16880.0,-1.0,-1.0,3488.0,-1.0,-1.0,3898.0,-1.0,22013.0,-1.0,1316.0,16863.0,22063.0,1292061.0,9687.0,-1.0,3300.0,-1.0,-1.0,9250.0,-1.0,44000.0,420.0,5000.0,-1.0,1000.0,-1.0,396880.0,-1.0,-1.0,300.0,6712.0,-1.0,-1.0,22000.0,230738.0,-1.0,-1.0,-1.0,15800.0,108300.0,380000.0,-1.0,137200.0,18000.0,-1.0,500.0,7885.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55984.0,6799.0,31600.0,56400.0,4000.0,1016.0,69000.0,3600.0,327494.0,454628.0,40000.0,46000.0,96231.0,-1.0,61500.0,1800.0,-1.0,573694.0,80975.0,5000.0,-1.0,5633.0,455000.0,78165.0,962000.0,3100.0,352.0,4800.0,17000.0,-1.0,182080.0,15279.0,18463.0,-1.0,11130.0,15000.0,-1.0,-1.0,-1.0,99050.0
1970,-1.0,16144.0,-1.0,-1.0,4316.0,-1.0,-1.0,4584.0,-1.0,22366.0,-1.0,1328.0,13910.0,24822.0,895803.0,9680.0,-1.0,3500.0,-1.0,-1.0,8000.0,-1.0,45000.0,430.0,5478.0,-1.0,1000.0,-1.0,396144.0,-1.0,-1.0,150.0,7096.0,-1.0,-1.0,22000.0,226532.0,-1.0,-1.0,-1.0,15900.0,134000.0,380000.0,-1.0,137400.0,19000.0,-1.0,600.0,8531.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58300.0,8975.0,67600.0,54600.0,4000.0,1219.0,55100.0,4248.0,334300.0,702300.0,40000.0,8500.0,105767.0,-1.0,66200.0,2023.0,-1.0,621856.0,98024.0,5000.0,-1.0,5600.0,756000.0,70404.0,697068.0,3000.0,1549.0,4550.0,11000.0,-1.0,196620.0,12052.0,20574.0,-1.0,13087.0,13000.0,-1.0,-1.0,-1.0,119000.0
