,Austria,Slovakia,Romania,Yugoslav SFR,Turkey,Denmark,Occupied Palestinian Territory,Serbia and Montenegro,The former Yugoslav Republic of Macedonia,Serbia,Czechoslovakia,Hungary,France,Czechia,Spain,Croatia,Bulgaria,Netherlands,Italy,India,Germany
1961,1166.0,,8400.0,5530.0,38700.0,241.0,-1.0,,,,20863.0,18821.0,445.0,,-1.0,,1026.0,453.0,546.0,,4507.0
1962,1389.0,,6100.0,3410.0,36000.0,36.0,-1.0,,,,20705.0,10553.0,666.0,,-1.0,,659.0,54.0,220.0,,7951.0
1963,1351.0,,5000.0,3550.0,38000.0,5.0,-1.0,,,,16315.0,11968.0,550.0,,-1.0,,900.0,16.0,,,6671.0
1964,1266.0,,5700.0,3360.0,28000.0,5.0,-1.0,,,,14561.0,10590.0,489.0,,-1.0,,345.0,30.0,-1.0,,4718.0
1965,414.0,,5600.0,4100.0,22300.0,138.0,-1.0,,,,12105.0,11998.0,650.0,,-1.0,,290.0,150.0,-1.0,,3320.0
1966,361.0,,6500.0,2110.0,24000.0,143.0,-1.0,,,,11643.0,17067.0,519.0,,-1.0,,454.0,577.0,-1.0,,2635.0
1967,348.0,,7000.0,3030.0,20600.0,70.0,-1.0,,,,13432.0,18277.0,373.0,,-1.0,,624.0,211.0,-1.0,,2069.0
1968,325.0,,5100.0,2470.0,13000.0,44.0,-1.0,,,,12410.0,12487.0,460.0,,-1.0,,1064.0,136.0,-1.0,,1222.0
1969,152.0,,6400.0,2247.0,12923.0,671.0,-1.0,,,,11706.0,9941.0,407.0,,-1.0,,570.0,431.0,-1.0,,831.0
1970,167.0,,6400.0,2136.0,7045.0,1718.0,-1.0,,,,9720.0,9600.0,500.0,,-1.0,,183.0,634.0,-1.0,,1288.0
1971,145.0,,6200.0,3462.0,13374.0,2551.0,-1.0,,,,8256.0,10800.0,300.0,,-1.0,,265.0,878.0,-1.0,,1219.0
1972,142.0,,6300.0,3045.0,6383.0,2713.0,-1.0,,,,6921.0,10800.0,1900.0,,-1.0,,122.0,1163.0,-1.0,,1465.0
1973,135.0,,4800.0,3318.0,7000.0,1604.0,-1.0,,,,7656.0,5600.0,2800.0,,-1.0,,141.0,2132.0,-1.0,,2407.0
1974,136.0,,5700.0,2953.0,7000.0,818.0,-1.0,,,,9868.0,5500.0,1700.0,,-1.0,,127.0,1464.0,-1.0,,2791.0
