,Austria,Slovakia,Romania,Yugoslav SFR,Turkey,Denmark,Occupied Palestinian Territory,Serbia and Montenegro,The former Yugoslav Republic of Macedonia,Serbia,Czechoslovakia,Hungary,France,Czechia,Spain,Croatia,Bulgaria,Netherlands,Italy,India,Germany
1961,1056.0,,4100.0,3320.0,18700.0,251.0,-1.0,,,,13400.0,6821.0,456.0,,,,370.0,462.0,,1000.0,2816.0
1962,1198.0,,2200.0,1590.0,19700.0,36.0,-1.0,,,,11395.0,3771.0,518.0,,,,139.0,46.0,,1000.0,5386.0
1963,1187.0,,1200.0,1780.0,19000.0,2.0,-1.0,,,,9400.0,4714.0,450.0,,,,170.0,15.0,,1000.0,4074.0
1964,1115.0,,1600.0,1800.0,8000.0,1.0,-1.0,,,,6400.0,2880.0,351.0,,,,143.0,30.0,,1000.0,2515.0
1965,322.0,,2500.0,2390.0,11000.0,100.0,-1.0,,,,4400.0,3647.0,536.0,,,,118.0,150.0,,1000.0,1977.0
1966,348.0,,3100.0,1260.0,12000.0,100.0,-1.0,,,,6011.0,5299.0,417.0,,,,121.0,586.0,,1000.0,1433.0
1967,346.0,,4000.0,1950.0,7000.0,50.0,-1.0,,,,7000.0,7629.0,274.0,,,,189.0,259.0,,1000.0,1204.0
1968,344.0,,1200.0,1320.0,7800.0,30.0,-1.0,,,,7000.0,3346.0,361.0,,,,135.0,152.0,,1000.0,791.0
1969,144.0,,1600.0,1350.0,10800.0,400.0,-1.0,,,,7745.0,4243.0,254.0,,,,135.0,446.0,,1000.0,504.0
1970,192.0,,2800.0,1302.0,7500.0,1300.0,-1.0,,,,5984.0,3377.0,390.0,,,,95.0,762.0,,1000.0,741.0
1971,138.0,,1900.0,2187.0,13976.0,2584.0,-1.0,,,,6192.0,5472.0,190.0,,,,115.0,1278.0,,1000.0,786.0
1972,129.0,,2400.0,1655.0,5847.0,2165.0,-1.0,,,,6005.0,4710.0,930.0,,,,76.0,1628.0,,2000.0,993.0
1973,125.0,,2000.0,2145.0,6000.0,1046.0,-1.0,,,,4899.0,2445.0,1430.0,,,,40.0,2181.0,,2000.0,1412.0
1974,119.0,,2400.0,1928.0,6000.0,1052.0,-1.0,,,,7144.0,3657.0,1200.0,,,,65.0,1684.0,,2500.0,2089.0
1975,151.0,,1600.0,2350.0,6491.0,902.0,-1.0,,,,4920.0,2447.0,1000.0,,,,335.0,2802.0,,3000.0,1671.0
1976,204.0,,4500.0,3162.0,16000.0,1478.0,-1.0,,,,1835.0,1984.0,1000.0,,,,97.0,4733.0,,3000.0,657.0
1977,169.0,,5300.0,5715.0,41087.0,2850.0,-1.0,,,,6050.0,4513.0,2406.0,,,,78.0,7480.0,,2500.0,1399.0
1978,178.0,,3800.0,2071.0,31862.0,515.0,-1.0,,,,9010.0,6778.0,2866.0,,,,84.0,3922.0,,2000.0,2664.0
1979,111.0,,1800.0,1670.0,13207.0,195.0,-1.0,,,,5707.0,2439.0,2500.0,,,,26.0,830.0,,2000.0,3186.0
1980,243.0,,3000.0,1465.0,15488.0,102.0,-1.0,,,,6210.0,4159.0,2300.0,,,,,260.0,,2000.0,2418.0
1981,206.0,,800.0,1337.0,11442.0,193.0,-1.0,,,,3755.0,3773.0,2000.0,,,,,378.0,,2000.0,2625.0
1982,139.0,,1300.0,1739.0,6590.0,1843.0,-1.0,,,,4112.0,3537.0,2500.0,,,,,3165.0,,2000.0,3706.0
1983,145.0,,1500.0,2266.0,4182.0,1827.0,-1.0,,,,4430.0,4861.0,1500.0,,,,,2777.0,,2500.0,3711.0
1984,367.0,,1800.0,2794.0,9054.0,1800.0,-1.0,,,,7418.0,4269.0,1400.0,,3100.0,,,3484.0,,2000.0,4752.0
1985,210.0,,2000.0,998.0,2786.0,620.0,-1.0,,,,7166.0,3388.0,1300.0,,100.0,,,878.0,,2000.0,5881.0
1986,163.0,,1000.0,395.0,3990.0,650.0,-1.0,,,,5425.0,2648.0,1200.0,,200.0,,,305.0,,1500.0,4151.0
1987,334.0,,1100.0,376.0,3818.0,385.0,-1.0,,,,6106.0,3005.0,1000.0,,300.0,,,283.0,,-1.0,4127.0
1988,529.0,,1300.0,546.0,11130.0,350.0,-1.0,,,,5459.0,3947.0,800.0,,1500.0,,,820.0,,-1.0,2682.0
1989,656.0,,1100.0,1427.0,3235.0,301.0,-1.0,,,,10313.0,4748.0,500.0,,1000.0,,,876.0,,-1.0,3878.0
1990,713.0,,1400.0,883.0,5153.0,168.0,-1.0,,,,13535.0,2869.0,400.0,,1300.0,,0.0,400.0,-1.0,-1.0,3200.0
1991,442.0,,600.0,835.0,22538.0,56.0,-1.0,,,,10876.0,3335.0,800.0,,300.0,,0.0,534.0,-1.0,-1.0,3020.0
1992,470.0,,200.0,,7048.0,26.0,-1.0,304.0,246.0,,9692.0,3456.0,1700.0,,1700.0,44.0,0.0,145.0,-1.0,-1.0,2909.0
1993,535.0,2500.0,100.0,,3028.0,89.0,-1.0,350.0,371.0,,,2588.0,2000.0,6890.0,920.0,53.0,-1.0,1700.0,-1.0,-1.0,2800.0
1994,1369.0,3100.0,500.0,,14000.0,184.0,-1.0,546.0,573.0,,,3200.0,2188.0,16471.0,800.0,42.0,-1.0,3900.0,-1.0,-1.0,2766.0
1995,2395.0,2929.0,500.0,,28249.0,162.0,-1.0,1045.0,747.0,,,2700.0,1200.0,25260.0,300.0,50.0,-1.0,2000.0,-1.0,-1.0,2700.0
