,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Bhutan,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Bangladesh,Malawi,Australia & New Zealand,Melanesia,Papua New Guinea,South Africa,Eritrea,New Caledonia,Rwanda,Portugal,Mozambique,Yugoslav SFR,Mongolia,Guatemala,French Polynesia,Algeria,Slovenia,Iceland,Senegal,Madagascar,Tajikistan,Latvia,Norway,Haiti,Luxembourg,Israel,Saudi Arabia,Dominica,Fiji,Cabo Verde,Chad,Belgium,Switzerland,Sri Lanka,Uruguay,Azerbaijan,Central African Republic,Bosnia and Herzegovina,Réunion,China,Malta,Colombia,Libya,Sudan (former),Sweden,Lebanon,Kyrgyzstan,United Kingdom,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Mauritius,France,Viet Nam,Kenya,Poland,"China, mainland",Russian Federation,Nicaragua,Uganda,Paraguay,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Germany,Armenia,Dominican Republic,Uzbekistan,South Sudan,El Salvador,Denmark,Canada,Japan,Afghanistan,Iraq,Turkmenistan,Venezuela (Bolivarian Republic of),Cyprus,Spain,Morocco,Belize,Bulgaria,United States of America,Iran (Islamic Republic of),Zambia,Democratic Republic of the Congo,Thailand,Pakistan,Kuwait,Cuba,Turkey,Czechia,Argentina,Timor-Leste,Costa Rica,Georgia,India,Guadeloupe,Austria,Niger,Czechoslovakia,Ethiopia PDR,Congo,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Ireland,Côte d'Ivoire,Albania,Slovakia,Jamaica,Yemen,Italy,Polynesia,Panama,Swaziland,Australia,Egypt,Lithuania,Ukraine,Finland,Netherlands,Mauritania,Angola,Nigeria,New Zealand,Republic of Moldova,Belgium-Luxembourg
1961,8400.0,850.0,-1.0,-1.0,12730.0,0.0,2230.0,3715.0,353156.0,2000.0,2380.0,4800.0,40000.0,-1.0,10500.0,-1.0,70000.0,5800.0,2319.0,55847.0,8000.0,71463.0,202.0,12.0,61669.0,-1.0,180.0,14702.0,152000.0,2400.0,507000.0,4500.0,2500.0,50.0,26750.0,-1.0,700.0,300.0,12000.0,-1.0,-1.0,149000.0,190.0,-1.0,13000.0,195.0,60.0,10.0,300.0,1050.0,-1.0,108000.0,1286.0,20607.0,-1.0,125.0,-1.0,360.0,1000850.0,4282.0,70500.0,3000.0,1400.0,221000.0,6000.0,-1.0,836000.0,0.0,137115.0,562100.0,-1.0,-1.0,-1.0,762.0,1718000.0,3000.0,21600.0,6024000.0,1000000.0,-1.0,200.0,9600.0,960.0,129000.0,229750.0,7800.0,-1.0,5600.0,-1.0,3745463.0,-1.0,1100.0,-1.0,-1.0,575.0,155000.0,260630.0,334000.0,15000.0,1880.0,-1.0,21576.0,9246.0,458000.0,38719.0,0.0,64835.0,943000.0,30000.0,348.0,2800.0,317.0,13800.0,0.0,7700.0,160000.0,-1.0,135000.0,27.0,1710.0,-1.0,449000.0,15.0,354000.0,0.0,1124181.0,22440.0,50.0,48497.0,36866.0,21715000.0,610000.0,32910.0,741.0,4350.0,216000.0,0.0,10794.0,-1.0,1700.0,3680.0,681000.0,50.0,800.0,461.0,48000.0,58000.0,-1.0,-1.0,182000.0,270000.0,152.0,3000.0,1700.0,23463.0,-1.0,117000.0
1962,9300.0,1175.0,-1.0,-1.0,13251.0,0.0,2500.0,4246.0,359618.0,2000.0,2460.0,4800.0,40300.0,-1.0,12000.0,-1.0,61000.0,6300.0,2412.0,57871.0,8000.0,81399.0,162.0,17.0,61669.0,-1.0,130.0,20421.0,159000.0,2936.0,531000.0,2700.0,2500.0,50.0,23861.0,-1.0,710.0,500.0,12000.0,-1.0,-1.0,148000.0,260.0,-1.0,14000.0,195.0,65.0,15.0,300.0,1050.0,-1.0,104000.0,1138.0,24255.0,-1.0,150.0,-1.0,360.0,1351175.0,3805.0,64800.0,2500.0,1400.0,200000.0,6500.0,-1.0,883000.0,0.0,133275.0,512000.0,-1.0,-1.0,-1.0,1034.0,1669000.0,3000.0,22000.0,6362000.0,1350000.0,-1.0,200.0,9600.0,1280.0,131000.0,231390.0,7800.0,-1.0,7200.0,-1.0,3647138.0,-1.0,1000.0,-1.0,-1.0,600.0,166000.0,259550.0,361000.0,15000.0,1880.0,-1.0,19836.0,11557.0,445000.0,42322.0,0.0,64662.0,912000.0,31000.0,275.0,3000.0,317.0,13000.0,0.0,7600.0,205000.0,-1.0,153630.0,50.0,1700.0,-1.0,404000.0,16.0,336000.0,0.0,1140756.0,22780.0,300.0,45480.0,40014.0,21245000.0,660000.0,31780.0,891.0,3925.0,212000.0,0.0,9273.0,-1.0,1312.0,3780.0,678000.0,50.0,900.0,347.0,58000.0,60000.0,-1.0,-1.0,180000.0,270000.0,152.0,4700.0,1700.0,23399.0,-1.0,118000.0
1963,9400.0,1451.0,-1.0,-1.0,10074.0,0.0,2570.0,5754.0,375613.0,2000.0,2540.0,6000.0,40500.0,-1.0,12500.0,-1.0,80000.0,6500.0,1663.0,55442.0,8800.0,74835.0,180.0,11.0,57600.0,-1.0,120.0,10657.0,164000.0,2740.0,544000.0,2700.0,3500.0,55.0,28569.0,-1.0,710.0,500.0,12815.0,-1.0,-1.0,132000.0,320.0,-1.0,12000.0,208.0,65.0,49.0,300.0,1150.0,-1.0,114000.0,1536.0,25799.0,-1.0,150.0,-1.0,360.0,1441451.0,4060.0,71250.0,2500.0,1400.0,178000.0,6000.0,-1.0,863000.0,0.0,127095.0,561000.0,-1.0,-1.0,-1.0,1348.0,1633000.0,3000.0,21600.0,6366000.0,1440000.0,-1.0,150.0,10400.0,1680.0,134000.0,261500.0,7800.0,-1.0,7971.0,-1.0,3470726.0,-1.0,2200.0,-1.0,-1.0,600.0,136000.0,251560.0,349000.0,15000.0,1880.0,-1.0,20104.0,15468.0,452000.0,30940.0,0.0,61164.0,907000.0,32000.0,352.0,3000.0,317.0,15000.0,0.0,6800.0,240000.0,-1.0,172530.0,60.0,1732.0,-1.0,555000.0,16.0,331000.0,0.0,1148496.0,22950.0,500.0,46762.0,38707.0,21295000.0,640000.0,38835.0,716.0,4025.0,208000.0,0.0,11187.0,-1.0,1820.0,3880.0,664000.0,55.0,900.0,360.0,52000.0,60000.0,-1.0,-1.0,183000.0,250000.0,160.0,5100.0,1700.0,22835.0,-1.0,104000.0
1964,10200.0,1111.0,-1.0,-1.0,8974.0,0.0,2510.0,5334.0,364063.0,2080.0,2570.0,3600.0,41400.0,-1.0,13000.0,-1.0,84000.0,7000.0,1663.0,55442.0,8800.0,69100.0,181.0,7.0,60000.0,-1.0,150.0,11535.0,152000.0,2750.0,566000.0,2700.0,3500.0,60.0,30388.0,-1.0,710.0,500.0,12915.0,-1.0,-1.0,130000.0,400.0,-1.0,12000.0,208.0,65.0,24.0,300.0,1150.0,-1.0,100000.0,1589.0,27206.0,-1.0,100.0,-1.0,240.0,1531111.0,3877.0,62500.0,2000.0,1400.0,161000.0,4460.0,-1.0,837000.0,0.0,136611.0,527900.0,-1.0,-1.0,-1.0,1177.0,1330000.0,4000.0,21600.0,6253400.0,1530000.0,-1.0,150.0,10400.0,1760.0,132000.0,251120.0,7800.0,-1.0,7200.0,-1.0,3275778.0,-1.0,2200.0,-1.0,-1.0,600.0,107000.0,267980.0,395000.0,15000.0,1880.0,-1.0,21832.0,12446.0,405000.0,43840.0,0.0,54833.0,980000.0,33000.0,191.0,4500.0,1426.0,18600.0,0.0,7500.0,255000.0,-1.0,190440.0,95.0,1860.0,-1.0,428000.0,27.0,315000.0,0.0,1223728.0,23375.0,500.0,60193.0,31260.0,21530000.0,620000.0,44480.0,819.0,4100.0,184000.0,0.0,11154.0,-1.0,1929.0,4080.0,612000.0,60.0,900.0,390.0,45000.0,58000.0,-1.0,-1.0,168000.0,250000.0,160.0,5260.0,1700.0,24100.0,-1.0,98000.0
1965,11097.0,1097.0,-1.0,-1.0,8923.0,0.0,2520.0,5321.0,358754.0,1760.0,2650.0,4000.0,40500.0,-1.0,7000.0,-1.0,85000.0,8000.0,1825.0,60700.0,8800.0,77995.0,205.0,7.0,45480.0,-1.0,150.0,7600.0,158000.0,4000.0,568000.0,2900.0,3200.0,60.0,27264.0,-1.0,400.0,350.0,13305.0,-1.0,-1.0,120000.0,420.0,-1.0,11000.0,221.0,65.0,48.0,300.0,1250.0,-1.0,96000.0,1134.0,26815.0,-1.0,100.0,-1.0,240.0,1801097.0,3350.0,71400.0,2000.0,1400.0,143000.0,6207.0,-1.0,761000.0,0.0,114405.0,522000.0,-1.0,-1.0,-1.0,1463.0,1150000.0,4000.0,22000.0,6123000.0,1800000.0,-1.0,150.0,12000.0,1600.0,138000.0,254630.0,7800.0,-1.0,5600.0,-1.0,3078765.0,-1.0,2500.0,-1.0,-1.0,600.0,101000.0,289300.0,395000.0,15000.0,1880.0,-1.0,22132.0,11557.0,408000.0,44363.0,0.0,51201.0,1061000.0,32000.0,200.0,5000.0,990.0,17000.0,0.0,9000.0,252000.0,-1.0,156600.0,100.0,1950.0,-1.0,595000.0,23.0,287000.0,0.0,1056787.0,23800.0,500.0,60438.0,32739.0,20980000.0,630000.0,44344.0,1205.0,4700.0,177000.0,0.0,37041.0,-1.0,2297.0,4081.0,598000.0,60.0,1100.0,388.0,49000.0,53000.0,-1.0,-1.0,180000.0,260000.0,160.0,5260.0,1700.0,28995.0,-1.0,100000.0
1966,11400.0,1662.0,-1.0,-1.0,5725.0,0.0,2560.0,4200.0,391361.0,1760.0,2700.0,6000.0,41400.0,-1.0,8000.0,-1.0,85000.0,8500.0,1600.0,70400.0,9600.0,81474.0,214.0,24.0,49260.0,-1.0,150.0,13200.0,170000.0,4500.0,730000.0,3300.0,3200.0,65.0,34294.0,-1.0,500.0,680.0,13690.0,-1.0,-1.0,108000.0,420.0,-1.0,10800.0,234.0,70.0,40.0,300.0,1250.0,-1.0,89000.0,1280.0,23289.0,-1.0,100.0,-1.0,216.0,1801662.0,3350.0,74300.0,2250.0,1400.0,144000.0,6889.0,-1.0,799000.0,0.0,115650.0,485300.0,-1.0,-1.0,-1.0,1548.0,1127000.0,4000.0,22000.0,6172200.0,1800000.0,-1.0,150.0,12000.0,1040.0,132000.0,271895.0,7800.0,-1.0,3458.0,-1.0,3005224.0,-1.0,2900.0,-1.0,-1.0,500.0,94000.0,275510.0,358000.0,15000.0,1880.0,-1.0,21771.0,11557.0,414000.0,40800.0,0.0,50066.0,1102000.0,35000.0,210.0,5200.0,1109.0,19000.0,0.0,8951.0,262000.0,-1.0,151650.0,149.0,2000.0,-1.0,673000.0,20.0,280000.0,0.0,1084626.0,24225.0,300.0,58082.0,32554.0,20827500.0,640000.0,48212.0,946.0,850.0,170000.0,0.0,48018.0,-1.0,1564.0,4081.0,590000.0,65.0,1000.0,413.0,54000.0,42000.0,-1.0,-1.0,167000.0,280000.0,168.0,5260.0,1700.0,27474.0,-1.0,105000.0
1967,11600.0,1789.0,-1.0,-1.0,4604.0,0.0,2520.0,5298.0,408110.0,1760.0,2770.0,8800.0,40000.0,-1.0,9000.0,-1.0,85000.0,8500.0,1600.0,76100.0,9600.0,76234.0,215.0,4.0,45600.0,-1.0,150.0,14000.0,155000.0,4454.0,700000.0,3000.0,4000.0,70.0,42811.0,-1.0,340.0,700.0,13910.0,-1.0,-1.0,103000.0,430.0,-1.0,12550.0,234.0,70.0,61.0,300.0,1250.0,-1.0,93000.0,2222.0,15661.0,-1.0,100.0,-1.0,144.0,1801789.0,3419.0,76100.0,2300.0,1400.0,118000.0,7721.0,-1.0,774000.0,0.0,120120.0,506000.0,-1.0,-1.0,-1.0,1524.0,1082000.0,5000.0,22000.0,6091900.0,1800000.0,-1.0,150.0,12800.0,1032.0,123000.0,250850.0,7800.0,-1.0,4488.0,-1.0,2857749.0,-1.0,2800.0,-1.0,-1.0,500.0,87000.0,275060.0,332000.0,15000.0,1880.0,-1.0,22826.0,15112.0,459000.0,34000.0,0.0,46512.0,1061300.0,36000.0,220.0,5400.0,1089.0,20200.0,0.0,7499.0,264000.0,-1.0,189090.0,171.0,2100.0,-1.0,581000.0,18.0,274000.0,0.0,1065636.0,24735.0,300.0,60099.0,33899.0,20752500.0,660000.0,49159.0,1152.0,1325.0,162000.0,0.0,66096.0,-1.0,1375.0,4081.0,583000.0,70.0,800.0,600.0,54000.0,82000.0,-1.0,-1.0,164000.0,310000.0,160.0,5260.0,1700.0,22234.0,-1.0,92000.0
1968,11611.0,2091.0,-1.0,-1.0,5327.0,0.0,3020.0,5356.0,397888.0,2000.0,2900.0,6400.0,38000.0,-1.0,10000.0,-1.0,83000.0,8700.0,1450.0,84200.0,10400.0,75009.0,262.0,2.0,66000.0,-1.0,160.0,13760.0,158000.0,5610.0,710000.0,2700.0,4400.0,80.0,45700.0,-1.0,590.0,620.0,14095.0,-1.0,-1.0,94000.0,450.0,-1.0,11725.0,234.0,70.0,100.0,150.0,1250.0,-1.0,84000.0,2810.0,23388.0,-1.0,100.0,-1.0,240.0,1712091.0,3433.0,74000.0,2000.0,1500.0,121000.0,9009.0,-1.0,703000.0,0.0,114323.0,398400.0,-1.0,-1.0,-1.0,1265.0,1000000.0,6000.0,22400.0,6089000.0,1710000.0,-1.0,150.0,12800.0,1176.0,105000.0,303515.0,7800.0,-1.0,7254.0,-1.0,2735462.0,-1.0,3200.0,-1.0,-1.0,500.0,84000.0,276870.0,311000.0,15100.0,1880.0,-1.0,21322.0,15290.0,421000.0,47600.0,0.0,43854.0,1110300.0,37000.0,300.0,5600.0,1089.0,21043.0,0.0,9787.0,271000.0,-1.0,188190.0,169.0,2000.0,-1.0,698000.0,18.0,236000.0,0.0,929849.0,25245.0,250.0,55991.0,37098.0,20250000.0,640000.0,41420.0,1125.0,1108.0,148000.0,0.0,65103.0,-1.0,1190.0,4081.0,549000.0,80.0,900.0,900.0,47000.0,90000.0,-1.0,-1.0,159000.0,310000.0,168.0,5400.0,1700.0,28009.0,-1.0,84000.0
1969,11000.0,2167.0,-1.0,-1.0,4905.0,0.0,2980.0,7051.0,385479.0,2000.0,2950.0,11600.0,36000.0,-1.0,11000.0,-1.0,88000.0,9000.0,1450.0,85400.0,10400.0,84506.0,325.0,5.0,55200.0,-1.0,170.0,14400.0,158000.0,5800.0,580000.0,3500.0,4500.0,90.0,44833.0,-1.0,660.0,650.0,14810.0,-1.0,-1.0,83000.0,450.0,-1.0,12000.0,247.0,75.0,150.0,150.0,1250.0,-1.0,80000.0,4470.0,21908.0,-1.0,110.0,-1.0,60.0,1802167.0,3280.0,79100.0,1500.0,1500.0,113000.0,8922.0,-1.0,746000.0,0.0,107475.0,445600.0,-1.0,-1.0,-1.0,1172.0,882000.0,6000.0,24400.0,6129200.0,1800000.0,-1.0,150.0,13600.0,987.0,111000.0,320050.0,7800.0,-1.0,8030.0,-1.0,2672376.0,-1.0,3200.0,-1.0,-1.0,400.0,93000.0,286490.0,284000.0,15100.0,2444.0,-1.0,19495.0,13335.0,450000.0,47600.0,0.0,46166.0,1110933.0,38000.0,300.0,5200.0,1089.0,17000.0,0.0,11100.0,290000.0,-1.0,175230.0,115.0,1700.0,-1.0,780000.0,18.0,231000.0,0.0,981758.0,25755.0,210.0,53529.0,38544.0,20160000.0,600000.0,47220.0,1098.0,248.0,136000.0,0.0,58530.0,-1.0,1256.0,4081.0,617000.0,90.0,1000.0,900.0,54000.0,96000.0,-1.0,-1.0,149000.0,330000.0,168.0,5400.0,1720.0,30506.0,-1.0,91000.0
1970,11000.0,2621.0,-1.0,-1.0,5432.0,0.0,2940.0,7080.0,374492.0,2000.0,3000.0,12800.0,34000.0,-1.0,9000.0,-1.0,77000.0,9500.0,1500.0,86600.0,10400.0,83682.0,306.0,6.0,66000.0,-1.0,170.0,16936.0,141000.0,6000.0,575000.0,3800.0,4400.0,95.0,47112.0,-1.0,1390.0,200.0,20400.0,-1.0,-1.0,78000.0,480.0,-1.0,11900.0,247.0,75.0,130.0,100.0,1250.0,-1.0,76000.0,4980.0,25190.0,-1.0,120.0,-1.0,84.0,1892621.0,3390.0,83000.0,3439.0,1300.0,115000.0,9054.0,-1.0,705000.0,0.0,120030.0,426028.0,-1.0,-1.0,-1.0,1502.0,869000.0,8000.0,22400.0,5997900.0,1890000.0,-1.0,150.0,13600.0,480.0,114000.0,270935.0,8000.0,-1.0,10053.0,-1.0,2677300.0,-1.0,3400.0,-1.0,-1.0,400.0,83000.0,243580.0,298000.0,15000.0,1876.0,-1.0,18685.0,14224.0,450000.0,47600.0,0.0,43068.0,1113790.0,39000.0,300.0,5800.0,1089.0,20200.0,3.0,13200.0,287000.0,-1.0,167310.0,130.0,1800.0,-1.0,646000.0,18.0,221000.0,0.0,936816.0,26265.0,260.0,52062.0,34772.0,19735000.0,610000.0,53452.0,1071.0,73.0,143000.0,0.0,47304.0,-1.0,1882.0,6202.0,495000.0,95.0,700.0,1800.0,54000.0,79000.0,-1.0,-1.0,148000.0,310000.0,160.0,5400.0,2125.0,29682.0,-1.0,83000.0
