,USSR,Finland,Eritrea,Fiji,Australia,Panama,Republic of Korea,Pakistan,Slovakia,Democratic Republic of the Congo,Belize,Ethiopia,Kenya,Nigeria,Yemen,Romania,Serbia,Lao People's Democratic Republic,Zambia,Lebanon,Papua New Guinea,Tajikistan,Tunisia,Albania,Brazil,Chad,Mozambique,Niger,Australia & New Zealand,Democratic People's Republic of Korea,Slovenia,El Salvador,Hungary,Canada,Colombia,Iceland,Central African Republic,India,Malta,Jamaica,Ecuador,Cabo Verde,Indonesia,Poland,Argentina,Turkey,Jordan,Belgium-Luxembourg,Angola,Ethiopia PDR,Estonia,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,New Caledonia,Egypt,New Zealand,Congo,Republic of Moldova,Dominican Republic,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Philippines,Spain,"China, mainland",French Polynesia,Madagascar,Cyprus,Sri Lanka,Peru,Rwanda,Lithuania,Cameroon,Netherlands,Guatemala,South Sudan,Cuba,Austria,Bhutan,Turkmenistan,Norway,Dominica,Iraq,Czechia,Swaziland,United Republic of Tanzania,Burundi,Belgium,Nepal,France,Luxembourg,Libya,Costa Rica,Bangladesh,Italy,Senegal,Germany,Uganda,Sweden,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Mongolia,Chile,Honduras,Uruguay,Afghanistan,Zimbabwe,Kyrgyzstan,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Denmark,Switzerland,Thailand,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Mauritius,Nicaragua,Polynesia,Viet Nam,Bosnia and Herzegovina,Russian Federation,Portugal,Bolivia (Plurinational State of),Paraguay,Myanmar,Latvia,Ukraine,Kuwait,South Africa,Mauritania,Guadeloupe,Ireland,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Timor-Leste,Croatia,Bulgaria,Montenegro,Occupied Palestinian Territory
1961,21715000.0,182000.0,,10.0,48000.0,800.0,48497.0,13800.0,,2800.0,0.0,,21600.0,1700.0,3680.0,610000.0,,2000.0,348.0,6000.0,12.0,,5800.0,10794.0,353156.0,1050.0,2400.0,0.0,71463.0,7800.0,,575.0,562100.0,260630.0,70500.0,700.0,125.0,449000.0,4282.0,1700.0,32910.0,300.0,10500.0,6024000.0,135000.0,160000.0,4350.0,117000.0,3000.0,22440.0,,202.0,,70000.0,1124181.0,190.0,180.0,58000.0,23463.0,50.0,,1100.0,3715.0,36866.0,507000.0,30000.0,,943000.0,2230.0,458000.0,1000000.0,50.0,12000.0,9246.0,1286.0,229750.0,14702.0,,5600.0,270000.0,2500.0,,7700.0,354000.0,2380.0,,149000.0,60.0,1880.0,,461.0,4800.0,8400.0,,40000.0,1718000.0,,3000.0,1710.0,55847.0,681000.0,300.0,3745463.0,9600.0,221000.0,,1000850.0,0.0,,,1400.0,38719.0,4500.0,137115.0,741.0,20607.0,15000.0,2319.0,,8000.0,26750.0,850.0,13000.0,360.0,334000.0,,155000.0,108000.0,317.0,195.0,,836000.0,,762.0,200.0,50.0,3000.0,,,152000.0,129000.0,960.0,12730.0,,,0.0,61669.0,152.0,15.0,216000.0,21576.0,0.0,27.0,,64835.0,,0.0
1962,21245000.0,180000.0,,15.0,58000.0,900.0,45480.0,13000.0,,3000.0,0.0,,22000.0,1700.0,3780.0,660000.0,,2000.0,275.0,6500.0,17.0,,6300.0,9273.0,359618.0,1050.0,2936.0,0.0,81399.0,7800.0,,600.0,512000.0,259550.0,64800.0,710.0,150.0,404000.0,3805.0,1312.0,31780.0,300.0,12000.0,6362000.0,153630.0,205000.0,3925.0,118000.0,4700.0,22780.0,,162.0,,61000.0,1140756.0,260.0,130.0,60000.0,23399.0,300.0,,1000.0,4246.0,40014.0,531000.0,31000.0,,912000.0,2500.0,445000.0,1350000.0,50.0,12000.0,11557.0,1138.0,231390.0,20421.0,,7200.0,270000.0,2500.0,,7600.0,336000.0,2460.0,,148000.0,65.0,1880.0,,347.0,4800.0,9300.0,,40300.0,1669000.0,,2500.0,1700.0,57871.0,678000.0,500.0,3647138.0,9600.0,200000.0,,1351175.0,0.0,,,1400.0,42322.0,2700.0,133275.0,891.0,24255.0,15000.0,2412.0,,8000.0,23861.0,1175.0,14000.0,360.0,361000.0,,166000.0,104000.0,317.0,195.0,,883000.0,,1034.0,200.0,50.0,3000.0,,,159000.0,131000.0,1280.0,13251.0,,,0.0,61669.0,152.0,16.0,212000.0,19836.0,0.0,50.0,,64662.0,,0.0
1963,21295000.0,183000.0,,49.0,52000.0,900.0,46762.0,15000.0,,3000.0,0.0,,21600.0,1700.0,3880.0,640000.0,,2000.0,352.0,6000.0,11.0,,6500.0,11187.0,375613.0,1150.0,2740.0,0.0,74835.0,7800.0,,600.0,561000.0,251560.0,71250.0,710.0,150.0,555000.0,4060.0,1820.0,38835.0,300.0,12500.0,6366000.0,172530.0,240000.0,4025.0,104000.0,5100.0,22950.0,,180.0,,80000.0,1148496.0,320.0,120.0,60000.0,22835.0,500.0,,2200.0,5754.0,38707.0,544000.0,32000.0,,907000.0,2570.0,452000.0,1440000.0,55.0,12815.0,15468.0,1536.0,261500.0,10657.0,,7971.0,250000.0,3500.0,,6800.0,331000.0,2540.0,,132000.0,65.0,1880.0,,360.0,6000.0,9400.0,,40500.0,1633000.0,,2500.0,1732.0,55442.0,664000.0,500.0,3470726.0,10400.0,178000.0,,1441451.0,0.0,,,1400.0,30940.0,2700.0,127095.0,716.0,25799.0,15000.0,1663.0,,8800.0,28569.0,1451.0,12000.0,360.0,349000.0,,136000.0,114000.0,317.0,208.0,,863000.0,,1348.0,150.0,55.0,3000.0,,,164000.0,134000.0,1680.0,10074.0,,,0.0,57600.0,160.0,16.0,208000.0,20104.0,0.0,60.0,,61164.0,,0.0
1964,21530000.0,168000.0,,24.0,45000.0,900.0,60193.0,18600.0,,4500.0,0.0,,21600.0,1700.0,4080.0,620000.0,,2080.0,191.0,4460.0,7.0,,7000.0,11154.0,364063.0,1150.0,2750.0,0.0,69100.0,7800.0,,600.0,527900.0,267980.0,62500.0,710.0,100.0,428000.0,3877.0,1929.0,44480.0,300.0,13000.0,6253400.0,190440.0,255000.0,4100.0,98000.0,5260.0,23375.0,,181.0,,84000.0,1223728.0,400.0,150.0,58000.0,24100.0,500.0,,2200.0,5334.0,31260.0,566000.0,33000.0,,980000.0,2510.0,405000.0,1530000.0,60.0,12915.0,12446.0,1589.0,251120.0,11535.0,,7200.0,250000.0,3500.0,,7500.0,315000.0,2570.0,,130000.0,65.0,1880.0,,390.0,3600.0,10200.0,,41400.0,1330000.0,,2000.0,1860.0,55442.0,612000.0,500.0,3275778.0,10400.0,161000.0,,1531111.0,0.0,,,1400.0,43840.0,2700.0,136611.0,819.0,27206.0,15000.0,1663.0,,8800.0,30388.0,1111.0,12000.0,240.0,395000.0,,107000.0,100000.0,1426.0,208.0,,837000.0,,1177.0,150.0,60.0,4000.0,,,152000.0,132000.0,1760.0,8974.0,,,0.0,60000.0,160.0,27.0,184000.0,21832.0,0.0,95.0,,54833.0,,0.0
1965,20980000.0,180000.0,,48.0,49000.0,1100.0,60438.0,17000.0,,5000.0,0.0,,22000.0,1700.0,4081.0,630000.0,,1760.0,200.0,6207.0,7.0,,8000.0,37041.0,358754.0,1250.0,4000.0,0.0,77995.0,7800.0,,600.0,522000.0,289300.0,71400.0,400.0,100.0,595000.0,3350.0,2297.0,44344.0,300.0,7000.0,6123000.0,156600.0,252000.0,4700.0,100000.0,5260.0,23800.0,,205.0,,85000.0,1056787.0,420.0,150.0,53000.0,28995.0,500.0,,2500.0,5321.0,32739.0,568000.0,32000.0,,1061000.0,2520.0,408000.0,1800000.0,60.0,13305.0,11557.0,1134.0,254630.0,7600.0,,5600.0,260000.0,3200.0,,9000.0,287000.0,2650.0,,120000.0,65.0,1880.0,,388.0,4000.0,11097.0,,40500.0,1150000.0,,2000.0,1950.0,60700.0,598000.0,350.0,3078765.0,12000.0,143000.0,,1801097.0,0.0,,,1400.0,44363.0,2900.0,114405.0,1205.0,26815.0,15000.0,1825.0,,8800.0,27264.0,1097.0,11000.0,240.0,395000.0,,101000.0,96000.0,990.0,221.0,,761000.0,,1463.0,150.0,60.0,4000.0,,,158000.0,138000.0,1600.0,8923.0,,,0.0,45480.0,160.0,23.0,177000.0,22132.0,0.0,100.0,,51201.0,,0.0
1966,20827500.0,167000.0,,40.0,54000.0,1000.0,58082.0,19000.0,,5200.0,0.0,,22000.0,1700.0,4081.0,640000.0,,1760.0,210.0,6889.0,24.0,,8500.0,48018.0,391361.0,1250.0,4500.0,0.0,81474.0,7800.0,,500.0,485300.0,275510.0,74300.0,500.0,100.0,673000.0,3350.0,1564.0,48212.0,300.0,8000.0,6172200.0,151650.0,262000.0,850.0,105000.0,5260.0,24225.0,,214.0,,85000.0,1084626.0,420.0,150.0,42000.0,27474.0,300.0,,2900.0,4200.0,32554.0,730000.0,35000.0,,1102000.0,2560.0,414000.0,1800000.0,65.0,13690.0,11557.0,1280.0,271895.0,13200.0,,3458.0,280000.0,3200.0,,8951.0,280000.0,2700.0,,108000.0,70.0,1880.0,,413.0,6000.0,11400.0,,41400.0,1127000.0,,2250.0,2000.0,70400.0,590000.0,680.0,3005224.0,12000.0,144000.0,,1801662.0,0.0,,,1400.0,40800.0,3300.0,115650.0,946.0,23289.0,15000.0,1600.0,,9600.0,34294.0,1662.0,10800.0,216.0,358000.0,,94000.0,89000.0,1109.0,234.0,,799000.0,,1548.0,150.0,65.0,4000.0,,,170000.0,132000.0,1040.0,5725.0,,,0.0,49260.0,168.0,20.0,170000.0,21771.0,0.0,149.0,,50066.0,,0.0
1967,20752500.0,164000.0,,61.0,54000.0,800.0,60099.0,20200.0,,5400.0,0.0,,22000.0,1700.0,4081.0,660000.0,,1760.0,220.0,7721.0,4.0,,8500.0,66096.0,408110.0,1250.0,4454.0,0.0,76234.0,7800.0,,500.0,506000.0,275060.0,76100.0,340.0,100.0,581000.0,3419.0,1375.0,49159.0,300.0,9000.0,6091900.0,189090.0,264000.0,1325.0,92000.0,5260.0,24735.0,,215.0,,85000.0,1065636.0,430.0,150.0,82000.0,22234.0,300.0,,2800.0,5298.0,33899.0,700000.0,36000.0,,1061300.0,2520.0,459000.0,1800000.0,70.0,13910.0,15112.0,2222.0,250850.0,14000.0,,4488.0,310000.0,4000.0,,7499.0,274000.0,2770.0,,103000.0,70.0,1880.0,,600.0,8800.0,11600.0,,40000.0,1082000.0,,2300.0,2100.0,76100.0,583000.0,700.0,2857749.0,12800.0,118000.0,,1801789.0,0.0,,,1400.0,34000.0,3000.0,120120.0,1152.0,15661.0,15000.0,1600.0,,9600.0,42811.0,1789.0,12550.0,144.0,332000.0,,87000.0,93000.0,1089.0,234.0,,774000.0,,1524.0,150.0,70.0,5000.0,,,155000.0,123000.0,1032.0,4604.0,,,0.0,45600.0,160.0,18.0,162000.0,22826.0,0.0,171.0,,46512.0,,0.0
1968,20250000.0,159000.0,,100.0,47000.0,900.0,55991.0,21043.0,,5600.0,0.0,,22400.0,1700.0,4081.0,640000.0,,2000.0,300.0,9009.0,2.0,,8700.0,65103.0,397888.0,1250.0,5610.0,0.0,75009.0,7800.0,,500.0,398400.0,276870.0,74000.0,590.0,100.0,698000.0,3433.0,1190.0,41420.0,150.0,10000.0,6089000.0,188190.0,271000.0,1108.0,84000.0,5400.0,25245.0,,262.0,,83000.0,929849.0,450.0,160.0,90000.0,28009.0,250.0,,3200.0,5356.0,37098.0,710000.0,37000.0,,1110300.0,3020.0,421000.0,1710000.0,80.0,14095.0,15290.0,2810.0,303515.0,13760.0,,7254.0,310000.0,4400.0,,9787.0,236000.0,2900.0,,94000.0,70.0,1880.0,,900.0,6400.0,11611.0,,38000.0,1000000.0,,2000.0,2000.0,84200.0,549000.0,620.0,2735462.0,12800.0,121000.0,,1712091.0,0.0,,,1500.0,47600.0,2700.0,114323.0,1125.0,23388.0,15100.0,1450.0,,10400.0,45700.0,2091.0,11725.0,240.0,311000.0,,84000.0,84000.0,1089.0,234.0,,703000.0,,1265.0,150.0,80.0,6000.0,,,158000.0,105000.0,1176.0,5327.0,,,0.0,66000.0,168.0,18.0,148000.0,21322.0,0.0,169.0,,43854.0,,0.0
1969,20160000.0,149000.0,,150.0,54000.0,1000.0,53529.0,17000.0,,5200.0,0.0,,24400.0,1720.0,4081.0,600000.0,,2000.0,300.0,8922.0,5.0,,9000.0,58530.0,385479.0,1250.0,5800.0,0.0,84506.0,7800.0,,400.0,445600.0,286490.0,79100.0,660.0,110.0,780000.0,3280.0,1256.0,47220.0,150.0,11000.0,6129200.0,175230.0,290000.0,248.0,91000.0,5400.0,25755.0,,325.0,,88000.0,981758.0,450.0,170.0,96000.0,30506.0,210.0,,3200.0,7051.0,38544.0,580000.0,38000.0,,1110933.0,2980.0,450000.0,1800000.0,90.0,14810.0,13335.0,4470.0,320050.0,14400.0,,8030.0,330000.0,4500.0,,11100.0,231000.0,2950.0,,83000.0,75.0,2444.0,,900.0,11600.0,11000.0,,36000.0,882000.0,,1500.0,1700.0,85400.0,617000.0,650.0,2672376.0,13600.0,113000.0,,1802167.0,0.0,,,1500.0,47600.0,3500.0,107475.0,1098.0,21908.0,15100.0,1450.0,,10400.0,44833.0,2167.0,12000.0,60.0,284000.0,,93000.0,80000.0,1089.0,247.0,,746000.0,,1172.0,150.0,90.0,6000.0,,,158000.0,111000.0,987.0,4905.0,,,0.0,55200.0,168.0,18.0,136000.0,19495.0,0.0,115.0,,46166.0,,0.0
1970,19735000.0,148000.0,,130.0,54000.0,700.0,52062.0,20200.0,,5800.0,0.0,,22400.0,2125.0,6202.0,610000.0,,2000.0,300.0,9054.0,6.0,,9500.0,47304.0,374492.0,1250.0,6000.0,0.0,83682.0,8000.0,,400.0,426028.0,243580.0,83000.0,1390.0,120.0,646000.0,3390.0,1882.0,53452.0,100.0,9000.0,5997900.0,167310.0,287000.0,73.0,83000.0,5400.0,26265.0,,306.0,,77000.0,936816.0,480.0,170.0,79000.0,29682.0,260.0,,3400.0,7080.0,34772.0,575000.0,39000.0,,1113790.0,2940.0,450000.0,1890000.0,95.0,20400.0,14224.0,4980.0,270935.0,16936.0,,10053.0,310000.0,4400.0,,13200.0,221000.0,3000.0,,78000.0,75.0,1876.0,,1800.0,12800.0,11000.0,,34000.0,869000.0,,3439.0,1800.0,86600.0,495000.0,200.0,2677300.0,13600.0,115000.0,,1892621.0,0.0,,,1300.0,47600.0,3800.0,120030.0,1071.0,25190.0,15000.0,1500.0,,10400.0,47112.0,2621.0,11900.0,84.0,298000.0,,83000.0,76000.0,1089.0,247.0,,705000.0,,1502.0,150.0,95.0,8000.0,,,141000.0,114000.0,480.0,5432.0,,,3.0,66000.0,160.0,18.0,143000.0,18685.0,0.0,130.0,,43068.0,,0.0
