,USSR,Finland,Fiji,Kenya,Guyana,Solomon Islands,Papua New Guinea,Somalia,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Spain,Grenada,New Zealand,Honduras,Jamaica,Cabo Verde,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,"China, Macao SAR",Togo,Greece,Tajikistan,Haiti,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,Saint Kitts and Nevis,"China, Taiwan Province of",Puerto Rico,Turkmenistan,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Malta,Denmark,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Belarus,Afghanistan,Trinidad and Tobago,Sudan,Mauritius,Georgia,Lithuania,Russian Federation,Tunisia,Paraguay,Venezuela (Bolivarian Republic of),Djibouti,Guadeloupe,South Africa,Myanmar,Eritrea,Bahrain,Australia & New Zealand,Australia,Panama,Pakistan,Thailand,Belize,Ethiopia,Bhutan,Lao People's Democratic Republic,Zambia,Botswana,Yemen,Suriname,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Jordan,Ethiopia PDR,Estonia,Melanesia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Martinique,Peru,United States of America,"China, mainland",The former Yugoslav Republic of Macedonia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Cuba,Lesotho,Romania,Norway,Philippines,Iraq,Swaziland,Burundi,Belgium,Luxembourg,Czechia,Senegal,Italy,Ireland,Uganda,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Switzerland,Sierra Leone,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Austria,Japan,Maldives,Timor-Leste,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,Mexico,Guinea,Mauritania,Czechoslovakia,Sri Lanka,Côte d'Ivoire,Croatia,Bulgaria,Montenegro,Ukraine,Liberia
1961,3687000.0,4526.0,450.0,275000.0,60.0,1000.0,550.0,900.0,11841.0,1800809.0,,10479.0,30.0,60960.0,89581.0,705227.0,790.0,25330.0,42482.0,2220.0,3500.0,,1200.0,38708.0,55000.0,2500.0,,18000.0,181352.0,,67300.0,28350.0,111807.0,44642.0,84582.0,431166.0,160000.0,2000.0,5000.0,28350.0,12490.0,,115581.0,,125421.0,70.0,20593.0,7198.0,,85.0,57400.0,117300.0,85500.0,2853.0,16376.0,253600.0,220376.0,1300.0,,38673.0,0.0,19270.0,,101257.0,2735.0,39911.0,9550.0,118000.0,27299.0,,4300.0,800.0,,18000.0,1950.0,,,,,,17549.0,21800.0,47584.0,0.0,,101912.0,222330.0,,0.0,47974.0,22644.0,6612.0,934400.0,48500.0,120.0,,800.0,6600.0,10000.0,16329.0,30000.0,217.0,65000.0,68000.0,150000.0,,,50.0,4000.0,320.0,66192.0,301000.0,422000.0,51000.0,17833.0,591700.0,,2050.0,175120.0,23815.0,105500.0,472000.0,3900.0,0.0,100440.0,1100775.0,8500000.0,,12859873.0,1200.0,50000.0,97906.0,49228.0,34019.0,13424.0,243800.0,324.0,38040.0,33797.0,2906.0,261300.0,,,,12180.0,702320.0,2600.0,172600.0,,8520593.0,95219.0,,91420.0,142265.0,0.0,26050.0,3841.0,19334.0,,100.0,6787.0,373300.0,30.0,2900.0,237315.0,67950.0,4000.0,103637.0,,39500.0,73000.0,400.0,592006.0,9500.0,120.0,890329.0,30000.0,15650.0,149379.0,3966.0,6000.0,,113996.0,,,2000.0
1962,6925000.0,3060.0,450.0,275000.0,60.0,1030.0,600.0,140.0,12192.0,1763675.0,,18352.0,32.0,62730.0,94020.0,755270.0,790.0,20764.0,44849.0,2299.0,5000.0,,1200.0,38809.0,58000.0,2600.0,,19869.0,158108.0,,69050.0,28400.0,144276.0,43689.0,157799.0,395200.0,162000.0,2100.0,5000.0,19550.0,14937.0,,132620.0,,121937.0,70.0,16997.0,7557.0,,85.0,48500.0,124000.0,87000.0,1948.0,17093.0,257648.0,282569.0,1300.0,,29886.0,0.0,19000.0,,97363.0,3366.0,26419.0,10500.0,124000.0,31800.0,,3950.0,800.0,,18600.0,2150.0,,,,,,28920.0,20800.0,41421.0,0.0,,107663.0,247413.0,,0.0,45096.0,24332.0,8172.0,940100.0,62200.0,350.0,,850.0,6600.0,10000.0,12000.0,30000.0,232.0,64000.0,93500.0,175000.0,,,50.0,4000.0,350.0,55978.0,311000.0,418000.0,65000.0,25556.0,604100.0,,2130.0,148777.0,24306.0,111500.0,549000.0,4200.0,0.0,113118.0,1101045.0,11200000.0,,11735312.0,1200.0,48500.0,79647.0,48341.0,34000.0,8900.0,218100.0,96.0,31400.0,34399.0,3000.0,259300.0,,,,13390.0,720230.0,4500.0,175000.0,,11216997.0,112591.0,,98654.0,238982.0,0.0,26100.0,4600.0,21340.0,,100.0,6171.0,290000.0,30.0,3100.0,454139.0,73190.0,4000.0,119894.0,,35800.0,79000.0,400.0,586065.0,9660.0,120.0,823520.0,35000.0,15650.0,168426.0,3859.0,10000.0,,69779.0,,,2000.0
1963,7315000.0,2700.0,450.0,280000.0,61.0,1050.0,650.0,300.0,17915.0,2008009.0,,14462.0,34.0,65670.0,91100.0,750300.0,800.0,27229.0,49835.0,2417.0,5500.0,,1300.0,33280.0,60000.0,2800.0,,23209.0,140443.0,,71900.0,28400.0,144435.0,44725.0,127278.0,388600.0,164000.0,2200.0,6000.0,18740.0,13015.0,,135235.0,,132357.0,70.0,13949.0,7055.0,,90.0,55150.0,158705.0,97500.0,2138.0,20944.0,249520.0,248013.0,1300.0,,24785.0,0.0,20000.0,,85884.0,2624.0,28063.0,9300.0,129000.0,36700.0,,4200.0,800.0,,19600.0,2904.0,,,,,,32500.0,21660.0,44822.0,0.0,,113639.0,322143.0,,0.0,50388.0,23159.0,8603.0,991270.0,125000.0,576.0,,900.0,6600.0,11000.0,12000.0,35000.0,170.0,67000.0,100000.0,205000.0,,,50.0,4000.0,380.0,49219.0,291500.0,407000.0,65000.0,10600.0,621600.0,,2200.0,164534.0,23549.0,116500.0,653000.0,4500.0,0.0,114790.0,1192065.0,8800000.0,,11527531.0,1200.0,51000.0,82513.0,57283.0,30000.0,8100.0,221250.0,54.0,29810.0,32934.0,2454.0,254600.0,,,,14200.0,829570.0,2700.0,185900.0,,8813949.0,115053.0,,95117.0,258236.0,0.0,24150.0,4600.0,19725.0,,100.0,11690.0,303660.0,30.0,3300.0,382581.0,82490.0,4000.0,102700.0,,40349.0,78000.0,400.0,607527.0,10600.0,120.0,821272.0,25000.0,15650.0,177493.0,5252.0,9000.0,,114125.0,,,2000.0
1964,10029000.0,3100.0,400.0,280000.0,112.0,1080.0,700.0,850.0,16371.0,2001981.0,,12378.0,36.0,86550.0,90500.0,625320.0,805.0,29984.0,57814.0,2257.0,6000.0,,1300.0,35564.0,63000.0,3000.0,,21510.0,144988.0,,73150.0,28650.0,111305.0,49809.0,195608.0,390600.0,167000.0,2300.0,6500.0,22450.0,9631.0,,97801.0,,123584.0,70.0,21512.0,7571.0,,90.0,56950.0,125825.0,91000.0,1628.0,17455.0,273792.0,255749.0,1350.0,,17698.0,0.0,18000.0,,86947.0,3335.0,27719.0,13430.0,139000.0,39056.0,,7000.0,800.0,,20600.0,2676.0,,,,,,33300.0,23690.0,42626.0,0.0,,83906.0,359454.0,,0.0,52007.0,22023.0,6095.0,940500.0,119700.0,680.0,,950.0,6600.0,12000.0,12000.0,35000.0,258.0,64000.0,106128.0,210000.0,,,50.0,4000.0,400.0,67435.0,302000.0,364000.0,70000.0,44535.0,649000.0,,2230.0,118836.0,25804.0,121500.0,660000.0,4700.0,0.0,117836.0,1071306.0,9400000.0,,10301900.0,1200.0,53000.0,83645.0,67867.0,27000.0,7600.0,184100.0,,25995.0,31876.0,2499.0,281900.0,,,,17215.0,729990.0,2500.0,206700.0,,9421512.0,124703.0,,98485.0,264370.0,0.0,26200.0,4558.0,17308.0,,105.0,12229.0,200920.0,30.0,3338.0,501637.0,70470.0,4200.0,130654.0,,45098.0,84000.0,300.0,583484.0,10700.0,120.0,1063048.0,33000.0,15650.0,185480.0,4740.0,13000.0,,155620.0,,,2000.0
1965,6181000.0,4100.0,400.0,285000.0,90.0,1100.0,750.0,2000.0,11343.0,2358764.0,,16546.0,38.0,99440.0,89900.0,529389.0,820.0,23890.0,42760.0,1930.0,6500.0,,1100.0,27159.0,60010.0,3100.0,,23808.0,152734.0,,75600.0,28250.0,168875.0,49444.0,188398.0,335300.0,170000.0,2500.0,6800.0,17630.0,12713.0,,126505.0,,98520.0,70.0,17270.0,6477.0,,90.0,52540.0,107201.0,104000.0,1808.0,21004.0,272776.0,280107.0,1350.0,,20800.0,0.0,18900.0,,78498.0,3807.0,17935.0,14975.0,150000.0,39362.0,,6550.0,700.0,,21700.0,2812.0,,,,,,36600.0,28890.0,44029.0,0.0,,114302.0,276102.0,,0.0,38387.0,14497.0,5405.0,980800.0,136300.0,684.0,,1000.0,6600.0,13000.0,12000.0,35000.0,210.0,67000.0,104878.0,200000.0,,,60.0,4000.0,430.0,78978.0,317500.0,528000.0,73000.0,53898.0,657700.0,,2310.0,128174.0,25971.0,124500.0,692000.0,4900.0,0.0,95041.0,986105.0,9435000.0,,12073700.0,1200.0,50000.0,52881.0,65160.0,25000.0,7909.0,205811.0,,24568.0,44089.0,2500.0,278900.0,,,,14230.0,716940.0,2600.0,199600.0,,9452270.0,119057.0,,103438.0,311912.0,0.0,23300.0,4800.0,15418.0,,105.0,13078.0,279290.0,30.0,3836.0,479053.0,102810.0,4200.0,138040.0,,49000.0,86000.0,350.0,589166.0,10700.0,120.0,1043415.0,33000.0,15650.0,190122.0,6955.0,6300.0,,121162.0,,,2000.0
1966,6497000.0,3200.0,400.0,290000.0,81.0,1120.0,800.0,2400.0,15875.0,2221701.0,,15462.0,40.0,102770.0,86100.0,718400.0,830.0,28797.0,53082.0,3629.0,7290.0,,2800.0,23142.0,64000.0,3300.0,,21699.0,164211.0,,78150.0,28250.0,147678.0,56080.0,76443.0,362870.0,173000.0,2800.0,10000.0,16394.0,13830.0,,190100.0,,115590.0,70.0,18353.0,7257.0,,95.0,51845.0,145208.0,99800.0,2588.0,16953.0,292008.0,255034.0,1350.0,,20096.0,0.0,25200.0,,92225.0,1230.0,8000.0,12995.0,146000.0,30461.0,,4200.0,750.0,,22600.0,2540.0,,,,,,31600.0,24880.0,48176.0,0.0,,110473.0,274646.0,,0.0,49475.0,20678.0,8199.0,824022.0,145800.0,1264.0,,1050.0,6600.0,14000.0,10000.0,40000.0,300.0,65000.0,103000.0,190000.0,,,60.0,4000.0,460.0,79479.0,323000.0,502000.0,73000.0,21400.0,676800.0,,2380.0,141284.0,30695.0,129500.0,627000.0,5100.0,0.0,110752.0,1125303.0,7000000.0,,9802200.0,1500.0,48000.0,43349.0,57700.0,23000.0,9665.0,279300.0,,22897.0,45442.0,2517.0,279670.0,,,,18450.0,670480.0,3400.0,182029.0,,7018353.0,124019.0,,101177.0,231540.0,0.0,21120.0,3985.0,23500.0,,105.0,22273.0,206730.0,30.0,4178.0,483394.0,89290.0,4300.0,148398.0,,52500.0,89000.0,318.0,588462.0,10700.0,130.0,1214335.0,33000.0,16650.0,157106.0,5107.0,6300.0,,212327.0,,,2000.0
1967,6055000.0,3400.0,600.0,290000.0,76.0,1150.0,850.0,2500.0,17155.0,2640522.0,,17486.0,39.0,89430.0,92800.0,719086.0,800.0,32195.0,50486.0,5225.0,5073.0,,700.0,28058.0,63500.0,3600.0,,23267.0,163032.0,,79100.0,28300.0,162067.0,49755.0,219635.0,331100.0,177000.0,2600.0,10000.0,13440.0,14224.0,,183350.0,,127810.0,75.0,19972.0,6532.0,,95.0,56320.0,174193.0,102300.0,2580.0,15778.0,283860.0,276356.0,1380.0,,29392.0,0.0,29000.0,,110150.0,1554.0,29000.0,14808.0,152000.0,34268.0,,6700.0,700.0,,15000.0,3221.0,,,,,,34400.0,28530.0,50482.0,0.0,,152548.0,239161.0,,0.0,43085.0,10890.0,8793.0,953616.0,140600.0,756.0,,1100.0,6600.0,15000.0,12000.0,40000.0,294.0,55618.0,118500.0,194000.0,,,50.0,4000.0,480.0,78861.0,305000.0,458000.0,70000.0,40800.0,694600.0,,2650.0,114292.0,30228.0,133700.0,597000.0,5300.0,0.0,128110.0,905448.0,7000000.0,,8665700.0,1500.0,31967.0,62551.0,58884.0,22000.0,8717.0,288600.0,,19300.0,52028.0,2808.0,299700.0,,,,30750.0,688085.0,2400.0,252700.0,,7019972.0,127813.0,,91202.0,240624.0,0.0,26130.0,3880.0,24000.0,,105.0,23472.0,291190.0,30.0,3509.0,276016.0,69234.0,4300.0,237727.0,,55000.0,98000.0,450.0,610127.0,10800.0,130.0,1193474.0,40000.0,16650.0,179970.0,5459.0,7200.0,,181230.0,,,2000.0
1968,6663000.0,3300.0,900.0,310000.0,79.0,1200.0,900.0,2500.0,18020.0,2503321.0,,21270.0,38.0,70490.0,96300.0,691908.0,800.0,36278.0,47891.0,5551.0,392.0,,500.0,21734.0,63500.0,3700.0,,23000.0,121354.0,,75150.0,28450.0,83433.0,47407.0,127348.0,297730.0,181000.0,2600.0,11000.0,14520.0,10108.0,,162005.0,,123166.0,80.0,22812.0,4800.0,,100.0,61620.0,172392.0,105600.0,2738.0,11058.0,290813.0,231376.0,1410.0,,25100.0,0.0,31700.0,,88265.0,1449.0,49000.0,7991.0,157000.0,43915.0,,6220.0,700.0,,24600.0,2721.0,,,,,,38500.0,23300.0,46200.0,0.0,,132395.0,247236.0,,0.0,63478.0,27200.0,7555.0,836921.0,204700.0,1274.0,,1150.0,7300.0,16000.0,12000.0,40000.0,261.0,65732.0,100600.0,198000.0,,,50.0,4000.0,500.0,81829.0,272000.0,339000.0,60000.0,15717.0,715600.0,,3050.0,116960.0,37707.0,137220.0,696000.0,5500.0,0.0,100919.0,991684.0,6200000.0,,11957300.0,1500.0,35355.0,41590.0,72133.0,16000.0,8859.0,119996.0,,20812.0,50168.0,2208.0,308000.0,,,,17400.0,581750.0,2200.0,273300.0,,6222812.0,133077.0,,78923.0,404400.0,0.0,25140.0,3920.0,25000.0,,105.0,17986.0,246600.0,30.0,4604.0,371000.0,50635.0,4400.0,276319.0,,55900.0,88000.0,570.0,594393.0,10800.0,140.0,1079306.0,37000.0,17150.0,113079.0,4952.0,6400.0,,95832.0,,,2100.0
1969,7248000.0,2200.0,600.0,335000.0,123.0,1230.0,950.0,3000.0,15914.0,2284335.0,,26287.0,37.0,79690.0,99900.0,641533.0,755.0,56617.0,45295.0,4667.0,979.0,,300.0,21617.0,63500.0,3900.0,,22000.0,114390.0,,80700.0,28350.0,146305.0,55125.0,231991.0,299267.0,186000.0,2600.0,12000.0,9870.0,13107.0,,207072.0,,111304.0,85.0,24923.0,4664.0,,100.0,63984.0,159149.0,107000.0,2773.0,15296.0,339339.0,211969.0,1450.0,,27238.0,0.0,34200.0,,64716.0,1510.0,68000.0,10001.0,162000.0,42910.0,,7040.0,700.0,,25600.0,2267.0,,,,,,38800.0,22460.0,44661.0,0.0,,98700.0,308356.0,,0.0,87378.0,30761.0,6616.0,774406.0,194800.0,1551.0,,1200.0,7300.0,16000.0,12000.0,45000.0,170.0,62196.0,126800.0,202000.0,,,50.0,4500.0,520.0,62564.0,276000.0,338000.0,57000.0,25720.0,728900.0,,2830.0,106300.0,38007.0,129625.0,980000.0,5700.0,0.0,116506.0,1128895.0,6000000.0,,10567100.0,1500.0,51798.0,47417.0,69194.0,10000.0,7876.0,191700.0,,18811.0,43035.0,2889.0,287117.0,,,,22950.0,659874.0,2400.0,234360.0,,6024923.0,128406.0,,74000.0,300500.0,0.0,27150.0,3980.0,25000.0,,105.0,7086.0,217900.0,30.0,4752.0,376000.0,78020.0,4400.0,301540.0,,54900.0,87000.0,628.0,591374.0,11400.0,150.0,1055068.0,37000.0,17650.0,118125.0,5107.0,7500.0,,137759.0,,,2200.0
1970,7032000.0,2600.0,500.0,345000.0,154.0,1270.0,1000.0,7800.0,16434.0,2284883.0,,29877.0,37.0,91200.0,99800.0,574500.0,705.0,49207.0,42699.0,4742.0,341.0,,200.0,18172.0,75000.0,4100.0,,20727.0,131394.0,,83250.0,28950.0,135213.0,56354.0,108986.0,289180.0,191000.0,2600.0,14000.0,17000.0,10516.0,,208577.0,,112025.0,80.0,26062.0,3575.0,,95.0,62220.0,180236.0,111500.0,2263.0,12024.0,351411.0,189407.0,1500.0,,29946.0,0.0,19500.0,,89557.0,1474.0,81000.0,11080.0,168000.0,38909.0,,7405.0,700.0,,26700.0,2222.0,,,,,,32800.0,39636.0,43452.0,0.0,,103500.0,260633.0,,0.0,91507.0,42300.0,6666.0,780616.0,180500.0,2347.0,,1300.0,7300.0,17000.0,12000.0,50000.0,209.0,67000.0,113700.0,206000.0,,,55.0,4800.0,540.0,73406.0,293000.0,362000.0,55000.0,8373.0,745400.0,,2825.0,152970.0,38910.0,134000.0,933000.0,5900.0,0.0,120874.0,1002898.0,6900000.0,,12085700.0,1500.0,55261.0,50240.0,71656.0,11000.0,8155.0,229100.0,,21805.0,48816.0,2850.0,311100.0,,,,18100.0,619160.0,2500.0,267400.0,,6926062.0,131076.0,,73000.0,395240.0,0.0,26650.0,4828.0,24100.0,,110.0,6918.0,254306.0,30.0,5822.0,364000.0,74760.0,4500.0,246900.0,,56110.0,88000.0,650.0,561800.0,9200.0,140.0,1149179.0,35000.0,17650.0,87989.0,5422.0,7200.0,,120973.0,,,2200.0
