,"China, Hong Kong SAR","China, Taiwan Province of",Mozambique,Belize,Saudi Arabia,Tonga,Philippines,Syrian Arab Republic,Martinique,Belgium,Australia & New Zealand,Thailand,Indonesia,Greece,Iran (Islamic Republic of),Republic of Korea,Melanesia,Papua New Guinea,Rwanda,Bahamas,Barbados,French Polynesia,Algeria,United Arab Emirates,Senegal,Latvia,Haiti,Ukraine,Israel,Dominica,Fiji,Cabo Verde,USSR,Switzerland,Sri Lanka,Grenada,Uruguay,Azerbaijan,Central African Republic,Sudan (former),Réunion,China,Colombia,Libya,Trinidad and Tobago,Lebanon,Brunei Darussalam,Occupied Palestinian Territory,Chile,Hungary,Saint Lucia,South Africa,Mauritius,Saint Vincent and the Grenadines,Portugal,Poland,"China, mainland",Russian Federation,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,Malaysia,Germany,Malta,Dominican Republic,South Sudan,Guadeloupe,Denmark,Canada,Japan,Pakistan,Iraq,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Spain,New Zealand,Bahrain,Guyana,Bulgaria,United States of America,Bangladesh,Democratic Republic of the Congo,Sudan,Kuwait,Cuba,Kyrgyzstan,Argentina,Paraguay,Democratic People's Republic of Korea,India,El Salvador,Austria,Niger,Morocco,Bhutan,Qatar,Mexico,Cayman Islands,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Tunisia,Côte d'Ivoire,Albania,Slovakia,Jamaica,France,Italy,Polynesia,Australia,Egypt,Lithuania,Finland,Netherlands,Oman,Republic of Moldova,Turkey
1961,166667.0,108486.0,7935.0,-1.0,47368.0,-1.0,89552.0,68889.0,200000.0,-1.0,112396.0,95349.0,-1.0,72934.0,76923.0,104323.0,42609.0,42609.0,60000.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,112698.0,-1.0,-1.0,-1.0,-1.0,-1.0,38361.0,100000.0,55788.0,-1.0,35000.0,220000.0,-1.0,90521.0,145604.0,130435.0,88571.0,141667.0,-1.0,-1.0,241000.0,161178.0,-1.0,153846.0,150000.0,100000.0,150000.0,-1.0,89796.0,-1.0,-1.0,144737.0,-1.0,-1.0,300000.0,-1.0,27122.0,18134.0,-1.0,100000.0,181818.0,-1.0,164007.0,-1.0,98878.0,-1.0,164150.0,30000.0,240984.0,318750.0,-1.0,-1.0,389223.0,-1.0,55507.0,87190.0,-1.0,-1.0,14286.0,-1.0,131340.0,42857.0,87879.0,65200.0,-1.0,-1.0,-1.0,141026.0,-1.0,-1.0,100000.0,-1.0,17768.0,-1.0,-1.0,64682.0,110744.0,270270.0,-1.0,-1.0,-1.0,74513.0,454101.0,196575.0,50000.0,91743.0,165053.0,-1.0,-1.0,-1.0,-1.0,-1.0,164179.0
1962,175000.0,112943.0,17440.0,-1.0,50000.0,-1.0,89552.0,80712.0,200000.0,-1.0,112754.0,98387.0,-1.0,92332.0,75862.0,111025.0,44894.0,44894.0,60000.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,124742.0,-1.0,-1.0,-1.0,-1.0,-1.0,33386.0,100000.0,43023.0,-1.0,35000.0,220000.0,-1.0,89882.0,145946.0,130137.0,86667.0,163636.0,-1.0,-1.0,242000.0,162027.0,-1.0,157143.0,181250.0,100000.0,150000.0,-1.0,89000.0,-1.0,-1.0,131579.0,-1.0,-1.0,300000.0,-1.0,25000.0,17317.0,-1.0,100000.0,181818.0,-1.0,158462.0,-1.0,87177.0,-1.0,236646.0,30000.0,233929.0,288333.0,-1.0,-1.0,317318.0,-1.0,57308.0,100109.0,-1.0,-1.0,14005.0,-1.0,118836.0,42857.0,90909.0,65414.0,-1.0,-1.0,-1.0,138889.0,-1.0,-1.0,100000.0,-1.0,9820.0,-1.0,-1.0,66567.0,112454.0,266667.0,-1.0,-1.0,-1.0,73891.0,361433.0,195909.0,50000.0,91743.0,169923.0,-1.0,-1.0,-1.0,-1.0,-1.0,158333.0
1963,176471.0,117306.0,20000.0,-1.0,50000.0,-1.0,89552.0,70402.0,200000.0,-1.0,111507.0,98969.0,-1.0,86928.0,76250.0,163254.0,39000.0,39000.0,60000.0,-1.0,-1.0,55000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,135556.0,-1.0,-1.0,-1.0,-1.0,-1.0,38476.0,100000.0,43210.0,-1.0,35000.0,204545.0,-1.0,82938.0,145745.0,130682.0,86933.0,116667.0,-1.0,-1.0,240594.0,163067.0,-1.0,160000.0,186667.0,91667.0,150000.0,-1.0,81818.0,-1.0,-1.0,131579.0,-1.0,-1.0,300000.0,-1.0,91538.0,17514.0,-1.0,100000.0,181818.0,-1.0,156988.0,-1.0,89510.0,-1.0,217326.0,33333.0,235088.0,261111.0,-1.0,-1.0,446085.0,-1.0,54343.0,100086.0,-1.0,-1.0,15413.0,-1.0,112578.0,42857.0,88235.0,67143.0,-1.0,-1.0,-1.0,141935.0,-1.0,-1.0,100000.0,-1.0,8454.0,-1.0,-1.0,63474.0,113671.0,266667.0,-1.0,-1.0,-1.0,76881.0,386715.0,194980.0,55000.0,91743.0,171093.0,-1.0,-1.0,-1.0,-1.0,-1.0,158009.0
1964,177778.0,121720.0,20000.0,-1.0,52381.0,-1.0,89552.0,76628.0,200000.0,-1.0,108846.0,100000.0,-1.0,96420.0,78235.0,118705.0,33158.0,33158.0,60000.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,130890.0,-1.0,-1.0,-1.0,-1.0,-1.0,65980.0,98571.0,42857.0,-1.0,35000.0,204545.0,-1.0,83308.0,145263.0,130000.0,88000.0,116296.0,-1.0,-1.0,239216.0,159500.0,-1.0,162500.0,141935.0,91667.0,150000.0,-1.0,82143.0,-1.0,-1.0,157895.0,-1.0,-1.0,300000.0,-1.0,74545.0,17989.0,-1.0,100000.0,181818.0,-1.0,151220.0,-1.0,91648.0,-1.0,189317.0,35714.0,236538.0,240602.0,-1.0,-1.0,408753.0,-1.0,57179.0,100098.0,-1.0,-1.0,18946.0,-1.0,105154.0,42667.0,88235.0,67007.0,-1.0,-1.0,-1.0,137931.0,-1.0,-1.0,100000.0,-1.0,7604.0,-1.0,-1.0,60028.0,105467.0,266875.0,-1.0,-1.0,-1.0,78278.0,304353.0,191621.0,60000.0,91743.0,168861.0,-1.0,-1.0,-1.0,-1.0,-1.0,157983.0
1965,181550.0,126503.0,20000.0,-1.0,54545.0,-1.0,89706.0,81855.0,200000.0,-1.0,104829.0,101429.0,-1.0,99574.0,79444.0,109375.0,20270.0,20270.0,60000.0,-1.0,-1.0,65000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,151685.0,-1.0,-1.0,-1.0,-1.0,-1.0,77559.0,98571.0,43077.0,-1.0,80000.0,213636.0,-1.0,80675.0,145833.0,130435.0,103500.0,116379.0,-1.0,-1.0,239161.0,160000.0,-1.0,164706.0,128981.0,100000.0,150000.0,-1.0,79310.0,-1.0,-1.0,157895.0,-1.0,-1.0,300000.0,-1.0,85435.0,17884.0,-1.0,100000.0,163750.0,-1.0,154211.0,-1.0,91264.0,-1.0,157644.0,35000.0,229412.0,178351.0,-1.0,-1.0,212655.0,-1.0,62893.0,100157.0,-1.0,-1.0,21262.0,-1.0,119443.0,42500.0,91429.0,66667.0,-1.0,-1.0,-1.0,138889.0,-1.0,-1.0,100000.0,-1.0,6286.0,-1.0,-1.0,77984.0,105609.0,267895.0,-1.0,-1.0,-1.0,75559.0,291474.0,190416.0,65000.0,91743.0,172258.0,-1.0,-1.0,-1.0,-1.0,-1.0,157805.0
1966,168750.0,113581.0,20000.0,-1.0,54545.0,-1.0,89706.0,81232.0,200000.0,-1.0,94500.0,103896.0,-1.0,116344.0,81579.0,117412.0,22821.0,22821.0,60000.0,-1.0,-1.0,70000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,143915.0,-1.0,-1.0,-1.0,-1.0,-1.0,43125.0,100000.0,47181.0,-1.0,80000.0,202083.0,-1.0,79854.0,145641.0,130233.0,100250.0,68303.0,-1.0,-1.0,238835.0,161300.0,-1.0,161111.0,166987.0,100000.0,150000.0,-1.0,78814.0,-1.0,-1.0,152314.0,-1.0,-1.0,300000.0,-1.0,73164.0,18154.0,-1.0,100000.0,190000.0,-1.0,153423.0,-1.0,92834.0,-1.0,176915.0,37500.0,222134.0,161000.0,-1.0,-1.0,490922.0,-1.0,65097.0,100158.0,-1.0,-1.0,18182.0,-1.0,117677.0,42500.0,94286.0,70000.0,-1.0,-1.0,-1.0,140788.0,-1.0,-1.0,99145.0,20000.0,11851.0,-1.0,-1.0,75862.0,69683.0,270476.0,-1.0,-1.0,-1.0,95275.0,293180.0,196610.0,70000.0,85000.0,178184.0,-1.0,-1.0,-1.0,-1.0,-1.0,171585.0
1967,199233.0,117108.0,20000.0,-1.0,56522.0,-1.0,89855.0,93625.0,200000.0,-1.0,94713.0,105882.0,-1.0,110106.0,81463.0,120402.0,52632.0,52632.0,60000.0,-1.0,-1.0,75000.0,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,143500.0,-1.0,-1.0,-1.0,-1.0,-1.0,29552.0,98611.0,43333.0,-1.0,80357.0,202083.0,-1.0,83259.0,146939.0,130435.0,98000.0,81225.0,-1.0,-1.0,238417.0,170865.0,-1.0,164706.0,200064.0,108333.0,150000.0,-1.0,81897.0,-1.0,-1.0,143209.0,-1.0,-1.0,298611.0,-1.0,98278.0,18202.0,-1.0,100000.0,106111.0,-1.0,168894.0,-1.0,107448.0,-1.0,199393.0,38889.0,230051.0,182222.0,-1.0,-1.0,428980.0,-1.0,67593.0,99869.0,-1.0,-1.0,18021.0,-1.0,123594.0,42169.0,97222.0,69412.0,-1.0,-1.0,-1.0,139535.0,-1.0,-1.0,99153.0,20000.0,10785.0,-1.0,-1.0,76664.0,69252.0,271905.0,-1.0,-1.0,-1.0,75155.0,281562.0,205746.0,75000.0,84615.0,165548.0,-1.0,-1.0,-1.0,-1.0,-1.0,172193.0
1968,138800.0,72270.0,22857.0,-1.0,56000.0,-1.0,89855.0,87851.0,200000.0,-1.0,89694.0,107527.0,-1.0,183341.0,82326.0,111682.0,54211.0,54211.0,60000.0,-1.0,-1.0,53333.0,-1.0,31250.0,-1.0,-1.0,-1.0,-1.0,139175.0,-1.0,-1.0,-1.0,-1.0,-1.0,33070.0,100000.0,43077.0,-1.0,80000.0,200000.0,-1.0,82684.0,148223.0,130435.0,97765.0,93826.0,-1.0,-1.0,238462.0,170856.0,-1.0,166667.0,193279.0,92857.0,150000.0,-1.0,82759.0,-1.0,-1.0,121093.0,-1.0,-1.0,300546.0,-1.0,81233.0,17828.0,-1.0,100000.0,100909.0,-1.0,176684.0,-1.0,96326.0,-1.0,201410.0,40000.0,230567.0,182222.0,-1.0,-1.0,183576.0,-1.0,77676.0,99985.0,-1.0,-1.0,13123.0,-1.0,130939.0,42353.0,102703.0,69714.0,-1.0,-1.0,-1.0,130000.0,-1.0,-1.0,99160.0,20000.0,16260.0,-1.0,-1.0,94107.0,101856.0,267500.0,-1.0,-1.0,-1.0,68547.0,276271.0,212515.0,53333.0,79749.0,172204.0,-1.0,-1.0,-1.0,-1.0,-1.0,172365.0
1969,185714.0,125564.0,22857.0,-1.0,55556.0,-1.0,90000.0,97271.0,200000.0,-1.0,100503.0,107843.0,-1.0,138879.0,81739.0,113691.0,46667.0,46667.0,60000.0,-1.0,-1.0,56667.0,28571.0,31250.0,-1.0,-1.0,-1.0,-1.0,161828.0,-1.0,-1.0,-1.0,-1.0,-1.0,34524.0,98649.0,42857.0,-1.0,80882.0,200000.0,-1.0,85279.0,150254.0,130081.0,108100.0,85288.0,-1.0,-1.0,238506.0,172089.0,-1.0,168421.0,177927.0,100000.0,150000.0,-1.0,83621.0,-1.0,-1.0,113751.0,-1.0,-1.0,300000.0,-1.0,86863.0,17987.0,-1.0,100000.0,193684.0,-1.0,169306.0,-1.0,99569.0,-1.0,202189.0,39167.0,234183.0,160000.0,-1.0,-1.0,317623.0,-1.0,81014.0,100000.0,-1.0,-1.0,16248.0,-1.0,126369.0,42045.0,102632.0,69444.0,-1.0,-1.0,-1.0,141026.0,-1.0,-1.0,99167.0,20000.0,16577.0,-1.0,-1.0,68137.0,102874.0,264500.0,-1.0,-1.0,-1.0,81888.0,284958.0,231266.0,56667.0,91513.0,179052.0,-1.0,-1.0,-1.0,-1.0,-1.0,171631.0
1970,200000.0,136719.0,22857.0,-1.0,53333.0,-1.0,90000.0,86378.0,200000.0,-1.0,85608.0,109649.0,-1.0,155119.0,85106.0,121611.0,53750.0,53750.0,60241.0,-1.0,-1.0,60000.0,25000.0,24000.0,-1.0,-1.0,-1.0,-1.0,164583.0,-1.0,-1.0,-1.0,-1.0,-1.0,35384.0,100000.0,41498.0,-1.0,80000.0,200000.0,-1.0,87181.0,150754.0,130081.0,101368.0,103501.0,-1.0,-1.0,238095.0,170733.0,-1.0,170000.0,174933.0,100000.0,150000.0,-1.0,85345.0,-1.0,-1.0,136089.0,-1.0,-1.0,293478.0,-1.0,81447.0,18498.0,-1.0,100000.0,206400.0,-1.0,166576.0,-1.0,96140.0,-1.0,144067.0,39286.0,219195.0,160000.0,-1.0,-1.0,393300.0,-1.0,81737.0,159500.0,-1.0,-1.0,13467.0,-1.0,139781.0,42233.0,100000.0,72678.0,-1.0,-1.0,-1.0,140000.0,-1.0,-1.0,99174.0,20000.0,12350.0,-1.0,-1.0,125078.0,104563.0,270476.0,-1.0,-1.0,-1.0,92343.0,282515.0,233894.0,60000.0,77082.0,175095.0,-1.0,-1.0,-1.0,-1.0,-1.0,171658.0
