,United Republic of Tanzania,Kenya,Bolivia (Plurinational State of),Papua New Guinea,Italy,Morocco,Japan,Rwanda,Melanesia,Ecuador,Brazil,Tunisia,Spain
1961,1132.0,9312.0,-1.0,50.0,-1.0,150.0,2000.0,408.0,50.0,500.0,-1.0,-1.0,-1.0
1962,1466.0,10931.0,-1.0,100.0,-1.0,150.0,2000.0,430.0,100.0,500.0,-1.0,-1.0,-1.0
1963,2299.0,8511.0,-1.0,150.0,-1.0,150.0,2000.0,337.0,150.0,1100.0,-1.0,-1.0,-1.0
1964,2317.0,5269.0,-1.0,200.0,-1.0,150.0,2000.0,340.0,200.0,1800.0,-1.0,-1.0,-1.0
1965,2948.0,6256.0,-1.0,250.0,-1.0,150.0,1500.0,470.0,250.0,2000.0,-1.0,-1.0,-1.0
1966,4160.0,9621.0,-1.0,288.0,-1.0,150.0,1200.0,396.0,288.0,2605.0,-1.0,-1.0,-1.0
1967,6015.0,10698.0,-1.0,590.0,-1.0,150.0,1000.0,520.0,590.0,3626.0,-1.0,-1.0,-1.0
1968,5266.0,11236.0,-1.0,464.0,-1.0,150.0,800.0,432.0,464.0,3974.0,-1.0,-1.0,-1.0
1969,4862.0,7423.0,-1.0,404.0,-1.0,150.0,700.0,524.0,404.0,1586.0,-1.0,-1.0,-1.0
1970,2416.0,6005.0,30.0,506.0,-1.0,150.0,600.0,556.0,506.0,1233.0,200.0,-1.0,-1.0
1971,2732.0,9748.0,35.0,410.0,-1.0,150.0,600.0,864.0,410.0,962.0,200.0,-1.0,-1.0
1972,4276.0,14414.0,40.0,330.0,-1.0,150.0,550.0,1174.0,330.0,618.0,200.0,-1.0,-1.0
1973,4016.0,10698.0,10.0,256.0,-1.0,150.0,550.0,1427.0,256.0,612.0,200.0,-1.0,-1.0
1974,3280.0,13722.0,5.0,322.0,-1.0,150.0,450.0,1301.0,322.0,338.0,200.0,-1.0,-1.0
1975,4741.0,15034.0,5.0,336.0,-1.0,150.0,450.0,1753.0,336.0,183.0,200.0,-1.0,-1.0
1976,3648.0,14267.0,5.0,268.0,-1.0,150.0,400.0,1500.0,268.0,117.0,200.0,-1.0,-1.0
1977,3453.0,11429.0,5.0,395.0,-1.0,150.0,350.0,1136.0,395.0,190.0,200.0,-1.0,-1.0
1978,2546.0,8435.0,0.0,152.0,200.0,150.0,300.0,943.0,152.0,162.0,200.0,-1.0,-1.0
1979,1603.0,8121.0,-1.0,171.0,200.0,150.0,250.0,795.0,171.0,260.0,200.0,-1.0,-1.0
1980,1624.0,12337.0,-1.0,208.0,200.0,150.0,200.0,869.0,208.0,265.0,200.0,-1.0,-1.0
1981,2002.0,19000.0,-1.0,390.0,200.0,150.0,150.0,955.0,390.0,300.0,200.0,-1.0,-1.0
1982,1899.0,22202.0,-1.0,390.0,200.0,150.0,100.0,1107.0,390.0,21.0,200.0,-1.0,-1.0
1983,1601.0,28643.0,-1.0,390.0,200.0,150.0,50.0,1201.0,390.0,71.0,200.0,40.0,-1.0
1984,1439.0,23438.0,-1.0,390.0,200.0,300.0,0.0,1201.0,390.0,39.0,200.0,60.0,-1.0
1985,1582.0,15779.0,-1.0,400.0,200.0,200.0,-1.0,780.0,400.0,29.0,200.0,100.0,-1.0
1986,1351.0,6107.0,-1.0,410.0,200.0,200.0,-1.0,596.0,410.0,32.0,0.0,150.0,-1.0
1987,1231.0,6860.0,-1.0,410.0,200.0,300.0,-1.0,486.0,410.0,3.0,-1.0,200.0,-1.0
1988,1411.0,7524.0,-1.0,440.0,200.0,200.0,-1.0,608.0,440.0,11.0,-1.0,180.0,-1.0
1989,1312.0,9154.0,-1.0,440.0,200.0,150.0,-1.0,816.0,440.0,8.0,-1.0,190.0,-1.0
1990,1590.0,10061.0,0.0,450.0,200.0,200.0,0.0,1047.0,450.0,6.0,0.0,138.0,5.0
1991,1680.0,13558.0,0.0,460.0,200.0,201.0,0.0,915.0,460.0,65.0,0.0,201.0,-1.0
1992,2220.0,16000.0,0.0,470.0,200.0,200.0,0.0,900.0,470.0,60.0,0.0,200.0,-1.0
1993,2700.0,15000.0,-1.0,475.0,200.0,200.0,-1.0,919.0,475.0,60.0,-1.0,200.0,-1.0
1994,2800.0,13000.0,-1.0,500.0,200.0,200.0,-1.0,926.0,500.0,65.0,-1.0,200.0,0.0
1995,2400.0,10000.0,-1.0,500.0,200.0,200.0,-1.0,932.0,500.0,70.0,-1.0,200.0,0.0
1996,2000.0,7490.0,-1.0,550.0,200.0,200.0,-1.0,940.0,550.0,80.0,-1.0,200.0,0.0
1997,1300.0,6220.0,-1.0,600.0,200.0,200.0,-1.0,947.0,600.0,90.0,-1.0,200.0,10.0
1998,1300.0,7120.0,-1.0,700.0,200.0,200.0,-1.0,950.0,700.0,100.0,-1.0,200.0,20.0
1999,1700.0,10000.0,-1.0,800.0,200.0,200.0,-1.0,969.0,800.0,100.0,-1.0,200.0,10.0
2000,1767.0,8000.0,-1.0,850.0,300.0,200.0,-1.0,1000.0,850.0,100.0,-1.0,200.0,10.0
2001,1800.0,8000.0,-1.0,900.0,300.0,200.0,-1.0,1000.0,900.0,105.0,-1.0,200.0,-1.0
2002,2500.0,8000.0,-1.0,900.0,300.0,200.0,-1.0,1000.0,900.0,110.0,-1.0,200.0,-1.0
2003,1100.0,8000.0,-1.0,1000.0,300.0,200.0,-1.0,1000.0,1000.0,110.0,-1.0,200.0,-1.0
2004,800.0,8000.0,-1.0,1000.0,300.0,200.0,-1.0,1000.0,1000.0,115.0,-1.0,200.0,-1.0
2005,1000.0,8000.0,-1.0,1100.0,300.0,200.0,-1.0,1000.0,1100.0,115.0,-1.0,200.0,-1.0
2006,2800.0,8000.0,-1.0,1100.0,300.0,200.0,-1.0,1000.0,1100.0,120.0,-1.0,200.0,-1.0
2007,2100.0,8000.0,-1.0,1100.0,300.0,200.0,-1.0,1000.0,1100.0,120.0,-1.0,200.0,-1.0
