,Ecuador,Japan,Bolivia (Plurinational State of),Papua New Guinea,Brazil,Melanesia,Morocco,Rwanda,Kenya,Spain,Tunisia,Italy,United Republic of Tanzania
1961,500.0,2000.0,,50.0,,50.0,150.0,408.0,9312.0,-1.0,,,1132.0
1962,500.0,2000.0,,100.0,,100.0,150.0,430.0,10931.0,-1.0,,,1466.0
1963,1100.0,2000.0,,150.0,,150.0,150.0,337.0,8511.0,-1.0,,,2299.0
1964,1800.0,2000.0,,200.0,,200.0,150.0,340.0,5269.0,-1.0,,,2317.0
1965,2000.0,1500.0,,250.0,,250.0,150.0,470.0,6256.0,-1.0,,,2948.0
1966,2605.0,1200.0,,288.0,,288.0,150.0,396.0,9621.0,-1.0,,,4160.0
1967,3626.0,1000.0,,590.0,,590.0,150.0,520.0,10698.0,-1.0,,,6015.0
1968,3974.0,800.0,,464.0,,464.0,150.0,432.0,11236.0,-1.0,,,5266.0
1969,1586.0,700.0,,404.0,,404.0,150.0,524.0,7423.0,-1.0,,,4862.0
1970,1233.0,600.0,30.0,506.0,200.0,506.0,150.0,556.0,6005.0,-1.0,,,2416.0
1971,962.0,600.0,35.0,410.0,200.0,410.0,150.0,864.0,9748.0,-1.0,,,2732.0
1972,618.0,550.0,40.0,330.0,200.0,330.0,150.0,1174.0,14414.0,-1.0,,,4276.0
1973,612.0,550.0,10.0,256.0,200.0,256.0,150.0,1427.0,10698.0,-1.0,,,4016.0
1974,338.0,450.0,5.0,322.0,200.0,322.0,150.0,1301.0,13722.0,-1.0,,,3280.0
1975,183.0,450.0,5.0,336.0,200.0,336.0,150.0,1753.0,15034.0,-1.0,,,4741.0
1976,117.0,400.0,5.0,268.0,200.0,268.0,150.0,1500.0,14267.0,-1.0,,,3648.0
1977,190.0,350.0,5.0,395.0,200.0,395.0,150.0,1136.0,11429.0,-1.0,,,3453.0
1978,162.0,300.0,0.0,152.0,200.0,152.0,150.0,943.0,8435.0,-1.0,,200.0,2546.0
1979,260.0,250.0,,171.0,200.0,171.0,150.0,795.0,8121.0,-1.0,,200.0,1603.0
1980,265.0,200.0,,208.0,200.0,208.0,150.0,869.0,12337.0,-1.0,,200.0,1624.0
1981,300.0,150.0,,390.0,200.0,390.0,150.0,955.0,19000.0,-1.0,,200.0,2002.0
1982,21.0,100.0,,390.0,200.0,390.0,150.0,1107.0,22202.0,-1.0,,200.0,1899.0
1983,71.0,50.0,,390.0,200.0,390.0,150.0,1201.0,28643.0,-1.0,40.0,200.0,1601.0
