,USSR,Romania,Syrian Arab Republic,Australia & New Zealand,Australia,Iraq,The former Yugoslav Republic of Macedonia,Belgium,Uruguay,South Africa,Italy,Serbia,Lebanon,Croatia,Latvia,Slovenia,Albania,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Argentina,Spain,Kyrgyzstan,New Zealand,Cyprus,Austria,Israel,Japan,Republic of Moldova,Turkey,Belarus,Belgium-Luxembourg,Switzerland,Georgia,Mexico,Azerbaijan,France,Ukraine,Tunisia,Bosnia and Herzegovina,Hungary,Russian Federation,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Peru,Greece,China,"China, mainland",Yemen,Algeria,Kazakhstan,Lithuania,Portugal,Brazil
1961,10000.0,-1.0,100.0,17.0,-1.0,-1.0,,,-1.0,-1.0,,,200.0,,,,-1.0,,-1.0,,,-1.0,90.0,,-1.0,635.0,,17.0,90.0,,100.0,-1.0,,9233.0,,-1.0,-1.0,,1199.0,,5.0,,220.0,,-1.0,,165.0,,-1.0,2000.0,1200.0,500.0,-1.0,-1.0,,-1.0,,,1300.0,6500.0
1962,10000.0,-1.0,200.0,16.0,-1.0,-1.0,,,-1.0,-1.0,,,250.0,,,,-1.0,,-1.0,,,-1.0,90.0,,-1.0,645.0,,16.0,90.0,,100.0,-1.0,,9400.0,,-1.0,-1.0,,1158.0,,5.0,,220.0,,-1.0,,251.0,,-1.0,2000.0,1200.0,500.0,-1.0,-1.0,,-1.0,,,1320.0,4500.0
1963,13000.0,-1.0,100.0,9.0,-1.0,-1.0,,,-1.0,-1.0,,,300.0,,,,-1.0,,-1.0,,,-1.0,90.0,,-1.0,658.0,,9.0,90.0,,100.0,-1.0,,9650.0,,-1.0,-1.0,,1200.0,,3.0,,220.0,,-1.0,,303.0,,-1.0,2000.0,1200.0,500.0,-1.0,-1.0,,-1.0,,,1340.0,6500.0
1964,13000.0,-1.0,100.0,8.0,-1.0,-1.0,,,-1.0,-1.0,,,240.0,,,,-1.0,,-1.0,,,-1.0,90.0,,-1.0,672.0,,8.0,95.0,,100.0,-1.0,,9633.0,,-1.0,-1.0,,1239.0,,3.0,,220.0,,-1.0,,317.0,,-1.0,2000.0,1600.0,500.0,-1.0,-1.0,,-1.0,,,1360.0,10300.0
1965,13000.0,-1.0,200.0,8.0,-1.0,-1.0,,,-1.0,-1.0,,,240.0,,,,-1.0,,-1.0,,,-1.0,90.0,,-1.0,673.0,,8.0,95.0,,100.0,-1.0,,9667.0,,-1.0,-1.0,,1386.0,,4.0,,220.0,,-1.0,,371.0,,-1.0,2000.0,1250.0,500.0,-1.0,-1.0,,-1.0,,,1380.0,8561.0
1966,13000.0,-1.0,300.0,8.0,-1.0,-1.0,,,-1.0,-1.0,,,240.0,,,,-1.0,,-1.0,,,-1.0,90.0,,-1.0,579.0,,8.0,95.0,,100.0,-1.0,,9767.0,,-1.0,-1.0,,1475.0,,4.0,,150.0,,-1.0,,458.0,140.0,-1.0,2000.0,1058.0,500.0,-1.0,-1.0,,-1.0,,,1400.0,8856.0
1967,13000.0,-1.0,500.0,8.0,-1.0,-1.0,,,-1.0,-1.0,,,221.0,,,,-1.0,,-1.0,,,-1.0,96.0,,-1.0,613.0,,8.0,100.0,,100.0,-1.0,,9010.0,,-1.0,-1.0,,1513.0,,19.0,,120.0,,-1.0,,565.0,140.0,-1.0,2100.0,1068.0,500.0,-1.0,-1.0,,-1.0,,,1400.0,8932.0
1968,13000.0,-1.0,467.0,6.0,-1.0,-1.0,,,-1.0,-1.0,,,202.0,,,,-1.0,,-1.0,,,-1.0,48.0,,-1.0,639.0,,6.0,100.0,,100.0,-1.0,,7967.0,,-1.0,-1.0,,1508.0,,26.0,,130.0,,-1.0,,734.0,140.0,-1.0,2100.0,867.0,500.0,-1.0,-1.0,,-1.0,,,1450.0,8948.0
1969,13000.0,-1.0,464.0,4.0,-1.0,-1.0,,,-1.0,-1.0,,,127.0,,,,-1.0,,-1.0,,,-1.0,,,-1.0,671.0,,4.0,100.0,,100.0,-1.0,,8333.0,,-1.0,-1.0,,1675.0,,50.0,,160.0,,-1.0,,964.0,150.0,-1.0,2100.0,1031.0,500.0,-1.0,-1.0,,-1.0,,,1480.0,8342.0
1970,24000.0,-1.0,432.0,4.0,-1.0,-1.0,,,-1.0,-1.0,,,255.0,,,,-1.0,,-1.0,,,-1.0,,,-1.0,509.0,,4.0,100.0,,100.0,-1.0,,8330.0,,-1.0,-1.0,,2084.0,,50.0,,270.0,,-1.0,,1090.0,150.0,-1.0,2300.0,952.0,500.0,-1.0,-1.0,,-1.0,,,1480.0,8343.0
1971,24000.0,-1.0,429.0,5.0,-1.0,-1.0,,,-1.0,-1.0,,,298.0,,,,-1.0,,-1.0,,,-1.0,2.0,,-1.0,546.0,,5.0,107.0,,100.0,-1.0,,8313.0,,-1.0,-1.0,,1907.0,,200.0,,270.0,,-1.0,,1132.0,180.0,-1.0,2300.0,917.0,400.0,-1.0,-1.0,,-1.0,,,1510.0,5812.0
