,Ecuador,Estonia,Bolivia (Plurinational State of),Peru
1961,741.0,-1,9200.0,22494.0
1962,2385.0,-1,10200.0,24364.0
1963,2252.0,-1,13500.0,25060.0
1964,1403.0,-1,11200.0,17635.0
1965,878.0,-1,6800.0,18533.0
1966,872.0,-1,8000.0,12583.0
1967,800.0,-1,7400.0,14347.0
1968,768.0,-1,9600.0,5245.0
1969,740.0,-1,9600.0,7563.0
1970,740.0,-1,9700.0,7307.0
1971,740.0,-1,10500.0,6405.0
1972,740.0,-1,10800.0,6202.0
1973,700.0,-1,12000.0,7130.0
1974,1100.0,-1,13205.0,6572.0
1975,1300.0,-1,15200.0,8142.0
1976,1500.0,-1,14960.0,8676.0
1977,1500.0,-1,9035.0,10679.0
1978,1500.0,-1,7660.0,10231.0
1979,1000.0,-1,6000.0,9286.0
1980,500.0,-1,8935.0,16324.0
1981,100.0,-1,13040.0,13112.0
1982,11.0,-1,15785.0,17028.0
1983,14.0,-1,11710.0,8638.0
1984,22.0,-1,16622.0,14203.0
1985,31.0,-1,21144.0,8014.0
1986,104.0,-1,20631.0,10004.0
1987,309.0,-1,23897.0,9921.0
1988,556.0,-1,22600.0,16284.0
1989,471.0,-1,18230.0,15753.0
1990,675.0,-1,16077.0,6260.0
1991,450.0,-1,19651.0,18266.0
1992,1001.0,-1,16858.0,4961.0
1993,493.0,-1,19129.0,17157.0
1994,362.0,-1,19465.0,16629.0
1995,408.0,-1,18814.0,13773.0
1996,555.0,-1,23498.0,16070.0
1997,304.0,-1,26366.0,23688.0
1998,938.0,-1,20291.0,28171.0
1999,938.0,-1,22498.0,28413.0
2000,650.0,-1,23785.0,28191.0
2001,320.0,-1,23299.0,22267.0
2002,294.0,-1,24179.0,30373.0
2003,519.0,-1,24936.0,30085.0
2004,641.0,-1,24688.0,26997.0
2005,652.0,-1,25201.0,32590.0
2006,660.0,-1,26873.0,30429.0
2007,690.0,-1,26601.0,31824.0
2008,741.0,-1,27169.0,29867.0
2009,800.0,-1,34156.0,39397.0
2010,1644.0,-1,36724.0,41079.0
2011,1963.0,-1,40943.0,41182.0
2012,2299.0,-1,50874.0,44213.0
2013,2677.0,-1,63075.0,52129.0
2014,3711.0,-1,74382.0,114725.0
