,Ecuador,Bolivia (Plurinational State of),Peru
1961,85.0,335.0,601.0
1962,80.0,339.0,593.0
1963,141.0,282.0,388.0
1964,37.0,255.0,390.0
1965,37.0,240.0,357.0
1966,34.0,185.0,366.0
1967,31.0,212.0,201.0
1968,31.0,212.0,339.0
1969,31.0,183.0,327.0
1970,31.0,225.0,301.0
1971,31.0,225.0,260.0
1972,31.0,240.0,265.0
1973,50.0,253.0,260.0
1974,56.0,289.0,265.0
1975,62.0,312.0,301.0
1976,93.0,336.0,395.0
1977,93.0,267.0,389.0
1978,84.0,157.0,345.0
1979,40.0,235.0,373.0
1980,8.0,346.0,316.0
1981,1.0,374.0,302.0
1982,1.0,646.0,294.0
1983,2.0,501.0,291.0
1984,2.0,719.0,343.0
1985,5.0,643.0,366.0
1986,11.0,710.0,358.0
1987,47.0,750.0,334.0
1988,32.0,640.0,375.0
1989,31.0,579.0,385.0
1990,33.0,582.0,367.0
1991,70.0,581.0,356.0
1992,37.0,578.0,411.0
1993,31.0,573.0,388.0
1994,37.0,552.0,335.0
1995,47.0,562.0,485.0
1996,31.0,580.0,547.0
1997,62.0,566.0,419.0
1998,62.0,539.0,468.0
1999,47.0,553.0,440.0
2000,25.0,558.0,435.0
2001,23.0,567.0,425.0
2002,8.0,574.0,422.0
2003,9.0,580.0,434.0
2004,33.0,590.0,431.0
2005,33.0,636.0,431.0
2006,33.0,682.0,449.0
2007,34.0,696.0,331.0
2008,29.0,899.0,400.0
2009,37.0,877.0,600.0
2010,40.0,950.0,710.0
2011,40.0,1968.0,770.0
2012,40.0,1443.0,897.0
2013,40.0,1620.0,1363.0
2014,40.0,1751.0,1363.0
