,Ecuador,Bolivia (Plurinational State of),Peru
1961,3810.0,4182.0,7862.0
1962,8673.0,4574.0,8111.0
1963,8708.0,5973.0,8455.0
1964,3079.0,5957.0,9095.0
1965,7441.0,4000.0,9511.0
1966,7267.0,5000.0,7055.0
1967,7273.0,6002.0,7838.0
1968,7680.0,6799.0,5214.0
1969,7400.0,6784.0,4461.0
1970,7400.0,7951.0,4464.0
1971,7400.0,7000.0,4260.0
1972,7400.0,7200.0,4763.0
1973,7000.0,7500.0,5381.0
1974,6875.0,7818.0,5063.0
1975,7222.0,7900.0,6155.0
1976,7500.0,7192.0,5759.0
1977,5000.0,4033.0,5408.0
1978,5000.0,4296.0,5263.0
1979,3704.0,5739.0,5389.0
1980,3846.0,5713.0,8760.0
1981,3704.0,5660.0,7132.0
1982,4074.0,6332.0,7864.0
1983,3500.0,2718.0,6014.0
1984,4074.0,4979.0,7740.0
1985,4493.0,4411.0,6757.0
1986,5876.0,4815.0,7397.0
1987,8560.0,5049.0,7566.0
1988,4520.0,4520.0,8814.0
1989,5414.0,4275.0,10336.0
1990,7593.0,4163.0,7747.0
1991,4206.0,5066.0,8695.0
1992,4931.0,4356.0,6300.0
1993,4930.0,4966.0,9632.0
1994,5171.0,5096.0,8036.0
1995,5100.0,5114.0,7354.0
1996,5045.0,6267.0,8592.0
1997,5067.0,6816.0,8763.0
1998,5211.0,5380.0,9170.0
1999,5211.0,6256.0,9805.0
2000,5000.0,6455.0,9758.0
2001,4923.0,6259.0,8698.0
2002,4900.0,6394.0,10906.0
2003,5190.0,6513.0,10621.0
2004,6983.0,6388.0,9755.0
2005,7018.0,6412.0,11382.0
2006,6947.0,6333.0,10161.0
2007,7041.0,5852.0,10475.0
2008,7410.0,5859.0,9584.0
2009,7273.0,5700.0,11578.0
2010,8083.0,6278.0,11633.0
2011,8224.0,6467.0,11609.0
2012,8499.0,3878.0,11485.0
2013,9038.0,4282.0,11618.0
2014,9003.0,6043.0,16837.0
