,"China, Taiwan Province of","China, mainland",Japan,Republic of Korea,Philippines,Brazil,Lao People's Democratic Republic,China,Thailand
1961,1384.0,20000.0,1350.0,1319.0,2000.0,14000.0,300.0,21384.0,
1962,924.0,22000.0,1060.0,1430.0,2540.0,14000.0,300.0,22924.0,
1963,1181.0,24000.0,580.0,1514.0,3220.0,13000.0,300.0,25181.0,
1964,1189.0,26000.0,680.0,1548.0,3240.0,17000.0,350.0,27189.0,
1965,915.0,26000.0,460.0,3136.0,3150.0,18000.0,350.0,26915.0,
1966,846.0,26000.0,-1.0,3301.0,2820.0,20000.0,350.0,26846.0,
1967,825.0,26000.0,-1.0,3342.0,2460.0,22000.0,380.0,26825.0,
1968,788.0,27000.0,-1.0,1265.0,770.0,23000.0,380.0,27788.0,
1969,777.0,27000.0,-1.0,1445.0,1360.0,25000.0,400.0,27777.0,
1970,733.0,28000.0,-1.0,864.0,2380.0,26000.0,400.0,28733.0,
1971,416.0,28000.0,-1.0,895.0,2400.0,22749.0,400.0,28416.0,
1972,384.0,28000.0,-1.0,821.0,2370.0,23099.0,400.0,28384.0,
1973,131.0,29000.0,-1.0,790.0,2380.0,26725.0,400.0,29131.0,
1974,47.0,29000.0,-1.0,762.0,2200.0,16770.0,400.0,29047.0,
1975,60.0,29000.0,-1.0,626.0,1430.0,12360.0,350.0,29060.0,
1976,65.0,30000.0,-1.0,369.0,210.0,9675.0,380.0,30065.0,
1977,58.0,32000.0,-1.0,226.0,210.0,8200.0,360.0,32058.0,
1978,62.0,36000.0,-1.0,200.0,320.0,6400.0,340.0,36062.0,
1979,41.0,37300.0,-1.0,180.0,300.0,6350.0,360.0,37341.0,
1980,38.0,40000.0,-1.0,150.0,300.0,7016.0,400.0,40038.0,
1981,10.0,48000.0,-1.0,120.0,490.0,7325.0,400.0,48010.0,
1982,37.0,47000.0,-1.0,100.0,680.0,5968.0,400.0,47037.0,
1983,16.0,38360.0,-1.0,90.0,580.0,4670.0,400.0,38376.0,
1984,,39200.0,-1.0,50.0,570.0,4495.0,420.0,39200.0,
1985,,86000.0,-1.0,50.0,720.0,4887.0,430.0,86000.0,
1986,,272000.0,-1.0,40.0,6860.0,5530.0,435.0,272000.0,
1987,,516000.0,-1.0,31.0,15972.0,7100.0,450.0,516000.0,
1988,,290000.0,-1.0,41.0,7311.0,8162.0,450.0,290000.0,
1989,,148900.0,-1.0,35.0,6199.0,8030.0,450.0,148900.0,
1990,0.0,80500.0,-1.0,45.0,5877.0,7139.0,460.0,80500.0,0.0
1991,0.0,54267.0,-1.0,59.0,5443.0,5559.0,470.0,54267.0,-1.0
1992,0.0,53200.0,-1.0,50.0,4470.0,5224.0,480.0,53200.0,-1.0
1993,0.0,50400.0,-1.0,50.0,4100.0,4696.0,485.0,50400.0,-1.0
1994,0.0,82900.0,-1.0,-1.0,3800.0,3482.0,490.0,82900.0,-1.0
1995,0.0,97180.0,-1.0,-1.0,3518.0,2868.0,468.0,97180.0,-1.0
1996,0.0,92740.0,-1.0,-1.0,3300.0,2553.0,450.0,92740.0,
1997,0.0,83730.0,-1.0,-1.0,2500.0,1816.0,479.0,83730.0,
1998,0.0,77750.0,-1.0,-1.0,1935.0,818.0,490.0,77750.0,
1999,0.0,74000.0,-1.0,-1.0,1461.0,465.0,500.0,74000.0,
2000,0.0,95430.0,-1.0,-1.0,1102.0,465.0,524.0,95430.0,
2001,0.0,113700.0,-1.0,-1.0,847.0,399.0,550.0,113700.0,
2002,0.0,125200.0,-1.0,-1.0,783.0,480.0,581.0,125200.0,
2003,0.0,128000.0,-1.0,-1.0,813.0,539.0,590.0,128000.0,
2004,0.0,101000.0,-1.0,-1.0,1315.0,539.0,607.0,101000.0,
2005,0.0,132000.0,-1.0,-1.0,1446.0,539.0,600.0,132000.0,
2006,0.0,141800.0,-1.0,-1.0,1618.0,447.0,600.0,141800.0,
2007,0.0,142800.0,-1.0,-1.0,1809.0,394.0,610.0,142800.0,
2008,0.0,126100.0,-1.0,-1.0,2002.0,447.0,650.0,126100.0,
2009,0.0,109800.0,-1.0,-1.0,2183.0,151.0,656.0,109800.0,
2010,0.0,97600.0,-1.0,-1.0,2337.0,369.0,645.0,97600.0,
2011,0.0,84000.0,-1.0,-1.0,2449.0,369.0,648.0,84000.0,
2012,0.0,69020.0,-1.0,-1.0,2500.0,151.0,645.0,69020.0,
2013,0.0,62800.0,-1.0,-1.0,2500.0,150.0,650.0,62800.0,
2014,0.0,56220.0,-1.0,-1.0,2500.0,145.0,655.0,56220.0,
