,"China, Taiwan Province of",Romania,USSR,Norway,Australia,New Zealand,Pakistan,Slovakia,Belgium,Ethiopia,Turkey,Luxembourg,Czechia,Switzerland,Bangladesh,Italy,Serbia,Germany,Croatia,South Africa,Latvia,Slovenia,Uzbekistan,Brazil,Finland,Paraguay,Australia & New Zealand,Morocco,Mongolia,Chile,Argentina,Denmark,Spain,Kyrgyzstan,India,Austria,Japan,Poland,Canada,Sweden,Belarus,Belgium-Luxembourg,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Uruguay,Serbia and Montenegro,Bosnia and Herzegovina,Hungary,Republic of Moldova,Russian Federation,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Mexico,Ukraine,"China, mainland",Tajikistan,Ireland,Algeria,United Kingdom,Colombia,Lithuania,Bulgaria,Netherlands,China
1961,10110.0,5612.0,8621.0,10989.0,,7500.0,4296.0,,,,8621.0,,,16049.0,4364.0,14149.0,,15652.0,,,,,,,10174.0,,7500.0,,,12381.0,6957.0,23657.0,,,4672.0,20163.0,14033.0,15595.0,8853.0,23594.0,,19506.0,4000.0,,,,15458.0,15179.0,7175.0,,,,10087.0,,,,11204.0,,,,6667.0,,2592.0,,,,25000.0,,,7062.0,25061.0,2632.0
1962,10694.0,5000.0,6540.0,11278.0,,7500.0,4552.0,,,,5896.0,,,21526.0,4383.0,15532.0,,18862.0,,,,,,,12344.0,,7500.0,,,9645.0,7031.0,20897.0,,,4249.0,19941.0,14258.0,14463.0,8847.0,23773.0,,26525.0,4000.0,,,,14026.0,17893.0,5793.0,,,,11527.0,,,,8761.0,,,,5000.0,,3588.0,,,,25000.0,,,6922.0,24989.0,3637.0
1963,12572.0,10000.0,5021.0,11905.0,,7500.0,5198.0,,,,7164.0,,,18274.0,4533.0,14443.0,,15046.0,,,,,,,12121.0,,7500.0,,,11732.0,6974.0,16845.0,,,4167.0,17048.0,7740.0,11780.0,9802.0,18975.0,,18197.0,4000.0,,,,11144.0,16890.0,3198.0,,,,9873.0,,,,8340.0,,,,6000.0,,3592.0,,,,25000.0,,,4676.0,25225.0,3657.0
1964,13952.0,6000.0,5000.0,11986.0,,7500.0,4452.0,,,,8750.0,,,20217.0,4469.0,15996.0,,16937.0,,,,,,,9886.0,,7500.0,,,11269.0,7000.0,20638.0,,,3004.0,18284.0,11254.0,11290.0,9381.0,23099.0,,17273.0,4000.0,,,,9672.0,19840.0,7331.0,,,,12910.0,,,,11475.0,,,,5000.0,,5252.0,,,,25000.0,,,5152.0,28410.0,5346.0
1965,11692.0,7000.0,10668.0,11278.0,,8000.0,4410.0,,,,9375.0,,,20520.0,4923.0,16220.0,,19413.0,,,,,,,12642.0,,8000.0,,,12490.0,6962.0,18377.0,,,5065.0,19056.0,14696.0,18421.0,8826.0,25345.0,,36731.0,4000.0,,,,14623.0,19294.0,8853.0,,,,13745.0,,,,11622.0,,,,6667.0,,5977.0,,,,25000.0,,,10781.0,25037.0,6037.0
1966,10875.0,6000.0,10519.0,12099.0,,7500.0,4119.0,,,,10938.0,,,16460.0,5031.0,17198.0,,19205.0,,,,,,,9333.0,,7500.0,,,12473.0,6964.0,15972.0,,,4456.0,20843.0,14226.0,16471.0,9482.0,18951.0,,30909.0,4000.0,,,,16252.0,17734.0,9976.0,,,,13185.0,,,,10635.0,,,,7143.0,,5189.0,,,,24898.0,,,4394.0,25973.0,5214.0
1967,10963.0,6000.0,10220.0,14648.0,,12121.0,4420.0,,,,11194.0,,,24244.0,5256.0,16281.0,,24013.0,,,,,,,18776.0,,12121.0,,,13461.0,7188.0,19808.0,,,4085.0,22453.0,14596.0,20667.0,8545.0,26254.0,,26035.0,4000.0,,,,17330.0,20118.0,10765.0,,,,12717.0,,,,13035.0,,,,7143.0,,6055.0,,,,24918.0,,,12687.0,29042.0,6069.0
1968,12275.0,10000.0,5211.0,16885.0,3588.0,13333.0,5059.0,,,,10308.0,,,24517.0,5683.0,16989.0,,23835.0,,,,,,,13111.0,,5291.0,,,12807.0,7083.0,20313.0,,,4833.0,18596.0,17316.0,14179.0,10335.0,24341.0,,25301.0,4000.0,,,,14064.0,18109.0,11942.0,,,,9499.0,,,,13498.0,,,,7143.0,,6450.0,,,,24923.0,,,7494.0,27093.0,6462.0
1969,12238.0,17500.0,9286.0,11977.0,9205.0,13333.0,5155.0,,,,11571.0,,,18345.0,5824.0,16768.0,,17865.0,,,,,,,14727.0,,9445.0,,,13150.0,6833.0,17766.0,20000.0,,4692.0,20298.0,16216.0,13756.0,9304.0,19908.0,,22411.0,4000.0,,,,13784.0,17516.0,11159.0,,,,12517.0,,,,16762.0,,,,7143.0,,6157.0,,,,16749.0,,,9161.0,19760.0,6167.0
1970,14059.0,17857.0,8372.0,13319.0,7840.0,13333.0,5238.0,,,,10690.0,,,21575.0,5880.0,18096.0,,19958.0,,,,,,,15455.0,,7878.0,,,13023.0,7250.0,17035.0,20000.0,,4928.0,19965.0,15677.0,19019.0,9991.0,20417.0,,26707.0,4020.0,,,,18236.0,17563.0,10812.0,,,,16061.0,,,,16137.0,,,,10000.0,,6646.0,,,,20290.0,,,7024.0,29119.0,6655.0
1971,11205.0,30000.0,11017.0,12539.0,6426.0,13333.0,5280.0,,,,12400.0,,,24346.0,6431.0,20401.0,,21423.0,,,,,,,14688.0,,6451.0,,,16642.0,6974.0,18274.0,20000.0,,5944.0,19818.0,16642.0,16459.0,10034.0,21582.0,,29136.0,4020.0,,,,19558.0,20293.0,12837.0,,,,16094.0,,,,20249.0,,,,10000.0,,7639.0,,,,19312.0,,,9032.0,31378.0,7643.0
1972,16519.0,30000.0,9091.0,10271.0,3246.0,13333.0,5350.0,,,,9333.0,,,24360.0,6038.0,19756.0,,22253.0,,,,,,,14912.0,,3285.0,,,13890.0,7026.0,16521.0,22222.0,,3965.0,20033.0,15000.0,15597.0,9821.0,21425.0,,31863.0,4020.0,,,,20260.0,22089.0,11753.0,,,,10434.0,,,,14544.0,,,,10000.0,,7109.0,,,,20349.0,,,5102.0,30131.0,7116.0
1973,13166.0,22558.0,9384.0,17085.0,6292.0,11667.0,5374.0,,,,12000.0,,,21844.0,5633.0,21377.0,,20350.0,,,,,,,15437.0,,6386.0,,,13001.0,7154.0,20108.0,20000.0,,5447.0,21232.0,16261.0,16233.0,9465.0,19805.0,,27739.0,4038.0,,,,20570.0,20232.0,13431.0,,,,13636.0,,,,17165.0,,,,10000.0,,6461.0,,,,22153.0,,,9000.0,26700.0,6465.0
1974,12770.0,16835.0,8938.0,18427.0,7202.0,9692.0,5462.0,,,,12857.0,,,28962.0,5614.0,21674.0,,25739.0,,,,,,,12969.0,,7256.0,,,13892.0,6667.0,23283.0,19868.0,,4931.0,21220.0,17235.0,20279.0,9098.0,22336.0,,31201.0,4038.0,,,,20811.0,19765.0,13113.0,,,,13639.0,,,,21857.0,,,,10000.0,,6705.0,,,,22638.0,,,714.0,32688.0,6709.0
1975,13374.0,13411.0,7165.0,14013.0,7508.0,15000.0,5492.0,,,,12178.0,,,19121.0,5925.0,21075.0,,25357.0,,,,,,,15266.0,,7646.0,,,13496.0,7143.0,18204.0,18095.0,,6118.0,20008.0,16485.0,23500.0,10055.0,19191.0,,30937.0,4038.0,,,,20589.0,18009.0,12941.0,,,,14045.0,,,,18514.0,,,,10000.0,,6642.0,,10000.0,,15641.0,,,1739.0,25946.0,6652.0
1976,10680.0,16515.0,11950.0,14256.0,11023.0,14286.0,5686.0,,,,14390.0,,,21680.0,5782.0,22325.0,,24141.0,,,,,,,16159.0,,11165.0,,,17602.0,6667.0,18305.0,20000.0,,5797.0,22579.0,16604.0,24646.0,11631.0,19192.0,,19787.0,4000.0,,,,21156.0,19263.0,14046.0,,,,12832.0,,,,21650.0,,,,10000.0,,5751.0,,10000.0,,23125.0,,,15000.0,27747.0,5760.0
1977,10821.0,14250.0,7857.0,18457.0,8245.0,18750.0,5713.0,,,,14759.0,,,18778.0,5882.0,18164.0,,25688.0,,,,,,,15240.0,,8461.0,,,15402.0,7143.0,20034.0,17500.0,,4957.0,23034.0,16529.0,17718.0,13582.0,21691.0,,48099.0,4000.0,,,,22154.0,14519.0,12671.0,,,,15003.0,,,,20201.0,,,,10000.0,,5282.0,,9091.0,,25614.0,,,6667.0,27356.0,5290.0
1978,10404.0,14051.0,8571.0,17842.0,10528.0,20000.0,5726.0,,,,13889.0,,,23769.0,6516.0,18080.0,,26459.0,,,,,,,15205.0,,10675.0,,,15140.0,7143.0,19425.0,15000.0,,4603.0,22860.0,17695.0,20528.0,12381.0,21193.0,,47259.0,4000.0,,,,21071.0,23301.0,11636.0,,,,15461.0,,,,21023.0,,,,10000.0,,7193.0,,9091.0,,24156.0,,,10000.0,24298.0,7197.0
