,Ukraine,Belarus,Croatia,Serbia,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Spain,Zimbabwe,Austria,Greece,Norway,Bulgaria,Australia & New Zealand,United States of America,Yugoslav SFR,Serbia and Montenegro,Slovenia,Czechoslovakia,Kyrgyzstan,Ghana,Luxembourg,Germany,Belgium,Morocco,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Azerbaijan,Italy,Bosnia and Herzegovina,Ireland,Latvia,Slovakia,Czechia,France,Chile,Hungary,Montenegro,Estonia,Australia,Portugal,Lithuania,Finland,Netherlands,Russian Federation,New Zealand,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,-1,-1.0,-1.0,14021.0,1000.0,6489.0,-1.0,-1.0,-1.0,-1.0,-1.0,1982.0,6000.0,3286.0,12836.0,5990.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,20212.0,-1.0,-1.0,4800.0,-1.0,-1.0,-1.0,36000.0,-1.0,-1.0,427.0,-1.0,-1.0,-1.0,-1.0,-1.0,3910.0,-1.0,8100.0,-1.0,-1.0,2361.0,-1.0,-1.0,300.0,7962.0,-1.0,925.0,-1.0,300.0
1962,-1.0,-1,-1.0,-1.0,15545.0,800.0,6357.0,-1.0,-1.0,-1.0,-1.0,-1.0,1810.0,6000.0,3572.0,13657.0,6930.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,20765.0,-1.0,-1.0,4700.0,-1.0,-1.0,-1.0,39000.0,-1.0,-1.0,435.0,-1.0,-1.0,-1.0,-1.0,-1.0,2930.0,-1.0,10800.0,-1.0,-1.0,2361.0,-1.0,-1.0,200.0,6876.0,-1.0,1211.0,-1.0,300.0
1963,-1.0,-1,-1.0,-1.0,15748.0,965.0,8320.0,-1.0,-1.0,-1.0,-1.0,-1.0,1964.0,6500.0,2814.0,16748.0,5340.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,22423.0,-1.0,-1.0,5200.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,412.0,-1.0,-1.0,-1.0,-1.0,-1.0,3830.0,-1.0,11300.0,-1.0,-1.0,1734.0,-1.0,-1.0,200.0,5262.0,-1.0,1080.0,-1.0,300.0
1964,-1.0,-1,-1.0,-1.0,17984.0,1197.0,9447.0,-1.0,-1.0,-1.0,-1.0,-1.0,1833.0,6500.0,2939.0,16030.0,9480.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,20663.0,-1.0,-1.0,8300.0,-1.0,-1.0,-1.0,55000.0,-1.0,-1.0,596.0,-1.0,-1.0,-1.0,-1.0,-1.0,3640.0,-1.0,10600.0,-1.0,-1.0,1919.0,-1.0,-1.0,200.0,6835.0,-1.0,1020.0,-1.0,300.0
1965,-1.0,-1,-1.0,-1.0,15546.0,1441.0,8096.0,-1.0,-1.0,-1.0,-1.0,-1.0,1971.0,6800.0,2896.0,17083.0,11000.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,20848.0,-1.0,-1.0,5900.0,-1.0,-1.0,-1.0,56000.0,-1.0,-1.0,301.0,-1.0,-1.0,-1.0,-1.0,-1.0,4690.0,-1.0,8303.0,-1.0,-1.0,1696.0,-1.0,-1.0,300.0,5971.0,-1.0,1200.0,-1.0,200.0
1966,-1.0,-1,-1.0,-1.0,15952.0,1610.0,9607.0,-1.0,-1.0,-1.0,-1.0,-1.0,2159.0,7000.0,2896.0,19520.0,18000.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,25092.0,-1.0,-1.0,7800.0,-1.0,-1.0,-1.0,45000.0,-1.0,-1.0,306.0,-1.0,-1.0,-1.0,-1.0,-1.0,4686.0,-1.0,12131.0,-1.0,-1.0,1782.0,-1.0,-1.0,200.0,5467.0,-1.0,1114.0,-1.0,150.0
1967,-1.0,-1,-1.0,-1.0,13717.0,1453.0,9958.0,-1.0,-1.0,-1.0,-1.0,-1.0,2139.0,7300.0,2752.0,18086.0,17000.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,22403.0,-1.0,-1.0,12800.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,271.0,-1.0,-1.0,-1.0,-1.0,-1.0,4673.0,-1.0,13458.0,-1.0,-1.0,1641.0,-1.0,-1.0,200.0,5774.0,-1.0,1111.0,-1.0,150.0
1968,-1.0,-1,-1.0,-1.0,18899.0,1518.0,7590.0,-1.0,-1.0,-1.0,-1.0,-1.0,2385.0,7500.0,2439.0,13608.0,17400.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,24282.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,44000.0,-1.0,-1.0,227.0,-1.0,-1.0,-1.0,-1.0,-1.0,4707.0,-1.0,7764.0,-1.0,-1.0,1313.0,-1.0,-1.0,200.0,4094.0,-1.0,1126.0,-1.0,100.0
1969,-1.0,-1,-1.0,-1.0,22250.0,925.0,8111.0,-1.0,-1.0,-1.0,-1.0,-1.0,2368.0,8126.0,2537.0,17877.0,16232.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,24896.0,-1.0,-1.0,12300.0,-1.0,-1.0,-1.0,44000.0,-1.0,-1.0,204.0,-1.0,-1.0,-1.0,-1.0,-1.0,5227.0,-1.0,10587.0,-1.0,-1.0,1311.0,-1.0,-1.0,200.0,5135.0,-1.0,1226.0,-1.0,100.0
1970,-1.0,-1,-1.0,-1.0,18797.0,1527.0,6676.0,-1.0,-1.0,-1.0,-1.0,-1.0,2406.0,10399.0,2925.0,13457.0,11593.0,-1.0,-1.0,500.0,-1.0,-1,-1.0,24807.0,-1.0,-1.0,11044.0,-1.0,-1.0,-1.0,82000.0,-1.0,-1.0,225.0,-1.0,-1.0,-1.0,-1.0,-1.0,5040.0,-1.0,13593.0,-1.0,-1.0,1465.0,-1.0,-1.0,200.0,3943.0,-1.0,1460.0,-1.0,100.0
