,Slovakia,Romania,USSR,Norway,Australia,The former Yugoslav Republic of Macedonia,Belgium,Luxembourg,Czechia,Republic of Moldova,Italy,Morocco,Ireland,Finland,Serbia and Montenegro,Australia & New Zealand,Serbia,Slovenia,Chile,Montenegro,Canada,Belgium-Luxembourg,Spain,Kyrgyzstan,Germany,New Zealand,Austria,Poland,Switzerland,Denmark,United Kingdom,Estonia,Latvia,Czechoslovakia,Bosnia and Herzegovina,France,Zimbabwe,Croatia,Hungary,Russian Federation,Yugoslav SFR,United States of America,Mexico,Sweden,Azerbaijan,Lithuania,Bulgaria,Netherlands,Ukraine
1961,,,36000.0,66067.0,59772.0,,,,,,,,,75000.0,,55227.0,,,,,38171.0,,,,,46250.0,,,,,46737.0,,,,,51380.0,,,,,,38316.0,,,,,30000.0,,
1962,,,39000.0,60333.0,59772.0,,,,,,,,,50000.0,,57987.0,,,,,37394.0,,,,,54796.0,,,,,51817.0,,,,,36084.0,,,,,,43772.0,,,,,31579.0,,
1963,,,50000.0,65467.0,47507.0,,,,,,,,,50000.0,,47294.0,,,,,37818.0,,,,,46957.0,,,,,52493.0,,,,,46936.0,,,,,,53679.0,,,,,30952.0,,
1964,,,50000.0,45825.0,52289.0,,,,,,,,,80000.0,,49814.0,,,,,39363.0,,,,,45740.0,,,,,56200.0,,,,,36255.0,,,,,,46871.0,,,,,30952.0,,
1965,,,50909.0,49275.0,50178.0,,,,,,,,,125000.0,,51622.0,,,,,36800.0,,,,,53812.0,,12893.0,,,51820.0,,,,,46390.0,,,,,,40007.0,,,,,30909.0,,
1966,,,45000.0,52276.0,56215.0,,,,,,,,,100000.0,,54848.0,,,,,38428.0,,,,,52796.0,,16557.0,,,53173.0,,,,,45101.0,,,,,,45501.0,,,,,30435.0,,
1967,,,50000.0,49744.0,57378.0,,,,,,,,,111111.0,,55484.0,,,,,35564.0,,,,,52905.0,,26403.0,,,48989.0,,,,,46637.0,,,,,,43372.0,,,,,30417.0,,
1968,,,44000.0,52303.0,57336.0,,,,,,,,,117647.0,,55685.0,,,,,36143.0,,,,,53876.0,,18386.0,,,57270.0,,,,,46789.0,,,,,,37180.0,,,,,30000.0,,
1969,,,44000.0,57198.0,54625.0,,,,,,,,,153846.0,,53864.0,,,,,36868.0,,,,,53074.0,,22727.0,,,60135.0,,,,,46462.0,,,,,,50358.0,,,,,30242.0,,
1970,,,48235.0,56745.0,57451.0,,,,,,,,,100000.0,,52989.0,,,,,37089.0,,,,,49158.0,,20388.0,,,56961.0,,,,,45818.0,,,,,,38449.0,,,,,28205.0,,
