,Burundi,"China, Hong Kong SAR","China, Taiwan Province of",Mozambique,Belize,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Thailand,Indonesia,Pacific Islands Trust Territory,Liberia,Greece,Zimbabwe,Bangladesh,Malawi,Melanesia,Papua New Guinea,Rwanda,Portugal,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,Senegal,Madagascar,Tajikistan,Haiti,Ukraine,Guinea,Saudi Arabia,Fiji,Chad,Sri Lanka,Uruguay,Azerbaijan,Egypt,Mauritania,China,Uzbekistan,Colombia,Brunei Darussalam,Micronesia (Federated States of),Chile,Guinea-Bissau,Kazakhstan,South Africa,Mauritius,Suriname,Hungary,France,Togo,Micronesia,Kenya,"China, mainland",Russian Federation,Nicaragua,Uganda,Costa Rica,Bolivia (Plurinational State of),Peru,Gambia,Cameroon,Zambia,Malaysia,Comoros,Dominican Republic,South Sudan,Benin,Pakistan,Japan,Afghanistan,Iraq,The former Yugoslav Republic of Macedonia,Venezuela (Bolivarian Republic of),Spain,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Somalia,Cuba,Kyrgyzstan,French Guiana,Argentina,Cambodia,Timor-Leste,Paraguay,Democratic People's Republic of Korea,India,El Salvador,Niger,Morocco,Bhutan,Congo,Republic of Korea,Gabon,USSR,Romania,Ecuador,Honduras,Mexico,Viet Nam,Côte d'Ivoire,Mali,Albania,Turkmenistan,Jamaica,Solomon Islands,Trinidad and Tobago,Italy,Central African Republic,Sierra Leone,Australia,Panama,Ghana,Sudan (former),Angola,Nigeria,Swaziland,Turkey
1961,55.0,678.0,48800.0,4800.0,91.0,498252.0,3342.0,221000.0,42.0,254586.0,32400.0,7470.0,60500.0,399540.0,180000.0,1.0,10500.0,2781.0,50.0,869436.0,336.0,1198.0,40.0,0.0,6758.0,2000.0,1000.0,800.0,260.0,4620.0,68560.0,-1.0,2970.0,-1.0,6472.0,44.0,1147.0,1168.0,73710.0,2490.0,-1.0,32000.0,24.0,6249478.0,-1.0,44633.0,140.0,-1.0,4430.0,4550.0,-1.0,105.0,0.0,3800.0,3100.0,5000.0,1997.0,1.0,406.0,6200000.0,-1.0,2034.0,320.0,3626.0,1090.0,8200.0,1756.0,484.0,0.0,15782.0,1040.0,5800.0,-1.0,62.0,113831.0,131000.0,22050.0,9352.0,-1.0,7590.0,4000.0,10500.0,2362.0,107000.0,42000.0,3720.0,-1.0,0.0,11495.0,-1.0,20.0,8000.0,143100.0,360.0,385.0,30800.0,3263000.0,978.0,547.0,875.0,1520.0,204.0,46000.0,48.0,27370.0,1755.0,11175.0,462.0,8034.0,269922.0,28600.0,20000.0,1022.0,-1.0,372.0,11.0,379.0,26300.0,280.0,25511.0,2000.0,6474.0,1540.0,21.0,1330.0,10900.0,288.0,15000.0
1962,48.0,473.0,49000.0,5200.0,101.0,519985.0,1640.0,216000.0,47.0,282857.0,30602.0,10350.0,60555.0,396060.0,168000.0,1.0,11950.0,2833.0,100.0,900800.0,249.0,1144.0,40.0,0.0,6717.0,3000.0,1000.0,1000.0,197.0,5250.0,68000.0,-1.0,2970.0,-1.0,6757.0,43.0,1093.0,1325.0,76910.0,2938.0,-1.0,50000.0,28.0,6439473.0,-1.0,38100.0,140.0,-1.0,4936.0,4550.0,-1.0,91.0,0.0,3850.0,2800.0,6000.0,1595.0,1.0,373.0,6390000.0,-1.0,1935.0,138.0,3591.0,1230.0,5800.0,1785.0,685.0,0.0,16035.0,1183.0,6000.0,-1.0,84.0,123466.0,127000.0,22050.0,11094.0,-1.0,8107.0,3000.0,11000.0,2342.0,108000.0,42000.0,3000.0,-1.0,0.0,9800.0,-1.0,3.0,7000.0,140100.0,364.0,385.0,31500.0,3039000.0,819.0,562.0,700.0,1560.0,184.0,46000.0,24.0,33810.0,3699.0,11306.0,408.0,8085.0,292411.0,26950.0,12300.0,1161.0,-1.0,285.0,11.0,372.0,26300.0,350.0,26394.0,3000.0,6921.0,1781.0,41.0,1400.0,8100.0,289.0,17000.0
1963,60.0,518.0,47800.0,5200.0,139.0,526196.0,1740.0,224000.0,60.0,317859.0,31200.0,9900.0,63250.0,392400.0,175000.0,1.0,12750.0,3704.0,100.0,922896.0,272.0,962.0,40.0,0.0,6687.0,4000.0,1000.0,900.0,170.0,6020.0,68381.0,-1.0,3060.0,-1.0,7055.0,55.0,911.0,1350.0,78220.0,2878.0,-1.0,60000.0,28.0,6848318.0,-1.0,45375.0,132.0,-1.0,4888.0,5600.0,-1.0,91.0,0.0,4200.0,2700.0,5000.0,2168.0,1.0,375.0,6800000.0,-1.0,2025.0,198.0,3808.0,1330.0,6500.0,1870.0,635.0,0.0,16118.0,1196.0,6500.0,-1.0,90.0,130148.0,131000.0,23100.0,11275.0,-1.0,9979.0,6000.0,8000.0,2275.0,111000.0,45080.0,2720.0,-1.0,0.0,4968.0,-1.0,3.0,8000.0,148500.0,372.0,440.0,33600.0,3385000.0,1333.0,562.0,875.0,1600.0,186.0,48000.0,39.0,43930.0,5400.0,10891.0,390.0,7956.0,288680.0,29810.0,15850.0,1062.0,-1.0,204.0,12.0,367.0,27500.0,455.0,26401.0,4000.0,8335.0,2346.0,76.0,1400.0,8950.0,284.0,15000.0
1964,53.0,512.0,47800.0,4960.0,206.0,516452.0,1650.0,218000.0,110.0,351036.0,44100.0,5040.0,61105.0,393240.0,183000.0,1.0,12850.0,3558.0,100.0,936048.0,336.0,780.0,40.0,0.0,7149.0,4000.0,1000.0,800.0,247.0,5752.0,67919.0,-1.0,3150.0,-1.0,7366.0,99.0,727.0,1370.0,79380.0,3854.0,-1.0,58000.0,28.0,6898312.0,-1.0,56213.0,124.0,-1.0,4394.0,4200.0,-1.0,91.0,0.0,4700.0,2500.0,4000.0,2169.0,1.0,174.0,6850000.0,-1.0,2241.0,400.0,3836.0,1440.0,5994.0,1884.0,547.0,0.0,16875.0,1417.0,7600.0,-1.0,111.0,133761.0,131000.0,23100.0,11698.0,-1.0,11561.0,3000.0,15000.0,2155.0,112000.0,50400.0,4083.0,-1.0,0.0,2660.0,-1.0,3.0,10000.0,146700.0,230.0,440.0,33600.0,3572000.0,1191.0,522.0,875.0,1640.0,192.0,49000.0,38.0,49910.0,5045.0,10281.0,426.0,8284.0,290911.0,28710.0,16900.0,1180.0,-1.0,181.0,12.0,362.0,28750.0,490.0,30100.0,4000.0,9450.0,1777.0,52.0,1610.0,9400.0,264.0,10000.0
1965,48.0,568.0,48000.0,6000.0,148.0,513888.0,1725.0,216700.0,92.0,304369.0,44400.0,11430.0,60500.0,448860.0,192000.0,1.0,6650.0,2531.0,100.0,907500.0,913.0,806.0,40.0,0.0,5961.0,4000.0,1000.0,800.0,250.0,6158.0,77037.0,-1.0,3330.0,-1.0,7690.0,55.0,753.0,1417.0,72880.0,4270.0,-1.0,51000.0,28.0,7048568.0,-1.0,52500.0,120.0,-1.0,5901.0,3150.0,-1.0,91.0,0.0,4100.0,2400.0,5000.0,2458.0,1.0,198.0,7000000.0,-1.0,2367.0,300.0,3899.0,1480.0,8990.0,1890.0,703.0,0.0,16617.0,1560.0,7600.0,-1.0,95.0,135315.0,131000.0,23310.0,11407.0,-1.0,12100.0,4000.0,12300.0,2443.0,123000.0,60060.0,4528.0,-1.0,0.0,2240.0,-1.0,6.0,8000.0,137100.0,283.0,253.0,35000.0,2805000.0,1775.0,552.0,963.0,1680.0,120.0,49000.0,35.0,57040.0,5535.0,11063.0,445.0,9159.0,281091.0,28380.0,17750.0,1154.0,-1.0,104.0,12.0,356.0,30000.0,490.0,32700.0,4000.0,9600.0,1815.0,19.0,1540.0,8000.0,266.0,13000.0
1966,71.0,379.0,58700.0,6000.0,166.0,508254.0,1791.0,231000.0,91.0,326127.0,45240.0,9900.0,63800.0,399540.0,190000.0,2.0,6700.0,2679.0,108.0,988940.0,885.0,842.0,40.0,7.0,6226.0,5000.0,1000.0,800.0,222.0,7084.0,78480.0,-1.0,3420.0,-1.0,8029.0,43.0,789.0,1235.0,80970.0,4757.0,-1.0,51000.0,24.0,7054079.0,-1.0,43605.0,172.0,-1.0,5280.0,2450.0,-1.0,91.0,0.0,4700.0,2600.0,3000.0,2240.0,2.0,198.0,6995000.0,-1.0,2295.0,600.0,3990.0,1350.0,12803.0,1260.0,774.0,0.0,17330.0,1417.0,8063.0,-1.0,71.0,136287.0,134000.0,21630.0,14503.0,-1.0,12575.0,4000.0,14000.0,2745.0,122000.0,48020.0,5000.0,-1.0,0.0,3106.0,-1.0,3.0,8000.0,133200.0,348.0,400.0,35000.0,2785000.0,2520.0,690.0,945.0,1720.0,120.0,49000.0,35.0,64630.0,6002.0,11351.0,466.0,10102.0,253905.0,33099.0,19760.0,1210.0,-1.0,54.0,13.0,340.0,31250.0,490.0,35000.0,5000.0,9713.0,2404.0,94.0,1554.0,13100.0,276.0,15000.0
1967,110.0,597.0,59000.0,5967.0,143.0,516957.0,2301.0,233000.0,391.0,338880.0,48660.0,11520.0,64240.0,433680.0,200000.0,2.0,7000.0,3147.0,115.0,974210.0,616.0,925.0,40.0,20.0,5913.0,5000.0,1000.0,1200.0,254.0,4522.0,80680.0,-1.0,3420.0,-1.0,8382.0,43.0,806.0,1549.0,82070.0,4305.0,-1.0,64000.0,59.0,6929597.0,-1.0,41569.0,172.0,-1.0,5197.0,2100.0,-1.0,91.0,4.0,4900.0,3900.0,3000.0,2284.0,2.0,241.0,6870000.0,-1.0,2853.0,500.0,4340.0,1700.0,12803.0,2040.0,711.0,19.0,19151.0,1170.0,8806.0,-1.0,91.0,149263.0,134000.0,21630.0,14763.0,-1.0,12672.0,4000.0,11000.0,2707.0,145000.0,50120.0,9280.0,-1.0,0.0,5033.0,-1.0,1.0,10000.0,145500.0,440.0,513.0,35000.0,3441000.0,2457.0,917.0,1365.0,1760.0,140.0,45000.0,35.0,71760.0,6802.0,11182.0,489.0,8323.0,275652.0,33000.0,16230.0,1246.0,-1.0,45.0,78.0,330.0,35000.0,700.0,32000.0,5000.0,9902.0,2515.0,65.0,1540.0,11750.0,282.0,14000.0
1968,103.0,484.0,59200.0,5893.0,135.0,510334.0,2006.0,224000.0,107.0,351173.0,46260.0,11610.0,68750.0,455040.0,253000.0,3.0,7350.0,3186.0,125.0,1031400.0,896.0,1016.0,50.0,29.0,7000.0,5000.0,1000.0,1400.0,256.0,7182.0,78428.0,-1.0,3420.0,-1.0,8751.0,55.0,874.0,1820.0,87260.0,4808.0,-1.0,72000.0,49.0,7049684.0,-1.0,37569.0,180.0,-1.0,2590.0,2100.0,-1.0,91.0,24.0,4500.0,4600.0,3000.0,1920.0,3.0,345.0,6990000.0,-1.0,2261.0,700.0,3668.0,2350.0,8788.0,1870.0,740.0,40.0,19843.0,1170.0,8400.0,-1.0,107.0,155712.0,135000.0,21630.0,14206.0,-1.0,13046.0,5000.0,8500.0,3108.0,132000.0,50960.0,8500.0,-1.0,0.0,8981.0,-1.0,2.0,12000.0,122700.0,280.0,562.0,37100.0,3638000.0,964.0,929.0,1540.0,1800.0,140.0,49000.0,13.0,75440.0,7822.0,9167.0,513.0,9179.0,250985.0,31713.0,13330.0,1310.0,-1.0,53.0,92.0,318.0,37500.0,1050.0,31000.0,5000.0,9930.0,2695.0,133.0,1050.0,12900.0,339.0,12000.0
1969,176.0,412.0,45000.0,6151.0,142.0,512456.0,2016.0,224000.0,66.0,378417.0,53730.0,13590.0,66987.0,455640.0,223000.0,4.0,7700.0,2370.0,133.0,991280.0,1098.0,1080.0,46.0,47.0,8000.0,6000.0,1000.0,1400.0,178.0,6160.0,79764.0,-1.0,3420.0,-1.0,9137.0,55.0,970.0,2050.0,85590.0,4997.0,-1.0,69000.0,88.0,7480412.0,-1.0,34982.0,164.0,-1.0,4035.0,2100.0,-1.0,91.0,32.0,5400.0,4900.0,4000.0,2001.0,4.0,409.0,7435000.0,-1.0,2273.0,1562.0,3038.0,2400.0,11232.0,1983.0,829.0,45.0,20438.0,1170.0,8303.0,-1.0,132.0,144329.0,136000.0,21210.0,11330.0,-1.0,14328.0,6000.0,9500.0,3433.0,113000.0,52920.0,9776.0,-1.0,28.0,13671.0,-1.0,1.0,14000.0,150000.0,280.0,1265.0,37100.0,3699000.0,1071.0,984.0,1400.0,1840.0,80.0,50000.0,37.0,80500.0,7537.0,8659.0,539.0,8998.0,264450.0,31801.0,17200.0,1507.0,-1.0,45.0,64.0,299.0,38750.0,889.0,32681.0,6000.0,7783.0,3025.0,205.0,1750.0,12750.0,289.0,13000.0
1970,156.0,279.0,44625.0,6240.0,249.0,512693.0,2000.0,233000.0,29.0,362064.0,54466.0,13770.0,68093.0,451620.0,260000.0,5.0,8100.0,2235.0,130.0,929768.0,1792.0,968.0,62.0,44.0,8000.0,6000.0,1000.0,900.0,87.0,5859.0,79772.0,-1.0,3420.0,-1.0,9539.0,42.0,804.0,2737.0,93920.0,4397.0,-1.0,63000.0,120.0,8044904.0,-1.0,38027.0,140.0,-1.0,4362.0,2100.0,-1.0,91.0,23.0,5600.0,5100.0,5000.0,2103.0,5.0,443.0,8000000.0,-1.0,2354.0,2400.0,2485.0,2350.0,11787.0,1983.0,783.0,34.0,21301.0,1170.0,7400.0,-1.0,152.0,139822.0,129000.0,21000.0,15038.0,-1.0,12389.0,6000.0,10500.0,3400.0,113000.0,48160.0,10000.0,-1.0,40.0,11767.0,-1.0,2.0,11000.0,118800.0,280.0,1249.0,37100.0,3864000.0,1318.0,1027.0,175.0,1880.0,120.0,51000.0,40.0,89700.0,7425.0,5659.0,565.0,9214.0,305199.0,31020.0,16940.0,1022.0,-1.0,36.0,103.0,301.0,38750.0,910.0,35600.0,6000.0,4600.0,3339.0,202.0,1540.0,15200.0,285.0,16000.0
