,Ecuador,Democratic Republic of the Congo,Dominica,Bolivia (Plurinational State of),Peru,Philippines,Colombia
1961,2500.0,2700.0,0.0,11500.0,19012.0,2527.0,0.0
1962,2500.0,2850.0,0.0,12500.0,18200.0,2232.0,0.0
1963,3100.0,2925.0,0.0,12500.0,16681.0,2162.0,0.0
1964,3100.0,3000.0,0.0,12500.0,23548.0,2658.0,0.0
1965,4100.0,3000.0,0.0,12500.0,23475.0,2652.0,0.0
1966,3600.0,3150.0,0.0,13500.0,25018.0,2952.0,0.0
1967,4100.0,3300.0,0.0,13500.0,22033.0,2911.0,0.0
1968,4800.0,3450.0,0.0,13500.0,26369.0,2866.0,0.0
1969,4400.0,3450.0,0.0,13500.0,30798.0,2724.0,0.0
1970,4400.0,3600.0,0.0,14400.0,28053.0,2660.0,0.0
1971,4600.0,4455.0,0.0,15400.0,26490.0,2463.0,0.0
1972,4600.0,4440.0,0.0,14850.0,24900.0,2152.0,0.0
1973,4100.0,4080.0,0.0,15350.0,24843.0,1788.0,0.0
1974,4600.0,4440.0,0.0,14900.0,24460.0,1980.0,0.0
1975,5200.0,4425.0,0.0,14900.0,23898.0,2304.0,0.0
1976,5800.0,4515.0,0.0,15250.0,27040.0,2390.0,0.0
1977,5900.0,4695.0,0.0,12250.0,26534.0,1937.0,0.0
1978,6000.0,4290.0,0.0,12600.0,30628.0,1762.0,0.0
1979,2400.0,6000.0,5.0,11500.0,29424.0,1663.0,0.0
1980,2300.0,6120.0,5.0,16450.0,32782.0,1626.0,0.0
1981,2500.0,6360.0,5.0,15300.0,33967.0,1749.0,0.0
1982,6000.0,6480.0,5.0,9300.0,33076.0,1743.0,0.0
1983,9300.0,6720.0,5.0,17000.0,34785.0,1800.0,0.0
1984,7300.0,6840.0,10.0,18900.0,34860.0,1800.0,0.0
1985,3100.0,6840.0,10.0,20050.0,35210.0,2275.0,0.0
1986,3900.0,7170.0,10.0,19743.0,35210.0,2185.0,0.0
1987,4991.0,7485.0,10.0,20280.0,35210.0,2270.0,0.0
1988,2763.0,7650.0,10.0,21000.0,35350.0,2080.0,0.0
1989,3713.0,7830.0,21.0,19200.0,37310.0,1800.0,0.0
1990,4196.0,13050.0,18.0,18000.0,42856.0,1713.0,0.0
1991,2436.0,18300.0,20.0,17450.0,37660.0,1673.0,0.0
1992,3250.0,23550.0,22.0,17900.0,48551.0,1711.0,0.0
1993,2706.0,28800.0,30.0,17500.0,38150.0,1689.0,0.0
1994,3028.0,34050.0,40.0,16450.0,46911.0,1712.0,0.0
1995,2587.0,39225.0,50.0,15400.0,26954.0,1749.0,0.0
1996,1762.0,44475.0,60.0,14350.0,33078.0,1784.0,0.0
1997,856.0,49725.0,70.0,14350.0,34521.0,1706.0,0.0
1998,1157.0,54975.0,80.0,14000.0,62145.0,1480.0,0.0
1999,1055.0,60225.0,110.0,14000.0,40372.0,1615.0,0.0
2000,1100.0,65475.0,80.0,13300.0,39816.0,1615.0,0.0
2001,432.0,70725.0,40.0,13300.0,38381.0,1639.0,0.0
2002,380.0,75900.0,38.0,11900.0,29629.0,1644.0,0.0
2003,432.0,81150.0,30.0,10400.0,28280.0,1402.0,0.0
2004,500.0,86400.0,25.0,10500.0,30512.0,1661.0,0.0
2005,500.0,91650.0,19.0,9500.0,30013.0,1654.0,0.0
2006,500.0,96825.0,21.0,9700.0,30466.0,1644.0,0.0
2007,500.0,102075.0,20.0,9800.0,31290.0,1626.0,0.0
2008,500.0,107325.0,21.0,9800.0,32060.0,1657.0,0.0
2009,500.0,112589.0,25.0,9800.0,30016.0,1670.0,0.0
2010,500.0,120000.0,35.0,9800.0,28923.0,1548.0,0.0
2011,500.0,127500.0,60.0,9800.0,19615.0,1530.0,0.0
2012,550.0,129750.0,60.0,9800.0,30101.0,1493.0,4.0
2013,550.0,129000.0,28.0,9800.0,29984.0,1353.0,4.0
2014,550.0,128188.0,28.0,9800.0,29984.0,1418.0,4.0
