,Singapore,Saint Kitts and Nevis,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Guyana,Cameroon,Nepal,Malaysia,Grenada,Melanesia,Tonga,Philippines,Martinique,United Republic of Tanzania,Cook Islands,Ethiopia,Indonesia,Maldives,Samoa,Japan,Pakistan,Zimbabwe,Sao Tome and Principe,Togo,Venezuela (Bolivarian Republic of),Cyprus,Papua New Guinea,Thailand,Spain,Eritrea,Wallis and Futuna Islands,Belize,Bulgaria,Vanuatu,Democratic Republic of the Congo,French Polynesia,Slovenia,Morocco,Saint Lucia,Bhutan,Cambodia,Kiribati,Costa Rica,Botswana,Guadeloupe,Dominica,Fiji,Congo,Ethiopia PDR,Equatorial Guinea,Mexico,Ecuador,Honduras,Egypt,Puerto Rico,Timor-Leste,China,Suriname,Côte d'Ivoire,Colombia,Tokelau,Jamaica,Brunei Darussalam,Trinidad and Tobago,Occupied Palestinian Territory,Hungary,Polynesia,Panama,Estonia,Saint Vincent and the Grenadines,Guinea-Bissau,Namibia,Micronesia,Ghana,"China, mainland",Nicaragua,Haiti,Swaziland,Guam
1961,75000.0,25000.0,50000.0,33077.0,46508.0,100469.0,50000.0,64000.0,46875.0,50000.0,55789.0,64286.0,146439.0,-1.0,37499.0,100000.0,-1.0,200000.0,-1.0,50000.0,44444.0,66667.0,156156.0,-1.0,-1.0,114286.0,-1.0,57462.0,153939.0,160000.0,137500.0,95000.0,-1.0,63333.0,160000.0,66667.0,225455.0,69231.0,131868.0,-1.0,65217.0,40153.0,66667.0,52632.0,100000.0,-1.0,50000.0,100000.0,-1.0,3125.0,55172.0,23829.0,-1.0,74579.0,33333.0,30243.0,-1.0,28946.0,40000.0,100469.0,46538.0,-1.0,-1.0,200000.0,99438.0,30000.0,-1.0,-1.0,100000.0,128420.0,-1.0,-1.0,136364.0,61538.0,82353.0,107222.0,-1.0,-1.0,40000.0,14400.0,64000.0,197500.0
1962,75000.0,25000.0,50000.0,33077.0,46924.0,102687.0,50000.0,64932.0,46154.0,50000.0,53333.0,63889.0,147388.0,-1.0,41186.0,100000.0,-1.0,204762.0,-1.0,50000.0,47778.0,66667.0,163830.0,-1.0,-1.0,114286.0,-1.0,53537.0,143000.0,160748.0,141176.0,90000.0,-1.0,63333.0,170000.0,100000.0,227273.0,70370.0,132609.0,-1.0,66667.0,40000.0,66071.0,52632.0,100000.0,-1.0,50000.0,100000.0,-1.0,3125.0,56897.0,23829.0,-1.0,74315.0,33333.0,29125.0,-1.0,29810.0,42000.0,102687.0,44583.0,-1.0,-1.0,206250.0,99563.0,30000.0,-1.0,-1.0,100000.0,127965.0,-1.0,-1.0,140909.0,61538.0,83333.0,109673.0,-1.0,-1.0,40000.0,14600.0,64000.0,206400.0
1963,75000.0,25000.0,50000.0,32857.0,45296.0,102574.0,50000.0,63700.0,46154.0,50000.0,54545.0,64865.0,147143.0,-1.0,49018.0,101639.0,-1.0,202273.0,-1.0,50000.0,47778.0,68750.0,175574.0,-1.0,-1.0,114286.0,-1.0,50687.0,135106.0,160377.0,136842.0,90000.0,-1.0,63333.0,181818.0,100000.0,229091.0,72222.0,133333.0,-1.0,65217.0,40385.0,66667.0,52632.0,100000.0,-1.0,51667.0,100000.0,-1.0,3125.0,56667.0,23842.0,-1.0,78541.0,30000.0,28783.0,-1.0,31924.0,41818.0,102574.0,45714.0,-1.0,-1.0,212500.0,101388.0,25563.0,-1.0,-1.0,100000.0,128315.0,-1.0,-1.0,141009.0,61538.0,84444.0,109673.0,-1.0,-1.0,40000.0,14800.0,66000.0,206400.0
1964,75000.0,25000.0,50000.0,32857.0,43642.0,100278.0,50000.0,63825.0,46154.0,50000.0,55152.0,64474.0,153382.0,-1.0,46228.0,100000.0,-1.0,200000.0,-1.0,50000.0,45000.0,67647.0,184884.0,-1.0,-1.0,114286.0,-1.0,46079.0,135106.0,168182.0,140000.0,90000.0,-1.0,63333.0,175000.0,150000.0,220870.0,71429.0,134043.0,-1.0,66667.0,40244.0,67241.0,52632.0,92308.0,-1.0,53333.0,123077.0,-1.0,3125.0,56667.0,23743.0,-1.0,86222.0,30000.0,28380.0,-1.0,28891.0,41818.0,100278.0,38947.0,-1.0,-1.0,194444.0,91936.0,1549.0,-1.0,-1.0,100000.0,130952.0,-1.0,-1.0,141833.0,61538.0,84211.0,100643.0,-1.0,-1.0,40000.0,13636.0,65385.0,209000.0
1965,75000.0,25000.0,50000.0,33571.0,44040.0,104318.0,50000.0,56041.0,46154.0,50000.0,56000.0,64865.0,147798.0,-1.0,47284.0,103226.0,-1.0,204348.0,-1.0,50000.0,45000.0,66667.0,169352.0,-1.0,-1.0,122857.0,-1.0,48707.0,135106.0,161062.0,142857.0,90000.0,-1.0,63333.0,169231.0,100000.0,216949.0,71429.0,134737.0,-1.0,66667.0,37647.0,66667.0,52632.0,81034.0,-1.0,53333.0,100000.0,-1.0,3125.0,60000.0,23867.0,-1.0,75122.0,40000.0,27778.0,-1.0,28856.0,41667.0,104318.0,25556.0,-1.0,-1.0,200000.0,104873.0,3688.0,-1.0,-1.0,100000.0,131513.0,-1.0,-1.0,151829.0,61538.0,85263.0,89600.0,-1.0,-1.0,40000.0,13636.0,65385.0,200000.0
1966,70000.0,25000.0,50000.0,33571.0,39359.0,108058.0,50000.0,61656.0,46154.0,50000.0,54762.0,65263.0,150347.0,-1.0,44193.0,103125.0,-1.0,201646.0,-1.0,50000.0,47000.0,65789.0,179648.0,-1.0,-1.0,122857.0,-1.0,49958.0,135106.0,163793.0,139130.0,90000.0,-1.0,63333.0,164286.0,66667.0,216667.0,72414.0,135417.0,-1.0,66667.0,37500.0,67213.0,52632.0,83333.0,-1.0,54098.0,92063.0,-1.0,3125.0,59677.0,24044.0,-1.0,79079.0,46667.0,28235.0,-1.0,28856.0,44286.0,108058.0,44615.0,-1.0,-1.0,205556.0,80010.0,14396.0,-1.0,-1.0,100000.0,131390.0,-1.0,-1.0,105882.0,61538.0,85789.0,90152.0,-1.0,-1.0,40000.0,13846.0,66667.0,158333.0
1967,70000.0,25000.0,50000.0,33333.0,41062.0,120053.0,50000.0,60794.0,46154.0,50000.0,55000.0,64474.0,147205.0,-1.0,44722.0,103030.0,-1.0,201149.0,-1.0,50000.0,47000.0,65000.0,189605.0,-1.0,-1.0,128571.0,-1.0,50779.0,127000.0,160000.0,141667.0,90000.0,-1.0,66667.0,165517.0,66667.0,208800.0,73333.0,136082.0,-1.0,66667.0,37912.0,66667.0,52632.0,90164.0,-1.0,54098.0,93750.0,-1.0,3125.0,61290.0,24011.0,-1.0,76827.0,64000.0,32857.0,-1.0,28855.0,44286.0,120053.0,46774.0,-1.0,-1.0,211111.0,81764.0,14390.0,-1.0,-1.0,100000.0,126621.0,-1.0,-1.0,110714.0,61538.0,86842.0,96582.0,-1.0,-1.0,40000.0,14286.0,66667.0,158730.0
1968,80000.0,25000.0,50000.0,33333.0,38977.0,138090.0,50000.0,61651.0,46154.0,50000.0,55263.0,64474.0,145484.0,-1.0,43232.0,100000.0,-1.0,201149.0,-1.0,50000.0,47000.0,62500.0,167654.0,-1.0,-1.0,120000.0,-1.0,52428.0,116364.0,157258.0,138462.0,100000.0,-1.0,66667.0,170543.0,-1.0,209375.0,76667.0,136735.0,-1.0,66667.0,37234.0,66406.0,52632.0,100000.0,-1.0,55738.0,96875.0,-1.0,3125.0,60625.0,24004.0,-1.0,72651.0,77200.0,33846.0,-1.0,31740.0,41250.0,138090.0,49524.0,-1.0,-1.0,195000.0,73716.0,15394.0,-1.0,-1.0,100000.0,124013.0,-1.0,-1.0,100000.0,64286.0,86842.0,105839.0,-1.0,-1.0,40000.0,14667.0,68519.0,161538.0
1969,75000.0,25000.0,50000.0,34000.0,41148.0,114142.0,50000.0,69045.0,46154.0,50909.0,55333.0,64474.0,142994.0,-1.0,42765.0,100000.0,-1.0,201149.0,-1.0,50000.0,47000.0,61538.0,163697.0,-1.0,-1.0,122500.0,-1.0,53918.0,94815.0,153906.0,140741.0,110000.0,-1.0,66667.0,177632.0,-1.0,207692.0,74194.0,137374.0,-1.0,66667.0,38144.0,66923.0,52632.0,100000.0,-1.0,57377.0,100000.0,-1.0,3125.0,61563.0,23996.0,-1.0,76177.0,70833.0,33594.0,-1.0,34864.0,42500.0,114142.0,46250.0,-1.0,-1.0,200000.0,74560.0,15022.0,-1.0,-1.0,100000.0,123049.0,-1.0,-1.0,111667.0,61538.0,84000.0,106017.0,-1.0,-1.0,40000.0,15000.0,65517.0,161765.0
1970,80000.0,25000.0,50000.0,34321.0,42588.0,166094.0,50000.0,69502.0,46154.0,50435.0,54375.0,64000.0,142821.0,-1.0,40127.0,100000.0,-1.0,201117.0,-1.0,51250.0,47778.0,62500.0,135976.0,-1.0,-1.0,127500.0,-1.0,50419.0,95833.0,153846.0,137931.0,100000.0,-1.0,66667.0,173077.0,-1.0,202222.0,75000.0,138000.0,-1.0,65217.0,39989.0,65672.0,52381.0,100000.0,-1.0,62295.0,100000.0,-1.0,3125.0,60606.0,24005.0,-1.0,78223.0,68000.0,35000.0,-1.0,35149.0,43750.0,166094.0,46667.0,-1.0,-1.0,205000.0,87332.0,10104.0,-1.0,-1.0,100000.0,122922.0,-1.0,-1.0,110000.0,61538.0,84500.0,106338.0,-1.0,-1.0,40000.0,16250.0,65517.0,164286.0
