,USSR,Finland,Vanuatu,Trinidad and Tobago,Fiji,French Guiana,Kenya,Guyana,Solomon Islands,Papua New Guinea,Somalia,Micronesia,Togo,Equatorial Guinea,Albania,Brazil,Serbia,El Salvador,Saint Lucia,Canada,Colombia,Iceland,New Zealand,Honduras,Jamaica,Cabo Verde,Republic of Moldova,Mongolia,Belgium-Luxembourg,Angola,Saudi Arabia,Sao Tome and Principe,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,Haiti,Sudan,Mali,Hungary,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Puerto Rico,Iran (Islamic Republic of),Gambia,Ghana,Sweden,Cyprus,Kazakhstan,Rwanda,Bosnia and Herzegovina,Portugal,Saint Kitts and Nevis,"China, Taiwan Province of",Pacific Islands Trust Territory,Bermuda,Singapore,Turkmenistan,Dominica,Madagascar,United Republic of Tanzania,Nepal,Libya,Costa Rica,Bangladesh,Germany,Comoros,Latvia,Benin,Montserrat,Occupied Palestinian Territory,Cambodia,Armenia,Chile,Malta,Denmark,Lebanon,Malawi,Algeria,Slovakia,Israel,Réunion,Kiribati,Belarus,Afghanistan,Switzerland,Grenada,Wallis and Futuna Islands,Mauritius,Yemen,Georgia,Lithuania,Russian Federation,Tunisia,Paraguay,Venezuela (Bolivarian Republic of),Cook Islands,Guadeloupe,Tokelau,Faroe Islands,South Africa,Myanmar,Eritrea,Bahrain,Australia & New Zealand,Australia,Panama,Pakistan,Thailand,Belize,Ethiopia,Bhutan,United Arab Emirates,Lao People's Democratic Republic,Zambia,Botswana,Tajikistan,Suriname,Niue,Mozambique,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Slovenia,Spain,South Sudan,New Caledonia,Central African Republic,Bahamas,Ecuador,Indonesia,Poland,Chad,Antigua and Barbuda,Ethiopia PDR,Estonia,Melanesia,Malaysia,France,Republic of Korea,Democratic Republic of the Congo,Nigeria,Congo,Martinique,Tonga,Belgium,Peru,United States of America,"China, mainland",French Polynesia,India,Guinea-Bissau,Cameroon,Netherlands,Guatemala,Cuba,Lesotho,Romania,Micronesia (Federated States of),Norway,Philippines,Iraq,Swaziland,Burundi,Samoa,Luxembourg,Czechia,Seychelles,Senegal,Qatar,Italy,Ireland,Uganda,Cayman Islands,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Jordan,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Austria,Japan,Maldives,Timor-Leste,Egypt,Argentina,Namibia,United Kingdom,Azerbaijan,Nicaragua,Oman,Viet Nam,Barbados,Turkey,Bolivia (Plurinational State of),Saint Vincent and the Grenadines,American Samoa,Brunei Darussalam,Mexico,Guinea,Kuwait,Mauritania,Sierra Leone,Sri Lanka,Guam,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Montenegro,Ukraine,Liberia
1961,94965.0,137394.0,225455.0,95896.0,75633.0,89286.0,70278.0,64000.0,95598.0,65924.0,100000.0,73788.0,114068.0,30952.0,72134.0,119686.0,,70567.0,36702.0,160960.0,73910.0,185714.0,210557.0,47215.0,109841.0,31429.0,,96471.0,261053.0,36821.0,85714.0,76000.0,,71226.0,103961.0,41709.0,,57282.0,68077.0,61207.0,120400.0,84676.0,30612.0,100000.0,50199.0,74333.0,176300.0,118075.0,,66353.0,,95921.0,26067.0,137184.0,65921.0,103810.0,93125.0,,95224.0,56762.0,50025.0,55102.0,46667.0,71052.0,72529.0,180590.0,52688.0,,61394.0,25000.0,,113966.0,,87727.0,76908.0,206013.0,80472.0,66903.0,106217.0,,191031.0,98095.0,86567.0,,86667.0,243000.0,52110.0,92453.0,77662.0,56983.0,,,,70000.0,135947.0,79337.0,208038.0,117837.0,200000.0,128667.0,64665.0,30270.0,,200000.0,143346.0,123049.0,76998.0,75911.0,169005.0,160000.0,,64583.0,,72500.0,65636.0,50000.0,,81127.0,63380.0,34834.0,87329.0,87190.0,113636.0,,118377.0,,57055.0,33588.0,52033.0,79550.0,71974.0,160340.0,56864.0,33171.0,34038.0,,69382.0,80732.0,160992.0,128172.0,64646.0,85540.0,49427.0,107547.0,91559.0,,62091.0,207287.0,73457.0,144242.0,73264.0,61538.0,44783.0,280396.0,43499.0,47312.0,150000.0,95604.0,,229302.0,50316.0,100000.0,53348.0,68271.0,68940.0,,,57467.0,41676.0,,104066.0,248733.0,36567.0,,,74781.0,29281.0,,34578.0,100046.0,78947.0,58628.0,38039.0,,51169.0,197806.0,182158.0,44749.0,35816.0,174185.0,103744.0,82353.0,224785.0,,38824.0,,60288.0,95567.0,95542.0,53385.0,92612.0,57566.0,54693.0,68619.0,75965.0,,22131.0,26689.0,70592.0,91875.0,39525.0,91589.0,,107318.0,,,58078.0
1962,80218.0,129031.0,227273.0,93282.0,75272.0,94595.0,71142.0,64932.0,97959.0,66466.0,100000.0,73085.0,112203.0,30952.0,54341.0,123213.0,,73372.0,39795.0,182152.0,77829.0,142857.0,210194.0,48847.0,113845.0,34930.0,,53111.0,291415.0,33254.0,86667.0,76000.0,,71718.0,98901.0,41953.0,,58476.0,90135.0,60484.0,108995.0,80807.0,33055.0,100000.0,50199.0,74286.0,187800.0,134072.0,,69866.0,,86731.0,26067.0,131473.0,66730.0,86283.0,104463.0,,95283.0,57108.0,50638.0,55061.0,50000.0,72028.0,72358.0,225080.0,53261.0,,55688.0,25000.0,,97552.0,,83859.0,76955.0,187106.0,100000.0,67548.0,100000.0,,209014.0,100000.0,85294.0,,76667.0,230000.0,51981.0,92453.0,83839.0,58152.0,,,,70345.0,134354.0,87419.0,210526.0,116803.0,206250.0,138739.0,57806.0,27795.0,,200000.0,155632.0,139596.0,75047.0,93448.0,166597.0,170000.0,,64286.0,,58182.0,67369.0,50000.0,,83677.0,60094.0,36836.0,86180.0,95567.0,114545.0,,102161.0,,57988.0,33173.0,51969.0,85669.0,73455.0,129951.0,56354.0,32955.0,34017.0,,69898.0,85326.0,155289.0,125686.0,65683.0,78775.0,49616.0,108679.0,100592.0,,62511.0,203932.0,77616.0,144578.0,67669.0,61538.0,46525.0,304970.0,34107.0,45518.0,150000.0,85217.0,,182461.0,50339.0,100000.0,50988.0,68060.0,68941.0,,,58933.0,43260.0,,94868.0,250074.0,39607.0,,,78710.0,20783.0,,35560.0,94873.0,62644.0,43259.0,39043.0,,50649.0,190451.0,179239.0,47933.0,35152.0,156269.0,89642.0,83333.0,227373.0,,39800.0,,59275.0,113565.0,108707.0,52808.0,94367.0,57599.0,54839.0,81827.0,76551.0,,23171.0,26645.0,72887.0,75400.0,39079.0,96388.0,,83512.0,,,58078.0
1963,84530.0,159426.0,229091.0,95662.0,74026.0,110507.0,71749.0,63700.0,101243.0,66408.0,97368.0,73567.0,111167.0,35000.0,76758.0,126526.0,,75200.0,39246.0,179741.0,66335.0,126761.0,198482.0,50479.0,119147.0,32778.0,,77778.0,267898.0,34385.0,86667.0,76000.0,,81090.0,129640.0,42405.0,,60000.0,87382.0,61310.0,89819.0,87720.0,34509.0,112903.0,50800.0,72441.0,232420.0,93018.0,,45375.0,,104963.0,25652.0,92844.0,66730.0,84528.0,102230.0,,95719.0,61694.0,51710.0,55906.0,50400.0,72760.0,74108.0,231439.0,54348.0,,55600.0,25000.0,,98319.0,,95552.0,90659.0,208267.0,107121.0,67932.0,92466.0,,211219.0,100000.0,84058.0,,81333.0,265000.0,52227.0,92453.0,125719.0,59259.0,,,,82857.0,134906.0,89695.0,208726.0,116360.0,212500.0,142769.0,65521.0,33422.0,,200000.0,157279.0,146879.0,73084.0,91564.0,149254.0,181818.0,,64508.0,,60000.0,68135.0,51667.0,,80977.0,61033.0,34862.0,89956.0,91438.0,114607.0,,123771.0,,59467.0,33172.0,54887.0,76615.0,69097.0,157986.0,57124.0,32766.0,35142.0,,69891.0,79773.0,189265.0,131447.0,66408.0,86340.0,48490.0,107308.0,103383.0,,61674.0,214229.0,81742.0,141818.0,75309.0,61538.0,44931.0,287836.0,35000.0,45024.0,150000.0,81130.0,,235806.0,52335.0,100000.0,54459.0,67609.0,69822.0,,,60133.0,47154.0,,113879.0,237509.0,39384.0,,,82007.0,33846.0,,35756.0,90562.0,78981.0,52318.0,39602.0,,50685.0,217780.0,189144.0,47987.0,35680.0,173486.0,92655.0,84444.0,215449.0,,39444.0,,59260.0,101723.0,114217.0,53049.0,71773.0,57747.0,46628.0,81828.0,71625.0,,23171.0,26759.0,56074.0,89462.0,36031.0,97986.0,,96253.0,,,59100.0
1964,109934.0,119578.0,220870.0,88456.0,73769.0,80189.0,72405.0,63825.0,102335.0,67303.0,100000.0,85715.0,109677.0,36111.0,90389.0,130463.0,,74919.0,38964.0,190517.0,78624.0,119718.0,198044.0,51990.0,111092.0,34722.0,,85185.0,343142.0,35216.0,87500.0,76800.0,,93285.0,155957.0,42425.0,,61000.0,78632.0,62054.0,99387.0,81586.0,32743.0,109375.0,46154.0,72233.0,213757.0,139711.0,,45565.0,,103061.0,25652.0,134921.0,89806.0,84298.0,103882.0,,95246.0,61900.0,52204.0,56068.0,50000.0,73616.0,72817.0,209811.0,56044.0,,60221.0,25000.0,,91978.0,,95575.0,70138.0,223073.0,107787.0,66361.0,70342.0,,236227.0,100000.0,78472.0,,86000.0,268000.0,52096.0,92453.0,119199.0,60309.0,,,,79077.0,135390.0,86883.0,206977.0,124002.0,194444.0,123306.0,69524.0,34037.0,,200000.0,151915.0,138172.0,73545.0,91835.0,145947.0,175000.0,,64720.0,,70000.0,67576.0,53333.0,,74460.0,63380.0,36215.0,91377.0,64441.0,114222.0,,116800.0,,60234.0,32334.0,58394.0,76273.0,71772.0,169141.0,55892.0,33265.0,35241.0,,70582.0,76847.0,167369.0,179503.0,65830.0,83548.0,48990.0,107117.0,101950.0,,65939.0,200103.0,72117.0,141916.0,79480.0,61538.0,42062.0,329901.0,37681.0,43393.0,150000.0,82285.0,,164064.0,54548.0,100000.0,52400.0,67647.0,69980.0,,,61333.0,48415.0,,107858.0,206837.0,40164.0,,,73568.0,32129.0,,33616.0,103342.0,67702.0,44012.0,40847.0,,48767.0,218247.0,184460.0,45349.0,33299.0,172665.0,88553.0,84211.0,225343.0,,41389.0,,58170.0,94628.0,117167.0,55035.0,75536.0,58255.0,36135.0,83590.0,76316.0,,24096.0,26497.0,73771.0,103889.0,36184.0,97366.0,,121995.0,,,58487.0
1965,102968.0,172957.0,216949.0,88901.0,74132.0,81343.0,73205.0,56041.0,104956.0,67103.0,100000.0,84342.0,113968.0,36111.0,57544.0,131641.0,,79221.0,39102.0,173135.0,75852.0,176056.0,214901.0,53996.0,116937.0,33611.0,,90370.0,300459.0,35645.0,87500.0,79200.0,,92742.0,164494.0,42276.0,,62321.0,71909.0,61479.0,110004.0,69435.0,33271.0,106061.0,40000.0,92394.0,248470.0,164611.0,,48462.0,,87286.0,25745.0,133381.0,91765.0,100682.0,100576.0,,95342.0,66825.0,52618.0,63498.0,41095.0,73339.0,82936.0,205188.0,57778.0,,57884.0,25000.0,,109091.0,,77551.0,55540.0,230659.0,119276.0,67800.0,81919.0,,215597.0,105882.0,70440.0,,88000.0,231003.0,51885.0,92453.0,95788.0,59804.0,,,,82429.0,134258.0,86113.0,210094.0,100476.0,200000.0,128739.0,65231.0,35680.0,,200000.0,164180.0,144771.0,76490.0,93660.0,142269.0,169231.0,,65217.0,,70690.0,68697.0,53333.0,,72810.0,66489.0,36239.0,82618.0,78400.0,112609.0,,111025.0,,64658.0,38968.0,60839.0,87843.0,68697.0,154293.0,53634.0,34400.0,35394.0,,70650.0,81153.0,195147.0,168208.0,67905.0,87438.0,49264.0,107343.0,101349.0,,67802.0,221505.0,93135.0,142012.0,93883.0,61538.0,44805.0,258898.0,39688.0,45145.0,150000.0,70388.0,,234752.0,55682.0,100000.0,51881.0,67398.0,70845.0,,,61333.0,40854.0,,102378.0,233583.0,37269.0,,,94065.0,32400.0,,34600.0,104729.0,96341.0,44178.0,40844.0,,49730.0,175672.0,186386.0,45406.0,35790.0,186906.0,117459.0,85263.0,253354.0,,41316.0,,58378.0,84315.0,115790.0,54738.0,62139.0,57805.0,34820.0,84549.0,73225.0,,24096.0,31213.0,56533.0,156212.0,36000.0,97207.0,,77950.0,,,59100.0
1966,104687.0,157518.0,216667.0,90019.0,74398.0,83193.0,74550.0,61656.0,103359.0,69247.0,100000.0,81904.0,113445.0,34737.0,87322.0,129526.0,,77721.0,38929.0,191462.0,74635.0,87350.0,207757.0,55364.0,97271.0,33739.0,,69310.0,280641.0,35119.0,88235.0,80556.0,,96799.0,133984.0,41979.0,,63274.0,122628.0,62169.0,91942.0,96877.0,33893.0,84063.0,40000.0,85390.0,249333.0,159196.0,,76178.0,,90440.0,25833.0,145851.0,86667.0,134175.0,100496.0,,95187.0,62098.0,53806.0,62885.0,44945.0,73537.0,90439.0,222060.0,57609.0,,66553.0,25000.0,,102890.0,,105474.0,63861.0,247719.0,126526.0,67226.0,66768.0,,245008.0,115789.0,71687.0,,90667.0,269000.0,52938.0,92453.0,154541.0,64705.0,,,,85000.0,135808.0,85948.0,184314.0,101314.0,205556.0,159802.0,84310.0,32033.0,,200000.0,176826.0,166238.0,76907.0,91261.0,144203.0,164286.0,,65402.0,,78947.0,67516.0,54098.0,,64473.0,63564.0,36287.0,69601.0,73500.0,112609.0,,118154.0,,61867.0,27275.0,63265.0,82606.0,69332.0,168897.0,50388.0,35000.0,35722.0,,72301.0,80721.0,197618.0,162161.0,68458.0,88814.0,50128.0,107192.0,101466.0,,66206.0,222417.0,97161.0,143192.0,91862.0,61538.0,46101.0,315597.0,37246.0,45914.0,140000.0,105638.0,,244297.0,56417.0,100000.0,53493.0,66963.0,70826.0,,,62533.0,38224.0,,111429.0,247610.0,40576.0,38889.0,,98202.0,34400.0,,34600.0,105408.0,119149.0,56863.0,39309.0,,49167.0,220157.0,182975.0,47755.0,36760.0,159753.0,94057.0,85789.0,243710.0,,41282.0,,58043.0,84049.0,116591.0,55288.0,55633.0,57837.0,25869.0,89149.0,74355.0,,24096.0,32427.0,55580.0,136364.0,38760.0,97083.0,,123210.0,,,59350.0
1967,114589.0,136527.0,208800.0,91169.0,75190.0,96838.0,74809.0,60794.0,104694.0,69117.0,100000.0,83243.0,114017.0,34737.0,72367.0,133399.0,,81351.0,39786.0,171774.0,75252.0,130420.0,271094.0,54049.0,102331.0,43177.0,,60000.0,353097.0,36018.0,86667.0,81890.0,,106183.0,148325.0,42064.0,,64087.0,89351.0,61591.0,113429.0,85152.0,34999.0,120857.0,35000.0,89302.0,256129.0,156801.0,,78620.0,,107359.0,30353.0,155663.0,84783.0,117113.0,100746.0,,95026.0,62340.0,56516.0,65918.0,45316.0,73080.0,103292.0,253808.0,57778.0,,71963.0,25000.0,,93427.0,,93284.0,71211.0,237091.0,116562.0,68250.0,63501.0,,212190.0,119355.0,76471.0,,98000.0,296000.0,52190.0,97315.0,160970.0,74506.0,,,,92824.0,144769.0,75796.0,181922.0,104017.0,211111.0,141386.0,93666.0,38263.0,,200000.0,180622.0,161829.0,74992.0,89219.0,145326.0,165517.0,,65577.0,,77419.0,67388.0,54098.0,,46806.0,68571.0,35347.0,73409.0,73333.0,113043.0,,119378.0,,49401.0,28220.0,65232.0,93158.0,66360.0,175885.0,47538.0,34355.0,35672.0,,72011.0,81931.0,201900.0,114781.0,68118.0,89661.0,47909.0,107167.0,100904.0,,69495.0,223694.0,104984.0,144432.0,89090.0,61538.0,38476.0,350287.0,37391.0,45843.0,140000.0,96132.0,,200998.0,53473.0,100000.0,53419.0,67482.0,70768.0,,,63467.0,38881.0,,118598.0,270542.0,49492.0,40000.0,,106170.0,34444.0,,33109.0,85489.0,135294.0,49638.0,40481.0,,49307.0,227819.0,186789.0,47804.0,37389.0,174559.0,110357.0,86842.0,251130.0,,40476.0,,58367.0,90676.0,117257.0,56753.0,75653.0,57916.0,25725.0,97946.0,72096.0,,25100.0,32568.0,50863.0,137500.0,38765.0,96587.0,,113949.0,,,59473.0
1968,123098.0,140806.0,209375.0,95270.0,74518.0,86667.0,75229.0,61651.0,105943.0,68280.0,100000.0,86681.0,117879.0,31905.0,72483.0,136558.0,,76667.0,40327.0,194680.0,75715.0,164824.0,288753.0,61746.0,91580.0,50421.0,,81935.0,326324.0,36357.0,86667.0,81439.0,,111398.0,175551.0,42140.0,,64872.0,89168.0,60894.0,113957.0,87006.0,37429.0,117778.0,38500.0,87526.0,263897.0,155934.0,,70042.0,,99261.0,30805.0,143818.0,85106.0,115955.0,97423.0,,95349.0,65049.0,54925.0,55944.0,51317.0,73172.0,103870.0,239100.0,58889.0,,75523.0,28571.0,,97240.0,,91164.0,72795.0,255854.0,100389.0,69500.0,68023.0,,228838.0,106410.0,83333.0,,100000.0,300000.0,51954.0,97407.0,168990.0,86758.0,,,,70588.0,145413.0,74584.0,207283.0,117982.0,195000.0,154479.0,112885.0,48447.0,,200000.0,180723.0,155810.0,78104.0,94313.0,151494.0,170543.0,,65565.0,,78788.0,66559.0,55738.0,,49761.0,69043.0,35304.0,74007.0,81667.0,113478.0,,118981.0,,57790.0,29137.0,67532.0,95689.0,69372.0,184880.0,45341.0,37576.0,35810.0,,71466.0,80638.0,213276.0,135674.0,67884.0,83274.0,47294.0,106849.0,99551.0,,66120.0,227884.0,108420.0,145143.0,98367.0,64286.0,39893.0,343700.0,37531.0,47031.0,140000.0,111996.0,,239758.0,52374.0,100000.0,51786.0,67262.0,70314.0,,,60000.0,36004.0,,124425.0,273960.0,47922.0,40000.0,,109296.0,39447.0,,33263.0,80100.0,58491.0,39080.0,40000.0,,49231.0,266661.0,198768.0,47806.0,38994.0,176462.0,98448.0,86842.0,246542.0,,41860.0,,57682.0,96662.0,121879.0,71231.0,80111.0,63366.0,28038.0,97046.0,71555.0,,24096.0,30156.0,54478.0,140244.0,39492.0,95577.0,,118956.0,,,60486.0
1969,113307.0,133900.0,207692.0,94194.0,76307.0,86154.0,76359.0,69045.0,106756.0,68292.0,100000.0,86243.0,121471.0,31364.0,55738.0,138336.0,,75902.0,40325.0,189667.0,77383.0,75678.0,294256.0,59013.0,96397.0,37150.0,,53704.0,342147.0,37447.0,86667.0,81955.0,,122219.0,159231.0,41723.0,,65812.0,113438.0,60777.0,106155.0,95244.0,39969.0,118108.0,38500.0,85548.0,176744.0,161329.0,,67985.0,,102008.0,31034.0,156450.0,84694.0,79157.0,105471.0,,95584.0,67316.0,49626.0,56298.0,59790.0,70126.0,104141.0,207995.0,55914.0,,60296.0,28571.0,,88758.0,,79842.0,85377.0,206762.0,95791.0,61990.0,52466.0,,236831.0,110588.0,83146.0,,101987.0,301002.0,52312.0,101204.0,126648.0,86758.0,,,,70115.0,145763.0,71428.0,210074.0,120485.0,200000.0,136333.0,81304.0,54088.0,,200000.0,198198.0,176107.0,73315.0,109895.0,160320.0,177632.0,,65052.0,,78571.0,67523.0,57377.0,,60580.0,64171.0,35394.0,71576.0,71000.0,113913.0,,127134.0,,51003.0,29791.0,69745.0,107665.0,69050.0,165299.0,43960.0,40833.0,35796.0,,71476.0,82441.0,215372.0,142125.0,68062.0,92248.0,46050.0,111785.0,98889.0,,66743.0,235874.0,115591.0,146067.0,101379.0,61538.0,36622.0,323716.0,37303.0,45528.0,140000.0,67460.0,,262511.0,51990.0,150000.0,47813.0,67022.0,68593.0,,,59750.0,45949.0,,130074.0,263353.0,39932.0,40000.0,,116565.0,41364.0,,33703.0,107166.0,19797.0,59970.0,40657.0,,48056.0,261215.0,188992.0,48027.0,39084.0,173344.0,114036.0,84000.0,250500.0,,41591.0,,59583.0,95348.0,123387.0,71769.0,89609.0,74251.0,32689.0,102472.0,69752.0,,17949.0,33004.0,54510.0,134270.0,40455.0,95721.0,,122006.0,,,60526.0
1970,120019.0,189002.0,202222.0,94574.0,81483.0,143238.0,76648.0,69502.0,106106.0,68801.0,107692.0,85453.0,120074.0,31364.0,54693.0,136880.0,,78162.0,41665.0,194904.0,90664.0,81909.0,293952.0,65975.0,98972.0,31932.0,,71724.0,340053.0,37621.0,84211.0,83835.0,,129180.0,142137.0,41972.0,,65357.0,104169.0,61801.0,111171.0,89982.0,39486.0,109211.0,39000.0,55997.0,278743.0,194279.0,,74232.0,,105851.0,31461.0,149028.0,83333.0,166883.0,105994.0,,95771.0,63980.0,49437.0,56252.0,66547.0,65897.0,108558.0,231893.0,55319.0,,56665.0,20000.0,,90379.0,,96050.0,68787.0,286850.0,103910.0,63102.0,62542.0,,283316.0,113857.0,82967.0,,95364.0,315000.0,51962.0,101296.0,154483.0,50002.0,,,,74444.0,147924.0,73201.0,208738.0,118058.0,205000.0,166939.0,111864.0,50449.0,,200000.0,197966.0,175119.0,78758.0,105738.0,151274.0,173077.0,,64919.0,,82192.0,68235.0,62295.0,,70471.0,65667.0,36621.0,74212.0,81520.0,110515.0,,133210.0,,55742.0,30685.0,72327.0,107666.0,69468.0,184106.0,43660.0,39558.0,35807.0,,72344.0,83989.0,222184.0,151909.0,68669.0,97525.0,46324.0,109934.0,97430.0,,66995.0,244162.0,124428.0,146961.0,101050.0,61538.0,41096.0,356492.0,40899.0,42440.0,133333.0,68549.0,,255738.0,51980.0,153846.0,48978.0,66709.0,66972.0,,,61875.0,43135.0,,128294.0,258409.0,43153.0,42222.0,,124990.0,45000.0,,37831.0,98243.0,198182.0,56171.0,41068.0,,49315.0,245978.0,204581.0,49608.0,37011.0,175898.0,118018.0,84500.0,276360.0,,41556.0,,60132.0,113226.0,123466.0,72317.0,78340.0,50659.0,29379.0,104413.0,70333.0,,17664.0,36548.0,58185.0,134066.0,41628.0,93387.0,,121410.0,,,61577.0
