,Costa Rica,Guinea,India,Bolivia (Plurinational State of),Peru,Malaysia,Cameroon,Congo,Gabon,Dominican Republic,Ecuador,Central African Republic,Mexico,Thailand,China,Indonesia,Côte d'Ivoire,Colombia,Brunei Darussalam,Viet Nam,Papua New Guinea,Philippines,Guinea-Bissau,Liberia,Democratic Republic of the Congo,Bangladesh,Singapore,Guatemala,Brazil,Ghana,Melanesia,"China, mainland",Sri Lanka,Nigeria,Myanmar,Cambodia,Timor-Leste
1961,-1,-1.0,45000.0,-1.0,-1,1300000.0,11000.0,150.0,-1.0,-1.0,-1.0,-1.0,-1.0,400160.0,-1.0,1353000.0,173.0,-1,21000.0,122900.0,9065.0,10100.0,-1,75000.0,85000.0,-1.0,-1,-1.0,-1.0,800.0,9065.0,-1.0,215100.0,130000.0,56412.0,45000.0,-1
1962,-1,-1.0,52000.0,-1.0,-1,1300000.0,11000.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,551840.0,-1.0,1358000.0,227.0,-1,18400.0,124000.0,9200.0,14410.0,-1,75000.0,85000.0,-1.0,-1,-1.0,-1.0,800.0,9200.0,-1.0,229313.0,130000.0,61108.0,45000.0,-1
1963,-1,-1.0,60000.0,-1.0,-1,1400000.0,18000.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,544000.0,-1.0,1362000.0,1435.0,-1,11045.0,126000.0,9100.0,18100.0,-1,75000.0,85000.0,-1.0,-1,-1.0,-1.0,1000.0,9100.0,-1.0,229902.0,130000.0,60000.0,45000.0,-1
1964,-1,-1.0,74000.0,-1.0,-1,1400000.0,12200.0,200.0,-1.0,-1.0,-1.0,-1.0,-1.0,579520.0,-1.0,1350000.0,3316.0,-1,11067.0,128000.0,9783.0,19760.0,-1,75000.0,80000.0,-1.0,-1,-1.0,-1.0,1600.0,9783.0,-1.0,230337.0,130000.0,51166.0,50000.0,-1
1965,-1,-1.0,82000.0,-1.0,-1,1500000.0,11600.0,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,588320.0,-1.0,1418000.0,5314.0,-1,11084.0,130200.0,9600.0,17010.0,-1,88000.0,70000.0,-1.0,-1,-1.0,-1.0,1600.0,9600.0,-1.0,230738.0,130000.0,53192.0,50000.0,-1
1966,-1,-1.0,88000.0,-1.0,-1,1400000.0,13500.0,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,581600.0,-1.0,1409000.0,5852.0,-1,11097.0,126100.0,10651.0,15670.0,-1,88000.0,80000.0,-1.0,-1,-1.0,-1.0,1600.0,10651.0,-1.0,231185.0,130000.0,49554.0,55000.0,-1
1967,-1,-1.0,102000.0,-1.0,-1,1400000.0,14000.0,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,615200.0,-1.0,1388000.0,7048.0,-1,11103.0,116000.0,10613.0,15200.0,-1,88000.0,83000.0,-1.0,-1,-1.0,-1.0,1600.0,10613.0,-1.0,231657.0,95000.0,46725.0,55000.0,-1
1968,-1,-1.0,110000.0,-1.0,-1,1400000.0,12500.0,300.0,-1.0,-1.0,-1.0,-1.0,-1.0,615200.0,-1.0,1432000.0,8195.0,-1,11126.0,110000.0,11086.0,15220.0,-1,91000.0,88000.0,-1.0,-1,-1.0,-1.0,1600.0,11086.0,-1.0,231851.0,95000.0,48174.0,55000.0,-1
1969,-1,-1.0,120000.0,-1.0,-1,1500000.0,13500.0,400.0,-1.0,-1.0,-1.0,-1.0,-1.0,742720.0,-1.0,1512000.0,9353.0,-1,8900.0,108000.0,10833.0,21180.0,-1,92000.0,90000.0,-1.0,-1,-1.0,-1.0,2500.0,10833.0,-1.0,230478.0,95000.0,47900.0,50000.0,-1
1970,-1,-1.0,138000.0,-1.0,-1,1500000.0,14400.0,500.0,-1.0,-1.0,-1.0,-1.0,-1.0,811520.0,-1.0,1391000.0,10406.0,-1,8900.0,106000.0,11160.0,21830.0,-1,120000.0,88000.0,-1.0,-1,-1.0,-1.0,10100.0,11160.0,-1.0,230082.0,95000.0,49372.0,15000.0,-1
1971,-1,-1.0,141000.0,-1.0,-1,1550000.0,19000.0,650.0,-1.0,-1.0,-1.0,-1.0,-1.0,922560.0,-1.0,1532000.0,10871.0,-1,8000.0,102500.0,11314.0,23000.0,-1,120700.0,85000.0,-1.0,-1,-1.0,-1.0,10100.0,11314.0,-1.0,229861.0,95000.0,47103.0,13000.0,-1
1972,-1,-1.0,149000.0,-1.0,-1,1600000.0,19500.0,650.0,-1.0,-1.0,-1.0,-1.0,-1.0,934720.0,-1.0,1545000.0,11306.0,-1,5000.0,98000.0,11767.0,24700.0,-1,117000.0,80000.0,-1.0,-1,-1.0,-1.0,10500.0,11767.0,-1.0,229460.0,95000.0,47153.0,17000.0,-1
1973,-1,-1.0,155000.0,-1.0,-1,1850000.0,19800.0,650.0,-1.0,-1.0,-1.0,-1.0,-1.0,979840.0,-1.0,1549000.0,12004.0,-1,7000.0,95000.0,12414.0,26100.0,-1,119800.0,75000.0,-1.0,-1,-1.0,-1.0,10900.0,12414.0,-1.0,228579.0,95000.0,49398.0,20000.0,-1
1974,-1,-1.0,166000.0,-1.0,-1,1820000.0,13000.0,900.0,-1.0,-1.0,-1.0,-1.0,-1.0,992640.0,-1.0,1543000.0,12289.0,-1,7200.0,90000.0,12154.0,33200.0,-1,120000.0,74500.0,-1.0,-1,-1.0,-1.0,10900.0,12154.0,-1.0,228005.0,95000.0,50275.0,20000.0,-1
1975,-1,-1.0,171000.0,-1.0,-1,1700000.0,19927.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,992640.0,-1.0,1561000.0,12665.0,-1,5928.0,81200.0,10800.0,45430.0,-1,110000.0,72700.0,-1.0,-1,-1.0,-1.0,11300.0,10800.0,-1.0,227636.0,95000.0,48995.0,20000.0,-1
1976,-1,-1.0,178000.0,-1.0,-1,1800000.0,20350.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,1094720.0,-1.0,1586000.0,12692.0,-1,5818.0,76600.0,7108.0,55120.0,-1,102000.0,69800.0,-1.0,-1,-1.0,-1.0,11300.0,7108.0,-1.0,226979.0,73000.0,47560.0,25000.0,-1
1977,-1,-1.0,186000.0,-1.0,-1,1800000.0,21653.0,1800.0,-1.0,-1.0,650.0,-1.0,-1.0,1094720.0,-1.0,1557000.0,13000.0,-1,3936.0,78100.0,7700.0,58540.0,-1,98000.0,67500.0,-1.0,-1,-1.0,-1.0,10000.0,7700.0,-1.0,226563.0,73000.0,46539.0,20000.0,-1
1978,-1,-1.0,191000.0,-1.0,-1,1890000.0,18900.0,1900.0,-1.0,-1.0,710.0,-1.0,-1.0,1082720.0,-1.0,1549000.0,12942.0,-1,1542.0,84200.0,6000.0,53700.0,-1,100000.0,65000.0,-1.0,-1,-1.0,-1.0,10000.0,6000.0,-1.0,226328.0,73000.0,46539.0,20000.0,-1
1979,-1,-1.0,190300.0,-1.0,-1,1670000.0,27717.0,2000.0,-1.0,-1.0,1019.0,-1.0,-1.0,1417120.0,-1.0,1613145.0,13500.0,-1,1522.0,83100.0,8500.0,53700.0,-1,105000.0,65000.0,-1.0,-1,-1.0,-1.0,10000.0,8500.0,-1.0,226600.0,73000.0,47753.0,15000.0,-1
1980,-1,-1.0,192500.0,-1.0,-1,1615000.0,28000.0,2200.0,-1.0,-1.0,1150.0,-1.0,4606.0,1240480.0,-1.0,1612193.0,14697.0,-1,4658.0,58500.0,9000.0,54130.0,-1,107000.0,65000.0,-1.0,-1,8260.0,-1.0,12400.0,9000.0,-1.0,222312.0,73000.0,47501.0,10000.0,-1
1981,-1,-1.0,194200.0,-1.0,-1,1620000.0,28000.0,2300.0,-1.0,-1.0,1175.0,-1.0,7051.0,1269280.0,-1.0,1563997.0,16578.0,-1,3233.0,60800.0,9000.0,53880.0,-1,107000.0,65000.0,-1.0,-1,15500.0,-1.0,11000.0,9000.0,-1.0,230451.0,73000.0,46826.0,10000.0,-1
1982,-1,-1.0,196200.0,-1.0,-1,1620000.0,24710.0,2300.0,-1.0,-1.0,1175.0,-1.0,6114.0,1417920.0,-1.0,1564618.0,18996.0,-1,3072.0,60800.0,8700.0,56870.0,-1,112000.0,65000.0,-1.0,-1,15400.0,-1.0,11000.0,8700.0,-1.0,205686.0,73000.0,46457.0,10000.0,-1
1983,-1,-1.0,199700.0,-1.0,-1,1585000.0,20500.0,2400.0,-1.0,-1.0,1620.0,-1.0,7998.0,1418240.0,-1.0,1618000.0,22615.0,-1,3012.0,62900.0,8700.0,64250.0,-1,100000.0,65000.0,-1.0,-1,7910.0,-1.0,10900.0,8700.0,-1.0,205645.0,73000.0,43759.0,15000.0,-1
1984,-1,-1.0,204500.0,-1.0,-1,1575000.0,25000.0,2400.0,-1.0,-1.0,1650.0,-1.0,8712.0,1371520.0,-1.0,1706000.0,26499.0,-1,3010.0,62600.0,9400.0,71069.0,-1,100000.0,60000.0,-1.0,-1,8190.0,-1.0,5000.0,9400.0,-1.0,205589.0,73000.0,43666.0,15000.0,-1
1985,-1,-1.0,210500.0,-1.0,-1,1535000.0,20505.0,2500.0,-1.0,-1.0,1806.0,1200.0,9013.0,1411360.0,300000.0,1692000.0,31192.0,-1,3100.0,63700.0,8000.0,67412.0,-1,100000.0,58000.0,-1.0,-1,16100.0,50000.0,5000.0,8000.0,300000.0,205504.0,73000.0,42905.0,25000.0,-1
1986,-1,-1.0,223300.0,-1.0,-1,1535000.0,27000.0,2500.0,-1.0,-1.0,2100.0,1200.0,9657.0,1352000.0,320000.0,1747000.0,35312.0,-1,3100.0,65900.0,10000.0,82602.0,-1,100000.0,58000.0,-1.0,-1,16100.0,50000.0,5000.0,10000.0,320000.0,205206.0,73000.0,40670.0,30000.0,-1
1987,-1,-1.0,237100.0,-1.0,-1,1535000.0,28000.0,2500.0,-1.0,-1.0,1100.0,1200.0,9176.0,1360000.0,365000.0,1884033.0,37378.0,-1,3200.0,65900.0,8300.0,84038.0,-1,100000.0,55000.0,-1.0,-1,22050.0,50000.0,5000.0,8300.0,365000.0,205100.0,73000.0,40677.0,30000.0,-1
1988,-1,-1.0,249100.0,-1.0,-1,1660000.0,33000.0,2500.0,5650.0,-1.0,980.0,1200.0,9082.0,1365000.0,365000.0,1763694.0,38864.0,-1,3200.0,64900.0,9000.0,84620.0,-1,100000.0,49000.0,-1.0,-1,22330.0,50000.0,7000.0,9000.0,365000.0,200247.0,130000.0,40527.0,30000.0,-1
