,Ecuador,Ghana,Singapore,Philippines,Colombia,Melanesia,Malaysia,Costa Rica,Mexico,Indonesia,Viet Nam,Nigeria,Democratic Republic of the Congo,Bangladesh,Congo,Peru,Papua New Guinea,Dominican Republic,Cameroon,Bolivia (Plurinational State of),Thailand,Myanmar,Brazil,Cambodia,Brunei Darussalam,Guinea,China,"China, mainland",Sri Lanka,Liberia,Guinea-Bissau,Côte d'Ivoire,Timor-Leste,Central African Republic,Gabon,Guatemala,India
1961,,415.0,1602.0,3700.0,500.0,4339.0,789679.0,200.0,-1.0,693200.0,78100.0,58000.0,38400.0,-1.0,110.0,2682.0,4339.0,-1.0,8900.0,2000.0,186100.0,13209.0,22736.0,39980.0,2020.0,-1.0,3900.0,3900.0,97588.0,41205.0,100.0,82.0,300.0,531.0,-1.0,3500.0,26992.0
1962,,360.0,1617.0,4500.0,500.0,4576.0,793561.0,210.0,-1.0,690300.0,82870.0,62000.0,38200.0,-1.0,155.0,3387.0,4576.0,-1.0,8800.0,2000.0,195400.0,15081.0,21631.0,41559.0,1730.0,-1.0,5100.0,5100.0,104046.0,45392.0,100.0,205.0,300.0,691.0,-1.0,3500.0,31357.0
1963,,558.0,1775.0,5200.0,500.0,4836.0,830956.0,149.0,-1.0,698900.0,81180.0,66000.0,41100.0,-1.0,155.0,3222.0,4836.0,-1.0,16200.0,1600.0,198300.0,14225.0,20558.0,40755.0,1390.0,-1.0,6700.0,6700.0,104751.0,41342.0,100.0,551.0,223.0,976.0,-1.0,3600.0,37200.0
1964,,1199.0,1524.0,6002.0,500.0,5020.0,870761.0,158.0,-1.0,696800.0,79200.0,75000.0,34500.0,-1.0,155.0,2698.0,5020.0,-1.0,9830.0,2100.0,210600.0,13390.0,28323.0,45759.0,1570.0,-1.0,1100.0,1100.0,111562.0,43315.0,200.0,2045.0,238.0,988.0,-1.0,3700.0,44248.0
1965,,914.0,1524.0,5942.0,500.0,5266.0,916906.0,103.0,-1.0,723000.0,64800.0,71000.0,23700.0,-1.0,200.0,2428.0,5266.0,-1.0,9300.0,2562.0,217400.0,13189.0,29290.0,48781.0,951.0,-1.0,16600.0,16600.0,118311.0,52654.0,394.0,3552.0,243.0,1120.0,-1.0,3800.0,49387.0
1966,,1016.0,1522.0,6370.0,500.0,6200.0,972838.0,100.0,-1.0,736675.0,49500.0,73500.0,28200.0,-1.0,200.0,2035.0,6200.0,-1.0,11670.0,2019.0,218100.0,11847.0,24347.0,51065.0,757.0,-1.0,23000.0,23000.0,131015.0,55278.0,82.0,4959.0,204.0,995.0,-1.0,3900.0,53195.0
1967,,1016.0,1686.0,6512.0,500.0,5525.0,990449.0,70.0,-1.0,709251.0,47310.0,52000.0,30900.0,-1.0,250.0,2000.0,5525.0,-1.0,12840.0,2505.0,219300.0,11248.0,21494.0,52982.0,514.0,-1.0,25100.0,25100.0,143204.0,62590.0,100.0,5857.0,1014.0,791.0,-1.0,3988.0,62502.0
1968,,1524.0,1761.0,4700.0,600.0,5816.0,1100287.0,30.0,-1.0,755640.0,34295.0,55750.0,40900.0,-1.0,250.0,,5816.0,-1.0,10311.0,1768.0,257800.0,12113.0,22958.0,49060.0,217.0,-1.0,21500.0,21500.0,148719.0,64693.0,80.0,6870.0,44.0,810.0,-1.0,4420.0,68844.0
1969,,2000.0,2540.0,6100.0,800.0,5969.0,1268017.0,,-1.0,773433.0,31850.0,60750.0,45000.0,-1.0,300.0,,5969.0,-1.0,11541.0,3000.0,281800.0,12215.0,23950.0,45983.0,404.0,-1.0,32400.0,32400.0,150834.0,65633.0,80.0,8656.0,16.0,1210.0,-1.0,4900.0,79951.0
1970,,9000.0,2012.0,6300.0,800.0,5302.0,1269353.0,,-1.0,802146.0,33000.0,65250.0,42400.0,-1.0,400.0,,5302.0,-1.0,12229.0,3450.0,287200.0,12904.0,24976.0,12763.0,344.0,-1.0,46200.0,46200.0,159158.0,83415.0,80.0,10927.0,1114.0,805.0,-1.0,4867.0,89905.0
