,Ukraine,Estonia,Bolivia (Plurinational State of),Peru,Georgia,Belarus,Croatia,Serbia,Tajikistan,Armenia,Brazil,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Yugoslav SFR,Republic of Korea,Austria,Netherlands,Greece,Norway,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Slovenia,Morocco,Republic of Moldova,Kyrgyzstan,Cyprus,Argentina,Luxembourg,Democratic People's Republic of Korea,Germany,Belgium,Turkmenistan,Czechoslovakia,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Egypt,Bosnia and Herzegovina,China,Ireland,Uzbekistan,South Africa,Latvia,Albania,Portugal,Slovakia,Czechia,Azerbaijan,Hungary,Montenegro,Kazakhstan,Chile,Australia,France,Viet Nam,Lithuania,Finland,"China, mainland",Russian Federation,Turkey,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,100.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23436.0,7689.0,182674.0,227000.0,-1.0,890.0,180000.0,16991.0,211737.0,119419.0,24705.0,906.0,70937.0,25375.0,624000.0,-1.0,-1.0,-1.0,2797.0,-1.0,-1.0,-1,694500.0,-1.0,-1.0,2008314.0,-1.0,-1.0,463097.0,4880000.0,69138.0,10860.0,-1.0,16770000.0,89800.0,8100.0,485075.0,-1.0,-1.0,1300000.0,728.0,-1.0,50000.0,-1.0,10875.0,298492.0,-1.0,-1.0,-1.0,279740.0,-1.0,-1.0,6040.0,25375.0,261200.0,-1,-1.0,94015.0,1300000.0,-1.0,652000.0,59649.0,43537.0
1962,-1.0,-1.0,100.0,960.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25709.0,6880.0,173791.0,258100.0,-1.0,920.0,177000.0,18783.0,208923.0,106759.0,21954.0,1779.0,59411.0,23493.0,802000.0,-1.0,-1.0,-1.0,3970.0,-1.0,-1.0,-1,286550.0,-1.0,-1.0,1903816.0,-1.0,-1.0,440801.0,4700000.0,70897.0,16260.0,-1.0,16938000.0,77149.0,4513.0,486240.0,-1.0,-1.0,1800000.0,809.0,-1.0,54000.0,-1.0,11179.0,309158.0,-1.0,-1.0,-1.0,253544.0,-1.0,-1.0,6500.0,23493.0,242800.0,-1,-1.0,81691.0,1800000.0,-1.0,670000.0,55767.0,39281.0
1963,-1.0,-1.0,100.0,960.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22879.0,8498.0,115901.0,283700.0,-1.0,890.0,157000.0,17519.0,155772.0,105432.0,20211.0,1145.0,57017.0,23353.0,643000.0,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1,655100.0,-1.0,-1.0,1959213.0,-1.0,-1.0,426462.0,4383000.0,38076.0,16400.0,-1.0,15025000.0,80196.0,3765.0,437770.0,-1.0,-1.0,1500000.0,769.0,-1.0,62000.0,-1.0,8871.0,318867.0,-1.0,-1.0,-1.0,220837.0,-1.0,-1.0,6450.0,23353.0,231300.0,-1,-1.0,76300.0,1500000.0,-1.0,693000.0,52592.0,39737.0
1964,-1.0,-1.0,100.0,960.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20898.0,8498.0,92628.0,281576.0,-1.0,840.0,157000.0,14285.0,166237.0,105710.0,17950.0,715.0,57625.0,29047.0,686000.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1,773400.0,-1.0,-1.0,1968949.0,-1.0,-1.0,406137.0,4404200.0,41595.0,16950.0,-1.0,16807008.0,91100.0,2750.0,406330.0,-1.0,-1.0,1300000.0,850.0,-1.0,86000.0,-1.0,9631.0,312480.0,-1.0,-1.0,-1.0,257080.0,-1.0,-1.0,8020.0,29047.0,220200.0,-1,-1.0,102500.0,1300000.0,-1.0,700000.0,51128.0,40573.0
1965,-1.0,-1.0,200.0,955.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21376.0,7284.0,87599.0,323339.0,-1.0,830.0,146000.0,12609.0,156518.0,97892.0,15880.0,638.0,46214.0,26227.0,596094.0,-1.0,-1.0,-1.0,10660.0,-1.0,-1.0,-1,331200.0,-1.0,-1.0,1949987.0,-1.0,-1.0,410517.0,4447400.0,60420.0,15366.0,-1.0,16030000.0,102211.0,3630.0,392941.0,-1.0,-1.0,1300000.0,652.0,-1.0,106000.0,-1.0,9177.0,316314.0,-1.0,-1.0,-1.0,255366.0,-1.0,-1.0,7099.0,26227.0,220900.0,-1,-1.0,110600.0,1300000.0,-1.0,730000.0,47710.0,33250.0
1966,-1.0,-1.0,1000.0,945.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21347.0,4047.0,46229.0,293717.0,-1.0,560.0,141000.0,11732.0,144003.0,74216.0,13560.0,329.0,41492.0,35489.0,516372.0,-1.0,-1.0,-1.0,1900.0,-1.0,-1.0,-1,420300.0,-1.0,-1.0,1791115.0,-1.0,-1.0,394784.0,4308700.0,39000.0,13210.0,-1.0,13583000.0,91200.0,3900.0,383600.0,-1.0,-1.0,1400000.0,567.0,-1.0,126000.0,-1.0,9203.0,282044.0,-1.0,-1.0,-1.0,228216.0,-1.0,-1.0,6903.0,35489.0,197700.0,-1,-1.0,92900.0,1400000.0,-1.0,732000.0,46445.0,31511.0
1967,-1.0,-1.0,1000.0,960.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22297.0,4451.0,37471.0,277084.0,-1.0,390.0,138000.0,8934.0,138651.0,73393.0,11336.0,707.0,31390.0,34553.0,430175.0,-1.0,-1.0,-1.0,3060.0,-1.0,-1.0,-1,564500.0,-1.0,-1.0,1720978.0,-1.0,-1.0,318987.0,4274300.0,61200.0,15430.0,-1.0,12418000.0,62400.0,3750.0,397652.0,-1.0,-1.0,1300000.0,567.0,-1.0,131000.0,-1.0,9063.0,238929.0,-1.0,-1.0,-1.0,208844.0,-1.0,-1.0,6500.0,34553.0,175100.0,-1,-1.0,96300.0,1300000.0,-1.0,735000.0,45787.0,29637.0
1968,-1.0,-1.0,1000.0,905.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22487.0,4451.0,38487.0,274211.0,-1.0,120.0,132000.0,7842.0,142229.0,74843.0,8490.0,1256.0,23996.0,39254.0,403061.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1,604200.0,-1.0,-1.0,1697843.0,-1.0,-1.0,336706.0,4262800.0,68600.0,15000.0,-1.0,12269000.0,43467.0,4000.0,365683.0,-1.0,-1.0,1100000.0,324.0,-1.0,110000.0,-1.0,9333.0,239000.0,-1.0,-1.0,-1.0,192055.0,-1.0,-1.0,6750.0,39254.0,162700.0,-1,-1.0,72400.0,1100000.0,-1.0,690000.0,41762.0,28387.0
1969,-1.0,-1.0,1000.0,860.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22543.0,3642.0,38326.0,343371.0,-1.0,120.0,123806.0,7613.0,147144.0,61893.0,8490.0,1350.0,24422.0,34244.0,522441.0,-1.0,-1.0,-1.0,1500.0,-1.0,-1.0,-1,528400.0,-1.0,-1.0,1563416.0,-1.0,-1.0,275668.0,4173900.0,72300.0,11328.0,-1.0,9237000.0,41623.0,4500.0,352600.0,-1.0,-1.0,1300000.0,324.0,-1.0,99000.0,-1.0,9164.0,236000.0,-1.0,-1.0,-1.0,186312.0,-1.0,-1.0,8396.0,34244.0,153900.0,-1,-1.0,69900.0,1300000.0,-1.0,682000.0,38000.0,22546.0
1970,-1.0,-1.0,1000.0,1105.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22929.0,4451.0,44315.0,336491.0,-1.0,120.0,112000.0,6380.0,136498.0,56622.0,7100.0,1510.0,22112.0,40707.0,577478.0,-1.0,-1.0,-1.0,9200.0,-1.0,-1.0,-1,360300.0,-1.0,-1.0,1545347.0,-1.0,-1.0,219145.0,3413000.0,79500.0,12630.0,-1.0,10020000.0,45100.0,5000.0,313200.0,-1.0,-1.0,1300000.0,325.0,-1.0,24000.0,-1.0,9813.0,233000.0,-1.0,-1.0,-1.0,151500.0,-1.0,-1.0,8310.0,40707.0,135000.0,-1,-1.0,65900.0,1300000.0,-1.0,650000.0,35309.0,21076.0
