,Slovakia,Uzbekistan,Romania,USSR,Norway,Australia,The former Yugoslav Republic of Macedonia,Belgium,Luxembourg,Czechia,Republic of Moldova,Italy,Democratic People's Republic of Korea,Germany,Croatia,Tajikistan,Turkey,Latvia,"China, mainland",Estonia,Serbia,Brazil,Finland,Serbia and Montenegro,Armenia,Australia & New Zealand,Morocco,Slovenia,Chile,Montenegro,Argentina,Belgium-Luxembourg,Spain,Kyrgyzstan,South Africa,Austria,Ecuador,Japan,Poland,Canada,Sweden,Belarus,Denmark,Switzerland,Egypt,Georgia,Mexico,Czechoslovakia,France,Republic of Korea,Bosnia and Herzegovina,Hungary,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Kazakhstan,United States of America,Greece,Ukraine,Albania,Azerbaijan,Ireland,Peru,United Kingdom,Lithuania,Bulgaria,Netherlands,China
1961,,,13887.0,2794770.0,200.0,1485.0,,,,,,18000.0,0.0,324823.0,,,85000.0,,189000.0,,,2571.0,15000.0,,,1485.0,357.0,,1040.0,,172000.0,5541.0,53000.0,,2160.0,42000.0,451.0,52.0,864800.0,15000.0,16000.0,,31000.0,2000.0,0.0,,0.0,86391.0,47000.0,1315.0,,46100.0,,34587.0,10.0,10000.0,,168000.0,2854.0,,3354.0,,105.0,67.0,1000.0,,10694.0,16000.0,189000.0
1962,,,14435.0,2479125.0,200.0,1440.0,,,,,,17000.0,0.0,323219.0,,,100000.0,,157500.0,,,2288.0,14000.0,,,1440.0,360.0,,1032.0,,160000.0,5908.0,54000.0,,2480.0,35000.0,377.0,51.0,806470.0,20000.0,10000.0,,21000.0,3000.0,0.0,,0.0,85478.0,49000.0,1226.0,,44000.0,,35786.0,10.0,9000.0,,155000.0,2627.0,,2661.0,,100.0,67.0,2000.0,,10263.0,16000.0,157500.0
1963,,,16398.0,2773156.0,200.0,1800.0,,,,,,17000.0,0.0,324641.0,,,135000.0,,136500.0,,,2090.0,18000.0,,,1800.0,270.0,,1283.0,,141000.0,5913.0,48000.0,,3440.0,30000.0,275.0,48.0,806000.0,18000.0,9000.0,,17000.0,3000.0,0.0,,0.0,75265.0,43000.0,1000.0,,48200.0,,36561.0,10.0,8000.0,,160000.0,2334.0,,2889.0,,111.0,67.0,2000.0,,10373.0,16000.0,136500.0
1964,,,18398.0,2644950.0,200.0,1665.0,,,,,,17000.0,0.0,320528.0,,,110000.0,,136500.0,,,2138.0,20000.0,,,1665.0,959.0,,1136.0,,138000.0,5237.0,45000.0,,4240.0,29000.0,363.0,47.0,824900.0,20000.0,13000.0,,16000.0,3000.0,0.0,,0.0,83578.0,34000.0,883.0,,53500.0,,35897.0,20.0,8000.0,,152000.0,2064.0,,2753.0,,85.0,67.0,1000.0,,8319.0,15000.0,136500.0
1965,,,16416.0,2241195.0,100.0,2205.0,,,,,,16000.0,0.0,294381.0,,,116000.0,,147000.0,,,2135.0,20000.0,,,2205.0,171.0,,1104.0,,138000.0,4360.0,44000.0,,5040.0,30000.0,390.0,32.0,803900.0,20000.0,11000.0,,8000.0,2000.0,0.0,,0.0,77409.0,38000.0,821.0,,50400.0,,36276.0,100.0,8000.0,,145000.0,1763.0,,2761.0,,74.0,66.0,1000.0,,7469.0,11000.0,147000.0
1966,,,11232.0,2048970.0,200.0,2160.0,,,,,,15000.0,0.0,282408.0,,,128000.0,,136500.0,,,2230.0,18000.0,,,2160.0,275.0,,1040.0,,149000.0,4144.0,43000.0,,5240.0,26000.0,375.0,22.0,790500.0,22100.0,12000.0,,7000.0,2000.0,0.0,,0.0,72128.0,31000.0,625.0,,43700.0,,62577.0,100.0,8000.0,,137000.0,1474.0,,2719.0,,74.0,67.0,1000.0,,5650.0,11000.0,136500.0
1967,,,7824.0,2024385.0,200.0,2427.0,,,,,,15000.0,0.0,278658.0,,,135000.0,,115500.0,,,2249.0,13000.0,,,2427.0,270.0,,1080.0,,149000.0,3951.0,48000.0,,4400.0,26000.0,400.0,7.0,792900.0,19500.0,13000.0,,7000.0,3000.0,0.0,,0.0,61206.0,30000.0,549.0,,38800.0,,27394.0,100.0,8000.0,,130000.0,1104.0,,2800.0,,42.0,63.0,1000.0,,4319.0,11000.0,115500.0
1968,,,7492.0,1524105.0,200.0,2080.0,,,,,,14000.0,0.0,255409.0,,,123000.0,,136500.0,,,2254.0,14000.0,,,2080.0,135.0,,1343.0,,162000.0,3247.0,44000.0,,3960.0,26000.0,450.0,7.0,768000.0,27100.0,15000.0,,7000.0,2000.0,0.0,,0.0,50058.0,25000.0,533.0,,43500.0,,26000.0,100.0,8000.0,,146000.0,1104.0,,2749.0,,42.0,60.0,1000.0,,4396.0,9000.0,136500.0
1969,,,8118.0,1653300.0,200.0,2431.0,,,,,,13000.0,0.0,256862.0,,,123000.0,,136500.0,,,2293.0,12000.0,,,2431.0,828.0,,1330.0,,149000.0,3042.0,47000.0,,960.0,25000.0,500.0,7.0,773900.0,29400.0,18000.0,,8000.0,2000.0,0.0,,0.0,45898.0,26000.0,447.0,,37000.0,,26000.0,100.0,7000.0,,154000.0,923.0,,2944.0,,42.0,77.0,1000.0,,3980.0,9000.0,136500.0
1970,,,8568.0,1568655.0,200.0,2350.0,,,,,,14000.0,0.0,253825.0,,,94000.0,,133350.0,,,2382.0,13000.0,,,2350.0,171.0,,1419.0,,119000.0,3571.0,44000.0,,1000.0,26000.0,500.0,7.0,687600.0,31500.0,16000.0,,7000.0,2000.0,0.0,,0.0,34715.0,25000.0,336.0,,28000.0,,27000.0,105.0,7000.0,,175000.0,845.0,,2669.0,,42.0,71.0,1000.0,,3430.0,9000.0,133350.0
1971,,,7488.0,1346400.0,200.0,1725.0,,,,,,12000.0,0.0,244434.0,,,134000.0,,134400.0,,,2042.0,12000.0,,,1725.0,243.0,,1467.0,,132000.0,3262.0,41000.0,,1320.0,26000.0,600.0,6.0,661100.0,18400.0,21000.0,,7000.0,2000.0,0.0,,0.0,34362.0,26000.0,311.0,,25000.0,,26000.0,110.0,7000.0,,134000.0,754.0,,2616.0,,47.0,63.0,1000.0,,2986.0,8000.0,134400.0
1972,,,5850.0,1156980.0,200.0,1789.0,,,,,,12000.0,0.0,232293.0,,,113000.0,,126000.0,,,2000.0,10000.0,,,1789.0,450.0,,1002.0,,141000.0,2400.0,40000.0,,1280.0,24000.0,400.0,6.0,661900.0,18200.0,18000.0,,7000.0,2000.0,0.0,,0.0,27298.0,24000.0,246.0,,23000.0,,25000.0,110.0,6000.0,,135000.0,689.0,,2850.0,,53.0,54.0,1000.0,,2786.0,5000.0,126000.0
1973,,,5760.0,1618650.0,1000.0,1069.0,,,,,,11000.0,0.0,218913.0,,,98000.0,,126000.0,,,2262.0,15000.0,,,1069.0,198.0,,1696.0,,150600.0,2021.0,40000.0,,1400.0,18500.0,200.0,6.0,609200.0,23670.0,21000.0,,8000.0,2000.0,0.0,,0.0,20557.0,22000.0,345.0,,22000.0,,24000.0,110.0,6000.0,,127000.0,624.0,,2622.0,,53.0,56.0,1000.0,,2671.0,4000.0,126000.0
1974,,,7380.0,1321650.0,200.0,874.0,,,,,,10000.0,0.0,202879.0,,,96000.0,,115500.0,,,2086.0,8000.0,,,874.0,225.0,,1395.0,,139680.0,1400.0,30000.0,,1120.0,18000.0,200.0,6.0,537200.0,24700.0,19000.0,,9000.0,1400.0,0.0,,0.0,22057.0,12000.0,431.0,,23900.0,,24000.0,120.0,6000.0,,128000.0,611.0,,2700.0,,38.0,43.0,1000.0,,2981.0,3000.0,115500.0
1975,,,6300.0,1490775.0,300.0,1157.0,,,,,,5000.0,0.0,206001.0,,,90000.0,,115500.0,,,1364.0,10700.0,,,1157.0,405.0,,1522.0,,145000.0,2261.0,31000.0,,1120.0,18000.0,200.0,6.0,562000.0,18480.0,23000.0,,8984.0,1200.0,0.0,,0.0,20700.0,6000.0,312.0,,20033.0,,25619.0,90.0,6000.0,,106700.0,598.0,,2700.0,,53.0,38.0,1000.0,,2312.0,3000.0,115500.0
1976,,,7200.0,1105005.0,500.0,1746.0,,,,,,5000.0,0.0,216073.0,,,85000.0,,115500.0,,,908.0,8100.0,,,1746.0,153.0,,1824.0,,185000.0,2514.0,28000.0,,800.0,18000.0,200.0,6.0,596700.0,18200.0,25000.0,,12984.0,1500.0,0.0,,0.0,18000.0,7000.0,242.0,,18949.0,,26471.0,90.0,6000.0,,106700.0,507.0,,3000.0,,52.0,61.0,1000.0,,2309.0,3000.0,115500.0
1977,,,7200.0,1273635.0,400.0,2602.0,,,,,,5000.0,0.0,212257.0,,,83000.0,,126000.0,,,819.0,5700.0,,,2602.0,630.0,,1802.0,,70000.0,2147.0,29000.0,,800.0,16620.0,200.0,7.0,581100.0,23200.0,17000.0,,16019.0,1600.0,0.0,,0.0,15500.0,7000.0,274.0,,15688.0,,23327.0,80.0,6000.0,,116845.0,481.0,,3000.0,,46.0,60.0,1000.0,,2329.0,2000.0,126000.0
1978,,,6300.0,1068210.0,300.0,1530.0,,,,,,3000.0,0.0,209461.0,,,75000.0,,105000.0,,,1085.0,6600.0,,,1530.0,477.0,,1179.0,,60000.0,1712.0,24000.0,,1320.0,17090.0,200.0,4.0,557300.0,27000.0,13000.0,,15133.0,1600.0,0.0,,0.0,15100.0,7000.0,188.0,,14486.0,,25987.0,79.0,8000.0,,116845.0,455.0,,3000.0,,39.0,65.0,1000.0,,2932.0,2000.0,105000.0
1979,,,6300.0,1424115.0,100.0,1215.0,,,,,,2000.0,0.0,185496.0,,,75000.0,,94500.0,,,1224.0,8400.0,,,1215.0,482.0,,1320.0,,60000.0,1439.0,29000.0,,1200.0,17718.0,200.0,4.0,632800.0,27000.0,14000.0,,12558.0,1500.0,0.0,,0.0,15000.0,7000.0,132.0,,15082.0,,25449.0,79.0,8000.0,,101604.0,494.0,,3090.0,,26.0,105.0,1000.0,,3555.0,1000.0,94500.0
1980,,,5355.0,1248885.0,200.0,1935.0,,,,,,2000.0,0.0,173969.0,,,71000.0,,94290.0,,,2431.0,9600.0,,,1935.0,360.0,,1403.0,,55000.0,1168.0,30000.0,,1440.0,15166.0,200.0,4.0,625600.0,33400.0,10000.0,,10073.0,1300.0,0.0,,0.0,15000.0,6000.0,136.0,,15544.0,,25221.0,2.0,10529.0,,106684.0,572.0,,2760.0,,26.0,72.0,1000.0,,4826.0,1000.0,94290.0
1981,,,6336.0,1621785.0,100.0,2430.0,,,,,,2000.0,0.0,167460.0,,,66000.0,,84000.0,,,474.0,8100.0,,,2430.0,270.0,,878.0,,59000.0,1007.0,28600.0,,1320.0,15014.0,160.0,2.0,681600.0,35600.0,12000.0,,8974.0,1100.0,0.0,,0.0,15000.0,6000.0,179.0,,17789.0,,17339.0,3.0,10091.0,,109200.0,728.0,,2910.0,,26.0,72.0,1000.0,,4198.0,1000.0,84000.0
1982,,,6307.0,1705110.0,200.0,2835.0,,,,,,2000.0,0.0,188126.0,,,50000.0,,84000.0,,,418.0,3700.0,,,2835.0,324.0,,782.0,,50000.0,924.0,29300.0,,1280.0,14013.0,140.0,0.0,730600.0,33900.0,12000.0,,9863.0,800.0,0.0,,0.0,15000.0,6000.0,157.0,,17506.0,,16785.0,4.0,7000.0,,109200.0,897.0,,3390.0,,39.0,52.0,1000.0,,4581.0,1000.0,84000.0
