,Ukraine,India,Morocco,Ethiopia PDR,Israel,Mexico,USSR,Ethiopia,Uzbekistan,China,Pakistan,Spain,Canada,Australia,United Republic of Tanzania,Occupied Palestinian Territory,Hungary,Japan,Kazakhstan,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Portugal,"China, mainland",Russian Federation,Tajikistan,Kyrgyzstan,Argentina,Turkey
1961,-1.0,440000.0,3000.0,51000.0,1070.0,32861.0,10000.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,3623.0,-1.0,-1.0,-1.0,-1,-1.0,3623.0,169966.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,700.0
1962,-1.0,445000.0,2800.0,51500.0,710.0,36826.0,10000.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,2304.0,-1.0,-1.0,-1.0,-1,-1.0,2304.0,216908.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,960.0
1963,-1.0,450000.0,2600.0,53500.0,350.0,36326.0,10000.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,7842.0,-1.0,-1.0,-1.0,-1,-1.0,7842.0,229858.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0
1964,-1.0,455000.0,2400.0,54500.0,1230.0,35597.0,10000.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,19226.0,-1.0,-1.0,-1.0,-1,-1.0,19226.0,149327.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0
1965,-1.0,460000.0,2200.0,56000.0,2730.0,58805.0,11000.0,-1.0,-1.0,-1.0,-1.0,45000.0,-1.0,24393.0,-1.0,-1.0,-1.0,-1,-1.0,24393.0,116548.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0
1966,-1.0,462000.0,2100.0,57200.0,400.0,164933.0,13000.0,-1.0,-1.0,-1.0,-1.0,55000.0,-1.0,38293.0,-1.0,-1.0,-1.0,-1,-1.0,38293.0,142447.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,950.0
1967,-1.0,478000.0,1500.0,58500.0,780.0,100314.0,11000.0,-1.0,-1.0,-1.0,-1.0,70085.0,-1.0,42337.0,-1.0,-1.0,-1.0,-1,-1.0,42337.0,125855.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1130.0
1968,-1.0,512500.0,1600.0,59800.0,1590.0,85748.0,14000.0,-1.0,-1.0,-1.0,-1.0,54602.0,-1.0,18767.0,-1.0,-1.0,-1.0,-1,-1.0,18767.0,68976.0,147.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,1300.0
1969,-1.0,577700.0,1200.0,61100.0,320.0,144782.0,11000.0,-1.0,-1.0,-1.0,-1.0,10751.0,-1.0,10825.0,-1.0,-1.0,-1.0,-1,-1.0,10825.0,92267.0,318.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,1100.0
1970,-1.0,580200.0,800.0,62400.0,30.0,175391.0,15000.0,-1.0,-1.0,-1.0,-1.0,14268.0,-1.0,27674.0,-1.0,-1.0,-1.0,-1,-1.0,27674.0,86602.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.0,1170.0
