,Ukraine,India,Morocco,Ethiopia PDR,Israel,Mexico,USSR,Ethiopia,Uzbekistan,China,Pakistan,Spain,Canada,Australia,United Republic of Tanzania,Occupied Palestinian Territory,Hungary,Japan,Kazakhstan,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Portugal,"China, mainland",Russian Federation,Tajikistan,Kyrgyzstan,Argentina,Turkey
1961,-1.0,66000.0,3000.0,26000.0,700.0,41394.0,4500.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,1560.0,-1.0,-1.0,-1.0,-1,-1.0,1560.0,163293.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,550.0
1962,-1.0,67000.0,3000.0,25800.0,400.0,46777.0,4500.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,1633.0,-1.0,-1.0,-1.0,-1,-1.0,1633.0,343823.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,650.0
1963,-1.0,68000.0,2800.0,26800.0,100.0,47159.0,4500.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,5496.0,-1.0,-1.0,-1.0,-1,-1.0,5496.0,358338.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,730.0
1964,-1.0,62000.0,2500.0,27200.0,400.0,47150.0,4500.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,12644.0,-1.0,-1.0,-1.0,-1,-1.0,12644.0,251290.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0
1965,-1.0,71500.0,2100.0,28000.0,1200.0,79626.0,2800.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,9977.0,-1.0,-1.0,-1.0,-1,-1.0,9977.0,271248.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0
1966,-1.0,69000.0,2000.0,28600.0,200.0,236243.0,5100.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,24834.0,-1.0,-1.0,-1.0,-1,-1.0,24834.0,309350.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,700.0
1967,-1.0,72000.0,1600.0,30000.0,400.0,149043.0,5700.0,-1.0,-1.0,-1.0,-1.0,55824.0,-1.0,15927.0,-1.0,-1.0,-1.0,-1,-1.0,15927.0,252197.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,890.0
1968,-1.0,77700.0,1500.0,31700.0,800.0,102145.0,6500.0,-1.0,-1.0,-1.0,-1.0,39008.0,-1.0,10340.0,-1.0,-1.0,-1.0,-1,-1.0,10340.0,162386.0,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,1050.0
1969,-1.0,93700.0,1020.0,33700.0,500.0,208873.0,5300.0,-1.0,-1.0,-1.0,-1.0,5388.0,-1.0,4172.0,-1.0,-1.0,-1.0,-1,-1.0,4172.0,196859.0,206.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,1080.0
1970,-1.0,142400.0,620.0,36200.0,15.0,288493.0,6500.0,-1.0,-1.0,-1.0,-1.0,8415.0,-1.0,9351.0,-1.0,-1.0,-1.0,-1,-1.0,9351.0,170055.0,700.0,-1.0,-1.0,-1.0,-1.0,-1.0,105.0,900.0
1971,-1.0,153900.0,650.0,39300.0,400.0,410734.0,6300.0,-1.0,-1.0,-1.0,66.0,13400.0,-1.0,15398.0,-1.0,-1.0,-1.0,-1,-1.0,15398.0,237682.0,400.0,21947.0,-1.0,-1.0,-1.0,-1.0,1308.0,910.0
1972,-1.0,130500.0,420.0,23800.0,2250.0,271285.0,7700.0,-1.0,-1.0,-1.0,38.0,7800.0,-1.0,4173.0,-1.0,-1.0,-1.0,-1,-1.0,4173.0,233700.0,-1.0,14957.0,-1.0,-1.0,-1.0,-1.0,2850.0,1350.0
1973,-1.0,81800.0,100.0,24200.0,2050.0,298170.0,4400.0,-1.0,-1.0,-1.0,57.0,19700.0,-1.0,6860.0,-1.0,-1.0,-1.0,-1,-1.0,6860.0,179080.0,-1.0,10912.0,-1.0,-1.0,-1.0,-1.0,4510.0,1350.0
1974,-1.0,191000.0,0.0,30000.0,2300.0,272443.0,3000.0,-1.0,-1.0,-1.0,55.0,16500.0,-1.0,30502.0,-1.0,-1.0,-1.0,-1,-1.0,30502.0,160000.0,-1.0,7236.0,-1.0,-1.0,-1.0,-1.0,7850.0,1200.0
1975,-1.0,211900.0,-1.0,25000.0,3850.0,532297.0,2000.0,-1.0,-1.0,-1.0,50.0,16200.0,-1.0,18163.0,-1.0,-1.0,-1.0,-1,-1.0,18163.0,180000.0,-1.0,12433.0,-1.0,-1.0,-1.0,-1.0,3330.0,1350.0
1976,-1.0,238300.0,-1.0,30000.0,300.0,240318.0,4600.0,-1.0,-1.0,-1.0,48.0,20000.0,-1.0,6300.0,-1.0,-1.0,-1.0,-1,-1.0,6300.0,69000.0,-1.0,14523.0,-1.0,-1.0,-1.0,-1.0,5880.0,1600.0
1977,-1.0,219600.0,-1.0,30000.0,400.0,518444.0,3700.0,-1.0,-1.0,-1.0,45.0,13300.0,-1.0,26300.0,-1.0,-1.0,-1.0,-1,-1.0,26300.0,159000.0,-1.0,2574.0,-1.0,-1.0,-1.0,-1.0,2000.0,1250.0
1978,-1.0,187800.0,-1.0,30000.0,1300.0,615556.0,5900.0,-1.0,-1.0,-1.0,39.0,14800.0,-1.0,57721.0,-1.0,-1.0,-1.0,-1,-1.0,57721.0,168000.0,-1.0,3531.0,-1.0,-1.0,-1.0,-1.0,1520.0,750.0
1979,-1.0,209000.0,-1.0,30000.0,1050.0,634724.0,3000.0,-1.0,-1.0,-1.0,215.0,14460.0,-1.0,29974.0,-1.0,-1.0,-1.0,-1,-1.0,29974.0,185000.0,-1.0,1322.0,-1.0,-1.0,-1.0,-1.0,1320.0,470.0
