,India,Uzbekistan,Occupied Palestinian Territory,China,Morocco,Kazakhstan,Australia & New Zealand,USSR,Mexico,Argentina,Australia,Ethiopia,Portugal,Algeria,"China, mainland",Russian Federation,United States of America,Spain,Ethiopia PDR,Turkey
1961,4450.0,-1.0,0.0,0.0,126.0,-1.0,92.0,500.0,1473.0,0.0,92.0,-1.0,0.0,0.0,0.0,-1.0,2169.0,4050.0,1030.0,14.0
1962,4500.0,-1.0,0.0,0.0,117.0,-1.0,314.0,500.0,1453.0,0.0,314.0,-1.0,0.0,0.0,0.0,-1.0,2299.0,4050.0,1070.0,15.0
1963,4550.0,-1.0,0.0,0.0,108.0,-1.0,769.0,500.0,1424.0,0.0,769.0,-1.0,0.0,0.0,0.0,-1.0,1493.0,4050.0,1090.0,14.0
1964,4600.0,-1.0,0.0,0.0,99.0,-1.0,976.0,550.0,2352.0,0.0,976.0,-1.0,0.0,0.0,0.0,-1.0,1165.0,4050.0,1120.0,14.0
1965,4620.0,-1.0,0.0,0.0,95.0,-1.0,1532.0,650.0,6597.0,0.0,1532.0,-1.0,0.0,0.0,0.0,-1.0,1424.0,4950.0,1144.0,14.0
1966,4780.0,-1.0,0.0,0.0,68.0,-1.0,1693.0,550.0,4013.0,0.0,1693.0,-1.0,0.0,0.0,0.0,-1.0,1259.0,6308.0,1170.0,17.0
1967,5125.0,-1.0,0.0,0.0,72.0,-1.0,751.0,700.0,3430.0,0.0,751.0,-1.0,0.0,0.0,0.0,-1.0,690.0,4914.0,1196.0,20.0
1968,5777.0,-1.0,0.0,0.0,54.0,-1.0,433.0,550.0,5791.0,1.0,433.0,-1.0,0.0,0.0,0.0,-1.0,923.0,968.0,1222.0,17.0
1969,5802.0,-1.0,0.0,0.0,36.0,-1.0,1107.0,750.0,7016.0,7.0,1107.0,-1.0,0.0,0.0,0.0,-1.0,866.0,1284.0,1248.0,18.0
1970,5879.0,-1.0,0.0,0.0,36.0,-1.0,1352.0,850.0,10597.0,83.0,1352.0,-1.0,0.0,0.0,0.0,-1.0,971.0,1980.0,1276.0,19.0
1971,5977.0,-1.0,0.0,0.0,23.0,-1.0,425.0,650.0,7953.0,210.0,425.0,-1.0,2600.0,0.0,0.0,-1.0,970.0,1422.0,1250.0,30.0
1972,4233.0,-1.0,0.0,0.0,5.0,-1.0,498.0,500.0,7920.0,327.0,498.0,-1.0,3000.0,0.0,0.0,-1.0,950.0,3042.0,1276.0,31.0
1973,6138.0,-1.0,0.0,0.0,5.0,-1.0,1450.0,350.0,7666.0,369.0,1450.0,-1.0,2000.0,0.0,0.0,-1.0,900.0,3096.0,1280.0,29.0
1974,6478.0,-1.0,0.0,0.0,0.0,-1.0,1591.0,300.0,14522.0,176.0,1591.0,-1.0,2500.0,0.0,0.0,-1.0,950.0,3069.0,1280.0,32.0
1975,6736.0,-1.0,0.0,0.0,0.0,-1.0,516.0,500.0,7397.0,339.0,516.0,-1.0,2700.0,0.0,0.0,-1.0,400.0,3213.0,1280.0,33.0
1976,6830.0,-1.0,0.0,0.0,0.0,-1.0,1559.0,400.0,16149.0,122.0,1559.0,-1.0,1200.0,0.0,0.0,-1.0,800.0,2583.0,1280.0,27.0
1977,7065.0,-1.0,0.0,0.0,0.0,-1.0,2987.0,550.0,17162.0,92.0,2987.0,-1.0,700.0,0.0,0.0,-1.0,870.0,1341.0,1280.0,12.0
1978,7030.0,-1.0,0.0,0.0,0.0,-1.0,2143.0,350.0,21640.0,70.0,2143.0,-1.0,300.0,0.0,0.0,-1.0,1000.0,1544.0,1280.0,8.0
1979,7333.0,-1.0,0.0,0.0,0.0,-1.0,733.0,300.0,17388.0,45.0,733.0,-1.0,300.0,0.0,0.0,-1.0,580.0,1782.0,1300.0,8.0
1980,7199.0,-1.0,0.0,0.0,0.0,-1.0,1336.0,300.0,18937.0,29.0,1336.0,-1.0,100.0,0.0,0.0,-1.0,510.0,1107.0,1300.0,5.0
1981,7485.0,-1.0,0.0,0.0,0.0,-1.0,461.0,250.0,8996.0,167.0,461.0,-1.0,200.0,0.0,0.0,-1.0,613.0,1791.0,1320.0,4.0
1982,7821.0,-1.0,0.0,0.0,0.0,-1.0,2194.0,550.0,18346.0,423.0,2194.0,-1.0,100.0,0.0,0.0,-1.0,470.0,1674.0,1320.0,4.0
1983,8313.0,-1.0,0.0,0.0,0.0,-1.0,1772.0,635.0,10341.0,591.0,1772.0,-1.0,200.0,0.0,0.0,-1.0,710.0,1810.0,1320.0,4.0
1984,9181.0,-1.0,0.0,0.0,0.0,-1.0,1880.0,550.0,12117.0,630.0,1880.0,-1.0,100.0,0.0,0.0,-1.0,780.0,1739.0,1320.0,4.0
1985,9113.0,-1.0,0.0,0.0,0.0,-1.0,1190.0,550.0,10399.0,329.0,1190.0,-1.0,100.0,0.0,0.0,-1.0,860.0,1314.0,1330.0,3.0
1986,8922.0,-1.0,0.0,0.0,0.0,-1.0,1521.0,600.0,13165.0,738.0,1521.0,-1.0,0.0,0.0,0.0,-1.0,852.0,1122.0,1340.0,4.0
1987,10519.0,-1.0,0.0,0.0,0.0,-1.0,1890.0,700.0,9029.0,990.0,1890.0,-1.0,0.0,0.0,0.0,-1.0,1040.0,664.0,1350.0,2.0
1988,8155.0,-1.0,0.0,0.0,0.0,-1.0,1315.0,550.0,7182.0,1125.0,1315.0,-1.0,0.0,0.0,0.0,-1.0,1100.0,592.0,1360.0,4.0
1989,8423.0,-1.0,0.0,0.0,0.0,-1.0,741.0,550.0,8105.0,1170.0,741.0,-1.0,0.0,0.0,0.0,-1.0,830.0,125.0,1482.0,2.0
1990,8232.0,-1.0,0.0,0.0,0.0,-1.0,1557.0,600.0,3934.0,990.0,1557.0,-1.0,0.0,0.0,0.0,-1.0,903.0,35.0,1370.0,2.0
1991,5011.0,-1.0,0.0,0.0,0.0,-1.0,1271.0,600.0,4106.0,968.0,1271.0,-1.0,0.0,0.0,0.0,-1.0,1380.0,53.0,1380.0,2.0
1992,7341.0,6.0,0.0,250.0,0.0,1500.0,2176.0,-1.0,3163.0,1089.0,2176.0,-1.0,0.0,0.0,250.0,400.0,1635.0,29.0,1380.0,2.0
1993,7930.0,60.0,0.0,200.0,0.0,1200.0,1212.0,-1.0,3475.0,857.0,1212.0,94.0,0.0,0.0,200.0,350.0,971.0,23.0,-1.0,2.0
1994,7910.0,200.0,0.0,210.0,0.0,2500.0,1604.0,-1.0,4297.0,945.0,1604.0,96.0,0.0,0.0,210.0,300.0,1000.0,5.0,-1.0,2.0
1995,6840.0,310.0,0.0,170.0,0.0,3000.0,1404.0,-1.0,5761.0,619.0,1404.0,103.0,0.0,0.0,170.0,300.0,979.0,31.0,-1.0,1.0
1996,7040.0,350.0,0.0,210.0,0.0,2500.0,612.0,-1.0,4705.0,968.0,612.0,67.0,0.0,0.0,210.0,300.0,1008.0,17.0,-1.0,1.0
1997,2000.0,450.0,0.0,120.0,0.0,2000.0,1368.0,-1.0,5159.0,1215.0,1368.0,112.0,0.0,0.0,120.0,300.0,1226.0,15.0,-1.0,1.0
1998,4402.0,400.0,0.0,300.0,0.0,4000.0,1768.0,-1.0,7600.0,689.0,1768.0,105.0,0.0,0.0,300.0,300.0,1113.0,18.0,-1.0,1.0
1999,4385.0,400.0,0.0,300.0,0.0,3000.0,560.0,-1.0,4614.0,1787.0,560.0,213.0,0.0,0.0,300.0,50.0,870.0,9.0,-1.0,0.0
2000,4248.0,400.0,0.0,300.0,0.0,3000.0,144.0,-1.0,5444.0,2628.0,144.0,166.0,0.0,0.0,300.0,50.0,4300.0,2.0,-1.0,1.0
2001,4043.0,360.0,0.0,300.0,0.0,2400.0,1400.0,-1.0,3288.0,1485.0,1400.0,109.0,0.0,0.0,300.0,10.0,5000.0,6.0,-1.0,1.0
2002,3695.0,550.0,0.0,300.0,0.0,6000.0,1660.0,-1.0,6336.0,1035.0,1660.0,168.0,0.0,0.0,300.0,100.0,5100.0,13.0,-1.0,4.0
2003,3639.0,820.0,0.0,300.0,0.0,5000.0,1800.0,-1.0,8960.0,1368.0,1800.0,168.0,0.0,0.0,300.0,15.0,4000.0,10.0,-1.0,2.0
2004,3691.0,560.0,0.0,300.0,0.0,5000.0,1800.0,-1.0,4830.0,2196.0,1800.0,194.0,0.0,0.0,300.0,15.0,2500.0,4.0,-1.0,3.0
2005,3646.0,300.0,0.0,300.0,0.0,4500.0,728.0,-1.0,3862.0,1204.0,728.0,177.0,0.0,0.0,300.0,10.0,3000.0,7.0,-1.0,6.0
2006,3500.0,400.0,0.0,300.0,0.0,4500.0,244.0,-1.0,4348.0,3398.0,244.0,260.0,0.0,0.0,300.0,10.0,3000.0,4.0,-1.0,25.0
2007,3505.0,500.0,0.0,300.0,0.0,4500.0,408.0,-1.0,3669.0,1985.0,408.0,180.0,0.0,0.0,300.0,10.0,3000.0,10.0,-1.0,81.0
2008,2946.0,500.0,0.0,300.0,0.0,5500.0,484.0,-1.0,3268.0,4486.0,484.0,93.0,0.0,0.0,300.0,10.0,708.0,281.0,-1.0,323.0
2009,2878.0,500.0,0.0,300.0,0.0,6000.0,312.0,-1.0,4033.0,3317.0,312.0,110.0,0.0,0.0,300.0,10.0,708.0,321.0,-1.0,202.0
2010,2291.0,500.0,0.0,300.0,0.0,6200.0,416.0,-1.0,4096.0,4160.0,416.0,163.0,0.0,0.0,300.0,10.0,529.0,652.0,-1.0,198.0
2011,1780.0,500.0,0.0,300.0,0.0,6500.0,380.0,-1.0,7145.0,7692.0,380.0,228.0,0.0,0.0,300.0,10.0,688.0,298.0,-1.0,234.0
2012,1500.0,500.0,0.0,300.0,0.0,6800.0,320.0,-1.0,3855.0,5349.0,320.0,231.0,0.0,0.0,300.0,10.0,714.0,368.0,-1.0,439.0
2013,2110.0,500.0,0.0,300.0,0.0,7000.0,377.0,-1.0,4591.0,414.0,377.0,113.0,0.0,0.0,300.0,10.0,735.0,216.0,-1.0,665.0
2014,2110.0,500.0,0.0,300.0,0.0,7000.0,377.0,-1.0,4591.0,414.0,377.0,113.0,0.0,0.0,300.0,10.0,735.0,216.0,-1.0,665.0
