,Ukraine,India,Morocco,Ethiopia PDR,Israel,Mexico,USSR,Ethiopia,Uzbekistan,China,Pakistan,Spain,Canada,Australia,United Republic of Tanzania,Occupied Palestinian Territory,Hungary,Kazakhstan,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Portugal,"China, mainland",Russian Federation,Tajikistan,Kyrgyzstan,Argentina,Turkey
1961,-1.0,1500.0,10000.0,5098.0,6542.0,12597.0,4500.0,-1.0,-1.0,-1.0,-1.0,4444.0,-1.0,4306.0,-1.0,-1.0,-1.0,-1.0,4306.0,9607.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7857.0
1962,-1.0,1506.0,10714.0,5010.0,5634.0,12702.0,4500.0,-1.0,-1.0,-1.0,-1.0,4444.0,-1.0,7088.0,-1.0,-1.0,-1.0,-1.0,7088.0,15851.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6771.0
1963,-1.0,1511.0,10769.0,5009.0,2857.0,12982.0,4500.0,-1.0,-1.0,-1.0,-1.0,4444.0,-1.0,7008.0,-1.0,-1.0,-1.0,-1.0,7008.0,15590.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7300.0
1964,-1.0,1363.0,10417.0,4991.0,3252.0,13245.0,4500.0,-1.0,-1.0,-1.0,-1.0,4444.0,-1.0,6577.0,-1.0,-1.0,-1.0,-1.0,6577.0,16828.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0
1965,-1.0,1554.0,9545.0,5000.0,4396.0,13541.0,2545.0,-1.0,-1.0,-1.0,-1.0,4444.0,-1.0,4090.0,-1.0,-1.0,-1.0,-1.0,4090.0,23274.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0
1966,-1.0,1494.0,9524.0,5000.0,5000.0,14324.0,3923.0,-1.0,-1.0,-1.0,-1.0,5455.0,-1.0,6485.0,-1.0,-1.0,-1.0,-1.0,6485.0,21717.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7368.0
1967,-1.0,1506.0,10667.0,5128.0,5128.0,14858.0,5182.0,-1.0,-1.0,-1.0,-1.0,7965.0,-1.0,3762.0,-1.0,-1.0,-1.0,-1.0,3762.0,20039.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7876.0
1968,-1.0,1516.0,9375.0,5301.0,5031.0,11912.0,4643.0,-1.0,-1.0,-1.0,-1.0,7144.0,-1.0,5510.0,-1.0,-1.0,-1.0,-1.0,5510.0,23542.0,3878.0,-1.0,-1.0,-1.0,-1.0,-1.0,7000.0,8077.0
1969,-1.0,1622.0,8500.0,5516.0,15625.0,14427.0,4818.0,-1.0,-1.0,-1.0,-1.0,5012.0,-1.0,3854.0,-1.0,-1.0,-1.0,-1.0,3854.0,21336.0,6478.0,-1.0,-1.0,-1.0,-1.0,-1.0,6667.0,9818.0
1970,-1.0,2454.0,7750.0,5801.0,5000.0,16449.0,4333.0,-1.0,-1.0,-1.0,-1.0,5898.0,-1.0,3379.0,-1.0,-1.0,-1.0,-1.0,3379.0,19636.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,7000.0,7692.0
1971,-1.0,2618.0,8125.0,6160.0,5263.0,15503.0,3706.0,-1.0,-1.0,-1.0,6408.0,6091.0,-1.0,4554.0,-1.0,-1.0,-1.0,-1.0,4554.0,24472.0,5000.0,8133.0,-1.0,-1.0,-1.0,-1.0,7070.0,7109.0
1972,-1.0,2183.0,8400.0,3808.0,8841.0,13644.0,5923.0,-1.0,-1.0,-1.0,7170.0,4937.0,-1.0,3928.0,-1.0,-1.0,-1.0,-1.0,3928.0,24093.0,-1.0,5195.0,-1.0,-1.0,-1.0,-1.0,6100.0,6818.0
1973,-1.0,1932.0,10000.0,3793.0,7218.0,15060.0,4400.0,-1.0,-1.0,-1.0,7125.0,5828.0,-1.0,5510.0,-1.0,-1.0,-1.0,-1.0,5510.0,18851.0,-1.0,3162.0,-1.0,-1.0,-1.0,-1.0,6200.0,6585.0
1974,-1.0,3112.0,-1.0,4688.0,4936.0,14215.0,4286.0,-1.0,-1.0,-1.0,7857.0,4797.0,-1.0,8417.0,-1.0,-1.0,-1.0,-1.0,8417.0,17778.0,-1.0,3324.0,-1.0,-1.0,-1.0,-1.0,9573.0,6316.0
