,Burundi,"China, Taiwan Province of",Mozambique,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Bangladesh,Malawi,Yemen,Rwanda,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,El Salvador,Senegal,Madagascar,Tajikistan,Haiti,Guinea,Botswana,Zambia,Chad,Sri Lanka,Grenada,Uruguay,Azerbaijan,Montserrat,Sudan (former),China,Uzbekistan,Colombia,United Republic of Tanzania,Guinea-Bissau,Kazakhstan,Saint Vincent and the Grenadines,Togo,Kenya,"China, mainland",Mali,Uganda,Italy,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Gambia,Cameroon,Cuba,Armenia,Dominican Republic,South Sudan,Namibia,Benin,Pakistan,Spain,Afghanistan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Thailand,Antigua and Barbuda,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,Nigeria,Kyrgyzstan,Argentina,Cambodia,Paraguay,Georgia,India,Guadeloupe,Niger,Morocco,Ethiopia PDR,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Israel,Viet Nam,Tunisia,Côte d'Ivoire,Nicaragua,Albania,Turkmenistan,South Africa,Central African Republic,Somalia,Egypt,Ghana,Iraq,Angola,Swaziland,Turkey
1961,9104.0,1401.0,111768.0,34989.0,2352.0,400.0,324833.0,1276000.0,4500.0,-1.0,-1.0,3000.0,-1.0,288703.0,1354.0,9144.0,11500.0,15595.0,283.0,7100.0,6069.0,62500.0,2610.0,121300.0,460.0,2400.0,-1.0,4600.0,-1.0,3125.0,-1.0,46763.0,2998.0,270.0,489.0,-1.0,270.0,340948.0,2401401.0,-1.0,218000.0,100418.0,-1.0,-1.0,200.0,8000.0,9068.0,2400000.0,12000.0,218107.0,14000.0,3340.0,320.0,3100.0,368083.0,9000.0,-1.0,25100.0,14100.0,-1,6950.0,-1,-1.0,2482.0,972300.0,317400.0,52300.0,7100.0,23774.0,422.0,38300.0,400.0,23844.0,8532754.0,376185.0,63986.0,-1.0,155000.0,-1.0,393100.0,27500.0,26100.0,-1,2763000.0,180.0,2311.0,4700.0,6200.0,27856.0,1191000.0,4518000.0,98.0,10056.0,3600.0,37900.0,3400.0,653.0,5569.0,97000.0,17500.0,-1.0,15648.0,27300.0,3600.0,994098.0,-1.0,23240.0,13008.0,7208.0,593000.0
1962,4933.0,2050.0,128847.0,48342.0,6621.0,460.0,403895.0,1635000.0,4500.0,-1.0,-1.0,4000.0,-1.0,270391.0,584.0,9144.0,17600.0,20313.0,298.0,6000.0,6150.0,95000.0,2550.0,166700.0,350.0,2600.0,-1.0,3600.0,-1.0,2500.0,-1.0,94459.0,238.0,250.0,919.0,-1.0,220.0,612205.0,2252050.0,-1.0,229000.0,116356.0,-1.0,-1.0,400.0,8000.0,5201.0,2250000.0,12342.0,107000.0,10500.0,4140.0,260.0,3100.0,398620.0,9000.0,-1.0,41400.0,10800.0,-1,7394.0,-1,-1.0,4487.0,1098900.0,339600.0,80000.0,6000.0,32200.0,457.0,41300.0,260.0,48826.0,8797196.0,303584.0,38870.0,-1.0,155000.0,-1.0,341000.0,3600.0,32500.0,-1,3353000.0,240.0,4676.0,9450.0,11000.0,17641.0,1286000.0,4292000.0,12.0,10811.0,10600.0,41670.0,3300.0,513.0,8236.0,163700.0,17700.0,-1.0,22113.0,32700.0,4500.0,1314740.0,-1.0,24243.0,20568.0,4032.0,678500.0
1963,4806.0,2339.0,86910.0,55118.0,8048.0,51.0,410000.0,1471000.0,4500.0,-1.0,-1.0,2000.0,-1.0,305000.0,3626.0,9144.0,9700.0,26448.0,248.0,4900.0,9021.0,160000.0,2550.0,200900.0,850.0,4000.0,-1.0,3100.0,-1.0,2500.0,615.0,104901.0,1720.0,360.0,1830.0,-1.0,250.0,475996.0,3602339.0,-1.0,202000.0,142693.0,-1.0,-1.0,100.0,6140.0,8858.0,3600000.0,15763.0,210000.0,14100.0,4750.0,180.0,4150.0,402502.0,9000.0,-1.0,45600.0,10660.0,-1,9354.0,-1,-1.0,4050.0,1255500.0,284800.0,113000.0,4900.0,29400.0,477.0,48600.0,215.0,39771.0,8946873.0,401980.0,42820.0,-1.0,130000.0,-1.0,438500.0,3600.0,39700.0,-1,3556000.0,135.0,5400.0,14660.0,6800.0,11976.0,1418000.0,5210000.0,-1.0,9200.0,13400.0,35500.0,3150.0,494.0,12065.0,212800.0,22000.0,-1.0,40824.0,27100.0,2580.0,1299553.0,-1.0,14168.0,13725.0,5808.0,701300.0
1964,6673.0,2852.0,121690.0,53139.0,8774.0,66.0,470068.0,1521000.0,4500.0,-1.0,-1.0,3240.0,-1.0,225000.0,6763.0,9144.0,13500.0,17269.0,409.0,6900.0,7429.0,190000.0,2625.0,207200.0,35.0,4700.0,-1.0,3000.0,-1.0,6282.0,1647.0,99106.0,636.0,114.0,1965.0,-1.0,220.0,310073.0,4990952.0,-1.0,193200.0,159346.0,-1.0,-1.0,155.0,9000.0,9795.0,4988100.0,21772.0,225000.0,12900.0,9000.0,190.0,5200.0,387283.0,9000.0,-1.0,44000.0,2650.0,-1,4905.0,-1,-1.0,6966.0,1132800.0,224800.0,80000.0,6900.0,35685.0,142.0,49100.0,125.0,43071.0,8955408.0,389500.0,40210.0,-1.0,142000.0,-1.0,337200.0,5400.0,36100.0,-1,3334000.0,135.0,6807.0,17000.0,7500.0,12723.0,1498000.0,5285000.0,-1.0,14158.0,19600.0,40200.0,3000.0,465.0,8972.0,272200.0,22000.0,-1.0,34020.0,28800.0,3290.0,1415935.0,-1.0,28085.0,13611.0,4680.0,887100.0
1965,6336.0,2289.0,84848.0,68119.0,7463.0,55.0,476189.0,1357000.0,5400.0,-1.0,-1.0,3240.0,-1.0,228043.0,16829.0,9144.0,20600.0,30915.0,332.0,25900.0,5529.0,210000.0,2935.0,222400.0,302.0,5915.0,-1.0,3500.0,-1.0,6250.0,2098.0,86827.0,963.0,200.0,1230.0,-1.0,190.0,442390.0,6296289.0,-1.0,181300.0,200757.0,-1.0,-1.0,200.0,8341.0,13647.0,6294000.0,16184.0,256000.0,11800.0,13300.0,185.0,6200.0,357351.0,9000.0,-1.0,57500.0,2455.0,-1,5080.0,-1,-1.0,7611.0,1251000.0,248900.0,77000.0,25900.0,41475.0,426.0,59800.0,150.0,38043.0,8777194.0,488000.0,18700.0,-1.0,139000.0,-1.0,457000.0,6000.0,42000.0,-1,3116000.0,105.0,6077.0,23100.0,10200.0,11817.0,1565000.0,5662000.0,-1.0,18472.0,32600.0,56900.0,2750.0,225.0,10433.0,355900.0,24568.0,-1.0,56472.0,24200.0,3300.0,1481700.0,-1.0,29809.0,19509.0,6096.0,884500.0
1966,5534.0,1781.0,118987.0,46230.0,16297.0,48.0,375424.0,1635000.0,5550.0,-1.0,-1.0,3240.0,-1.0,260082.0,26632.0,8100.0,12949.0,11682.0,313.0,52900.0,5950.0,228726.0,2044.0,145100.0,1105.0,6085.0,-1.0,3000.0,-1.0,5078.0,5299.0,122699.0,1800.0,122.0,920.0,-1.0,90.0,448834.0,7012781.0,-1.0,208000.0,236037.0,-1.0,-1.0,200.0,8341.0,13754.0,7011000.0,21731.0,261000.0,6900.0,11050.0,230.0,9300.0,332269.0,9000.0,-1.0,55800.0,1401.0,-1,3047.0,-1,-1.0,8905.0,1397838.0,267300.0,63000.0,52900.0,35292.0,336.0,88800.0,280.0,68578.0,5672745.0,375000.0,19960.0,-1.0,139000.0,-1.0,370200.0,5400.0,28900.0,-1,3116000.0,492.0,6708.0,30000.0,24700.0,13706.0,1380000.0,5981000.0,-1.0,17644.0,31600.0,65100.0,2040.0,195.0,13825.0,320700.0,24645.0,-1.0,44907.0,39800.0,3300.0,1289000.0,-1.0,27397.0,21555.0,8058.0,1031190.0
1967,8074.0,1749.0,133836.0,42572.0,17275.0,39.0,329086.0,1692066.0,5400.0,-1.0,-1.0,3240.0,-1.0,285371.0,45813.0,8100.0,11992.0,13685.0,352.0,46500.0,10300.0,165773.0,2215.0,107500.0,3930.0,9290.0,-1.0,2250.0,-1.0,2670.0,1778.0,101623.0,1629.0,80.0,755.0,-1.0,150.0,536536.0,7063749.0,-1.0,265300.0,212127.0,-1.0,-1.0,155.0,10144.0,12738.0,7062000.0,29888.0,260000.0,6400.0,12650.0,95.0,8200.0,264319.0,9000.0,-1.0,49100.0,3020.0,-1,924.0,-1,-1.0,12273.0,1561110.0,198100.0,71000.0,46500.0,37405.0,549.0,80700.0,250.0,55585.0,4532607.0,378000.0,24910.0,-1.0,158000.0,-1.0,269800.0,7908.0,26700.0,-1,3591000.0,972.0,6169.0,17000.0,31300.0,11861.0,1310000.0,5970000.0,-1.0,15767.0,29000.0,76500.0,2000.0,30.0,25036.0,335300.0,21895.0,-1.0,32763.0,48600.0,3300.0,1208000.0,-1.0,33872.0,29496.0,11651.0,1068700.0
1968,7924.0,2103.0,128084.0,49626.0,32027.0,31.0,394143.0,1999465.0,7500.0,-1.0,-1.0,3240.0,-1.0,227704.0,57779.0,6900.0,11608.0,9719.0,250.0,86300.0,8680.0,221214.0,2453.0,97100.0,9670.0,11960.0,-1.0,1000.0,-1.0,2538.0,4032.0,148496.0,652.0,118.0,678.0,-1.0,160.0,526865.0,7064103.0,-1.0,334000.0,153780.0,-1.0,-1.0,100.0,7000.0,14590.0,7062000.0,40889.0,205000.0,4500.0,9400.0,55.0,11300.0,285649.0,9000.0,-1.0,68000.0,-1.0,-1,1774.0,-1,-1.0,23070.0,1587120.0,229170.0,73000.0,86300.0,38209.0,396.0,117100.0,160.0,31051.0,6587636.0,545000.0,45000.0,-1.0,82000.0,-1.0,230000.0,8100.0,30100.0,-1,3319000.0,870.0,7008.0,18570.0,35200.0,12670.0,1560000.0,5945000.0,-1.0,13952.0,24400.0,85900.0,2000.0,105.0,35284.0,297800.0,12610.0,-1.0,40217.0,58000.0,3600.0,1210000.0,100.0,38794.0,48075.0,7724.0,1175800.0
1969,7726.0,1648.0,137008.0,32953.0,36247.0,31.0,382512.0,2110775.0,8100.0,-1.0,-1.0,3144.0,-1.0,338004.0,160547.0,8100.0,18063.0,16835.0,309.0,88900.0,9260.0,220332.0,2405.0,124600.0,10819.0,17355.0,-1.0,1250.0,-1.0,3196.0,6901.0,116748.0,2024.0,94.0,516.0,-1.0,50.0,655267.0,6238648.0,-1.0,357000.0,210600.0,-1.0,-1.0,100.0,9000.0,17111.0,6237000.0,41666.0,251800.0,4600.0,4000.0,50.0,13400.0,254598.0,9000.0,-1.0,91300.0,-1.0,-1,3028.0,-1,-1.0,23959.0,1606635.0,180300.0,88000.0,88900.0,41077.0,711.0,43700.0,160.0,40566.0,5865349.0,517000.0,60000.0,-1.0,170000.0,-1.0,366500.0,6900.0,40500.0,-1,3288000.0,900.0,10518.0,21130.0,41100.0,13549.0,1046000.0,5708000.0,-1.0,23557.0,22000.0,100200.0,1800.0,495.0,44237.0,271000.0,15065.0,-1.0,61946.0,59100.0,3600.0,1480000.0,266.0,42122.0,70254.0,5905.0,1080000.0
1970,9222.0,2715.0,138141.0,34546.0,23484.0,24.0,383871.0,1954993.0,9000.0,-1.0,-1.0,3101.0,-1.0,328216.0,99039.0,3600.0,21558.0,16139.0,257.0,73000.0,12018.0,186319.0,640.0,129420.0,11818.0,20000.0,-1.0,1750.0,-1.0,1407.0,5446.0,94684.0,1467.0,70.0,666.0,-1.0,70.0,674984.0,6833715.0,-1.0,376400.0,228200.0,-1.0,-1.0,100.0,5011.0,14017.0,6831000.0,52762.0,282122.0,2700.0,800.0,30.0,16900.0,247804.0,9000.0,10.0,68000.0,-1.0,-1,4082.0,-1,-1.0,35986.0,1627460.0,159800.0,78000.0,73000.0,39998.0,203.0,26800.0,190.0,36015.0,5909491.0,513000.0,69900.0,-1.0,274227.0,-1.0,458200.0,2100.0,39600.0,-1,2981000.0,900.0,9597.0,19030.0,48700.0,13341.0,890000.0,6890000.0,-1.0,7552.0,9200.0,93900.0,1500.0,105.0,34320.0,199300.0,15235.0,-1.0,43306.0,51800.0,3900.0,1404000.0,417.0,45902.0,91200.0,7266.0,1080000.0
