,Burundi,"China, Taiwan Province of",Mozambique,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Bangladesh,Malawi,Rwanda,Australia & New Zealand,Yugoslav SFR,Guatemala,Algeria,El Salvador,Senegal,Madagascar,Tajikistan,Haiti,Guinea,Botswana,Zambia,Chad,Sri Lanka,Grenada,Uruguay,Azerbaijan,Montserrat,Sudan (former),China,Uzbekistan,Colombia,United Republic of Tanzania,Guinea-Bissau,Kazakhstan,Saint Vincent and the Grenadines,Togo,Kenya,"China, mainland",Mali,Uganda,Italy,Costa Rica,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Yemen,Gambia,Cameroon,Cuba,Dominican Republic,Namibia,Benin,Pakistan,Spain,Afghanistan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Antigua and Barbuda,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Thailand,Nigeria,Egypt,Kyrgyzstan,Argentina,Cambodia,Paraguay,Democratic People's Republic of Korea,India,Guadeloupe,Niger,Morocco,Ethiopia PDR,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Israel,Viet Nam,Tunisia,Côte d'Ivoire,Nicaragua,Albania,Turkmenistan,South Africa,Central African Republic,Somalia,Sudan,Ghana,Iraq,Angola,Swaziland,Turkey
1961,7473.0,6665.0,3617.0,2617.0,1026.0,6667.0,13040.0,6307.0,9000.0,-1.0,-1.0,2727.0,-1.0,13328.0,11008.0,5794.0,3478.0,9433.0,4733.0,5950.0,13982.0,4737.0,20854.0,9200.0,16000.0,-1.0,4182.0,-1.0,31250.0,-1.0,1569.0,9881.0,4762.0,7432.0,-1.0,20769.0,8960.0,6208.0,-1.0,14533.0,4184.0,-1.0,-1.0,8333.0,1569.0,2334.0,6208.0,2819.0,2599.0,6381.0,15905.0,10000.0,15500.0,15095.0,8133.0,-1.0,3958.0,7790.0,7020.0,-1.0,1204.0,6966.0,9959.0,6802.0,4733.0,5234.0,3505.0,8000.0,3957.0,13486.0,11064.0,6335.0,7254.0,5167.0,11914.0,-1.0,7875.0,15800.0,7457.0,6000.0,3579.0,7200.0,4005.0,7833.0,17714.0,5787.0,15001.0,19349.0,3267.0,4954.0,20654.0,22667.0,2061.0,10046.0,4641.0,17504.0,7637.0,-1.0,10432.0,2118.0,2400.0,-1.0,-1.0,6835.0,3365.0,11064.0,9137.0
1962,6761.0,8151.0,4266.0,2864.0,1809.0,5750.0,13357.0,7345.0,11250.0,-1.0,-1.0,2667.0,-1.0,9726.0,9733.0,5649.0,4807.0,9933.0,5128.0,6481.0,13268.0,5100.0,21595.0,4353.0,15569.0,-1.0,3600.0,-1.0,25000.0,-1.0,2788.0,10085.0,4409.0,8447.0,-1.0,20000.0,12867.0,6441.0,-1.0,13550.0,4156.0,-1.0,-1.0,8889.0,1847.0,1012.0,6440.0,2447.0,1465.0,4776.0,16235.0,10000.0,15500.0,15763.0,10273.0,-1.0,6116.0,5510.0,7866.0,-1.0,1800.0,7997.0,9809.0,8786.0,5128.0,6870.0,3596.0,6933.0,8907.0,13963.0,8433.0,3212.0,7150.0,5167.0,18892.0,-1.0,6348.0,8000.0,6500.0,6000.0,4274.0,6857.0,5706.0,10618.0,18333.0,3374.0,16340.0,17981.0,3243.0,4505.0,23389.0,25193.0,1941.0,9000.0,4845.0,22432.0,8077.0,-1.0,11057.0,2481.0,2727.0,-1.0,-1.0,7130.0,5656.0,5922.0,10280.0
1963,5114.0,9949.0,3369.0,2752.0,1757.0,8500.0,14053.0,6608.0,11250.0,-1.0,-1.0,1667.0,-1.0,13090.0,12209.0,5810.0,2656.0,8267.0,3203.0,8591.0,17778.0,5543.0,22731.0,4202.0,18692.0,-1.0,3875.0,-1.0,25000.0,11264.0,3717.0,10546.0,5970.0,10072.0,-1.0,20833.0,10630.0,8173.0,-1.0,14316.0,4618.0,-1.0,-1.0,8333.0,1105.0,1874.0,8173.0,2763.0,2577.0,8683.0,16102.0,10000.0,20750.0,15674.0,9494.0,-1.0,6313.0,5825.0,10393.0,-1.0,1920.0,8537.0,10840.0,9307.0,3203.0,7010.0,3565.0,4831.0,7663.0,15557.0,10864.0,3539.0,6983.0,4333.0,19011.0,-1.0,8447.0,9172.0,6302.0,6000.0,4358.0,6750.0,4576.0,11407.0,19429.0,4767.0,16750.0,21008.0,-1.0,4382.0,20021.0,28768.0,1853.0,10082.0,5027.0,23321.0,9584.0,-1.0,12758.0,2170.0,2580.0,-1.0,-1.0,5759.0,3741.0,5604.0,11159.0
1964,8069.0,10990.0,4362.0,2260.0,1671.0,13200.0,16406.0,6536.0,8182.0,-1.0,-1.0,2700.0,-1.0,15957.0,12296.0,6456.0,3547.0,6817.0,4423.0,7519.0,19467.0,6646.0,18154.0,3500.0,16207.0,-1.0,4000.0,-1.0,48811.0,12718.0,3426.0,11099.0,4028.0,7023.0,-1.0,22000.0,7034.0,10118.0,-1.0,12880.0,4579.0,-1.0,-1.0,8378.0,1475.0,1694.0,10118.0,3221.0,2602.0,8394.0,16216.0,9744.0,13000.0,15744.0,7411.0,-1.0,5575.0,8833.0,8759.0,-1.0,2770.0,7723.0,11428.0,6589.0,4423.0,7420.0,4424.0,5000.0,9405.0,15744.0,10527.0,4964.0,7430.0,4733.0,20924.0,-1.0,6490.0,9818.0,7428.0,6000.0,4032.0,6750.0,4568.0,12687.0,18750.0,5537.0,18524.0,21475.0,-1.0,6240.0,22854.0,31345.0,1786.0,18307.0,4984.0,24291.0,9535.0,-1.0,6671.0,2500.0,3290.0,-1.0,-1.0,7801.0,3494.0,4198.0,13046.0
1965,6379.0,10978.0,2370.0,2931.0,1501.0,11000.0,16546.0,5832.0,9818.0,-1.0,-1.0,2700.0,-1.0,16822.0,11801.0,6107.0,5028.0,4618.0,16928.0,6669.0,21063.0,7663.0,20045.0,7550.0,15816.0,-1.0,4375.0,-1.0,56818.0,8497.0,2930.0,8500.0,7067.0,5985.0,-1.0,21111.0,9865.0,12592.0,-1.0,12250.0,4566.0,-1.0,-1.0,8333.0,1456.0,2375.0,12593.0,2878.0,2822.0,8284.0,16259.0,10000.0,15500.0,15006.0,7987.0,-1.0,6267.0,5845.0,9071.0,-1.0,2796.0,8012.0,12595.0,9513.0,16928.0,7550.0,5868.0,3750.0,8281.0,15933.0,13189.0,3066.0,8251.0,4633.0,18563.0,-1.0,8566.0,9677.0,7407.0,6000.0,3923.0,7000.0,3665.0,13430.0,17000.0,6198.0,19242.0,23186.0,-1.0,6776.0,23378.0,32607.0,1590.0,11250.0,5217.0,27358.0,10792.0,-1.0,13446.0,2210.0,3300.0,-1.0,-1.0,9315.0,4733.0,4707.0,12912.0
1966,5910.0,11542.0,3237.0,2264.0,3113.0,16000.0,14717.0,7345.0,9250.0,-1.0,-1.0,2700.0,-1.0,19558.0,14683.0,5548.0,2461.0,8575.0,23829.0,7541.0,27197.0,4405.0,17682.0,11050.0,13243.0,-1.0,4000.0,-1.0,63634.0,19546.0,4097.0,18908.0,4311.0,10000.0,-1.0,22500.0,10178.0,14249.0,-1.0,12683.0,5221.0,-1.0,-1.0,8333.0,1456.0,2393.0,14250.0,4520.0,2966.0,6473.0,16250.0,10000.0,18376.0,16288.0,6605.0,-1.0,5704.0,5004.0,10157.0,-1.0,3061.0,8690.0,11418.0,13125.0,23829.0,8070.0,5581.0,3544.0,13869.0,14675.0,11029.0,3272.0,11212.0,4633.0,16507.0,-1.0,8400.0,13846.0,4602.0,6000.0,3978.0,10933.0,4109.0,14493.0,19760.0,7341.0,19845.0,24283.0,-1.0,7382.0,22107.0,29685.0,1447.0,13000.0,6913.0,22481.0,10843.0,-1.0,6325.0,3134.0,3300.0,-1.0,-1.0,8562.0,5682.0,4978.0,14483.0
1967,8331.0,11269.0,3269.0,2456.0,2641.0,9750.0,13746.0,4549.0,9000.0,-1.0,-1.0,2700.0,-1.0,20911.0,19402.0,5548.0,2125.0,8462.0,21628.0,10300.0,18522.0,5139.0,21765.0,13100.0,16574.0,-1.0,4091.0,-1.0,35984.0,7446.0,3406.0,8076.0,2827.0,6729.0,-1.0,18750.0,11026.0,13865.0,-1.0,15203.0,5277.0,-1.0,-1.0,8378.0,1647.0,2216.0,13866.0,5080.0,2987.0,7119.0,16218.0,10000.0,16776.0,14592.0,9503.0,-1.0,5006.0,8629.0,7700.0,-1.0,4131.0,9011.0,13767.0,13447.0,21628.0,7510.0,7888.0,3201.0,10958.0,14006.0,12600.0,3610.0,8351.0,5267.0,17686.0,-1.0,8176.0,29289.0,6990.0,6000.0,4371.0,11435.0,3581.0,10303.0,19936.0,6853.0,19788.0,24447.0,-1.0,6651.0,20796.0,26012.0,1587.0,6000.0,8076.0,22136.0,9662.0,-1.0,4615.0,3863.0,3300.0,-1.0,-1.0,9155.0,7122.0,6696.0,14893.0
1968,8451.0,13226.0,3394.0,2921.0,4470.0,7750.0,14105.0,5124.0,12295.0,-1.0,-1.0,2700.0,-1.0,16139.0,11574.0,5000.0,2563.0,8389.0,27749.0,7174.0,22971.0,5718.0,23712.0,15109.0,15947.0,-1.0,2500.0,-1.0,28517.0,7017.0,5026.0,5729.0,4170.0,5780.0,-1.0,20000.0,10916.0,14178.0,-1.0,16784.0,4228.0,-1.0,-1.0,8333.0,1296.0,2245.0,14178.0,5761.0,2476.0,6278.0,16207.0,10000.0,18960.0,17183.0,9446.0,-1.0,6712.0,-1.0,14783.0,-1.0,5760.0,9032.0,16816.0,13370.0,27749.0,8239.0,8462.0,3951.0,7245.0,16022.0,16124.0,3719.0,11277.0,2733.0,19675.0,-1.0,8156.0,12857.0,8091.0,6000.0,4339.0,10875.0,3901.0,12807.0,20000.0,7705.0,22117.0,24315.0,-1.0,6632.0,21872.0,28477.0,1818.0,10500.0,8606.0,20247.0,5702.0,-1.0,5664.0,4462.0,3000.0,-1.0,5882.0,10776.0,10365.0,4772.0,16495.0
1969,8440.0,7289.0,3623.0,2714.0,4266.0,10333.0,12790.0,5032.0,13500.0,-1.0,-1.0,2724.0,-1.0,21399.0,18175.0,5870.0,4854.0,9169.0,27354.0,8179.0,26034.0,5767.0,24451.0,11031.0,18268.0,-1.0,3125.0,-1.0,34329.0,8119.0,4010.0,16783.0,3615.0,8390.0,-1.0,16667.0,13952.0,12925.0,-1.0,15123.0,4828.0,-1.0,-1.0,8333.0,1837.0,2643.0,12928.0,8046.0,2982.0,6699.0,16327.0,10000.0,18611.0,15099.0,7246.0,-1.0,8439.0,-1.0,10093.0,-1.0,7514.0,9213.0,12029.0,16000.0,27354.0,8440.0,11811.0,4571.0,9275.0,13115.0,13605.0,4225.0,5376.0,4670.0,21721.0,-1.0,9029.0,5897.0,6750.0,6000.0,4263.0,11250.0,4774.0,12429.0,18853.0,8047.0,20381.0,22472.0,-1.0,10841.0,21761.0,30600.0,1800.0,14143.0,8847.0,20521.0,6883.0,-1.0,7648.0,4441.0,3000.0,-1.0,3773.0,12764.0,9817.0,4543.0,16914.0
1970,9943.0,14133.0,3724.0,2904.0,2915.0,12000.0,15392.0,4548.0,14516.0,-1.0,-1.0,2737.0,-1.0,22952.0,12530.0,4932.0,4471.0,9179.0,23028.0,8874.0,25110.0,3265.0,23145.0,8690.0,18934.0,-1.0,3889.0,-1.0,17588.0,7780.0,3140.0,10479.0,3889.0,6775.0,-1.0,20000.0,12790.0,13684.0,-1.0,14097.0,5186.0,-1.0,-1.0,8333.0,1728.0,1732.0,13684.0,8030.0,3200.0,5651.0,16667.0,10000.0,20411.0,17230.0,9738.0,9091.0,6663.0,-1.0,11663.0,-1.0,9345.0,9316.0,17599.0,14365.0,23028.0,9239.0,7575.0,4750.0,8593.0,13091.0,16031.0,3898.0,9571.0,6162.0,20542.0,-1.0,10135.0,16154.0,8562.0,6000.0,3918.0,11250.0,4800.0,11194.0,22136.0,8333.0,21645.0,25091.0,-1.0,8661.0,22363.0,26882.0,1546.0,10500.0,9806.0,18274.0,6927.0,-1.0,5346.0,4115.0,3250.0,-1.0,4664.0,13910.0,11501.0,5150.0,20469.0
