,USSR,Burkina Faso,Australia & New Zealand,Australia,Pakistan,Thailand,Ethiopia,Kenya,Indonesia,South Africa,Lao People's Democratic Republic,Zambia,Botswana,Somalia,Togo,Tunisia,Albania,Brazil,Mozambique,Niger,Democratic People's Republic of Korea,El Salvador,Chad,Colombia,Spain,Central African Republic,India,Ecuador,Swaziland,Sri Lanka,Argentina,Antigua and Barbuda,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Greece,Tajikistan,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Mali,Dominican Republic,Syrian Arab Republic,Yugoslav SFR,Iran (Islamic Republic of),Peru,Gambia,Ghana,"China, mainland",Paraguay,Cyprus,Kazakhstan,Rwanda,Cameroon,Guatemala,Saint Kitts and Nevis,Cuba,United States of America,Romania,Turkmenistan,Philippines,Iraq,Madagascar,Yemen,United Republic of Tanzania,Burundi,Nepal,Costa Rica,Bangladesh,Italy,Senegal,Uganda,Benin,Montserrat,Uzbekistan,China,Cambodia,Sudan (former),Morocco,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Malawi,Algeria,"China, Taiwan Province of",Israel,Afghanistan,Guinea-Bissau,Namibia,Grenada,Azerbaijan,Nicaragua,Viet Nam,Turkey,Bolivia (Plurinational State of),Sudan,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Mexico,Guinea,Guadeloupe,Côte d'Ivoire,Bulgaria,Myanmar
1961,19349.0,1026.0,4733.0,4733.0,6966.0,7254.0,,2334.0,2727.0,10432.0,9000.0,,31250.0,2400.0,1569.0,10046.0,7637.0,6307.0,3617.0,4005.0,6000.0,20854.0,1569.0,14533.0,9959.0,2118.0,3579.0,4954.0,11064.0,9881.0,7875.0,8000.0,3365.0,17714.0,11914.0,,13328.0,,4182.0,5787.0,6335.0,5167.0,2819.0,7020.0,13040.0,5950.0,11064.0,15095.0,,,6208.0,7457.0,3505.0,,9433.0,3958.0,13982.0,10000.0,7790.0,13486.0,3267.0,,6667.0,6835.0,16000.0,8133.0,4184.0,7473.0,,15905.0,5794.0,6381.0,9200.0,2599.0,1204.0,20769.0,,6208.0,15800.0,8960.0,7833.0,20654.0,7432.0,11008.0,,3478.0,4737.0,6665.0,22667.0,6802.0,,,4762.0,,17504.0,2061.0,9137.0,15500.0,,8333.0,5234.0,15001.0,,7200.0,4641.0,3957.0,2617.0
1962,17981.0,1809.0,5128.0,5128.0,7997.0,7150.0,,1012.0,2667.0,11057.0,11250.0,,25000.0,2727.0,1847.0,9000.0,8077.0,7345.0,4266.0,5706.0,6000.0,21595.0,2788.0,13550.0,9809.0,2481.0,4274.0,4505.0,5922.0,10085.0,6348.0,6933.0,5656.0,18333.0,18892.0,,9726.0,,3600.0,3374.0,3212.0,5167.0,2447.0,7866.0,13357.0,6481.0,8433.0,15763.0,,,6440.0,6500.0,3596.0,,9933.0,6116.0,13268.0,10000.0,5510.0,13963.0,3243.0,,5750.0,7130.0,15569.0,10273.0,4156.0,6761.0,,16235.0,5649.0,4776.0,4353.0,1465.0,1800.0,20000.0,,6441.0,8000.0,12867.0,10618.0,23389.0,8447.0,9733.0,,4807.0,5100.0,8151.0,25193.0,8786.0,,,4409.0,,22432.0,1941.0,10280.0,15500.0,,8889.0,6870.0,16340.0,,6857.0,4845.0,8907.0,2864.0
1963,21008.0,1757.0,3203.0,3203.0,8537.0,6983.0,,1874.0,1667.0,12758.0,11250.0,11264.0,25000.0,2580.0,1105.0,10082.0,9584.0,6608.0,3369.0,4576.0,6000.0,22731.0,3717.0,14316.0,10840.0,2170.0,4358.0,4382.0,5604.0,10546.0,8447.0,4831.0,3741.0,19429.0,19011.0,,13090.0,,3875.0,4767.0,3539.0,4333.0,2763.0,10393.0,14053.0,8591.0,10864.0,15674.0,,,8173.0,6302.0,3565.0,,8267.0,6313.0,17778.0,10000.0,5825.0,15557.0,,,8500.0,5759.0,18692.0,9494.0,4618.0,5114.0,,16102.0,5810.0,8683.0,4202.0,2577.0,1920.0,20833.0,,8173.0,9172.0,10630.0,11407.0,20021.0,10072.0,12209.0,,2656.0,5543.0,9949.0,28768.0,9307.0,,,5970.0,,23321.0,1853.0,11159.0,20750.0,,8333.0,7010.0,16750.0,,6750.0,5027.0,7663.0,2752.0
1964,21475.0,1671.0,4423.0,4423.0,7723.0,7430.0,,1694.0,2700.0,6671.0,8182.0,12718.0,48811.0,3290.0,1475.0,18307.0,9535.0,6536.0,4362.0,4568.0,6000.0,18154.0,3426.0,12880.0,11428.0,2500.0,4032.0,6240.0,4198.0,11099.0,6490.0,5000.0,3494.0,18750.0,20924.0,,15957.0,,4000.0,5537.0,4964.0,4733.0,3221.0,8759.0,16406.0,7519.0,10527.0,15744.0,,,10118.0,7428.0,4424.0,,6817.0,5575.0,19467.0,9744.0,8833.0,15744.0,,,13200.0,7801.0,16207.0,7411.0,4579.0,8069.0,,16216.0,6456.0,8394.0,3500.0,2602.0,2770.0,22000.0,,10118.0,9818.0,7034.0,12687.0,22854.0,7023.0,12296.0,,3547.0,6646.0,10990.0,31345.0,6589.0,,,4028.0,,24291.0,1786.0,13046.0,13000.0,,8378.0,7420.0,18524.0,,6750.0,4984.0,9405.0,2260.0
1965,23186.0,1501.0,16928.0,16928.0,8012.0,8251.0,,2375.0,2700.0,13446.0,9818.0,8497.0,56818.0,3300.0,1456.0,11250.0,10792.0,5832.0,2370.0,3665.0,6000.0,20045.0,2930.0,12250.0,12595.0,2210.0,3923.0,6776.0,4707.0,8500.0,8566.0,3750.0,4733.0,17000.0,18563.0,,16822.0,,4375.0,6198.0,3066.0,4633.0,2878.0,9071.0,16546.0,6669.0,13189.0,15006.0,,,12593.0,7407.0,5868.0,,4618.0,6267.0,21063.0,10000.0,5845.0,15933.0,,,11000.0,9315.0,15816.0,7987.0,4566.0,6379.0,,16259.0,6107.0,8284.0,7550.0,2822.0,2796.0,21111.0,,12592.0,9677.0,9865.0,13430.0,23378.0,5985.0,11801.0,,5028.0,7663.0,10978.0,32607.0,9513.0,,,7067.0,,27358.0,1590.0,12912.0,15500.0,,8333.0,7550.0,19242.0,,7000.0,5217.0,8281.0,2931.0
1966,24283.0,3113.0,23829.0,23829.0,8690.0,11212.0,,2393.0,2700.0,6325.0,9250.0,19546.0,63634.0,3300.0,1456.0,13000.0,10843.0,7345.0,3237.0,4109.0,6000.0,17682.0,4097.0,12683.0,11418.0,3134.0,3978.0,7382.0,4978.0,18908.0,8400.0,3544.0,5682.0,19760.0,16507.0,,19558.0,,4000.0,7341.0,3272.0,4633.0,4520.0,10157.0,14717.0,7541.0,11029.0,16288.0,,,14250.0,4602.0,5581.0,,8575.0,5704.0,27197.0,10000.0,5004.0,14675.0,,,16000.0,8562.0,13243.0,6605.0,5221.0,5910.0,,16250.0,5548.0,6473.0,11050.0,2966.0,3061.0,22500.0,,14249.0,13846.0,10178.0,14493.0,22107.0,10000.0,14683.0,,2461.0,4405.0,11542.0,29685.0,13125.0,,,4311.0,,22481.0,1447.0,14483.0,18376.0,,8333.0,8070.0,19845.0,,10933.0,6913.0,13869.0,2264.0
1967,24447.0,2641.0,21628.0,21628.0,9011.0,8351.0,,2216.0,2700.0,4615.0,9000.0,7446.0,35984.0,3300.0,1647.0,6000.0,9662.0,4549.0,3269.0,3581.0,6000.0,21765.0,3406.0,15203.0,13767.0,3863.0,4371.0,6651.0,6696.0,8076.0,8176.0,3201.0,7122.0,19936.0,17686.0,,20911.0,,4091.0,6853.0,3610.0,5267.0,5080.0,7700.0,13746.0,10300.0,12600.0,14592.0,,,13866.0,6990.0,7888.0,,8462.0,5006.0,18522.0,10000.0,8629.0,14006.0,,,9750.0,9155.0,16574.0,9503.0,5277.0,8331.0,,16218.0,5548.0,7119.0,13100.0,2987.0,4131.0,18750.0,,13865.0,29289.0,11026.0,10303.0,20796.0,6729.0,19402.0,,2125.0,5139.0,11269.0,26012.0,13447.0,,,2827.0,,22136.0,1587.0,14893.0,16776.0,,8378.0,7510.0,19788.0,,11435.0,8076.0,10958.0,2456.0
1968,24315.0,4470.0,27749.0,27749.0,9032.0,11277.0,,2245.0,2700.0,5664.0,12295.0,7017.0,28517.0,3000.0,1296.0,10500.0,5702.0,5124.0,3394.0,3901.0,6000.0,23712.0,5026.0,16784.0,16816.0,4462.0,4339.0,6632.0,4772.0,5729.0,8156.0,3951.0,10365.0,20000.0,19675.0,,16139.0,,2500.0,7705.0,3719.0,2733.0,5761.0,14783.0,14105.0,7174.0,16124.0,17183.0,,5882.0,14178.0,8091.0,8462.0,,8389.0,6712.0,22971.0,10000.0,,16022.0,,,7750.0,10776.0,15947.0,9446.0,4228.0,8451.0,,16207.0,5000.0,6278.0,15109.0,2476.0,5760.0,20000.0,,14178.0,12857.0,10916.0,12807.0,21872.0,5780.0,11574.0,,2563.0,5718.0,13226.0,28477.0,13370.0,,,4170.0,,20247.0,1818.0,16495.0,18960.0,,8333.0,8239.0,22117.0,,10875.0,8606.0,7245.0,2921.0
1969,22472.0,4266.0,27354.0,27354.0,9213.0,5376.0,,2643.0,2724.0,7648.0,13500.0,8119.0,34329.0,3000.0,1837.0,14143.0,6883.0,5032.0,3623.0,4774.0,6000.0,24451.0,4010.0,15123.0,12029.0,4441.0,4263.0,10841.0,4543.0,16783.0,9029.0,4571.0,9817.0,18853.0,21721.0,,21399.0,,3125.0,8047.0,4225.0,4670.0,8046.0,10093.0,12790.0,8179.0,13605.0,15099.0,,3773.0,12928.0,6750.0,11811.0,,9169.0,8439.0,26034.0,10000.0,,13115.0,,,10333.0,12764.0,18268.0,7246.0,4828.0,8440.0,,16327.0,5870.0,6699.0,11031.0,2982.0,7514.0,16667.0,,12925.0,5897.0,13952.0,12429.0,21761.0,8390.0,18175.0,,4854.0,5767.0,7289.0,30600.0,16000.0,,,3615.0,,20521.0,1800.0,16914.0,18611.0,,8333.0,8440.0,20381.0,,11250.0,8847.0,9275.0,2714.0
1970,25091.0,2915.0,23028.0,23028.0,9316.0,9571.0,,1732.0,2737.0,5346.0,14516.0,7780.0,17588.0,3250.0,1728.0,10500.0,6927.0,4548.0,3724.0,4800.0,6000.0,23145.0,3140.0,14097.0,17599.0,4115.0,3918.0,8661.0,5150.0,10479.0,10135.0,4750.0,11501.0,22136.0,20542.0,,22952.0,,3889.0,8333.0,3898.0,6162.0,8030.0,11663.0,15392.0,8874.0,16031.0,17230.0,9091.0,4664.0,13684.0,8562.0,7575.0,,9179.0,6663.0,25110.0,10000.0,,13091.0,,,12000.0,13910.0,18934.0,9738.0,5186.0,9943.0,,16667.0,4932.0,5651.0,8690.0,3200.0,9345.0,20000.0,,13684.0,16154.0,12790.0,11194.0,22363.0,6775.0,12530.0,,4471.0,3265.0,14133.0,26882.0,14365.0,,,3889.0,,18274.0,1546.0,20469.0,20411.0,,8333.0,9239.0,21645.0,,11250.0,9806.0,8593.0,2904.0
1971,25635.0,3798.0,13618.0,13618.0,10836.0,9588.0,,3163.0,2564.0,15676.0,16328.0,9750.0,28692.0,3053.0,1937.0,14143.0,6217.0,4827.0,2757.0,4075.0,6000.0,24162.0,3593.0,14721.0,15888.0,3348.0,5040.0,13007.0,9600.0,11344.0,7771.0,4884.0,9462.0,18875.0,22135.0,,25896.0,,4000.0,8743.0,3510.0,2782.0,8785.0,10883.0,16287.0,8707.0,14951.0,17072.0,8500.0,6329.0,12841.0,5271.0,6334.0,,9219.0,4362.0,22888.0,10000.0,,13200.0,,,18000.0,12460.0,20092.0,12812.0,4805.0,9868.0,,16346.0,4513.0,6016.0,11548.0,2393.0,8734.0,21111.0,,12840.0,18750.0,14384.0,15476.0,17568.0,6843.0,16251.0,,4198.0,4739.0,10920.0,28272.0,12037.0,,,2824.0,,24650.0,1141.0,20470.0,17771.0,,,9167.0,22455.0,,11000.0,8731.0,9800.0,2665.0
1972,26676.0,4650.0,27157.0,27157.0,10469.0,9300.0,,3204.0,2382.0,4621.0,10645.0,6958.0,28170.0,3181.0,2733.0,,7636.0,4570.0,4091.0,4081.0,6000.0,26083.0,3775.0,16945.0,14485.0,3669.0,4738.0,8329.0,10220.0,30791.0,7334.0,4821.0,8969.0,17350.0,21811.0,,22693.0,,4000.0,8751.0,3751.0,2708.0,8552.0,10670.0,17799.0,7167.0,17647.0,17597.0,5375.0,5124.0,12010.0,9248.0,3054.0,,9269.0,5167.0,33224.0,10000.0,,14990.0,,,18000.0,13842.0,19893.0,10291.0,5755.0,6433.0,,17619.0,4719.0,6111.0,11524.0,2208.0,10554.0,20667.0,,12010.0,15000.0,13372.0,17194.0,17710.0,6675.0,16343.0,,4423.0,7855.0,11270.0,30285.0,11628.0,,,3000.0,,26834.0,1111.0,19302.0,10804.0,,,9281.0,20824.0,,10000.0,9635.0,13292.0,2366.0
1973,27950.0,4004.0,18142.0,18142.0,10707.0,10824.0,,3052.0,1930.0,5341.0,9661.0,6531.0,27273.0,3036.0,2218.0,,8696.0,5264.0,3299.0,3916.0,6000.0,22465.0,4252.0,13349.0,15038.0,3266.0,4947.0,8475.0,9943.0,21799.0,9276.0,5738.0,8090.0,18303.0,20353.0,,23384.0,,4000.0,8592.0,3933.0,3123.0,7323.0,10227.0,20198.0,8761.0,17775.0,17492.0,8650.0,3824.0,15568.0,10518.0,7692.0,,6175.0,4544.0,30972.0,10000.0,,15225.0,10000.0,,13500.0,12650.0,22923.0,10498.0,5132.0,5700.0,,16575.0,4484.0,6654.0,11553.0,2332.0,8150.0,21000.0,,15567.0,15000.0,11593.0,10933.0,19514.0,6730.0,11674.0,,3050.0,10978.0,11587.0,28281.0,14840.0,,,2400.0,,21024.0,1059.0,20440.0,17229.0,,,10210.0,23287.0,,10000.0,9524.0,10233.0,2577.0
1974,29198.0,4968.0,18753.0,18753.0,9367.0,11366.0,,2835.0,3469.0,11521.0,15540.0,5486.0,27273.0,3030.0,3075.0,,8670.0,5395.0,3747.0,5202.0,6000.0,23523.0,5278.0,16265.0,16008.0,3429.0,5333.0,9121.0,16040.0,31122.0,8827.0,5263.0,10671.0,20523.0,19726.0,,24008.0,,4000.0,8744.0,3551.0,1658.0,8990.0,9595.0,18812.0,8553.0,19377.0,17307.0,9067.0,4902.0,14742.0,9624.0,,,5000.0,6199.0,33247.0,11765.0,,13006.0,7407.0,,12750.0,15423.0,20691.0,10696.0,5595.0,6614.0,,16667.0,4483.0,4903.0,10910.0,3240.0,6324.0,16000.0,,14742.0,9000.0,13125.0,9943.0,16248.0,6850.0,11460.0,,3951.0,7045.0,11223.0,31438.0,10797.0,,,1900.0,,23988.0,1282.0,19272.0,15891.0,,,10759.0,23170.0,,10435.0,10221.0,10200.0,2218.0
1975,26895.0,7455.0,22519.0,22519.0,8328.0,10094.0,,2015.0,2718.0,22483.0,21600.0,6346.0,27273.0,2525.0,3834.0,,8798.0,4510.0,4177.0,6782.0,6000.0,24539.0,5243.0,14282.0,25684.0,2468.0,4861.0,9318.0,10250.0,36031.0,10713.0,8309.0,6393.0,20146.0,18287.0,,26424.0,,4000.0,9116.0,3580.0,2869.0,11828.0,9020.0,19908.0,10242.0,16207.0,19931.0,6452.0,6724.0,14430.0,9961.0,,,6800.0,6764.0,27625.0,13000.0,,13279.0,6383.0,,8084.0,14695.0,19168.0,11250.0,5456.0,5790.0,,15345.0,3951.0,3740.0,8186.0,1824.0,7536.0,17500.0,,14430.0,9000.0,13305.0,13034.0,17985.0,6923.0,11612.0,,5662.0,8731.0,7189.0,31848.0,14643.0,,,3000.0,,20661.0,3235.0,19343.0,12495.0,,,11167.0,23997.0,,12000.0,10372.0,11940.0,2508.0
1976,28071.0,6974.0,21980.0,21980.0,6994.0,11257.0,,2000.0,3857.0,14545.0,21726.0,6462.0,27273.0,2652.0,2784.0,,8936.0,3702.0,3498.0,5627.0,6000.0,22692.0,4678.0,14307.0,22274.0,3187.0,4870.0,9000.0,11500.0,40121.0,10759.0,5967.0,6393.0,22608.0,20474.0,,21961.0,,4000.0,8735.0,3642.0,3277.0,11078.0,7795.0,22495.0,9247.0,17288.0,16737.0,8222.0,5774.0,12520.0,9777.0,15385.0,,4592.0,7976.0,33810.0,14216.0,,13683.0,200.0,,4606.0,13379.0,19829.0,9444.0,5349.0,4816.0,,17704.0,3960.0,6385.0,10311.0,1621.0,8365.0,18333.0,,12520.0,9750.0,7662.0,12210.0,19300.0,7655.0,14355.0,,5391.0,13319.0,9490.0,32412.0,12734.0,,,2800.0,,23391.0,3309.0,22051.0,12068.0,,,11582.0,24806.0,,9125.0,10086.0,1302.0,2392.0
1977,29271.0,5532.0,21133.0,21133.0,9352.0,11391.0,,2599.0,8772.0,14140.0,22664.0,8497.0,27273.0,2778.0,3706.0,,10000.0,4638.0,3794.0,5064.0,6000.0,25033.0,4449.0,12739.0,17781.0,2242.0,4894.0,10267.0,11273.0,31343.0,10077.0,6461.0,5902.0,23401.0,18384.0,,20948.0,,4000.0,8837.0,3602.0,3497.0,11425.0,9800.0,21173.0,7541.0,16930.0,15766.0,4889.0,3052.0,12702.0,11359.0,15385.0,,5489.0,8403.0,32330.0,7480.0,,15155.0,2500.0,,6530.0,12454.0,18174.0,7814.0,4321.0,6629.0,,15604.0,4898.0,4211.0,7889.0,1113.0,7892.0,18333.0,,12702.0,10000.0,10864.0,9494.0,19621.0,7532.0,12305.0,,6839.0,5077.0,9315.0,31199.0,10938.0,,,2500.0,,18948.0,2470.0,19975.0,11181.0,,,12340.0,28523.0,,,11798.0,7010.0,2533.0
1978,27976.0,8361.0,27957.0,27957.0,7506.0,11775.0,,2158.0,7261.0,16161.0,6280.0,4757.0,27273.0,2778.0,2698.0,,10512.0,3974.0,4506.0,4832.0,6000.0,22873.0,5120.0,10073.0,22373.0,2762.0,5207.0,13017.0,11140.0,29566.0,11763.0,6771.0,6393.0,18793.0,23810.0,,25522.0,,3996.0,8723.0,3291.0,1847.0,11293.0,9958.0,22461.0,5203.0,15250.0,17160.0,4788.0,4510.0,13373.0,9960.0,15000.0,,,12625.0,35611.0,7229.0,,12428.0,5263.0,,8710.0,8135.0,14895.0,9130.0,3660.0,7788.0,,7725.0,5301.0,3603.0,6999.0,974.0,7133.0,18000.0,,13373.0,10000.0,11884.0,13655.0,17895.0,6002.0,12291.0,,8547.0,6667.0,12174.0,32247.0,12054.0,,,2119.0,,19824.0,2922.0,19640.0,15705.0,,,12256.0,29932.0,,,11757.0,8754.0,3204.0
