,USSR,Burkina Faso,Eritrea,Israel,Paraguay,Iraq,Madagascar,Pakistan,United Republic of Tanzania,South Sudan,Ethiopia,Kenya,Costa Rica,Bangladesh,Italy,Senegal,Lebanon,Uganda,Somalia,Thailand,Togo,Benin,Brazil,Cambodia,Mozambique,Niger,Sudan (former),Morocco,El Salvador,Honduras,Chad,Colombia,Central African Republic,Panama,India,Syrian Arab Republic,"China, Taiwan Province of",Ecuador,Japan,Jordan,Afghanistan,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Sudan,Greece,Yemen,Viet Nam,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Nicaragua,Mali,Congo,Turkey,Dominican Republic,Bulgaria,Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Venezuela (Bolivarian Republic of),United States of America,Mexico,Guinea,China,"China, mainland",Sierra Leone,Sri Lanka,Cyprus,Côte d'Ivoire,Cameroon,Myanmar,Guatemala
1961,185.0,120.0,,10.0,0.0,194.0,0.0,150.0,150.0,,,42.0,1.0,795.0,17.0,0.0,5.0,830.0,150.0,218.0,150.0,20.0,80.0,140.0,60.0,0.0,3200.0,2.0,96.0,5.0,150.0,336.0,350.0,3.0,9000.0,83.0,505.0,11.0,45.0,61.0,498.0,60.0,459.0,180.0,,,255.0,106.0,96.0,2.0,48.0,88.0,2520.0,73.0,0.0,1.0,1065.0,2.0,10.0,5.0,0.0,100.0,140.0,3.0,2383.0,20.0,11230.0,10725.0,20.0,331.0,7.0,40.0,74.0,6191.0,15.0
1962,156.0,168.0,,10.0,0.0,202.0,0.0,134.0,195.0,,,39.0,1.0,783.0,16.0,0.0,4.0,870.0,105.0,218.0,150.0,20.0,26.0,152.0,40.0,0.0,3800.0,5.0,70.0,6.0,150.0,360.0,350.0,3.0,11000.0,75.0,401.0,12.0,42.0,54.0,498.0,60.0,465.0,250.0,,,450.0,102.0,85.0,2.0,46.0,40.0,2220.0,56.0,0.0,1.0,1110.0,2.0,11.0,11.0,0.0,115.0,150.0,3.0,2507.0,20.0,12776.0,12375.0,20.0,342.0,8.0,40.0,77.0,6377.0,14.0
1963,51.0,240.0,,10.0,0.0,251.0,0.0,168.0,200.0,,,10.0,1.0,765.0,17.0,0.0,2.0,1090.0,120.0,202.0,150.0,20.0,52.0,120.0,27.0,0.0,3800.0,7.0,83.0,5.0,170.0,384.0,340.0,3.0,10000.0,97.0,312.0,19.0,40.0,43.0,498.0,70.0,474.0,240.0,,,327.0,108.0,80.0,2.0,55.0,48.0,2340.0,69.0,0.0,1.0,900.0,2.0,12.0,9.0,0.0,100.0,170.0,2.0,2613.0,20.0,12207.0,11895.0,20.0,308.0,8.0,40.0,65.0,6517.0,11.0
1964,68.0,200.0,,10.0,0.0,294.0,0.0,142.0,217.0,,,29.0,1.0,753.0,17.0,0.0,2.0,950.0,140.0,308.0,150.0,20.0,60.0,96.0,27.0,0.0,3200.0,2.0,134.0,2.0,170.0,400.0,330.0,3.0,11000.0,69.0,333.0,49.0,36.0,42.0,498.0,70.0,489.0,220.0,,,178.0,108.0,80.0,2.0,61.0,88.0,2520.0,70.0,0.0,1.0,900.0,2.0,2.0,6.0,0.0,100.0,220.0,2.0,2672.0,20.0,10282.0,9950.0,20.0,302.0,5.0,40.0,57.0,7933.0,15.0
1965,41.0,160.0,,10.0,0.0,313.0,0.0,152.0,237.0,,,29.0,1.0,753.0,17.0,0.0,2.0,960.0,360.0,364.0,165.0,20.0,17.0,117.0,40.0,0.0,3200.0,2.0,288.0,7.0,140.0,280.0,350.0,3.0,10000.0,64.0,360.0,50.0,33.0,26.0,498.0,70.0,573.0,130.0,,,246.0,114.0,75.0,2.0,68.0,72.0,2640.0,66.0,0.0,1.0,810.0,2.0,21.0,4.0,0.0,130.0,240.0,0.0,2521.0,20.0,10545.0,10185.0,20.0,210.0,4.0,40.0,48.0,8087.0,15.0
1966,40.0,160.0,,10.0,0.0,341.0,0.0,160.0,185.0,,,75.0,1.0,783.0,17.0,0.0,1.0,940.0,360.0,414.0,165.0,30.0,87.0,60.0,40.0,0.0,3110.0,3.0,282.0,8.0,140.0,160.0,490.0,3.0,10000.0,118.0,367.0,33.0,28.0,12.0,498.0,70.0,693.0,90.0,,,253.0,114.0,75.0,2.0,81.0,72.0,2220.0,79.0,0.0,1.0,900.0,2.0,29.0,4.0,0.0,115.0,330.0,0.0,2708.0,20.0,10252.0,9885.0,20.0,259.0,5.0,40.0,104.0,7728.0,45.0
1967,25.0,168.0,,10.0,0.0,343.0,0.0,138.0,206.0,,,75.0,1.0,795.0,18.0,0.0,1.0,960.0,360.0,356.0,165.0,40.0,17.0,110.0,60.0,0.0,3330.0,4.0,83.0,8.0,400.0,158.0,547.0,3.0,10000.0,130.0,336.0,59.0,10.0,11.0,492.0,60.0,759.0,65.0,,,196.0,115.0,75.0,4.0,82.0,80.0,2280.0,86.0,0.0,2.0,1200.0,2.0,24.0,4.0,0.0,130.0,350.0,0.0,2590.0,20.0,9651.0,9315.0,20.0,273.0,4.0,40.0,112.0,8298.0,57.0
1968,100.0,176.0,,10.0,0.0,342.0,0.0,113.0,215.0,,,75.0,1.0,753.0,18.0,0.0,1.0,840.0,360.0,316.0,165.0,60.0,26.0,123.0,70.0,0.0,3430.0,2.0,90.0,9.0,400.0,157.0,521.0,2.0,10000.0,96.0,304.0,44.0,4.0,4.0,498.0,60.0,843.0,70.0,,,147.0,116.0,75.0,6.0,105.0,88.0,2400.0,92.0,0.0,2.0,1005.0,2.0,17.0,4.0,0.0,130.0,380.0,0.0,2641.0,20.0,9289.0,8985.0,20.0,296.0,4.0,40.0,141.0,8245.0,32.0
1969,40.0,212.0,,10.0,0.0,366.0,0.0,154.0,215.0,,,75.0,1.0,674.0,17.0,0.0,1.0,660.0,480.0,332.0,180.0,60.0,70.0,125.0,50.0,0.0,4681.0,3.0,122.0,9.0,300.0,219.0,501.0,2.0,10000.0,62.0,207.0,54.0,6.0,8.0,498.0,60.0,921.0,105.0,,,267.0,80.0,75.0,8.0,155.0,100.0,1284.0,79.0,0.0,2.0,930.0,2.0,13.0,5.0,0.0,100.0,440.0,0.0,2738.0,20.0,8525.0,8318.0,18.0,240.0,5.0,40.0,146.0,9138.0,42.0
1970,10.0,176.0,,10.0,0.0,411.0,0.0,208.0,215.0,,,87.0,1.0,713.0,16.0,0.0,1.0,1030.0,260.0,350.0,180.0,80.0,60.0,73.0,60.0,3.0,4803.0,6.0,83.0,9.0,222.0,376.0,462.0,2.0,13000.0,101.0,208.0,40.0,4.0,13.0,504.0,60.0,981.0,125.0,,,215.0,120.0,74.0,10.0,166.0,94.0,1368.0,62.0,0.0,2.0,960.0,2.0,16.0,4.0,0.0,75.0,420.0,0.0,2812.0,20.0,9073.0,8865.0,18.0,178.0,6.0,40.0,178.0,10157.0,46.0
