,Bahamas,Costa Rica,Cyprus,Egypt,French Polynesia,China,South Korea,France,Slovakia,Antigua and Barbuda,Armenia,Cambodia,Panama,Guyana,East Asia & Pacific (all income levels),Japan,Vanuatu,New Zealand,Bulgaria,East Asia & Pacific (developing only),Lebanon,Saudi Arabia,Bermuda,Isle of Man,Greenland,Afghanistan,Norway,South Africa,Germany,Dominica,Solomon Islands,Montenegro,Nicaragua,South Asia,Burundi,Bahrain,Serbia,New Caledonia,Cameroon,Nepal,Georgia,Oman,Papua New Guinea,Switzerland,Laos,Comoros,Liberia,Lithuania,Morocco,Philippines,Mauritius,Zambia,Faeroe Islands,Iran,Czech Republic,Syria,Seychelles,Fiji,Jordan,Cayman Islands,Pakistan,Turkmenistan,Sao Tome and Principe,Cote d'Ivoire,Tunisia,Argentina,Grenada,Swaziland,Ghana,Thailand,Yemen,Canada,Botswana,Channel Islands,San Marino,Namibia,Macao,Latvia,Guatemala,Qatar,Poland,Azerbaijan,Nigeria,Moldova,Saint Lucia,United States Virgin Islands,Mongolia,Equatorial Guinea,American Samoa,Israel,Sri Lanka,Saint Kitts and Nevis,Democratic Republic of Congo,Bhutan,Russia,Tanzania,Haiti,Guinea,Kiribati,Palestine,Belize,Niger,Europe & Central Asia (developing only),Monaco,Iraq,Middle East & North Africa (developing only),Saint Vincent and the Grenadines,High income: OECD,Central African Republic,Estonia,Croatia,Chile,Gabon,Sub-Saharan Africa (developing only),Colombia,Belgium,Tonga,High income: nonOECD,United Arab Emirates,Kuwait,Aruba,Europe & Central Asia (all income levels),Sweden,Congo,Guinea-Bissau,Venezuela,Paraguay,Ireland,Malawi,Barbados,Bosnia and Herzegovina,Maldives,Brunei,Latin America & Caribbean (all income levels),Cape Verde,Italy,Sudan,Belarus,Uzbekistan,Middle East & North Africa (all income levels),Marshall Islands,Somalia,Finland,Suriname,Mozambique,Zimbabwe,Peru,Mauritania,Ukraine,Benin,Madagascar,Vietnam,Hungary,Uganda,Austria,Samoa,Indonesia,Bolivia,Albania,Dominican Republic,United Kingdom,Gambia,Turks and Caicos Islands,Senegal,Trinidad and Tobago,Macedonia,Togo,India,Libya,Ecuador,Northern Mariana Islands,Bangladesh,Slovenia,Iceland,Latin America & Caribbean (developing only),Honduras,Romania,Djibouti,Brazil,Angola,Algeria,Australia,Spain,Burkina Faso,North America,Kenya,Luxembourg,Denmark,Chad,Jamaica,Palau,Singapore,United States,Hong Kong,Lesotho,Uruguay,Tuvalu,Cuba,Eritrea,Malta,Sierra Leone,Portugal,Netherlands,Ethiopia,Greece,Andorra,Turkey,Kazakhstan,Mali,Micronesia (country),Sub-Saharan Africa (all income levels),Tajikistan,Puerto Rico,El Salvador,Liechtenstein,Mexico,Timor,Rwanda,North Korea,Guam,Kyrgyzstan,Myanmar,Malaysia
1960,10.34548874,2.452510874,5.164514277,0.784474312,4.693723346,0.036830318,0.541935763,7.491765806,,8.902543845,,6.662816281,6.030413338,2.487496057,0.853820288,0.748807261,4.445770082,14.07618686,0.257964093,0.407665541,8.390533246,1.551165913,19.70495495,45.81243162,7.972307692,0.516609999,1.719823782,5.332582203,,3.982271394,3.151804122,,0.697809653,3.115719756,4.53300272,16.45097569,,13.89746835,3.27211325,3.357242184,,7.912465541,1.026407796,13.40574685,0.926722593,0.798486743,2.571689723,,3.198596037,0.836127613,1.552738981,11.83226182,4.34541528,0.220816222,,6.010524787,2.026378897,5.103931792,45.70959716,12.16473878,14.13947913,,11.57264026,22.07424244,4.00886014,12.61544468,4.463560388,4.851775176,7.962978135,1.769667664,3.080457216,15.44643816,1.373778932,30.59980442,48.89885013,4.517172991,46.56063363,,1.049265243,30.43818301,8.181813887,,0.208205352,,2.722995295,37.715625,0.385551651,7.675465561,11.91285229,56.08144672,10.15882175,6.908607926,6.603579192,4.317561176,,4.734998993,0.375902704,0.316234105,1.479361692,,8.277577443,1.620163925,,68.49559099,1.203770934,2.426595684,3.080990265,4.691193783,2.86850491,,,1.361865834,4.179779603,3.470290863,0.356029326,4.823898297,0.196428571,,2.369023453,34.59623915,14.56058146,,3.949653798,2.596240458,1.888849413,6.254003851,2.628134014,2.581453723,8.227205851,4.226315744,,1.894853964,25.12923923,2.765868264,3.268649044,0.915449694,2.308534591,,,3.604478875,5.768837368,0.411989639,0.724303633,7.746610018,0.119427038,10.3180373,0.661172533,1.405082909,,1.399026164,2.476736837,0.011541893,5.189690631,11.3686802,11.44574014,3.157071195,2.11802346,1.156344026,3.039594729,4.389231579,3.171541985,8.575295777,3.144654088,5.287705032,9.54859331,,6.408741972,2.092802513,3.360574832,0.529331117,26.2959285,1.372202007,,1.889231891,1.403413773,2.997703179,1.797575421,14.06810464,1.927231216,2.316308356,3.869224079,16.52399942,0.692487276,1.303359023,6.847422262,0.731977536,14.76956397,2.052339471,1.834146186,1.34462613,3.299439718,31.53826531,5.99188525,52.9160279,0.371735423,7.569177488,6.094364351,2.011110568,0.547231483,0.524268872,2.104550532,0.439153841,3.888172259,1.775342557,0.630061602,18.61487998,3.439282002,,3.1839969,13.13006579,3.474729015,,2.716836302,1.246734858,24.66068832,0.584807286,1.430959411,0.972617665,0.219464348,46.44970857,,1.333674696,0.697159347
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,13.39102743,2.017645671,5.591156874,0.67410074,5.864726027,0.036421206,0.543977611,8.890232872,,9.734631955,,5.777233286,4.79421159,2.068639978,0.80637972,0.720906526,4.117813346,14.69125704,0.253322458,0.343907502,8.333580264,3.217067347,22.12175649,47.15950545,10.89030612,0.498572875,1.85906196,4.765843082,,3.411851533,2.846244346,,0.731055888,2.69531746,5.99645863,20.47366398,,19.48066298,3.139050225,3.159558097,,8.377826168,1.466565916,15.14819844,0.84739463,1.040835005,3.00199207,,1.565323777,0.710213787,1.395351926,9.144259032,4.719082584,0.215430776,,5.917215555,3.063157895,3.870148572,40.20576241,14.57412496,11.20666525,,11.19341945,22.65806013,1.649157667,10.81156461,3.752418613,8.888599522,5.543264311,1.288239959,3.151283908,15.34989328,1.452812548,34.55805621,44.25458716,5.048692189,42.64027838,,1.008353491,46.35519356,7.154306176,,0.242624347,,2.783921581,46.23181818,0.367799481,5.185077962,17.73109958,50.37776044,9.198235399,6.305500803,7.613619662,4.450399598,,4.161771235,0.297766424,0.356335699,1.295877731,,8.321632853,1.629725358,,65.54138212,0.939720201,1.829383628,2.781138045,4.922522506,2.784095389,,,1.132723662,5.451520341,3.386299101,0.391334826,6.412514303,0.317362129,,17.28402453,49.8955769,13.38389121,,5.090438104,2.96431918,1.829393502,5.732972447,2.600314254,3.280749314,7.270294776,4.861645133,,1.754232256,25.3967325,2.346206258,3.004403116,1.208149316,1.969336312,,,3.21390697,5.415726436,0.395366369,0.705475256,5.76614155,0.096618753,10.14791056,0.576273441,1.571191332,,1.473088787,1.704927478,0.010996062,4.690550343,11.32618435,10.24627112,2.708785847,1.470578442,1.153248055,2.756823687,4.330576919,4.67715585,9.747171741,5.133180455,4.790606877,7.672352286,,7.090760328,1.877922544,3.279652702,0.625261899,27.57909832,1.227125915,,2.348064862,1.178642328,1.607005246,1.729904029,13.81574942,1.562963327,1.336941297,1.649637882,18.04291359,0.851844879,1.448944891,6.721487672,1.068744712,15.73152338,2.100309896,1.748637313,1.363295455,3.431645335,27.82590492,5.843676629,47.16162206,0.38928434,7.237575314,5.323361197,1.717973302,0.520140172,1.982434128,2.520746901,0.698731302,2.779100838,1.533372851,0.803559347,37.64217562,2.98987099,,2.982013959,10.64933573,3.388145602,,4.280647648,1.077375061,28.5729608,0.461389442,1.408502198,1.034384524,0.211962137,45.69206303,,1.163370746,2.138804805
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
