,"China, Taiwan Province of",Cuba,Indonesia,South Africa,Angola,Madagascar,Dominican Republic,United Republic of Tanzania,Thailand,Mexico,Ethiopia,Kenya,Haiti,Democratic Republic of the Congo,Ethiopia PDR,Morocco,Uganda,Comoros,Brazil,Jamaica,Venezuela (Bolivarian Republic of),China,Mozambique,Guinea,Malawi,"China, mainland",Central African Republic,Guatemala
1961,7014.0,,6800.0,3000.0,50000.0,21000.0,3500.0,210000.0,,174343.0,,75000.0,50000.0,600.0,1500.0,1000.0,2000.0,1000.0,197000.0,1214.0,10455.0,15014.0,57000.0,1000.0,1000.0,8000.0,5000.0,
1962,7413.0,,5800.0,3000.0,50000.0,23000.0,2000.0,220000.0,,177152.0,,70000.0,50000.0,600.0,1500.0,1000.0,2000.0,1700.0,209000.0,1295.0,10515.0,15413.0,53000.0,1000.0,1000.0,8000.0,5000.0,
1963,8094.0,,5600.0,3000.0,50000.0,26000.0,2000.0,220000.0,,183804.0,,80000.0,50000.0,600.0,1600.0,1000.0,1000.0,1600.0,242000.0,1295.0,10066.0,16094.0,54000.0,1000.0,1000.0,8000.0,5000.0,
1964,8704.0,,4200.0,3000.0,50000.0,25880.0,1300.0,226620.0,,211670.0,,78000.0,50000.0,600.0,2500.0,1300.0,1000.0,1400.0,289000.0,1214.0,11107.0,16704.0,56000.0,1000.0,1000.0,8000.0,5000.0,
1965,8644.0,,5000.0,3000.0,50000.0,25020.0,950.0,216304.0,,202392.0,,77000.0,44000.0,700.0,3000.0,1300.0,1133.0,1200.0,326000.0,647.0,11015.0,16644.0,55000.0,1000.0,1000.0,8000.0,5000.0,
1966,8962.0,,5300.0,3000.0,50000.0,23465.0,900.0,232458.0,,205406.0,,72800.0,44000.0,800.0,3100.0,1300.0,809.0,1000.0,320000.0,650.0,11157.0,16962.0,50811.0,1000.0,1000.0,8000.0,500.0,
1967,8981.0,,5600.0,5000.0,50000.0,23270.0,850.0,242416.0,,208786.0,,66950.0,40000.0,800.0,3200.0,1300.0,809.0,1000.0,310000.0,650.0,10857.0,16981.0,50239.0,1000.0,1000.0,8000.0,500.0,
1968,8598.0,,4600.0,7000.0,50000.0,23140.0,750.0,249299.0,,185565.0,,55900.0,32000.0,800.0,3400.0,1300.0,400.0,900.0,310000.0,650.0,10524.0,16598.0,50000.0,1000.0,1000.0,8000.0,500.0,
1969,8806.0,,3400.0,7000.0,50000.0,24125.0,700.0,256847.0,,188845.0,,52000.0,30000.0,800.0,3700.0,1300.0,0.0,800.0,310000.0,650.0,10401.0,16806.0,50000.0,1000.0,1000.0,8000.0,500.0,
1970,7510.0,5500.0,2300.0,7000.0,50000.0,22800.0,650.0,250369.0,80.0,178770.0,,52000.0,30000.0,800.0,2500.0,1300.0,0.0,700.0,310000.0,650.0,10112.0,15510.0,40995.0,1000.0,1000.0,8000.0,500.0,
1971,8205.0,5500.0,1300.0,7000.0,50000.0,20600.0,600.0,211478.0,460.0,183041.0,,52000.0,32000.0,800.0,2500.0,1300.0,0.0,600.0,272656.0,650.0,9935.0,17205.0,45000.0,1000.0,1000.0,9000.0,500.0,
1972,6525.0,5000.0,50.0,8000.0,60000.0,21900.0,580.0,206010.0,50.0,202086.0,,52000.0,32000.0,800.0,1800.0,1400.0,0.0,0.0,295565.0,650.0,10465.0,16525.0,50000.0,1000.0,1000.0,10000.0,500.0,
1973,7612.0,5600.0,50.0,8000.0,40000.0,21900.0,580.0,192482.0,80.0,199950.0,,52000.0,32000.0,760.0,1800.0,1400.0,,,248349.0,650.0,11550.0,17612.0,50000.0,1000.0,500.0,10000.0,500.0,
1974,7800.0,6200.0,70.0,8000.0,50000.0,23330.0,580.0,193944.0,150.0,198950.0,,53235.0,32000.0,50.0,1000.0,1400.0,,0.0,263704.0,650.0,10680.0,17800.0,50000.0,1000.0,500.0,10000.0,500.0,
1975,8400.0,6500.0,100.0,7000.0,30000.0,28255.0,580.0,162867.0,80.0,190750.0,,48100.0,22000.0,0.0,1000.0,1400.0,,0.0,326982.0,650.0,10838.0,18400.0,50000.0,1000.0,500.0,10000.0,500.0,
1976,7500.0,6500.0,140.0,6000.0,20000.0,22275.0,580.0,125600.0,110.0,190100.0,,40300.0,16000.0,0.0,1000.0,1500.0,,0.0,280715.0,650.0,12122.0,17500.0,50000.0,1000.0,500.0,10000.0,500.0,
1977,7169.0,6000.0,120.0,4000.0,14000.0,22275.0,580.0,111089.0,125.0,175276.0,,40850.0,16000.0,0.0,1000.0,1500.0,,0.0,295776.0,650.0,7112.0,17169.0,50000.0,1000.0,500.0,10000.0,500.0,
1978,7160.0,6000.0,100.0,4000.0,14000.0,22275.0,580.0,116626.0,50.0,165849.0,,44000.0,16000.0,0.0,1200.0,1600.0,,0.0,269636.0,650.0,5433.0,17160.0,46000.0,1000.0,500.0,10000.0,500.0,
1979,6396.0,5900.0,100.0,4000.0,9000.0,22275.0,580.0,98875.0,50.0,149719.0,,43500.0,16850.0,0.0,1200.0,1700.0,,0.0,287886.0,650.0,4919.0,16396.0,37000.0,1000.0,500.0,10000.0,500.0,
1980,5995.0,5900.0,130.0,5500.0,3500.0,11850.0,580.0,132890.0,310.0,146124.0,,47500.0,18350.0,0.0,1200.0,1700.0,,0.0,296081.0,650.0,4814.0,15995.0,40000.0,1000.0,500.0,10000.0,500.0,
1981,2605.0,4908.0,130.0,6000.0,3000.0,11850.0,580.0,121413.0,80.0,146531.0,,40000.0,18350.0,0.0,1200.0,1600.0,,,312546.0,650.0,4807.0,12605.0,30000.0,1000.0,500.0,10000.0,500.0,
1982,2547.0,4394.0,150.0,6000.0,4000.0,16400.0,580.0,100255.0,80.0,131173.0,,42000.0,18350.0,0.0,1200.0,1700.0,,,345279.0,650.0,4812.0,13547.0,18000.0,1000.0,500.0,11000.0,600.0,
1983,2436.0,4531.0,160.0,6000.0,2000.0,16500.0,580.0,101034.0,80.0,122347.0,,40000.0,18500.0,0.0,1200.0,1700.0,,,306661.0,650.0,4961.0,13436.0,14000.0,1000.0,500.0,11000.0,630.0,
1984,2376.0,4690.0,190.0,6000.0,700.0,16600.0,534.0,82920.0,80.0,109600.0,,40000.0,18000.0,0.0,1200.0,1700.0,,,320350.0,650.0,4084.0,14376.0,9000.0,1100.0,500.0,12000.0,640.0,
1985,2485.0,5034.0,210.0,6500.0,700.0,16700.0,530.0,74103.0,80.0,109000.0,,35000.0,18000.0,0.0,1200.0,1800.0,,,332605.0,650.0,4900.0,19485.0,7000.0,1100.0,500.0,17000.0,650.0,
1986,2556.0,5219.0,280.0,7500.0,700.0,17600.0,480.0,81212.0,80.0,117355.0,,37000.0,11000.0,0.0,1200.0,1800.0,,,322311.0,650.0,5203.0,19556.0,3500.0,1100.0,500.0,17000.0,650.0,
1987,834.0,4645.0,330.0,7500.0,700.0,17700.0,500.0,81212.0,100.0,81532.0,,35000.0,10000.0,0.0,1200.0,1800.0,,,296181.0,650.0,5288.0,12834.0,3500.0,1100.0,500.0,12000.0,660.0,
1988,721.0,4987.0,370.0,7500.0,700.0,16800.0,560.0,53798.0,100.0,55553.0,,35000.0,18000.0,0.0,1200.0,2000.0,,,273495.0,650.0,5812.0,12721.0,3500.0,1100.0,500.0,12000.0,680.0,
1989,453.0,3958.0,424.0,6000.0,700.0,18500.0,560.0,58660.0,100.0,56969.0,,35000.0,18000.0,0.0,1200.0,2100.0,,,270757.0,650.0,6310.0,14453.0,3500.0,1100.0,500.0,14000.0,700.0,
1990,300.0,5000.0,278.0,4000.0,775.0,27000.0,522.0,58450.0,106.0,55003.0,,33000.0,16765.0,0.0,1329.0,2200.0,0.0,0.0,249109.0,605.0,7006.0,13300.0,3876.0,1218.0,554.0,13000.0,719.0,
