,"China, Taiwan Province of",Cuba,Indonesia,South Africa,Angola,Madagascar,Dominican Republic,United Republic of Tanzania,Thailand,Mexico,Ethiopia,Kenya,Haiti,Democratic Republic of the Congo,Ethiopia PDR,Uganda,Comoros,Brazil,Jamaica,Venezuela (Bolivarian Republic of),China,Mozambique,Guinea,Morocco,"China, mainland",Central African Republic,Malawi
1961,12438.0,,26176.0,4667.0,11760.0,6667.0,4674.0,9576.0,,8948.0,,8413.0,5200.0,5000.0,6667.0,4700.0,6920.0,8335.0,2891.0,8015.0,11139.0,5140.0,1000.0,3000.0,10000.0,1000.0,3000.0
1962,10405.0,,16207.0,6000.0,14000.0,10435.0,4515.0,9886.0,,8832.0,,8514.0,5200.0,5000.0,6667.0,2590.0,7347.0,8325.0,2826.0,8037.0,10195.0,5113.0,1000.0,3000.0,10000.0,200.0,3000.0
1963,12413.0,,8036.0,6000.0,12600.0,10000.0,4390.0,9896.0,,9340.0,,8913.0,5400.0,5000.0,6875.0,4150.0,7356.0,7112.0,2826.0,11529.0,11213.0,5810.0,1000.0,3000.0,10000.0,400.0,3000.0
1964,13235.0,,8571.0,6000.0,13600.0,12156.0,4477.0,10305.0,,9233.0,,8641.0,5200.0,5000.0,7200.0,3850.0,6443.0,6163.0,2512.0,9679.0,11686.0,5700.0,1000.0,2538.0,10000.0,400.0,5000.0
1965,12981.0,,9200.0,6667.0,13918.0,12834.0,4453.0,10059.0,,7339.0,,8312.0,6023.0,5714.0,7000.0,3045.0,6467.0,5982.0,4714.0,12097.0,11548.0,5631.0,1000.0,2308.0,10000.0,400.0,4000.0
1966,11885.0,,14528.0,7667.0,13534.0,11562.0,4444.0,9682.0,,6945.0,,7871.0,5567.0,6250.0,7097.0,3634.0,4380.0,5938.0,4615.0,12100.0,11585.0,6082.0,1000.0,2308.0,11250.0,4000.0,3000.0
1967,11554.0,,14286.0,7200.0,11979.0,10544.0,4471.0,8936.0,,7108.0,,7722.0,5443.0,6250.0,6875.0,2472.0,5260.0,5968.0,4615.0,12267.0,12000.0,6246.0,1000.0,2308.0,12500.0,4000.0,3500.0
1968,10989.0,,20000.0,8000.0,13200.0,10916.0,4533.0,7773.0,,7386.0,,8998.0,5386.0,5000.0,7353.0,10000.0,3944.0,5806.0,4615.0,11918.0,11717.0,6450.0,1000.0,2308.0,12500.0,4000.0,3000.0
1969,11315.0,,22353.0,11429.0,13360.0,12228.0,4571.0,8149.0,,7294.0,,9577.0,5141.0,6250.0,5405.0,,2725.0,6613.0,4615.0,11839.0,11879.0,6040.0,1000.0,2308.0,12500.0,4000.0,3000.0
1970,10513.0,11091.0,23478.0,11429.0,12340.0,10789.0,4615.0,8075.0,6250.0,8162.0,,8448.0,5141.0,1875.0,6000.0,,2786.0,6613.0,4615.0,11890.0,12182.0,7074.0,1000.0,2308.0,13750.0,4000.0,3000.0
1971,10617.0,11455.0,17692.0,11429.0,13020.0,12000.0,4667.0,8564.0,6522.0,7885.0,,8620.0,5103.0,1250.0,6000.0,,1450.0,10187.0,4615.0,12570.0,12038.0,5182.0,1000.0,2308.0,13333.0,4000.0,3000.0
1972,11707.0,9800.0,20000.0,6250.0,13333.0,13470.0,4483.0,7614.0,6000.0,7331.0,,7925.0,5670.0,1625.0,5556.0,,,10014.0,4615.0,12716.0,11884.0,4400.0,1000.0,2857.0,12000.0,4000.0,3500.0
