,Kenya,Bolivia (Plurinational State of),"China, Hong Kong SAR",Serbia and Montenegro,Rwanda,Myanmar,Burkina Faso,Malaysia,Comoros,Melanesia,Tonga,Dominican Republic,Syrian Arab Republic,Samoa,Nepal,Ethiopia,Indonesia,Pakistan,Saint Vincent and the Grenadines,Greece,Zimbabwe,Bangladesh,Malawi,The former Yugoslav Republic of Macedonia,Cyprus,Papua New Guinea,Uzbekistan,Spain,Eritrea,Guyana,Bulgaria,Vanuatu,Yugoslav SFR,Iran (Islamic Republic of),Guatemala,Togo,Mauritius,Kuwait,Nigeria,Madagascar,Kyrgyzstan,Saint Lucia,Bhutan,"China, Macao SAR",Georgia,India,Zambia,Dominica,Austria,Niger,Morocco,Ethiopia PDR,Lebanon,Mexico,Grenada,Romania,Ecuador,Democratic Republic of the Congo,Sri Lanka,Azerbaijan,China,Tunisia,Côte d'Ivoire,Colombia,Albania,Jamaica,Solomon Islands,Occupied Palestinian Territory,Italy,Hungary,Polynesia,Sierra Leone,Argentina,Portugal,Thailand,Micronesia,Peru,"China, mainland",Wallis and Futuna Islands,Timor-Leste,Guam,Turkey
1961,1000.0,-1.0,600.0,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,55.0,100.0,521.0,5000.0,36.0,4600.0,-1.0,10000.0,3000.0,100.0,1000.0,200.0,116800.0,1000.0,-1.0,41.0,5.0,-1.0,300.0,-1.0,-1.0,-1.0,10.0,400.0,8000.0,25.0,-1.0,370.0,-1.0,1000.0,10.0,-1.0,40.0,1280.0,-1,-1.0,163000.0,-1.0,16.0,-1,500.0,330.0,-1.0,450.0,-1.0,7.0,-1.0,-1.0,-1.0,14000.0,-1.0,15600.0,10.0,100.0,-1.0,-1.0,428.0,40.0,-1.0,50.0,-1.0,140.0,650.0,-1.0,100.0,1900.0,-1.0,-1.0,15000.0,4.0,-1.0,-1.0,68000.0
1962,1000.0,-1.0,600.0,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,57.0,110.0,553.0,5000.0,37.0,4700.0,-1.0,10000.0,3000.0,110.0,1000.0,200.0,94500.0,1000.0,-1.0,45.0,5.0,-1.0,710.0,-1.0,-1.0,-1.0,10.0,400.0,8000.0,20.0,-1.0,804.0,-1.0,2000.0,10.0,-1.0,45.0,1300.0,-1,-1.0,161000.0,-1.0,10.0,-1,500.0,370.0,-1.0,450.0,-1.0,7.0,-1.0,-1.0,-1.0,14000.0,-1.0,15600.0,10.0,100.0,-1.0,-1.0,308.0,42.0,-1.0,50.0,-1.0,151.0,410.0,-1.0,100.0,2000.0,-1.0,-1.0,15000.0,4.0,-1.0,-1.0,68913.0
1963,1000.0,-1.0,600.0,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,64.0,120.0,538.0,5000.0,37.0,4800.0,-1.0,11000.0,3000.0,120.0,1000.0,200.0,81300.0,1000.0,-1.0,51.0,10.0,-1.0,700.0,-1.0,-1.0,-1.0,11.0,900.0,8000.0,30.0,-1.0,738.0,-1.0,3000.0,10.0,-1.0,45.0,1330.0,-1,-1.0,174000.0,-1.0,10.0,-1,500.0,300.0,-1.0,350.0,-1.0,12.0,-1.0,-1.0,-1.0,14000.0,-1.0,15600.0,5.0,100.0,-1.0,-1.0,347.0,43.0,-1.0,50.0,-1.0,161.0,640.0,-1.0,100.0,1900.0,-1.0,-1.0,15000.0,4.0,-1.0,-1.0,127322.0
1964,1000.0,-1.0,600.0,-1.0,-1.0,-1.0,4100.0,-1.0,-1.0,65.0,130.0,560.0,5700.0,38.0,4900.0,-1.0,14000.0,3000.0,130.0,1000.0,200.0,77200.0,1000.0,-1.0,30.0,10.0,-1.0,910.0,-1.0,-1.0,-1.0,11.0,400.0,8000.0,40.0,-1.0,469.0,-1.0,3000.0,10.0,-1.0,50.0,1350.0,-1,-1.0,206000.0,-1.0,10.0,-1,500.0,300.0,-1.0,350.0,-1.0,12.0,-1.0,-1.0,-1.0,14000.0,-1.0,16600.0,10.0,100.0,-1.0,-1.0,179.0,44.0,-1.0,50.0,-1.0,172.0,750.0,-1.0,100.0,1900.0,-1.0,-1.0,16000.0,4.0,-1.0,-1.0,60921.0
1965,1000.0,-1.0,635.0,-1.0,-1.0,-1.0,4100.0,-1.0,-1.0,67.0,140.0,576.0,3800.0,38.0,5000.0,-1.0,15000.0,3000.0,140.0,1000.0,200.0,41700.0,1000.0,-1.0,20.0,10.0,-1.0,930.0,-1.0,-1.0,-1.0,12.0,300.0,8000.0,50.0,-1.0,403.0,-1.0,2000.0,10.0,-1.0,50.0,1380.0,-1,-1.0,190000.0,-1.0,10.0,-1,500.0,300.0,-1.0,300.0,-1.0,12.0,-1.0,-1.0,-1.0,14000.0,-1.0,16635.0,7.0,100.0,-1.0,-1.0,391.0,45.0,-1.0,-1.0,-1.0,182.0,860.0,-1.0,100.0,1900.0,-1.0,-1.0,16000.0,4.0,-1.0,-1.0,41736.0
1966,1000.0,-1.0,363.0,-1.0,-1.0,-1.0,4200.0,-1.0,-1.0,73.0,150.0,592.0,900.0,38.0,5050.0,-1.0,17000.0,1235.0,150.0,900.0,200.0,39600.0,1000.0,-1.0,51.0,15.0,-1.0,930.0,-1.0,-1.0,-1.0,12.0,500.0,8000.0,5.0,-1.0,762.0,-1.0,4000.0,10.0,-1.0,55.0,1400.0,-1,-1.0,175000.0,-1.0,10.0,-1,500.0,500.0,-1.0,300.0,-1.0,10.0,-1.0,-1.0,-1.0,14000.0,-1.0,17363.0,7.0,120.0,-1.0,-1.0,119.0,46.0,-1.0,-1.0,-1.0,192.0,500.0,-1.0,100.0,2500.0,-1.0,-1.0,17000.0,4.0,5.0,-1.0,30905.0
1967,1000.0,-1.0,527.0,-1.0,-1.0,-1.0,4300.0,-1.0,-1.0,75.0,160.0,608.0,600.0,39.0,5100.0,-1.0,18000.0,1822.0,160.0,900.0,200.0,41700.0,1000.0,-1.0,112.0,15.0,-1.0,960.0,-1.0,-1.0,-1.0,13.0,500.0,8000.0,10.0,-1.0,970.0,-1.0,2000.0,10.0,-1.0,55.0,1430.0,-1,-1.0,175000.0,-1.0,10.0,-1,500.0,500.0,-1.0,300.0,-1.0,10.0,-1.0,-1.0,-1.0,14000.0,-1.0,18527.0,7.0,130.0,-1.0,-1.0,133.0,47.0,-1.0,-1.0,-1.0,203.0,980.0,-1.0,100.0,2500.0,-1.0,-1.0,18000.0,4.0,5.0,-1.0,25672.0
1968,1000.0,-1.0,436.0,-1.0,-1.0,-1.0,4400.0,-1.0,-1.0,76.0,170.0,624.0,800.0,40.0,5200.0,-1.0,20000.0,2759.0,180.0,900.0,200.0,30500.0,1000.0,-1.0,20.0,15.0,-1.0,970.0,-1.0,-1.0,-1.0,13.0,500.0,8000.0,10.0,-1.0,882.0,-1.0,3000.0,10.0,-1.0,50.0,1450.0,-1,-1.0,172000.0,-1.0,10.0,-1,500.0,700.0,800.0,300.0,-1.0,10.0,-1.0,-1.0,-1.0,14000.0,-1.0,18436.0,12.0,130.0,-1.0,-1.0,225.0,48.0,-1.0,-1.0,-1.0,214.0,1600.0,220.0,100.0,2500.0,-1.0,-1.0,18000.0,4.0,7.0,-1.0,28000.0
1969,1000.0,-1.0,557.0,-1.0,-1.0,-1.0,4500.0,-1.0,-1.0,84.0,175.0,640.0,489.0,40.0,5300.0,-1.0,20000.0,2682.0,200.0,800.0,200.0,52848.0,1000.0,-1.0,20.0,20.0,-1.0,950.0,-1.0,-1.0,-1.0,14.0,500.0,8000.0,15.0,-1.0,1152.0,-1.0,4000.0,10.0,-1.0,55.0,1480.0,-1,-1.0,204000.0,-1.0,10.0,-1,900.0,700.0,350.0,300.0,-1.0,11.0,-1.0,-1.0,-1.0,14000.0,-1.0,18557.0,7.0,130.0,-1.0,-1.0,273.0,50.0,-1.0,-1.0,-1.0,219.0,950.0,286.0,100.0,2500.0,-1.0,-1.0,18000.0,4.0,10.0,-1.0,20839.0
1970,1000.0,-1.0,600.0,-1.0,42.0,-1.0,4600.0,-1.0,-1.0,98.0,180.0,655.0,533.0,40.0,5400.0,-1.0,25000.0,2945.0,200.0,700.0,200.0,51078.0,1000.0,-1.0,20.0,30.0,-1.0,970.0,-1.0,-1.0,-1.0,14.0,500.0,8000.0,20.0,-1.0,760.0,-1.0,4500.0,10.0,-1.0,50.0,1500.0,-1,-1.0,251700.0,-1.0,10.0,-1,900.0,700.0,-1.0,200.0,-1.0,26.0,-1.0,-1.0,-1.0,14000.0,-1.0,18600.0,15.0,120.0,-1.0,-1.0,177.0,54.0,-1.0,-1.0,-1.0,224.0,650.0,303.0,100.0,2500.0,-1.0,-1.0,18000.0,4.0,10.0,-1.0,29891.0
