,Luxembourg,Kenya,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Belarus,Croatia,Serbia,Norway,Israel,Malta,Tunisia,Philippines,Brazil,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,South Africa,Zimbabwe,Réunion,Republic of Korea,Venezuela (Bolivarian Republic of),Austria,Netherlands,Greece,Morocco,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Guatemala,Algeria,Slovenia,Kuwait,Republic of Moldova,Kyrgyzstan,Ukraine,Argentina,Yugoslav SFR,Costa Rica,Georgia,Germany,Paraguay,Belgium,Czechoslovakia,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Jordan,Bosnia and Herzegovina,China,Ireland,Uzbekistan,Colombia,Latvia,Cyprus,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Chile,Hungary,Saint Pierre and Miquelon,Kazakhstan,Estonia,Australia,France,Egypt,Lithuania,Finland,"China, mainland",Russian Federation,Turkey,New Zealand,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,135.0,-1.0,-1.0,-1.0,-1.0,800.0,100.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,5282.0,-1.0,8400.0,200.0,-1.0,-1.0,50.0,38.0,460.0,-1.0,400.0,-1.0,6514.0,421.0,35770.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,5284.0,9000.0,-1.0,-1.0,2700.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,20.0,400.0,-1.0,55.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,341.0,1500.0,-1.0,-1.0,175.0,-1.0,-1.0,1400.0,80.0,7231.0,400.0
1962,-1.0,-1.0,-1.0,135.0,-1.0,-1.0,-1.0,-1.0,900.0,100.0,-1.0,-1.0,-1.0,-1.0,6250.0,-1.0,5470.0,-1.0,8400.0,200.0,-1.0,-1.0,50.0,41.0,460.0,-1.0,400.0,-1.0,6644.0,468.0,35580.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,6559.0,9000.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,20.0,380.0,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,341.0,1200.0,-1.0,-1.0,175.0,-1.0,-1.0,1400.0,127.0,8019.0,400.0
1963,-1.0,-1.0,-1.0,135.0,-1.0,-1.0,-1.0,-1.0,900.0,100.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,5380.0,-1.0,8400.0,250.0,-1.0,-1.0,120.0,44.0,550.0,-1.0,400.0,-1.0,5575.0,562.0,32400.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,6280.0,10000.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,20.0,400.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,402.0,1400.0,-1.0,-1.0,178.0,-1.0,-1.0,1450.0,160.0,8540.0,400.0
1964,-1.0,-1.0,-1.0,135.0,-1.0,-1.0,-1.0,-1.0,900.0,100.0,-1.0,-1.0,-1.0,-1.0,6250.0,-1.0,6280.0,-1.0,9300.0,250.0,-1.0,-1.0,120.0,48.0,600.0,-1.0,400.0,-1.0,4262.0,577.0,30330.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,900.0,5215.0,10000.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,25.0,400.0,-1.0,110.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,391.0,1300.0,-1.0,-1.0,173.0,-1.0,-1.0,1450.0,186.0,9181.0,500.0
1965,-1.0,-1.0,-1.0,135.0,-1.0,-1.0,-1.0,-1.0,1000.0,100.0,-1.0,-1.0,-1.0,-1.0,6100.0,-1.0,3900.0,-1.0,9600.0,250.0,-1.0,-1.0,250.0,52.0,600.0,-1.0,400.0,-1.0,2866.0,590.0,32050.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26371.0,-1.0,900.0,6395.0,10000.0,-1.0,-1.0,2100.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,30.0,400.0,-1.0,110.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,390.0,1400.0,-1.0,-1.0,170.0,-1.0,-1.0,1450.0,200.0,9525.0,500.0
1966,-1.0,-1.0,-1.0,175.0,-1.0,-1.0,-1.0,-1.0,1013.0,100.0,-1.0,-1.0,-1.0,-1.0,6250.0,-1.0,7200.0,-1.0,10400.0,250.0,-1.0,-1.0,250.0,56.0,600.0,-1.0,600.0,-1.0,2754.0,568.0,32010.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29819.0,-1.0,900.0,8832.0,15000.0,-1.0,-1.0,2300.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,30.0,400.0,-1.0,110.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,376.0,1400.0,-1.0,-1.0,158.0,-1.0,-1.0,1500.0,192.0,10377.0,500.0
1967,-1.0,-1.0,-1.0,165.0,-1.0,-1.0,-1.0,-1.0,1166.0,100.0,-1.0,-1.0,-1.0,-1.0,6500.0,-1.0,7680.0,-1.0,11500.0,200.0,-1.0,-1.0,500.0,61.0,640.0,-1.0,600.0,-1.0,3500.0,565.0,27120.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30006.0,-1.0,986.0,8302.0,17000.0,-1.0,-1.0,2800.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,30.0,400.0,-1.0,96.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,373.0,1400.0,-1.0,-1.0,171.0,-1.0,-1.0,1600.0,192.0,11283.0,500.0
1968,-1.0,-1.0,-1.0,275.0,-1.0,-1.0,-1.0,-1.0,1354.0,200.0,-1.0,-1.0,-1.0,-1.0,6300.0,-1.0,7720.0,-1.0,11600.0,200.0,-1.0,-1.0,450.0,66.0,640.0,-1.0,600.0,-1.0,5989.0,580.0,25330.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30221.0,-1.0,500.0,6989.0,17000.0,-1.0,-1.0,3400.0,6.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,30.0,400.0,-1.0,101.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,391.0,1500.0,-1.0,-1.0,275.0,-1.0,-1.0,2000.0,189.0,10976.0,500.0
1969,-1.0,-1.0,-1.0,200.0,-1.0,-1.0,-1.0,-1.0,1556.0,200.0,-1.0,-1.0,-1.0,-1.0,6500.0,-1.0,6300.0,-1.0,12500.0,250.0,-1.0,-1.0,600.0,72.0,700.0,-1.0,600.0,-1.0,7017.0,640.0,23100.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23622.0,-1.0,400.0,6576.0,17000.0,-1.0,-1.0,3200.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,40.0,480.0,-1.0,104.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,432.0,1600.0,-1.0,-1.0,360.0,-1.0,-1.0,2060.0,208.0,10893.0,500.0
1970,-1.0,-1.0,-1.0,395.0,-1.0,-1.0,-1.0,-1.0,1612.0,140.0,-1.0,-1.0,-1.0,-1.0,6250.0,-1.0,7540.0,-1.0,12800.0,250.0,-1.0,-1.0,600.0,78.0,700.0,-1.0,600.0,-1.0,6727.0,681.0,20400.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23162.0,-1.0,270.0,7873.0,18000.0,-1.0,-1.0,3700.0,-1.0,-1.0,-1.0,500.0,-1.0,-1.0,-1.0,40.0,550.0,-1.0,93.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,433.0,8100.0,-1.0,-1.0,343.0,-1.0,-1.0,2100.0,248.0,11042.0,500.0
