,"China, Taiwan Province of",Uzbekistan,Romania,Israel,Norway,Australia,Venezuela (Bolivarian Republic of),Mexico,The former Yugoslav Republic of Macedonia,Slovakia,Philippines,Belgium,Kenya,Luxembourg,Czechia,Costa Rica,Republic of Moldova,Italy,Serbia,USSR,Germany,South Africa,Slovenia,Ukraine,Brazil,Finland,Paraguay,Australia & New Zealand,Morocco,Lithuania,Jordan,Chile,Malta,Argentina,Belgium-Luxembourg,Spain,Kyrgyzstan,New Zealand,Cyprus,Austria,Ecuador,Réunion,Japan,Poland,Canada,Sweden,Belarus,Denmark,Colombia,Estonia,Georgia,Greece,Czechoslovakia,France,Republic of Korea,Egypt,Tunisia,Serbia and Montenegro,Zimbabwe,Croatia,Hungary,Lebanon,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,United States of America,Turkey,Latvia,China,Kuwait,"China, mainland",United Kingdom,Ireland,Algeria,Saint Pierre and Miquelon,Peru,Switzerland,Bosnia and Herzegovina,Bulgaria,Netherlands,Guatemala
1961,,,18700.0,800.0,4056.0,1450.0,120.0,24936.0,,,-1.0,,-1.0,,,-1.0,,46321.0,,28000.0,27146.0,590.0,,,50.0,3100.0,350.0,2150.0,,,,,-1.0,1850.0,22225.0,8762.0,,700.0,200.0,5000.0,,,60000.0,26300.0,13658.0,-1.0,,6100.0,-1.0,,,2878.0,16000.0,56040.0,400.0,,,,-1.0,,9100.0,220.0,,660.0,,8900.0,-1.0,,,230110.0,6400.0,,-1.0,-1.0,-1.0,35054.0,3000.0,,-1.0,1000.0,2500.0,,52229.0,29611.0,
1962,,,13600.0,900.0,4235.0,1450.0,142.0,34324.0,,,-1.0,,-1.0,,,-1.0,,51815.0,,30000.0,22700.0,633.0,,,50.0,3100.0,350.0,2671.0,,,,,-1.0,1900.0,17200.0,5911.0,,1221.0,200.0,5000.0,,,60000.0,40400.0,14159.0,-1.0,,8900.0,-1.0,,,3095.0,13000.0,42520.0,400.0,,,,-1.0,,5100.0,240.0,,630.0,,4510.0,-1.0,,,236031.0,6400.0,,-1.0,-1.0,-1.0,37187.0,3000.0,,-1.0,1000.0,2500.0,,30714.0,32750.0,
1963,,,20000.0,1000.0,5356.0,1827.0,169.0,33133.0,,,-1.0,,-1.0,,,-1.0,,44500.0,,37000.0,34347.0,1059.0,,,100.0,3500.0,360.0,3557.0,,,,,-1.0,1880.0,13700.0,5740.0,,1730.0,200.0,6000.0,,,59900.0,59600.0,13943.0,-1.0,,9065.0,-1.0,,,3834.0,23000.0,54930.0,1000.0,,,,-1.0,,5500.0,400.0,,770.0,,5700.0,-1.0,,,231332.0,6500.0,,-1.0,-1.0,-1.0,34952.0,3000.0,,-1.0,1000.0,2500.0,,33658.0,22953.0,
1964,,,12500.0,1100.0,4690.0,1798.0,200.0,71684.0,,,-1.0,,-1.0,,,-1.0,,63022.0,,41000.0,41536.0,754.0,,,100.0,3500.0,360.0,4638.0,,,,,-1.0,2100.0,27180.0,6504.0,,2840.0,250.0,6000.0,,,75300.0,67000.0,16259.0,-1.0,,11346.0,-1.0,,,5048.0,22000.0,56490.0,1000.0,,,,-1.0,,6500.0,450.0,,1030.0,,4780.0,-1.0,,,249476.0,6500.0,,-1.0,-1.0,-1.0,40236.0,3000.0,,-1.0,1000.0,2500.0,,18944.0,36815.0,
1965,,,21800.0,1250.0,6415.0,2023.0,237.0,87504.0,,,-1.0,,-1.0,,,-1.0,,57168.0,,44000.0,47431.0,945.0,,,130.0,3200.0,370.0,5023.0,,,,,-1.0,1700.0,27240.0,6035.0,,3000.0,300.0,6500.0,,,75500.0,141700.0,10117.0,-1.0,,10774.0,-1.0,,,5390.0,18000.0,59470.0,2000.0,,,,-1.0,,10962.0,450.0,,1000.0,,9900.0,-1.0,,,195952.0,6500.0,,-1.0,-1.0,-1.0,34139.0,3000.0,,-1.0,1000.0,2500.0,,17034.0,34097.0,
1966,,,27700.0,1500.0,6395.0,1815.0,281.0,143671.0,,,-1.0,,-1.0,,,-1.0,,69022.0,,64000.0,51080.0,893.0,,,150.0,2200.0,370.0,4853.0,,,,,-1.0,1450.0,31200.0,7000.0,,3038.0,300.0,6500.0,,,96800.0,128100.0,18680.0,-1.0,,9575.0,-1.0,,,5143.0,21000.0,60000.0,2000.0,,,,-1.0,,16655.0,454.0,,1100.0,,17150.0,-1.0,,,210467.0,6700.0,,-1.0,-1.0,-1.0,39220.0,3000.0,,-1.0,1308.0,2500.0,,16670.0,28432.0,
1967,,,24200.0,1900.0,9720.0,2269.0,333.0,127820.0,,,-1.0,,-1.0,,,-1.0,,72258.0,,88000.0,54171.0,697.0,,,200.0,4400.0,380.0,5629.0,,,,,-1.0,823.0,31200.0,8370.0,,3360.0,300.0,7000.0,,,102900.0,119700.0,19904.0,-1.0,,13859.0,-1.0,,,5370.0,20000.0,59950.0,4000.0,,,,-1.0,,23378.0,445.0,,1200.0,,15980.0,-1.0,,,215003.0,7000.0,,-1.0,-1.0,-1.0,47754.0,3000.0,1.0,-1.0,1133.0,2674.0,,27383.0,36262.0,
1968,,,21200.0,2350.0,11690.0,2533.0,396.0,115187.0,,,-1.0,,-1.0,,,-1.0,,69726.0,,102000.0,48458.0,787.0,,,300.0,3600.0,400.0,6146.0,,,26.0,,-1.0,1850.0,20200.0,9007.0,,3613.0,325.0,7016.0,,,115600.0,107300.0,19985.0,-1.0,,15121.0,-1.0,,,4978.0,15000.0,57440.0,3500.0,,,,-1.0,,18771.0,453.0,,1350.0,,16450.0,-1.0,,,238589.0,8000.0,,-1.0,-1.0,-1.0,44909.0,3000.0,1.0,-1.0,1178.0,3500.0,,29225.0,27247.0,
1969,,,33400.0,2100.0,10762.0,3452.0,470.0,104194.0,,,-1.0,,-1.0,,,-1.0,,81441.0,,84000.0,44009.0,853.0,,,600.0,2800.0,410.0,7486.0,50.0,,,,-1.0,1430.0,33800.0,9184.0,,4034.0,508.0,7694.0,,,128400.0,59900.0,16305.0,-1.0,,13166.0,-1.0,,,5360.0,10000.0,65520.0,5000.0,,,,-1.0,,21439.0,434.0,,1570.0,,15572.0,-1.0,,,220445.0,9700.0,,-1.0,-1.0,-1.0,53952.0,3000.0,3.0,-1.0,927.0,3500.0,,33733.0,33261.0,
1970,,,31500.0,3100.0,12690.0,3824.0,520.0,126926.0,,,-1.0,,-1.0,,,-1.0,,93601.0,,124900.0,43069.0,939.0,,,600.0,3000.0,436.0,8404.0,50.0,,,,-1.0,2100.0,35000.0,10500.0,,4580.0,356.0,7563.0,,,133000.0,93800.0,19532.0,-1.0,,10692.0,-1.0,,,5532.0,10000.0,64930.0,5000.0,,,,-1.0,,21489.0,426.0,,1490.0,,11343.0,-1.0,,,224982.0,9700.0,,-1.0,-1.0,-1.0,44909.0,3000.0,3.0,-1.0,2504.0,3300.0,,31488.0,30373.0,
