,"China, Taiwan Province of",Jamaica,Japan,Poland,Jordan,Philippines,Iraq,Egypt,Mexico,France,Romania,Barbados,Turkey,Peru,China,United States of America,Morocco,French Polynesia,Argentina,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Polynesia
1961,2552.0,45.0,9900.0,-1.0,-1.0,-1.0,,-1.0,-1.0,29432.0,-1.0,,3000.0,650.0,2552.0,124289.0,-1.0,9.0,3980.0,340.0,-1.0,9.0
1962,2558.0,50.0,10300.0,-1.0,-1.0,-1.0,,-1.0,-1.0,28722.0,-1.0,,3000.0,650.0,2558.0,118863.0,-1.0,9.0,3975.0,360.0,-1.0,9.0
1963,2708.0,55.0,10800.0,-1.0,-1.0,-1.0,,-1.0,-1.0,30122.0,-1.0,,3500.0,650.0,2708.0,121716.0,-1.0,9.0,3420.0,400.0,-1.0,9.0
1964,2862.0,60.0,11500.0,-1.0,-1.0,-1.0,,-1.0,-1.0,30400.0,-1.0,,3500.0,650.0,2862.0,129243.0,-1.0,9.0,3713.0,420.0,-1.0,9.0
1965,2949.0,65.0,11600.0,-1.0,-1.0,-1.0,,-1.0,-1.0,28840.0,-1.0,,3500.0,885.0,2949.0,132569.0,-1.0,9.0,3305.0,440.0,-1.0,9.0
1966,2965.0,69.0,12200.0,-1.0,-1.0,-1.0,,-1.0,-1.0,31670.0,-1.0,,4000.0,585.0,2965.0,138862.0,-1.0,9.0,3304.0,460.0,-1.0,9.0
1967,3059.0,90.0,12100.0,-1.0,-1.0,-1.0,,-1.0,-1.0,31303.0,-1.0,,4000.0,770.0,3059.0,150622.0,-1.0,9.0,3792.0,480.0,-1.0,9.0
1968,2891.0,134.0,11750.0,-1.0,-1.0,-1.0,,-1.0,-1.0,30921.0,-1.0,,4500.0,660.0,2891.0,145122.0,-1.0,9.0,3765.0,523.0,-1.0,9.0
1969,4244.0,60.0,11700.0,-1.0,-1.0,-1.0,,-1.0,-1.0,30649.0,-1.0,,6000.0,615.0,4244.0,137231.0,-1.0,9.0,3346.0,507.0,-1.0,9.0
1970,3082.0,117.0,12300.0,-1.0,-1.0,-1.0,,-1.0,-1.0,35000.0,-1.0,,8000.0,950.0,3082.0,126713.0,-1.0,9.0,3153.0,532.0,-1.0,9.0
