,"China, Taiwan Province of",Jamaica,Japan,Poland,Guam,Jordan,Philippines,Iraq,Egypt,Mexico,France,Romania,Micronesia,Barbados,Turkey,Peru,China,United States of America,Morocco,French Polynesia,Argentina,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Polynesia
1961,16518.0,50.0,63250.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,172420.0,-1.0,,,15000.0,1500.0,16518.0,637521.0,-1.0,80.0,25500.0,1700.0,-1.0,80.0
1962,16867.0,80.0,66600.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,168980.0,-1.0,,,15000.0,1500.0,16867.0,595736.0,-1.0,80.0,27100.0,1800.0,-1.0,80.0
1963,18372.0,100.0,72400.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,190480.0,-1.0,,,18000.0,1500.0,18372.0,616637.0,-1.0,81.0,23200.0,2000.0,-1.0,81.0
1964,20461.0,120.0,77150.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,194230.0,-1.0,,,18000.0,1500.0,20461.0,607929.0,-1.0,81.0,25900.0,2100.0,-1.0,81.0
1965,21513.0,150.0,76100.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,184840.0,-1.0,,,18000.0,1682.0,21513.0,666668.0,-1.0,82.0,23400.0,2200.0,-1.0,82.0
1966,20943.0,154.0,84100.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,214940.0,-1.0,,,20000.0,1851.0,20943.0,638264.0,-1.0,83.0,24300.0,2335.0,-1.0,83.0
1967,21985.0,340.0,81700.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,203990.0,-1.0,,,20000.0,2513.0,21985.0,749911.0,-1.0,84.0,27000.0,2471.0,-1.0,84.0
1968,21465.0,400.0,83400.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,200020.0,-1.0,,,20354.0,2249.0,21465.0,724292.0,-1.0,85.0,30900.0,2615.0,-1.0,85.0
1969,36134.0,203.0,82400.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,202780.0,-1.0,,,38619.0,2326.0,36134.0,664917.0,-1.0,85.0,23700.0,2529.0,-1.0,85.0
1970,26115.0,384.0,84900.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,213070.0,-1.0,,,50000.0,3608.0,26115.0,658749.0,-1.0,86.0,23100.0,2709.0,-1.0,86.0
1971,26321.0,599.0,92200.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,233360.0,-1.0,,,50000.0,3975.0,26321.0,681700.0,-1.0,87.0,29400.0,3100.0,-1.0,87.0
1972,27814.0,635.0,95600.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,185030.0,-1.0,,,58000.0,5517.0,27814.0,698755.0,-1.0,88.0,36300.0,3193.0,-1.0,88.0
1973,35002.0,579.0,91500.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,194900.0,-1.0,,,60000.0,4877.0,35002.0,810384.0,-1.0,89.0,40400.0,3453.0,-1.0,89.0
1974,45151.0,454.0,88200.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,225530.0,-1.0,,,60000.0,7357.0,45151.0,811336.0,-1.0,90.0,39131.0,3746.0,-1.0,90.0
1975,40658.0,784.0,87600.0,-1.0,,-1.0,-1.0,,-1.0,-1.0,213204.0,-1.0,,,50000.0,9763.0,40658.0,748378.0,-1.0,95.0,27890.0,3885.0,-1.0,95.0
1976,44261.0,875.0,87500.0,-1.0,25.0,-1.0,-1.0,,-1.0,-1.0,144335.0,-1.0,25.0,,55000.0,7950.0,44261.0,677935.0,-1.0,116.0,28331.0,2543.0,-1.0,116.0
1977,43886.0,787.0,94700.0,-1.0,43.0,-1.0,-1.0,,-1.0,-1.0,238168.0,-1.0,43.0,,40000.0,8479.0,43886.0,743570.0,-1.0,94.0,24900.0,2570.0,-1.0,94.0
1978,49016.0,806.0,93000.0,-1.0,90.0,-1.0,-1.0,35800.0,-1.0,-1.0,258030.0,-1.0,90.0,,50000.0,7683.0,49016.0,782579.0,-1.0,125.0,23600.0,3507.0,-1.0,125.0
1979,50345.0,568.0,97400.0,-1.0,134.0,-1.0,-1.0,49100.0,-1.0,-1.0,223000.0,-1.0,134.0,,56000.0,7838.0,50345.0,830550.0,-1.0,162.0,31200.0,3786.0,-1.0,162.0
1980,52204.0,672.0,94200.0,-1.0,41.0,-1.0,-1.0,71900.0,-1.0,45494.0,165000.0,-1.0,41.0,,65000.0,8506.0,52204.0,775902.0,-1.0,141.0,33400.0,3696.0,-1.0,141.0
1981,54346.0,814.0,96300.0,-1.0,70.0,-1.0,-1.0,77300.0,-1.0,29323.0,210700.0,-1.0,70.0,510.0,70000.0,8094.0,54346.0,741438.0,-1.0,177.0,38600.0,3797.0,-1.0,177.0
1982,58502.0,764.0,96000.0,-1.0,53.0,-1.0,-1.0,86500.0,-1.0,34027.0,242900.0,-1.0,53.0,509.0,65000.0,8390.0,58502.0,584097.0,-1.0,173.0,33200.0,3899.0,-1.0,173.0
1983,56533.0,1105.0,98400.0,-1.0,58.0,-1.0,-1.0,77800.0,-1.0,32978.0,168200.0,-1.0,58.0,533.0,65000.0,8629.0,56533.0,532887.0,-1.0,138.0,33900.0,4660.0,-1.0,138.0
1984,54934.0,1367.0,99100.0,-1.0,70.0,-1.0,-1.0,79600.0,-1.0,42654.0,183900.0,-1.0,70.0,384.0,55000.0,11206.0,54934.0,604282.0,-1.0,188.0,32700.0,4736.0,-1.0,188.0
1985,62334.0,1581.0,93900.0,-1.0,93.0,-1.0,-1.0,78000.0,-1.0,26657.0,231000.0,-1.0,93.0,340.0,50000.0,8028.0,62334.0,637285.0,-1.0,144.0,35000.0,4635.0,-1.0,144.0
1986,62775.0,1801.0,99300.0,-1.0,84.0,-1.0,-1.0,84300.0,-1.0,35802.0,236500.0,-1.0,84.0,409.0,35000.0,8856.0,62775.0,552840.0,-1.0,120.0,36000.0,4181.0,-1.0,120.0
1987,61269.0,1792.0,99000.0,-1.0,70.0,-1.0,-1.0,76000.0,-1.0,42685.0,232600.0,-1.0,70.0,546.0,35000.0,8413.0,61269.0,622170.0,-1.0,92.0,37000.0,4524.0,-1.0,92.0
