,Bangladesh,Indonesia,Myanmar
1961,369565.0,25000.0,35385.0
1962,368421.0,25000.0,35538.0
1963,371134.0,25000.0,35769.0
1964,370000.0,25000.0,34783.0
1965,371429.0,25000.0,35000.0
1966,371681.0,25000.0,34000.0
1967,362903.0,25000.0,36567.0
1968,362319.0,25000.0,39308.0
1969,367470.0,25000.0,41923.0
1970,569343.0,25000.0,44014.0
1971,548875.0,25000.0,44507.0
1972,455925.0,25000.0,43904.0
1973,426790.0,25000.0,44648.0
1974,426484.0,25000.0,45282.0
1975,395020.0,25000.0,50986.0
1976,381641.0,25000.0,52606.0
1977,364507.0,25000.0,50775.0
1978,368321.0,25000.0,51056.0
1979,361925.0,25000.0,51408.0
1980,357156.0,25000.0,51761.0
1981,351666.0,25000.0,52113.0
1982,344470.0,25000.0,52676.0
1983,311106.0,25000.0,54507.0
1984,316253.0,25000.0,69296.0
1985,289618.0,25000.0,81986.0
1986,279337.0,25000.0,112671.0
1987,269547.0,25000.0,139937.0
1988,244208.0,25000.0,163425.0
1989,227368.0,25000.0,130506.0
1990,226991.0,25000.0,126646.0
1991,224765.0,25000.0,127654.0
1992,222020.0,25000.0,128148.0
1993,222931.0,24907.0,118704.0
1994,221818.0,25046.0,119753.0
1995,213452.0,25000.0,129213.0
1996,216198.0,22937.0,124138.0
1997,211513.0,24160.0,140647.0
1998,216198.0,26991.0,143471.0
1999,210380.0,27333.0,131683.0
2000,185033.0,27333.0,119178.0
2001,185357.0,27333.0,113580.0
2002,171605.0,27333.0,115923.0
2003,179605.0,27333.0,145290.0
2004,186504.0,27333.0,133764.0
2005,187799.0,27333.0,137159.0
2006,191756.0,27333.0,139299.0
2007,157536.0,27333.0,132691.0
2008,170370.0,27333.0,136679.0
2009,183377.0,27143.0,146605.0
2010,262480.0,26866.0,144493.0
2011,230657.0,27027.0,140107.0
2012,204698.0,26667.0,141407.0
2013,242149.0,27848.0,142465.0
2014,213652.0,28093.0,143522.0
