,Ukraine,Kenya,Bolivia (Plurinational State of),"China, Taiwan Province of",Belarus,Croatia,Myanmar,Serbia,Botswana,Serbia and Montenegro,Armenia,China,South Sudan,Brazil,United Republic of Tanzania,Thailand,Yugoslav SFR,Canada,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Zimbabwe,Iraq,Malawi,Venezuela (Bolivarian Republic of),South Africa,Spain,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Mozambique,Sudan,Algeria,Pakistan,Morocco,Sudan (former),Tajikistan,Kyrgyzstan,Namibia,Argentina,Uganda,Paraguay,Georgia,India,Zambia,Slovenia,Austria,Uruguay,Czechoslovakia,Syrian Arab Republic,Switzerland,Mexico,USSR,Romania,Ecuador,Jordan,Bosnia and Herzegovina,Germany,Tunisia,Uzbekistan,Colombia,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Azerbaijan,Hungary,Kazakhstan,Chile,Israel,Australia,France,Egypt,Republic of Moldova,Poland,"China, mainland",Russian Federation,Angola,Italy,Turkey
1961,-1.0,5300.0,-1.0,-1.0,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,-1,49000.0,-1.0,-1.0,34000.0,-1.0,85800.0,13719.0,-1.0,6994.0,8300.0,1849.0,1000.0,300.0,-1.0,191000.0,3300.0,232000.0,2755.0,17000.0,330.0,4000.0,-1.0,50.0,300.0,3000.0,-1.0,-1.0,-1.0,-1.0,898000.0,2800.0,-1.0,-1.0,-1.0,1600.0,-1.0,510.0,143840.0,2060.0,100.0,-1.0,-1.0,4217000.0,439500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,250.0,-1.0,-1.0,-1.0,128244.0,-1.0,31000.0,5015.0,2755.0,7144.0,-1.0,-1.0,-1.0,49000.0,-1.0,5000.0,3170.0,117600.0
1962,-1.0,5180.0,-1.0,-1.0,-1.0,-1.0,315.0,-1.0,-1.0,-1.0,-1,53000.0,-1.0,-1.0,31000.0,-1.0,97400.0,9308.0,-1.0,4806.0,8300.0,1955.0,1000.0,400.0,-1.0,155000.0,3675.0,272000.0,1812.0,15378.0,550.0,2638.0,-1.0,70.0,300.0,3300.0,-1.0,-1.0,-1.0,-1.0,1197000.0,2800.0,-1.0,-1.0,-1.0,1600.0,-1.0,510.0,136650.0,3355.0,120.0,-1.0,-1.0,4389000.0,427500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,123647.0,-1.0,30100.0,1100.0,1812.0,15922.0,-1.0,-1.0,-1.0,53000.0,-1.0,6000.0,3025.0,81300.0
1963,-1.0,3035.0,-1.0,-1.0,-1.0,-1.0,330.0,-1.0,-1.0,-1.0,-1,53000.0,-1.0,-1.0,35000.0,-1.0,140000.0,16997.0,-1.0,4572.0,8300.0,3674.0,1500.0,400.0,-1.0,176000.0,4390.0,255000.0,3937.0,26304.0,670.0,2493.0,-1.0,95.0,350.0,10300.0,-1.0,-1.0,-1.0,-1.0,756000.0,2950.0,-1.0,-1.0,-1.0,1600.0,-1.0,1712.0,141070.0,4643.0,148.0,-1.0,-1.0,4393000.0,464200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5159.0,-1.0,-1.0,400.0,-1.0,-1.0,-1.0,120529.0,-1.0,32000.0,2030.0,3937.0,32960.0,-1.0,-1.0,-1.0,53000.0,-1.0,6000.0,2567.0,94000.0
1964,-1.0,2954.0,-1.0,-1.0,-1.0,-1.0,340.0,-1.0,-1.0,-1.0,-1,53000.0,-1.0,-1.0,28000.0,-1.0,146000.0,31767.0,-1.0,4300.0,8300.0,3711.0,1500.0,500.0,-1.0,161000.0,12646.0,239000.0,3750.0,18980.0,1100.0,3500.0,-1.0,120.0,350.0,10000.0,-1.0,-1.0,-1.0,-1.0,733000.0,2950.0,-1.0,-1.0,-1.0,1600.0,-1.0,1619.0,120840.0,2893.0,147.0,-1.0,-1.0,4607000.0,467400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5774.0,-1.0,-1.0,300.0,-1.0,-1.0,-1.0,107775.0,-1.0,42200.0,2930.0,3750.0,15500.0,-1.0,-1.0,-1.0,53000.0,-1.0,7000.0,1844.0,160000.0
1965,-1.0,2954.0,-1.0,-1.0,-1.0,-1.0,335.0,-1.0,-1.0,-1.0,-1,53000.0,-1.0,-1.0,34438.0,-1.0,159000.0,27518.0,-1.0,2560.0,8300.0,4140.0,1500.0,500.0,-1.0,141000.0,11279.0,267000.0,3138.0,21450.0,1450.0,5200.0,-1.0,200.0,400.0,10000.0,-1.0,-1.0,-1.0,-1.0,1015000.0,3000.0,-1.0,-1.0,-1.0,1600.0,-1.0,1626.0,109780.0,1905.0,106.0,-1.0,-1.0,4870000.0,461966.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6873.0,-1.0,-1.0,200.0,-1.0,-1.0,-1.0,95207.0,-1.0,31945.0,4425.0,3138.0,11783.0,-1.0,-1.0,-1.0,53000.0,-1.0,7000.0,1483.0,160000.0
1966,-1.0,1781.0,-1.0,-1.0,-1.0,-1.0,782.0,-1.0,1300.0,-1.0,-1,76000.0,-1.0,-1.0,33000.0,-1.0,154000.0,21448.0,-1.0,2660.0,8300.0,4884.0,2000.0,400.0,-1.0,175000.0,38800.0,255000.0,5224.0,31970.0,1670.0,3100.0,-1.0,400.0,400.0,9000.0,-1.0,-1.0,-1.0,-1.0,1023000.0,3000.0,-1.0,-1.0,-1.0,1600.0,-1.0,1893.0,161524.0,1763.0,103.0,-1.0,-1.0,5004000.0,467700.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6982.0,-1.0,-1.0,83.0,-1.0,-1.0,-1.0,94437.0,-1.0,42107.0,2775.0,5224.0,12020.0,-1.0,-1.0,-1.0,76000.0,-1.0,8000.0,1237.0,218000.0
1967,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,681.0,-1.0,1300.0,-1.0,-1,80000.0,-1.0,-1.0,32000.0,-1.0,147000.0,18534.0,-1.0,3609.0,8300.0,4900.0,2000.0,800.0,-1.0,145000.0,25868.0,268000.0,3906.0,89640.0,2300.0,4200.0,-1.0,500.0,450.0,5700.0,-1.0,-1.0,-1.0,-1.0,1242000.0,3000.0,-1.0,-1.0,-1.0,1600.0,-1.0,2101.0,164050.0,1740.0,150.0,-1.0,-1.0,4767000.0,480600.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11160.0,-1.0,-1.0,1494.0,-1.0,-1.0,-1.0,82554.0,-1.0,22400.0,2325.0,3906.0,12181.0,-1.0,-1.0,-1.0,80000.0,-1.0,8000.0,1230.0,215000.0
1968,-1.0,2873.0,-1.0,-1.0,-1.0,-1.0,700.0,-1.0,1400.0,-1.0,-1,80000.0,-1.0,1500.0,29700.0,-1.0,161000.0,16187.0,-1.0,790.0,8200.0,4900.0,2000.0,1370.0,-1.0,160000.0,38596.0,280000.0,6046.0,73650.0,9400.0,9600.0,-1.0,1000.0,500.0,8432.0,-1.0,-1.0,-1.0,-1.0,1054000.0,3000.0,-1.0,-1.0,-1.0,1700.0,-1.0,2072.0,108970.0,1547.0,962.0,-1.0,-1.0,4863000.0,520394.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14009.0,-1.0,-1.0,2888.0,-1.0,-1.0,-1.0,77694.0,-1.0,28970.0,3125.0,6046.0,14663.0,-1.0,-1.0,-1.0,80000.0,-1.0,8000.0,748.0,240000.0
1969,-1.0,4168.0,-1.0,-1.0,-1.0,-1.0,800.0,-1.0,1400.0,-1.0,-1,84000.0,-1.0,7000.0,33000.0,-1.0,218829.0,19425.0,-1.0,1020.0,8300.0,4900.0,2563.0,4300.0,-1.0,165000.0,71100.0,287000.0,13642.0,77470.0,42000.0,7000.0,-1.0,670.0,550.0,17000.0,-1.0,-1.0,-1.0,-1.0,1189000.0,3500.0,-1.0,-1.0,-1.0,1700.0,-1.0,589.0,90750.0,1580.0,962.0,-1.0,-1.0,4772000.0,532696.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18084.0,-1.0,-1.0,4632.0,-1.0,-1.0,-1.0,85310.0,-1.0,24630.0,5210.0,13642.0,17022.0,-1.0,-1.0,-1.0,84000.0,-1.0,9000.0,1783.0,285500.0
1970,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,900.0,-1.0,1400.0,-1.0,-1,80000.0,-1.0,12000.0,35000.0,-1.0,194452.0,28530.0,-1.0,1500.0,8300.0,4900.0,4472.0,2900.0,-1.0,186000.0,165900.0,278349.0,25981.0,84820.0,70000.0,8012.0,-1.0,3780.0,600.0,24000.0,-1.0,-1.0,-1.0,-1.0,1347000.0,3500.0,-1.0,-1.0,117000.0,2000.0,-1.0,645.0,123697.0,1868.0,1469.0,-1.0,-1.0,4777000.0,604057.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17136.0,-1.0,-1.0,4108.0,-1.0,-1.0,-1.0,91283.0,-1.0,20240.0,3240.0,25981.0,32000.0,-1.0,-1.0,-1.0,80000.0,-1.0,10000.0,3977.0,360000.0
