,"China, Taiwan Province of",Romania,Syrian Arab Republic,Israel,Australia & New Zealand,Australia,Iraq,Pakistan,Slovakia,United Republic of Tanzania,Paraguay,Thailand,Uruguay,Kenya,Czechia,Switzerland,Republic of Moldova,Italy,Serbia,Zambia,USSR,Botswana,Uganda,Tajikistan,South Africa,Slovenia,Albania,Uzbekistan,China,Mozambique,Sudan (former),Morocco,Jordan,Chile,Argentina,Colombia,Spain,Kyrgyzstan,Germany,Malawi,India,Austria,Ecuador,Poland,Canada,Turkey,Belarus,Afghanistan,Angola,South Sudan,Egypt,Namibia,Georgia,Greece,Azerbaijan,France,Zimbabwe,Tunisia,Sudan,Serbia and Montenegro,Croatia,Hungary,Lebanon,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Kazakhstan,United States of America,Mexico,Ukraine,"China, mainland",Czechoslovakia,The former Yugoslav Republic of Macedonia,Algeria,Venezuela (Bolivarian Republic of),Bosnia and Herzegovina,Bulgaria,Myanmar,Brazil
1961,,10953.0,14000.0,8574.0,7318.0,7318.0,7500.0,5000.0,,3586.0,,,4049.0,4026.0,,,,19401.0,,2500.0,11271.0,,2857.0,,5916.0,,10000.0,,12449.0,3500.0,,5000.0,,10235.0,6514.0,,5848.0,,,6667.0,,19275.0,,,7971.0,8223.0,,14458.0,15000.0,,,,,8517.0,,17079.0,7144.0,,,,,8575.0,10000.0,,,,13636.0,,9091.0,,10000.0,,,12449.0,11665.0,,4000.0,,,12974.0,3333.0,
1962,,10515.0,13333.0,8636.0,6661.0,6661.0,7500.0,5000.0,,3605.0,,,5833.0,3531.0,,,,14777.0,,2500.0,10925.0,,3214.0,,6452.0,,10000.0,,12453.0,3878.0,,6970.0,,10635.0,7185.0,,4365.0,,,6250.0,,16765.0,,,8459.0,7380.0,,15422.0,10000.0,,,,,8529.0,,16141.0,5657.0,,,,,11103.0,10000.0,,,,16530.0,,9091.0,,10648.0,,,12453.0,10492.0,,4286.0,,,13125.0,3175.0,
1963,,10898.0,12635.0,8867.0,6774.0,6774.0,6667.0,5143.0,,2998.0,,,6181.0,11384.0,,,,17141.0,,2500.0,9754.0,,3390.0,,5795.0,,10510.0,,12453.0,4444.0,,8447.0,,12344.0,7434.0,,4342.0,,,6250.0,,15713.0,,,10631.0,9255.0,,15422.0,10000.0,,,,,9374.0,,13414.0,5740.0,,,,,10793.0,9000.0,,,,16500.0,,8955.0,,11097.0,,,12453.0,11161.0,,4211.0,,,13176.0,3030.0,
1964,,11085.0,9116.0,7850.0,5853.0,5853.0,6667.0,5143.0,,3541.0,,,5246.0,11005.0,,,,20174.0,,2500.0,13150.0,,3390.0,,5155.0,,10339.0,,12453.0,4406.0,,10000.0,,10687.0,7640.0,,8619.0,,,6000.0,,17060.0,,,4412.0,10313.0,,15422.0,10000.0,,,,,10233.0,,14148.0,5133.0,,,,,10869.0,10000.0,,,,17808.0,,9091.0,,8240.0,,,12453.0,10484.0,,4167.0,,,14100.0,3235.0,
1965,,12208.0,9245.0,8588.0,6354.0,6354.0,6667.0,5000.0,,2547.0,,,3521.0,11005.0,,,,14902.0,,2500.0,11189.0,,3667.0,,5532.0,,9142.0,,12453.0,4808.0,,4000.0,,14137.0,7458.0,,7802.0,,,6000.0,,17675.0,,,4817.0,10000.0,,15904.0,10000.0,,,,,9219.0,,15029.0,5094.0,,,,,8231.0,5000.0,,,,16667.0,,8966.0,,9527.0,,,12453.0,9648.0,,4650.0,,,13371.0,3433.0,
1966,,14370.0,13689.0,9730.0,6526.0,6526.0,7500.0,5000.0,,2700.0,,,6178.0,18360.0,,,,18917.0,,2813.0,12290.0,769.0,4000.0,,6000.0,,12651.0,,8684.0,4839.0,,2778.0,,13303.0,8798.0,,8402.0,,,6250.0,,21902.0,,,6934.0,9174.0,,16867.0,8750.0,,,,,10654.0,,17117.0,5528.0,,,,,11131.0,5181.0,,,,18312.0,,8982.0,,10088.0,,,8684.0,12161.0,,4025.0,,,16588.0,2775.0,
1967,,14996.0,19200.0,9247.0,4946.0,4946.0,7500.0,5556.0,,2938.0,,,4632.0,24582.0,,,,17886.0,,2813.0,13862.0,1538.0,4333.0,,7586.0,,10857.0,,8750.0,4762.0,,2368.0,,14871.0,9018.0,,7958.0,,,6250.0,,19338.0,,,8813.0,10698.0,,16867.0,10000.0,,,,,10521.0,,15328.0,6531.0,,,,,9901.0,3548.0,,,,17007.0,,8696.0,,11611.0,,,8750.0,13448.0,,3880.0,,,17836.0,2731.0,
1968,,14044.0,15260.0,10080.0,5281.0,5281.0,7500.0,6000.0,,3493.0,,,4456.0,11991.0,,,,19385.0,,2941.0,13747.0,1429.0,4333.0,,5313.0,,9904.0,,8750.0,6250.0,,4407.0,,14852.0,9630.0,,7906.0,,,6204.0,,22365.0,,,6935.0,9583.0,,17561.0,7500.0,,,,,10582.0,,18025.0,6122.0,,,,,12451.0,5800.0,,,,19193.0,,8511.0,,11347.0,,,8750.0,16471.0,,4000.0,,,16393.0,2857.0,6667.0
1969,,14038.0,18441.0,11132.0,4580.0,4580.0,7413.0,6364.0,,4274.0,,,6889.0,7198.0,,,,22569.0,,2941.0,13324.0,1786.0,4000.0,,5636.0,,9022.0,,8690.0,4171.0,,1676.0,,11447.0,7368.0,,7750.0,,,6330.0,,19542.0,,,7939.0,10858.0,,17831.0,8889.0,,,,,10647.0,,17880.0,4082.0,,,,,13995.0,5479.0,,,,17828.0,,7143.0,,10392.0,,,8690.0,16487.0,,5493.0,,,18920.0,2875.0,7143.0
1970,,12740.0,16174.0,9568.0,5099.0,5099.0,7379.0,6667.0,,4239.0,,,4234.0,8000.0,,,,20128.0,,3000.0,12862.0,1786.0,4143.0,,5376.0,,10647.0,,8750.0,4993.0,,8917.0,,13923.0,8463.0,,9554.0,,,6255.0,6496.0,20000.0,,,8800.0,10417.0,,16867.0,10000.0,,,,,10200.0,,17759.0,6939.0,,,,,10463.0,3827.0,,,,13582.0,,7857.0,,10114.0,,,8750.0,16654.0,,3786.0,,,14618.0,3333.0,8333.0
