,Belize,Burundi,"China, Hong Kong SAR","China, Taiwan Province of",Mozambique,Niue,Myanmar,Burkina Faso,Philippines,Brazil,Lao People's Democratic Republic,Australia & New Zealand,United Republic of Tanzania,Thailand,Ethiopia,Indonesia,Maldives,Liberia,Greece,Zimbabwe,Uganda,Republic of Korea,Melanesia,Papua New Guinea,Cuba,New Caledonia,Rwanda,Bahamas,Barbados,Guatemala,Mauritius,Senegal,Madagascar,Saint Lucia,"China, Macao SAR",Bhutan,Guinea,Israel,Zambia,Dominica,Fiji,Cabo Verde,Chad,Pacific Islands Trust Territory,Equatorial Guinea,Sri Lanka,Grenada,Uruguay,Italy,Egypt,Mauritania,China,Brunei Darussalam,Micronesia (Federated States of),Occupied Palestinian Territory,Chile,Saint Vincent and the Grenadines,Portugal,Martinique,Micronesia,Kenya,"China, mainland",Mali,Haiti,Paraguay,Saint Kitts and Nevis,Bolivia (Plurinational State of),Peru,Yemen,Cameroon,Malaysia,Comoros,Dominican Republic,South Sudan,El Salvador,Benin,Cook Islands,Pakistan,Japan,Bermuda,Réunion,Togo,Venezuela (Bolivarian Republic of),Antigua and Barbuda,Spain,New Zealand,Bahrain,Guyana,Tonga,United States of America,Bangladesh,Democratic Republic of the Congo,Sudan,Somalia,Nigeria,Argentina,Cambodia,Timor-Leste,Costa Rica,Democratic People's Republic of Korea,India,Guadeloupe,Niger,Morocco,Ethiopia PDR,Congo,Gabon,Cayman Islands,Ecuador,Honduras,Puerto Rico,Mexico,Viet Nam,Suriname,Côte d'Ivoire,Jamaica,Solomon Islands,Trinidad and Tobago,South Africa,Singapore,Polynesia,Sierra Leone,Australia,Montserrat,Ghana,Sudan (former),Angola,Turkey,Swaziland,Guam,Belgium-Luxembourg
1961,-1.0,60000.0,4000.0,235700.0,6300.0,51.0,970.0,15250.0,146040.0,137370.0,1000.0,352.0,31000.0,-1,-1.0,366000.0,30.0,800.0,260.0,166.0,141000.0,61711.0,78610.0,73710.0,32000.0,600.0,60000.0,63.0,1197.0,-1.0,83.0,2526.0,60000.0,245.0,-1,-1.0,10000.0,10.0,2000.0,100.0,600.0,3000.0,9000.0,809.0,6000.0,11343.0,80.0,15361.0,1771.0,4600.0,2000.0,10853700.0,162.0,-1.0,-1.0,700.0,1619.0,7000.0,350.0,865.0,25000.0,10614000.0,5000.0,34500.0,7500.0,40.0,1000.0,15900.0,-1.0,47000.0,8500.0,900.0,8000.0,-1,45.0,7314.0,81.0,650.0,336200.0,8.0,250.0,1000.0,1714.0,30.0,8705.0,160.0,1.0,-1.0,1100.0,74186.0,37000.0,50000.0,-1.0,200.0,13000.0,38031.0,1979.0,3800.0,-1.0,8000.0,163000.0,900.0,2232.0,35.0,10000.0,1200.0,1000.0,-1.0,5300.0,349.0,5180.0,15067.0,245000.0,42.0,9000.0,950.0,3700.0,172.0,14000.0,506.0,1232.0,3440.0,192.0,4.0,-1.0,400.0,15000.0,-1,1540.0,56.0,-1.0
1962,-1.0,60000.0,3000.0,233600.0,6300.0,51.0,1070.0,25475.0,135090.0,144967.0,1500.0,370.0,32000.0,-1,-1.0,544000.0,30.0,800.0,250.0,117.0,157000.0,75847.0,78910.0,74000.0,46000.0,600.0,82000.0,65.0,1166.0,-1.0,70.0,2400.0,60000.0,245.0,-1,-1.0,10000.0,10.0,2000.0,100.0,610.0,3000.0,10000.0,911.0,6000.0,9828.0,80.0,13364.0,1735.0,3914.0,2000.0,10894600.0,174.0,-1.0,-1.0,800.0,1619.0,7000.0,350.0,1011.0,25500.0,10658000.0,5000.0,36500.0,7300.0,40.0,1000.0,16140.0,-1.0,42000.0,8800.0,900.0,8500.0,-1,45.0,17440.0,78.0,700.0,329600.0,12.0,250.0,1000.0,1668.0,30.0,8270.0,180.0,1.0,-1.0,1100.0,82026.0,39000.0,50000.0,-1.0,200.0,13000.0,36493.0,2820.0,3800.0,-1.0,8000.0,138000.0,900.0,2430.0,35.0,10000.0,1300.0,1000.0,-1.0,5309.0,340.0,4834.0,14693.0,234000.0,53.0,9000.0,980.0,3700.0,257.0,14000.0,502.0,1229.0,3452.0,190.0,4.0,-1.0,400.0,15000.0,-1,1600.0,100.0,-1.0
1963,-1.0,60000.0,3200.0,235600.0,6300.0,51.0,1160.0,12300.0,161530.0,152377.0,1500.0,400.0,29000.0,-1,-1.0,484000.0,30.0,800.0,230.0,89.0,173000.0,91058.0,78940.0,74000.0,55000.0,600.0,81300.0,68.0,1069.0,-1.0,57.0,2400.0,53000.0,245.0,-1,-1.0,10000.0,10.0,2000.0,110.0,610.0,3000.0,8000.0,911.0,6000.0,16321.0,85.0,15500.0,1888.0,4147.0,2000.0,9268800.0,142.0,-1.0,-1.0,800.0,2833.0,7500.0,400.0,991.0,26000.0,9030000.0,5000.0,38500.0,7500.0,50.0,1000.0,16930.0,-1.0,39000.0,8842.0,900.0,8500.0,-1,46.0,14880.0,76.0,750.0,317700.0,17.0,250.0,1000.0,1620.0,30.0,7900.0,200.0,1.0,-1.0,1100.0,69151.0,41000.0,50000.0,-1.0,200.0,13000.0,36454.0,3000.0,3800.0,-1.0,8500.0,133000.0,1000.0,1600.0,35.0,10000.0,1300.0,1000.0,-1.0,4549.0,335.0,4865.0,17928.0,231000.0,44.0,9000.0,1300.0,3730.0,257.0,15000.0,513.0,1227.0,3440.0,200.0,4.0,-1.0,400.0,17000.0,-1,1600.0,80.0,-1.0
1964,-1.0,62000.0,2900.0,246002.0,6300.0,51.0,1313.0,14900.0,157990.0,158387.0,1600.0,388.0,29000.0,-1,-1.0,620000.0,30.0,800.0,200.0,49.0,174000.0,132691.0,80000.0,75000.0,60000.0,600.0,69500.0,70.0,906.0,-1.0,38.0,1200.0,53695.0,250.0,-1,-1.0,10000.0,13.0,2100.0,110.0,650.0,3000.0,7000.0,425.0,6000.0,14114.0,85.0,16000.0,1950.0,4466.0,2000.0,9893902.0,73.0,-1.0,-1.0,900.0,2833.0,7500.0,400.0,475.0,26500.0,9645000.0,5000.0,40000.0,8700.0,50.0,1000.0,13040.0,-1.0,32802.0,9447.0,900.0,8500.0,-1,46.0,4909.0,75.0,800.0,300800.0,20.0,250.0,2000.0,1596.0,30.0,6350.0,210.0,1.0,-1.0,1200.0,61218.0,44000.0,45000.0,-1.0,200.0,14000.0,34598.0,3800.0,3600.0,-1.0,9000.0,130000.0,1000.0,1633.0,35.0,11000.0,1400.0,1000.0,-1.0,3872.0,328.0,4386.0,18856.0,233000.0,36.0,10000.0,1839.0,3750.0,441.0,15000.0,523.0,1326.0,3444.0,178.0,4.0,-1.0,450.0,18000.0,-1,1800.0,50.0,-1.0
1965,-1.0,62000.0,2500.0,234060.0,6200.0,26.0,1913.0,15000.0,146080.0,168322.0,2200.0,584.0,35000.0,-1,-1.0,416000.0,30.0,800.0,190.0,45.0,170000.0,152425.0,80150.0,75000.0,60000.0,600.0,58068.0,73.0,1000.0,-1.0,39.0,1300.0,54465.0,250.0,-1,-1.0,10000.0,17.0,2100.0,110.0,770.0,3000.0,6000.0,400.0,6000.0,13930.0,90.0,16000.0,1880.0,4227.0,2000.0,9242560.0,61.0,-1.0,-1.0,900.0,3237.0,8000.0,450.0,421.0,27000.0,9006000.0,5000.0,42000.0,10500.0,60.0,1000.0,11550.0,-1.0,43830.0,9716.0,1000.0,8500.0,-1,48.0,11000.0,73.0,800.0,261000.0,19.0,250.0,2000.0,1513.0,30.0,4916.0,382.0,1.0,-1.0,1200.0,68055.0,46000.0,37000.0,-1.0,200.0,14000.0,35930.0,2500.0,3400.0,-1.0,10000.0,155000.0,600.0,1472.0,35.0,11000.0,1400.0,1000.0,-1.0,3159.0,324.0,4834.0,13939.0,229000.0,40.0,10000.0,1766.0,3780.0,444.0,15000.0,522.0,1299.0,5800.0,202.0,4.0,-1.0,450.0,18000.0,-1,1800.0,21.0,-1.0
1966,-1.0,62000.0,1600.0,235444.0,4500.0,26.0,1873.0,15000.0,139290.0,175373.0,2700.0,565.0,36000.0,-1,-1.0,402000.0,20.0,1100.0,220.0,80.0,150000.0,147882.0,80370.0,75000.0,60000.0,900.0,36800.0,75.0,1050.0,-1.0,29.0,2155.0,55135.0,255.0,-1,-1.0,10000.0,17.0,2200.0,120.0,650.0,2880.0,5000.0,400.0,6000.0,14798.0,90.0,13548.0,1983.0,4003.0,2000.0,9872044.0,40.0,-1.0,-1.0,1000.0,3237.0,8800.0,500.0,417.0,28000.0,9635000.0,5000.0,44000.0,9160.0,70.0,1170.0,11790.0,-1.0,33431.0,9203.0,1000.0,8500.0,-1,48.0,13400.0,121.0,850.0,249000.0,18.0,250.0,2002.0,1389.0,30.0,4047.0,399.0,1.0,-1.0,1200.0,62505.0,44100.0,41000.0,-1.0,200.0,14000.0,36211.0,1600.0,3300.0,-1.0,10000.0,179000.0,617.0,949.0,35.0,12000.0,1500.0,1000.0,2.0,3179.0,317.0,4716.0,16152.0,225000.0,29.0,10000.0,2754.0,3820.0,451.0,15000.0,514.0,1347.0,7500.0,166.0,4.0,-1.0,450.0,16000.0,-1,1800.0,17.0,-1.0
1967,-1.0,63000.0,1500.0,236430.0,4513.0,20.0,2184.0,16000.0,131510.0,185030.0,3200.0,675.0,37000.0,-1,-1.0,360000.0,20.0,1200.0,220.0,130.0,106000.0,136773.0,81110.0,76000.0,60000.0,630.0,48000.0,76.0,900.0,-1.0,17.0,2764.0,56090.0,260.0,-1,-1.0,10000.0,20.0,2300.0,120.0,650.0,2500.0,5000.0,400.0,6000.0,19299.0,95.0,13000.0,2007.0,3251.0,2000.0,8942930.0,30.0,-1.0,-1.0,1000.0,1500.0,9000.0,500.0,417.0,28000.0,8705000.0,5100.0,46000.0,9100.0,70.0,1150.0,12290.0,-1.0,35110.0,9217.0,1000.0,8366.0,-1,50.0,14400.0,121.0,850.0,218700.0,16.0,250.0,2312.0,1430.0,30.0,3464.0,389.0,1.0,-1.0,1200.0,56481.0,58700.0,51400.0,-1.0,200.0,15000.0,41893.0,1400.0,3200.0,-1.0,10000.0,206000.0,201.0,1197.0,35.0,12000.0,1500.0,1000.0,2.0,2155.0,328.0,3930.0,17527.0,225800.0,79.0,11000.0,1509.0,3830.0,471.0,15000.0,506.0,1341.0,8000.0,286.0,4.0,-1.0,500.0,17000.0,-1,1800.0,17.0,-1.0
1968,-1.0,63000.0,1200.0,240316.0,6086.0,26.0,2475.0,10000.0,131800.0,182248.0,3500.0,651.0,38000.0,-1,-1.0,403866.0,20.0,1200.0,170.0,200.0,118000.0,136390.0,83115.0,78000.0,62000.0,630.0,52500.0,76.0,790.0,-1.0,19.0,7895.0,56990.0,260.0,-1,-1.0,10000.0,25.0,2300.0,110.0,650.0,1206.0,4800.0,400.0,6000.0,20097.0,95.0,11000.0,1943.0,3780.0,2000.0,8538516.0,45.0,-1.0,-1.0,1000.0,1174.0,8800.0,500.0,417.0,29000.0,8297000.0,5200.0,50000.0,8000.0,80.0,1130.0,11900.0,-1.0,36436.0,6496.0,1000.0,9000.0,-1,50.0,16400.0,68.0,900.0,190900.0,16.0,260.0,2000.0,1458.0,30.0,3320.0,402.0,1.0,-1.0,1200.0,54728.0,66800.0,51500.0,-1.0,200.0,15000.0,41473.0,2000.0,3700.0,-1.0,10000.0,223000.0,600.0,1211.0,35.0,13000.0,1600.0,1000.0,2.0,2227.0,339.0,3026.0,14129.0,225800.0,127.0,11000.0,1956.0,3835.0,425.0,14000.0,510.0,1294.0,6000.0,249.0,4.0,-1.0,600.0,17000.0,-1,1900.0,17.0,-1.0
1969,-1.0,63000.0,1000.0,232726.0,8302.0,25.0,2770.0,10000.0,134680.0,185068.0,3500.0,727.0,34000.0,-1,-1.0,369443.0,15.0,1200.0,160.0,300.0,270000.0,135482.0,85130.0,80000.0,62000.0,630.0,60960.0,77.0,530.0,-1.0,16.0,3608.0,57750.0,275.0,-1,-1.0,10000.0,25.0,2400.0,110.0,660.0,1950.0,4900.0,400.0,7000.0,18995.0,95.0,13000.0,1635.0,4200.0,3000.0,8769726.0,53.0,-1.0,-1.0,1000.0,959.0,9200.0,550.0,421.0,29000.0,8536000.0,5300.0,48000.0,8770.0,80.0,1550.0,12945.0,-1.0,46527.0,5825.0,1000.0,10000.0,-1,50.0,18298.0,87.0,900.0,158000.0,14.0,250.0,2000.0,1400.0,30.0,3200.0,482.0,1.0,-1.0,1200.0,55215.0,69969.0,52000.0,-1.0,300.0,16000.0,45512.0,2400.0,4500.0,-1.0,10000.0,241545.0,600.0,1259.0,35.0,13000.0,1600.0,2000.0,2.0,2867.0,351.0,3144.0,15255.0,222000.0,32.0,10700.0,1872.0,3840.0,467.0,14000.0,445.0,1312.0,6500.0,245.0,4.0,-1.0,700.0,17000.0,-1,2000.0,21.0,-1.0
1970,-1.0,60000.0,250.0,228713.0,8300.0,18.0,3070.0,11000.0,134620.0,180789.0,3700.0,683.0,40000.0,-1,-1.0,357568.0,30.0,1200.0,100.0,400.0,440000.0,126874.0,87245.0,82000.0,63000.0,650.0,68814.0,77.0,565.0,-1.0,18.0,1500.0,60715.0,280.0,-1,-1.0,10000.0,25.0,2400.0,100.0,750.0,1674.0,4900.0,400.0,7000.0,15844.0,95.0,14195.0,1497.0,4200.0,3000.0,8935963.0,90.0,-1.0,-1.0,1000.0,1050.0,8000.0,550.0,421.0,30000.0,8707000.0,5200.0,50000.0,9200.0,90.0,1650.0,13710.0,-1.0,39395.0,5269.0,1000.0,9410.0,-1,50.0,17740.0,87.0,950.0,132900.0,16.0,250.0,500.0,1688.0,31.0,4100.0,445.0,1.0,-1.0,1100.0,51537.0,72741.0,52900.0,-1.0,300.0,12000.0,44200.0,2700.0,4000.0,-1.0,10500.0,215000.0,600.0,1295.0,35.0,13000.0,1600.0,2000.0,2.0,2850.0,363.0,2790.0,16186.0,223000.0,31.0,11000.0,1702.0,3845.0,441.0,13000.0,356.0,1205.0,7017.0,238.0,3.0,-1.0,800.0,18000.0,-1,2000.0,21.0,-1.0
