,Cuba,Jamaica,United States of America,South Africa,France,Israel,Australia & New Zealand,Australia,Iraq,New Zealand,Pakistan,French Guiana,Paraguay,South Sudan,Nepal,Ethiopia,Kenya,Libya,Bangladesh,Italy,Lao People's Democratic Republic,Lebanon,Yemen,Thailand,Albania,Uzbekistan,Brazil,Burkina Faso,Mozambique,Sudan (former),Morocco,El Salvador,Chile,Malta,Argentina,Colombia,Spain,Syrian Arab Republic,Bahamas,Cyprus,"China, Taiwan Province of",Ecuador,Réunion,Japan,Jordan,Ethiopia PDR,Egypt,Georgia,Greece,Azerbaijan,Haiti,Republic of Korea,Tunisia,Sudan,Mali,Zimbabwe,Croatia,Congo,Turkey,Swaziland,Polynesia,Bolivia (Plurinational State of),Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Peru,Djibouti,Philippines,Mexico,Cook Islands,Kuwait,"China, mainland",French Polynesia,Guadeloupe,Algeria,Venezuela (Bolivarian Republic of),Uruguay,Bosnia and Herzegovina,Portugal,Montenegro,China
1961,4000.0,5162.0,231786.0,8682.0,920.0,25600.0,11157.0,11064.0,4000.0,93.0,95000.0,10.0,7230.0,,-1.0,,,1794.0,5000.0,127500.0,5000.0,13000.0,,250000.0,-1.0,,234102.0,,500.0,1000.0,37000.0,1200.0,,-1.0,196000.0,-1.0,133900.0,-1.0,-1.0,1473.0,40820.0,10000.0,,875600.0,,5000.0,43000.0,,27315.0,,7000.0,399.0,12400.0,,,4500.0,,-1.0,34007.0,-1.0,1520.0,14000.0,,-1.0,12000.0,5600.0,-1.0,22600.0,70000.0,1500.0,,113000.0,20.0,35.0,98000.0,,22135.0,,15400.0,,153820.0
1962,4000.0,4130.0,222078.0,10721.0,920.0,27100.0,11240.0,11064.0,6000.0,176.0,70000.0,10.0,24140.0,,-1.0,,,1943.0,5000.0,115500.0,5200.0,10000.0,,250000.0,-1.0,,248183.0,,500.0,1000.0,48000.0,1200.0,,-1.0,166000.0,-1.0,113900.0,-1.0,-1.0,1524.0,52523.0,11999.0,,898300.0,,5000.0,61000.0,,24310.0,,7100.0,842.0,6100.0,,,4500.0,,-1.0,32701.0,-1.0,1521.0,15000.0,,-1.0,13000.0,5900.0,-1.0,25100.0,70000.0,1500.0,,138000.0,21.0,35.0,103195.0,,22000.0,,12300.0,,190523.0
1963,4017.0,8024.0,124012.0,10497.0,1100.0,34050.0,12960.0,12780.0,7000.0,180.0,100000.0,10.0,24780.0,,-1.0,,,1796.0,5000.0,143700.0,5200.0,12000.0,,250000.0,-1.0,,260512.0,,500.0,1000.0,48000.0,1250.0,,-1.0,195000.0,-1.0,160700.0,-1.0,-1.0,1524.0,62151.0,9515.0,,973800.0,,5000.0,49000.0,,27703.0,,7200.0,504.0,14000.0,,,4600.0,,-1.0,42180.0,-1.0,1822.0,15000.0,,-1.0,14000.0,6300.0,-1.0,25189.0,75000.0,1800.0,,118000.0,22.0,35.0,107000.0,,22000.0,,7700.0,,180151.0
1964,5075.0,9234.0,201758.0,9859.0,1300.0,44250.0,11614.0,11364.0,8000.0,250.0,110000.0,10.0,25430.0,,-1.0,,,1054.0,6000.0,163800.0,5400.0,12000.0,,250000.0,-1.0,,252308.0,,500.0,1000.0,61000.0,1250.0,,-1.0,187200.0,-1.0,155600.0,-1.0,-1.0,1524.0,84020.0,9057.0,,1229000.0,,5500.0,55000.0,,31733.0,,7300.0,1247.0,17700.0,,,4800.0,,-1.0,27800.0,-1.0,2223.0,15000.0,,-1.0,14500.0,6750.0,-1.0,25393.0,80000.0,2200.0,,163000.0,23.0,35.0,122413.0,,23000.0,,8000.0,,247020.0
1965,4307.0,10469.0,224301.0,15729.0,700.0,41900.0,14306.0,14036.0,10000.0,270.0,105000.0,10.0,26800.0,,-1.0,,,305.0,5000.0,177200.0,5500.0,11500.0,,250000.0,-1.0,,298616.0,,500.0,1000.0,67000.0,1300.0,,-1.0,101000.0,-1.0,165000.0,-1.0,-1.0,1473.0,92627.0,10522.0,,1331000.0,,6000.0,59000.0,,28430.0,,7400.0,1090.0,14100.0,,,4800.0,,-1.0,35000.0,-1.0,2324.0,16000.0,,-1.0,15400.0,7000.0,-1.0,28781.0,85000.0,2300.0,,170000.0,24.0,38.0,109601.0,,19000.0,,12545.0,,262627.0
1966,12718.0,11741.0,405964.0,10072.0,2210.0,44200.0,11618.0,11294.0,10000.0,324.0,126000.0,10.0,27600.0,,-1.0,,,322.0,4000.0,193000.0,5700.0,13340.0,,275000.0,-1.0,,285960.0,,500.0,1000.0,80000.0,1300.0,,-1.0,175000.0,-1.0,218500.0,-1.0,-1.0,1524.0,108778.0,11324.0,,1750000.0,6384.0,6000.0,78761.0,,35439.0,,7500.0,1736.0,14100.0,,,5000.0,,-1.0,50000.0,-1.0,2425.0,16400.0,,-1.0,22000.0,8014.0,-1.0,30511.0,90000.0,2400.0,,185000.0,25.0,38.0,99632.0,,23091.0,,12000.0,,293778.0
1967,4316.0,12390.0,477632.0,20418.0,2230.0,46100.0,15717.0,15355.0,11000.0,362.0,123000.0,10.0,28430.0,,-1.0,,,336.0,4000.0,187100.0,5700.0,13775.0,,275000.0,-1.0,,293520.0,,500.0,1000.0,98000.0,1350.0,,-1.0,114400.0,-1.0,210000.0,-1.0,-1.0,1575.0,121426.0,10098.0,,1605000.0,8642.0,6000.0,85000.0,,28246.0,,7600.0,1640.0,19100.0,,,5000.0,,-1.0,65000.0,-1.0,2526.0,17000.0,,-1.0,29000.0,8792.0,-1.0,30591.0,100000.0,2500.0,,189000.0,26.0,40.0,99099.0,,28000.0,,11000.0,,310426.0
1968,11663.0,12980.0,397456.0,15195.0,4310.0,54760.0,19361.0,18831.0,11702.0,530.0,128000.0,10.0,29300.0,,-1.0,,,358.0,4000.0,268900.0,5900.0,14256.0,,275000.0,-1.0,,323577.0,,500.0,1000.0,120000.0,1350.0,,-1.0,134000.0,-1.0,194000.0,-1.0,-1.0,1563.0,131413.0,13564.0,,2352000.0,2762.0,6000.0,67000.0,,31089.0,,7700.0,3593.0,8900.0,,,5000.0,,-1.0,56000.0,-1.0,2627.0,17500.0,,-1.0,35560.0,9360.0,-1.0,28230.0,100000.0,2600.0,,186000.0,27.0,42.0,116044.0,,30000.0,,13430.0,,317413.0
1969,11361.0,8702.0,431257.0,17619.0,6800.0,56500.0,18709.0,18214.0,12000.0,495.0,111000.0,10.0,30000.0,,-1.0,,,950.0,4775.0,273400.0,6000.0,13963.0,,275000.0,-1.0,,343997.0,,500.0,1000.0,118000.0,1400.0,,-1.0,217700.0,-1.0,275332.0,-1.0,-1.0,2345.0,122280.0,11058.0,,2038000.0,0.0,6500.0,92000.0,,31190.0,,7800.0,2769.0,17300.0,,,5000.0,,-1.0,60000.0,-1.0,2728.0,10100.0,,-1.0,38000.0,13699.0,-1.0,27530.0,105000.0,2700.0,,184000.0,28.0,45.0,124318.0,,33000.0,,15790.0,,306280.0
1970,9185.0,13393.0,482259.0,13297.0,7010.0,52300.0,20485.0,19723.0,12000.0,762.0,115000.0,80.0,37176.0,,-1.0,,,904.0,4313.0,276300.0,6200.0,14182.0,,275000.0,-1.0,,366728.0,,500.0,1000.0,149000.0,1400.0,,-1.0,227100.0,-1.0,349100.0,-1.0,-1.0,3518.0,148168.0,11103.0,,2552000.0,,6500.0,72000.0,,33372.0,,7900.0,5141.0,19200.0,,,5000.0,,-1.0,68000.0,-1.0,2829.0,11300.0,,-1.0,42000.0,14654.0,-1.0,21373.0,105000.0,2800.0,,162000.0,29.0,50.0,127063.0,,35878.0,,18890.0,,310168.0
