,American Samoa,Fiji,Dominica,Madagascar,Togo,French Guiana,Burundi,Samoa,Kiribati,Rwanda,Guyana,Solomon Islands,Mauritius,Papua New Guinea,Comoros,Benin,Niue,China,Saint Lucia,Chad,Philippines,New Caledonia,Lebanon,Gabon,Bahamas,"China, Taiwan Province of",Japan,Maldives,Antigua and Barbuda,Trinidad and Tobago,Egypt,Sao Tome and Principe,United States of America,Wallis and Futuna Islands,Melanesia,Nicaragua,Republic of Korea,Democratic Republic of the Congo,Nigeria,Micronesia,Barbados,Turkey,Central African Republic,Tonga,Thailand,Ghana,Guinea,"China, mainland",Sierra Leone,Cyprus,Côte d'Ivoire,Polynesia,Cameroon,Occupied Palestinian Territory,Liberia
1961,3400.0,44000.0,8500.0,84000.0,18000.0,7000.0,95000.0,19000.0,800.0,9600.0,-1.0,10000.0,543.0,121000.0,-1.0,8000.0,700.0,721718.0,110.0,5300.0,92498.0,3000.0,1100.0,10000.0,-1.0,21718.0,483900.0,280.0,,3000.0,25000.0,3000.0,4522.0,1500.0,178000.0,,828.0,19061.0,1147000.0,800.0,700.0,1000.0,40000.0,26000.0,80000.0,749000.0,27000.0,700000.0,25000.0,4064.0,120000.0,50600.0,450000.0,-1.0,13000.0
1962,3400.0,47000.0,8600.0,86000.0,18000.0,9000.0,95000.0,21000.0,800.0,10000.0,-1.0,10300.0,273.0,125000.0,-1.0,17400.0,700.0,751486.0,110.0,5400.0,84240.0,3000.0,1000.0,10000.0,-1.0,21486.0,507500.0,285.0,,3100.0,21000.0,3000.0,4763.0,1500.0,185300.0,,700.0,21660.0,1545000.0,800.0,700.0,1050.0,40000.0,27400.0,80000.0,762000.0,30000.0,730000.0,25000.0,4191.0,150000.0,54000.0,513939.0,-1.0,13000.0
1963,3420.0,47000.0,8800.0,87000.0,17000.0,9250.0,100000.0,21600.0,800.0,10000.0,-1.0,10600.0,693.0,129000.0,-1.0,18400.0,700.0,770285.0,120.0,5500.0,94939.0,3000.0,700.0,10000.0,-1.0,20285.0,580600.0,295.0,,3291.0,27000.0,3000.0,4552.0,1500.0,189600.0,,698.0,20788.0,1551000.0,800.0,700.0,1100.0,40000.0,27385.0,80000.0,775000.0,25000.0,750000.0,20000.0,6985.0,152000.0,54605.0,675639.0,-1.0,13000.0
1964,3430.0,44000.0,9000.0,89150.0,16000.0,4625.0,105000.0,22000.0,850.0,11000.0,-1.0,11000.0,401.0,135000.0,-1.0,9500.0,700.0,773595.0,120.0,5600.0,112830.0,3000.0,750.0,10000.0,-1.0,23595.0,493000.0,300.0,,4050.0,31000.0,3000.0,4327.0,1500.0,193000.0,,212.0,15159.0,1621000.0,850.0,700.0,1150.0,40000.0,26674.0,80500.0,788000.0,20000.0,750000.0,20000.0,8128.0,156000.0,54304.0,450242.0,-1.0,13000.0
1965,3440.0,49000.0,9200.0,91065.0,17000.0,4900.0,105000.0,23000.0,900.0,10582.0,-1.0,11500.0,262.0,140000.0,-1.0,6400.0,700.0,821613.0,130.0,5700.0,111607.0,3000.0,750.0,12000.0,-1.0,21613.0,478000.0,306.0,,4819.0,33000.0,3000.0,4411.0,1500.0,203500.0,,618.0,22557.0,1602000.0,900.0,700.0,1150.0,40000.0,26680.0,81000.0,825000.0,28000.0,800000.0,20000.0,18288.0,160000.0,55320.0,394674.0,-1.0,13000.0
1966,3450.0,45000.0,9400.0,92110.0,18000.0,4900.0,95000.0,23000.0,950.0,10000.0,-1.0,11600.0,458.0,143000.0,-1.0,7500.0,700.0,820827.0,130.0,5800.0,100630.0,3000.0,720.0,15000.0,-1.0,20827.0,520600.0,315.0,3.0,5384.0,35000.0,3000.0,4210.0,1500.0,202600.0,,446.0,29956.0,1433000.0,950.0,772.0,1200.0,40000.0,26690.0,81500.0,964000.0,26300.0,800000.0,18000.0,20320.0,160000.0,55340.0,437230.0,-1.0,13000.0
1967,3455.0,38000.0,9600.0,93430.0,18000.0,6330.0,100000.0,23000.0,1000.0,10000.0,-1.0,12000.0,400.0,145000.0,-1.0,12900.0,700.0,840888.0,130.0,5900.0,96265.0,2500.0,520.0,18000.0,-1.0,20888.0,459400.0,325.0,5.0,6120.0,37000.0,3000.0,3821.0,1650.0,197500.0,,450.0,44668.0,1648000.0,1000.0,750.0,1200.0,40000.0,26000.0,82000.0,897000.0,26500.0,820000.0,20500.0,18289.0,162000.0,54805.0,628654.0,-1.0,13500.0
1968,3810.0,42000.0,9800.0,94895.0,19000.0,4000.0,105000.0,25000.0,1050.0,6825.0,-1.0,12600.0,458.0,147000.0,-1.0,11000.0,700.0,869559.0,140.0,6000.0,97268.0,2500.0,1400.0,20000.0,-1.0,19559.0,527100.0,330.0,8.0,7130.0,43000.0,3000.0,4259.0,1650.0,204100.0,,744.0,42000.0,1327000.0,1050.0,680.0,1242.0,42000.0,25500.0,82500.0,977000.0,26800.0,850000.0,19000.0,15241.0,162000.0,56660.0,668159.0,-1.0,13500.0
1969,3938.0,45000.0,10000.0,97125.0,19000.0,4000.0,97000.0,25000.0,1100.0,33500.0,-1.0,13000.0,468.0,149000.0,-1.0,13100.0,700.0,923161.0,140.0,6000.0,94179.0,2500.0,1605.0,20000.0,-1.0,23161.0,523900.0,333.0,10.0,7211.0,41000.0,3000.0,4035.0,1650.0,209500.0,,948.0,40000.0,1725000.0,1100.0,506.0,1175.0,47000.0,26775.0,83000.0,999000.0,26000.0,900000.0,23000.0,8128.0,177700.0,58063.0,612997.0,-1.0,14000.0
1970,3000.0,35000.0,10300.0,94290.0,19500.0,5250.0,96200.0,25000.0,1150.0,31120.0,-1.0,13500.0,341.0,152000.0,-1.0,14520.0,700.0,920428.0,140.0,6000.0,91628.0,3000.0,1600.0,22000.0,-1.0,20428.0,542100.0,613.0,12.0,6911.0,31000.0,3000.0,3998.0,1650.0,203500.0,,931.0,38000.0,1381000.0,1150.0,550.0,1200.0,40000.0,26791.0,83500.0,1136000.0,25000.0,900000.0,22000.0,5080.0,181700.0,57141.0,715484.0,-1.0,14000.0
