,Japan,Benin,Dominica,Philippines,Egypt,Guinea,Sao Tome and Principe,Cyprus,Chad,Republic of Korea,Côte d'Ivoire,Gabon
1961,48390.0,400.0,1118.0,10800.0,2000.0,2700.0,300.0,799.0,360.0,92.0,24000.0,1000.0
1962,50750.0,870.0,1144.0,10600.0,3000.0,3000.0,300.0,950.0,360.0,86.0,30000.0,1000.0
1963,58060.0,920.0,1170.0,10401.0,3000.0,2500.0,300.0,1713.0,380.0,33.0,30400.0,1000.0
1964,49300.0,475.0,1196.0,11235.0,3000.0,2000.0,300.0,1903.0,380.0,77.0,31200.0,1250.0
1965,47800.0,320.0,1222.0,10625.0,3000.0,2800.0,300.0,2418.0,380.0,45.0,32000.0,1500.0
1966,52060.0,375.0,1248.0,9857.0,3000.0,2630.0,300.0,2475.0,400.0,45.0,32000.0,1800.0
1967,45940.0,645.0,1274.0,9688.0,4000.0,2650.0,300.0,2285.0,400.0,79.0,32400.0,2000.0
1968,52710.0,550.0,1300.0,9572.0,4000.0,2680.0,300.0,2094.0,400.0,103.0,32400.0,2000.0
1969,52390.0,655.0,1339.0,9290.0,3000.0,2600.0,300.0,1522.0,400.0,100.0,35540.0,2000.0
1970,54210.0,726.0,1378.0,9071.0,3000.0,2500.0,300.0,762.0,400.0,126.0,36340.0,2250.0
1971,55790.0,325.0,1417.0,8769.0,4000.0,2600.0,200.0,762.0,420.0,191.0,37800.0,2500.0
1972,51950.0,298.0,1456.0,8641.0,4000.0,2800.0,150.0,838.0,400.0,143.0,39000.0,2500.0
1973,38460.0,398.0,1495.0,8225.0,4000.0,2847.0,100.0,838.0,400.0,200.0,40000.0,2850.0
1974,43030.0,395.0,1560.0,8947.0,4000.0,2873.0,100.0,762.0,440.0,194.0,41200.0,3160.0
1975,37020.0,375.0,1599.0,9316.0,5000.0,2906.0,100.0,762.0,400.0,295.0,44710.0,3370.0
1976,42550.0,350.0,1690.0,10268.0,6335.0,2925.0,100.0,857.0,400.0,317.0,38368.0,3560.0
1977,43020.0,300.0,1820.0,12794.0,5099.0,2958.0,150.0,457.0,460.0,252.0,35656.0,3775.0
1978,34060.0,250.0,1430.0,15618.0,5750.0,2987.0,220.0,286.0,500.0,207.0,31467.0,4150.0
1979,44680.0,200.0,1430.0,13276.0,6706.0,3017.0,220.0,381.0,500.0,99.0,28966.0,4250.0
1980,45850.0,150.0,1430.0,11354.0,6371.0,3050.0,300.0,286.0,500.0,99.0,37287.0,4250.0
1981,38580.0,100.0,1430.0,10542.0,6202.0,3080.0,300.0,286.0,500.0,0.0,35542.0,4750.0
1982,40010.0,50.0,1430.0,11854.0,6000.0,3140.0,300.0,305.0,500.0,0.0,32345.0,4750.0
