,Seychelles,Burundi,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Myanmar,Zambia,Malaysia,Cameroon,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Japan,Zimbabwe,Bangladesh,Republic of Korea,Melanesia,Papua New Guinea,Rwanda,Guatemala,Iran (Islamic Republic of),Democratic Republic of the Congo,Mauritius,Madagascar,Argentina,Uganda,Georgia,India,El Salvador,Ethiopia PDR,Malawi,Sri Lanka,USSR,Azerbaijan,Panama,China,Colombia,United Republic of Tanzania,Viet Nam,Ecuador,Montenegro,South Africa,Réunion,Portugal,Thailand,Kenya,"China, mainland",Russian Federation,Mali,Turkey
1961,30.0,-1.0,60.0,2030.0,44979.0,13000.0,48000.0,-1.0,3521.0,744.0,4133.0,-1.0,-1.0,-1.0,107000.0,48900.0,1222.0,32000.0,55.0,20.0,20.0,320.0,-1.0,19979.0,8653.0,1056.0,-1.0,13100.0,5500.0,-1.0,331229.0,-1.0,-1.0,11000.0,237713.0,63000.0,-1.0,-1.0,354979.0,-1.0,5500.0,19100.0,170.0,-1.0,1100.0,80.0,200.0,-1.0,17756.0,310000.0,-1.0,-1.0,14976.0
1962,30.0,-1.0,60.0,2100.0,36043.0,13000.0,48200.0,-1.0,3495.0,742.0,4200.0,-1.0,-1.0,-1.0,107000.0,49200.0,1344.0,33000.0,55.0,20.0,20.0,320.0,-1.0,19979.0,10768.0,1219.0,-1.0,13000.0,5700.0,-1.0,332524.0,-1.0,-1.0,12507.0,239217.0,66000.0,-1.0,-1.0,351043.0,-1.0,6500.0,21000.0,170.0,-1.0,1100.0,80.0,450.0,-1.0,19893.0,315000.0,-1.0,-1.0,15950.0
1963,35.0,-1.0,70.0,2220.0,36308.0,13000.0,48600.0,-1.0,3507.0,758.0,4257.0,-1.0,-1.0,-1.0,105000.0,49000.0,1829.0,36000.0,55.0,20.0,20.0,450.0,-1.0,21154.0,10270.0,1300.0,-1.0,16200.0,6300.0,-1.0,334036.0,-1.0,-1.0,12804.0,237702.0,67800.0,-1.0,-1.0,356308.0,-1.0,6500.0,21000.0,170.0,-1.0,1100.0,80.0,500.0,-1.0,21448.0,320000.0,-1.0,-1.0,17543.0
1964,35.0,-1.0,70.0,2340.0,35236.0,13000.0,40900.0,-1.0,3449.0,760.0,4297.0,-1.0,-1.0,-1.0,102000.0,48800.0,2153.0,37000.0,80.0,20.0,20.0,500.0,-1.0,23256.0,7295.0,2144.0,-1.0,18200.0,7150.0,-1.0,341762.0,-1.0,-1.0,13230.0,239569.0,69800.0,-1.0,-1.0,365236.0,-1.0,6500.0,22000.0,180.0,-1.0,1100.0,80.0,500.0,-1.0,23062.0,330000.0,-1.0,-1.0,19028.0
1965,40.0,-1.0,80.0,2470.0,34607.0,13000.0,46500.0,-1.0,3427.0,725.0,4298.0,-1.0,-1.0,-1.0,101000.0,48600.0,2590.0,38000.0,80.0,20.0,20.0,620.0,-1.0,25079.0,8000.0,1893.0,-1.0,19000.0,7300.0,-1.0,345256.0,-1.0,-1.0,13643.0,240508.0,71000.0,-1.0,-1.0,369607.0,-1.0,7000.0,26300.0,200.0,-1.0,1100.0,90.0,500.0,-1.0,24756.0,335000.0,-1.0,-1.0,19593.0
1966,40.0,-1.0,80.0,2480.0,34516.0,15000.0,46100.0,-1.0,3912.0,725.0,4428.0,-1.0,-1.0,-1.0,94000.0,48500.0,2000.0,39765.0,90.0,20.0,20.0,680.0,-1.0,25500.0,8400.0,2183.0,-1.0,23830.0,8000.0,-1.0,347653.0,-1.0,-1.0,13000.0,241373.0,71300.0,-1.0,-1.0,374516.0,-1.0,7500.0,22400.0,200.0,-1.0,1100.0,90.0,530.0,-1.0,27340.0,340000.0,-1.0,-1.0,21720.0
1967,45.0,50.0,80.0,2460.0,34495.0,15000.0,47100.0,-1.0,3330.0,737.0,4428.0,-1.0,-1.0,-1.0,91000.0,48600.0,2500.0,40975.0,90.0,100.0,100.0,830.0,-1.0,27200.0,7575.0,2416.0,-1.0,20950.0,8000.0,-1.0,351065.0,-1.0,-1.0,13500.0,242331.0,71700.0,-1.0,-1.0,414495.0,-1.0,8000.0,23000.0,200.0,-1.0,1400.0,90.0,600.0,-1.0,30078.0,380000.0,-1.0,-1.0,23472.0
1968,45.0,150.0,110.0,2710.0,34278.0,15000.0,47800.0,-1.0,3096.0,791.0,4452.0,-1.0,-1.0,-1.0,87000.0,49000.0,2300.0,42443.0,110.0,200.0,200.0,1280.0,-1.0,27400.0,8170.0,2624.0,-1.0,28085.0,10000.0,-1.0,353359.0,-1.0,-1.0,14000.0,241796.0,72200.0,-1.0,-1.0,444278.0,-1.0,8000.0,25000.0,400.0,-1.0,1500.0,100.0,750.0,-1.0,33562.0,410000.0,-1.0,-1.0,26120.0
1969,50.0,200.0,150.0,2779.0,33704.0,17000.0,47800.0,-1.0,3416.0,789.0,4452.0,-1.0,-1.0,-1.0,86000.0,49800.0,3000.0,43302.0,160.0,826.0,826.0,1477.0,-1.0,27000.0,8766.0,2943.0,-1.0,28400.0,10000.0,-1.0,354133.0,-1.0,-1.0,15000.0,241401.0,72500.0,-1.0,-1.0,473704.0,-1.0,9000.0,27000.0,700.0,-1.0,1900.0,120.0,600.0,-1.0,36524.0,440000.0,-1.0,-1.0,27309.0
1970,50.0,300.0,250.0,2836.0,33253.0,18000.0,47800.0,-1.0,3218.0,730.0,4452.0,-1.0,-1.0,-1.0,89000.0,51700.0,3000.0,45604.0,295.0,1342.0,1342.0,1573.0,-1.0,27000.0,10500.0,3416.0,-1.0,31400.0,10300.0,-1.0,356516.0,-1.0,-1.0,14300.0,241799.0,74400.0,-1.0,-1.0,519253.0,-1.0,10000.0,29200.0,800.0,-1.0,2400.0,150.0,450.0,-1.0,40278.0,486000.0,-1.0,-1.0,25978.0
1971,55.0,752.0,285.0,3236.0,32957.0,17500.0,48200.0,-1.0,3338.0,737.0,4458.0,-1.0,-1.0,-1.0,79000.0,54000.0,3200.0,45604.0,290.0,2100.0,2100.0,2144.0,-1.0,20210.0,10400.0,3639.0,-1.0,32250.0,15000.0,-1.0,358675.0,-1.0,-1.0,14500.0,241667.0,75500.0,-1.0,-1.0,582957.0,-1.0,10500.0,31300.0,900.0,-1.0,2400.0,150.0,450.0,-1.0,43400.0,550000.0,-1.0,-1.0,28351.0
1972,55.0,907.0,290.0,3170.0,32529.0,19000.0,49800.0,-1.0,2986.0,747.0,4460.0,-1.0,-1.0,-1.0,76000.0,55600.0,3500.0,45604.0,260.0,2171.0,2171.0,2530.0,-1.0,24600.0,10600.0,3617.0,-1.0,29500.0,14600.0,-1.0,360108.0,-1.0,-1.0,14800.0,241855.0,74700.0,-1.0,-1.0,632529.0,-1.0,10800.0,33000.0,1100.0,-1.0,2400.0,150.0,600.0,500.0,49763.0,600000.0,-1.0,-1.0,28782.0
1973,60.0,1064.0,300.0,3175.0,32068.0,19000.0,50200.0,-1.0,2977.0,747.0,4475.0,-1.0,-1.0,-1.0,80000.0,57300.0,3500.0,45604.0,180.0,2969.0,2969.0,2733.0,-1.0,27000.0,10500.0,3648.0,-1.0,29100.0,16400.0,-1.0,361663.0,-1.0,-1.0,15200.0,242298.0,73900.0,-1.0,-1.0,732068.0,-1.0,11200.0,35000.0,1487.0,-1.0,3000.0,150.0,450.0,900.0,54818.0,700000.0,-1.0,-1.0,40487.0
1974,80.0,1169.0,300.0,3447.0,31825.0,18000.0,50600.0,20.0,2870.0,747.0,4465.0,-1.0,160.0,-1.0,84000.0,58400.0,3800.0,43162.0,250.0,3118.0,3118.0,3208.0,-1.0,27000.0,10400.0,4010.0,17.0,35500.0,16300.0,-1.0,363303.0,-1.0,-1.0,16500.0,242193.0,75500.0,-1.0,-1.0,831825.0,-1.0,11700.0,36000.0,1200.0,-1.0,3000.0,160.0,450.0,1300.0,58419.0,800000.0,-1.0,120.0,40567.0
1975,100.0,1914.0,310.0,3651.0,31449.0,14000.0,50600.0,60.0,2815.0,753.0,5315.0,-1.0,230.0,-1.0,84000.0,59200.0,3800.0,43161.0,220.0,3500.0,3500.0,3459.0,-1.0,20000.0,10400.0,4840.0,30.0,37700.0,17500.0,-1.0,364275.0,-1.0,-1.0,16000.0,241880.0,76000.0,-1.0,-1.0,931449.0,-1.0,12400.0,38800.0,1420.0,-1.0,3500.0,160.0,390.0,1300.0,61542.0,900000.0,-1.0,160.0,50288.0
1976,100.0,2090.0,580.0,3960.0,29900.0,14000.0,50600.0,10.0,2762.0,941.0,5405.0,62.0,250.0,-1.0,82000.0,59600.0,4000.0,43099.0,220.0,3746.0,3746.0,3909.0,-1.0,27000.0,10300.0,4200.0,45.0,36000.0,18000.0,-1.0,366276.0,-1.0,42.0,17200.0,240581.0,76800.0,-1.0,-1.0,992800.0,-1.0,15100.0,25900.0,1470.0,-1.0,3500.0,160.0,360.0,1700.0,65957.0,962900.0,-1.0,160.0,52005.0
1977,95.0,2766.0,580.0,3630.0,27732.0,18000.0,51000.0,75.0,2734.0,933.0,5345.0,70.0,260.0,-1.0,79079.0,59700.0,4100.0,42998.0,220.0,3800.0,3800.0,5084.0,-1.0,26000.0,10300.0,5831.0,60.0,41000.0,16800.0,-1.0,369184.0,-1.0,76.0,17300.0,242012.0,76800.0,-1.0,-1.0,1041832.0,-1.0,17100.0,31700.0,1300.0,-1.0,4000.0,160.0,400.0,3200.0,68392.0,1014100.0,-1.0,170.0,52353.0
1978,95.0,3101.0,570.0,3140.0,27725.0,19000.0,51400.0,130.0,2777.0,949.0,4593.0,73.0,200.0,-1.0,81334.0,60000.0,4200.0,43183.0,220.0,3800.0,3800.0,5934.0,-1.0,27000.0,10300.0,5844.0,70.0,43000.0,18300.0,-1.0,373747.0,-1.0,100.0,17700.0,242899.0,77400.0,-1.0,-1.0,1075425.0,-1.0,17500.0,33800.0,1322.0,-1.0,4500.0,160.0,480.0,4600.0,72048.0,1047700.0,-1.0,180.0,52855.0
1979,100.0,3200.0,614.0,3295.0,27259.0,19039.0,51000.0,230.0,2560.0,913.0,4673.0,78.0,240.0,-1.0,84400.0,60700.0,4000.0,43183.0,220.0,3800.0,3800.0,6583.0,-1.0,26000.0,10000.0,4136.0,90.0,40600.0,4000.0,-1.0,378447.0,-1.0,213.0,17500.0,244099.0,78700.0,-1.0,-1.0,1077859.0,-1.0,18000.0,34380.0,1340.0,-1.0,5000.0,200.0,480.0,5200.0,74300.0,1050600.0,-1.0,190.0,53601.0
1980,95.0,3650.0,600.0,2945.0,27134.0,19000.0,52000.0,300.0,2428.0,921.0,4826.0,82.0,350.0,-1.0,86178.0,61000.0,4000.0,44091.0,220.0,3800.0,3800.0,8900.0,-1.0,31000.0,10200.0,3915.0,110.0,40700.0,3000.0,-1.0,381891.0,-1.0,227.0,17500.0,244710.0,78800.0,-1.0,-1.0,1068134.0,-1.0,15000.0,34690.0,1420.0,-1.0,6000.0,210.0,340.0,5700.0,76541.0,1041000.0,-1.0,195.0,53811.0
1981,95.0,3729.0,400.0,2795.0,26516.0,19000.0,52200.0,320.0,2457.0,1233.0,5013.0,114.0,390.0,-1.0,85023.0,61000.0,4100.0,45165.0,220.0,2661.0,2661.0,9200.0,-1.0,32000.0,10500.0,3953.0,120.0,31100.0,4000.0,-1.0,384242.0,-1.0,322.0,17500.0,244918.0,78200.0,-1.0,-1.0,1087516.0,-1.0,13000.0,36000.0,1410.0,-1.0,5000.0,220.0,285.0,7000.0,78896.0,1061000.0,-1.0,200.0,53167.0
1982,98.0,4034.0,300.0,2735.0,25995.0,19000.0,52600.0,360.0,2566.0,979.0,5573.0,120.0,450.0,-1.0,86000.0,61000.0,4300.0,44543.0,220.0,2614.0,2614.0,9500.0,-1.0,30000.0,10800.0,3799.0,120.0,35200.0,5000.0,-1.0,394999.0,-1.0,450.0,17500.0,242141.0,78700.0,-1.0,-1.0,1122995.0,-1.0,8980.0,38920.0,1410.0,-1.0,5000.0,220.0,250.0,10400.0,81082.0,1097000.0,-1.0,210.0,64499.0
1983,272.0,4549.0,130.0,2604.0,26341.0,19000.0,53000.0,390.0,2555.0,955.0,5406.0,160.0,520.0,-1.0,89000.0,61000.0,4300.0,44575.0,330.0,3096.0,3096.0,7835.0,-1.0,34718.0,11200.0,3899.0,120.0,39300.0,6000.0,-1.0,396066.0,-1.0,585.0,17000.0,242130.0,79600.0,-1.0,-1.0,1131074.0,-1.0,8980.0,39700.0,284.0,-1.0,5300.0,230.0,350.0,11200.0,82142.0,1104733.0,-1.0,200.0,64603.0
1984,272.0,4796.0,173.0,2485.0,26531.0,13000.0,53400.0,410.0,3239.0,1035.0,5281.0,165.0,620.0,-1.0,60108.0,60800.0,4300.0,44553.0,390.0,3085.0,3085.0,9500.0,-1.0,30726.0,11500.0,3954.0,130.0,41550.0,8000.0,-1.0,398453.0,-1.0,720.0,17800.0,227874.0,80700.0,-1.0,-1.0,1103931.0,-1.0,9180.0,41600.0,500.0,-1.0,6000.0,230.0,270.0,11800.0,83350.0,1077400.0,-1.0,200.0,64361.0
1985,272.0,4857.0,189.0,3385.0,24313.0,9000.0,54200.0,350.0,3200.0,960.0,5336.0,130.0,660.0,-1.0,61854.0,60600.0,4472.0,44610.0,440.0,3600.0,3600.0,12700.0,250.0,31516.0,11500.0,3950.0,130.0,42050.0,9000.0,-1.0,399929.0,-1.0,850.0,18000.0,231650.0,82300.0,-1.0,200.0,834313.0,-1.0,9180.0,41600.0,600.0,-1.0,6100.0,240.0,220.0,11400.0,83719.0,810000.0,-1.0,200.0,66947.0
