,Seychelles,Burundi,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Mozambique,Myanmar,Zambia,Malaysia,Cameroon,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Japan,Zimbabwe,Bangladesh,Republic of Korea,Melanesia,Papua New Guinea,Rwanda,Guatemala,Iran (Islamic Republic of),Democratic Republic of the Congo,Mauritius,Madagascar,Argentina,Uganda,Georgia,India,El Salvador,Ethiopia PDR,Malawi,Sri Lanka,USSR,Azerbaijan,Panama,China,Colombia,United Republic of Tanzania,Viet Nam,Ecuador,Montenegro,South Africa,Réunion,Portugal,Thailand,Kenya,"China, mainland",Russian Federation,Mali,Turkey
1961,3333.0,-1.0,16667.0,6103.0,4016.0,6231.0,1083.0,-1.0,7484.0,1116.0,12098.0,-1.0,-1.0,-1.0,7206.0,16672.0,9002.0,8294.0,9091.0,5000.0,5000.0,5000.0,-1.0,5467.0,8090.0,12064.0,-1.0,4951.0,9273.0,-1.0,10699.0,-1.0,-1.0,12989.0,8686.0,6284.0,-1.0,-1.0,2734.0,-1.0,8107.0,3927.0,2353.0,-1.0,18182.0,12500.0,6400.0,-1.0,7119.0,2548.0,-1.0,-1.0,3639.0
1962,3333.0,-1.0,16667.0,5771.0,5480.0,6231.0,1079.0,-1.0,8123.0,1833.0,12010.0,-1.0,-1.0,-1.0,7514.0,15774.0,9673.0,7087.0,9091.0,5000.0,5000.0,6563.0,-1.0,5973.0,7429.0,10418.0,-1.0,4483.0,11086.0,-1.0,10427.0,-1.0,-1.0,10663.0,8856.0,6641.0,-1.0,-1.0,2671.0,-1.0,6631.0,3571.0,2353.0,-1.0,18182.0,12500.0,5556.0,-1.0,8258.0,2349.0,-1.0,-1.0,5178.0
1963,3714.0,-1.0,15714.0,5495.0,5812.0,6615.0,1091.0,-1.0,7787.0,3193.0,14407.0,-1.0,-1.0,-1.0,7200.0,16579.0,6687.0,6833.0,9091.0,5000.0,5000.0,6667.0,-1.0,5899.0,8277.0,10908.0,-1.0,6917.0,9794.0,-1.0,10371.0,-1.0,-1.0,9317.0,9247.0,7068.0,-1.0,-1.0,2950.0,-1.0,7722.0,3810.0,2353.0,-1.0,18182.0,12500.0,6000.0,-1.0,8431.0,2625.0,-1.0,-1.0,5757.0
1964,3714.0,-1.0,16429.0,5513.0,5195.0,6927.0,2103.0,-1.0,9011.0,4487.0,14501.0,-1.0,-1.0,-1.0,7294.0,17096.0,6465.0,7631.0,8750.0,5000.0,5000.0,6400.0,-1.0,4493.0,9596.0,6446.0,-1.0,6879.0,10650.0,-1.0,10899.0,-1.0,-1.0,9360.0,9121.0,6799.0,-1.0,-1.0,3020.0,-1.0,7403.0,4091.0,2500.0,-1.0,18182.0,12500.0,6000.0,-1.0,8777.0,2788.0,-1.0,-1.0,5274.0
1965,3750.0,-1.0,15000.0,5526.0,5990.0,8266.0,2258.0,-1.0,9778.0,7131.0,14490.0,-1.0,-1.0,-1.0,7901.0,15961.0,6208.0,6998.0,8750.0,7500.0,7500.0,5484.0,-1.0,5027.0,10625.0,9181.0,-1.0,7283.0,11460.0,-1.0,10612.0,-1.0,-1.0,9509.0,9490.0,6798.0,-1.0,-1.0,3283.0,-1.0,8117.0,4030.0,2500.0,-1.0,18182.0,12222.0,6000.0,-1.0,8007.0,3003.0,-1.0,-1.0,6635.0
1966,3750.0,-1.0,16250.0,6855.0,6232.0,9322.0,2408.0,-1.0,8809.0,8966.0,7599.0,-1.0,-1.0,-1.0,7628.0,17173.0,11340.0,7192.0,8889.0,7500.0,7500.0,5118.0,-1.0,4706.0,11905.0,9052.0,-1.0,7889.0,14019.0,-1.0,10815.0,-1.0,-1.0,11828.0,9210.0,8185.0,-1.0,-1.0,3405.0,-1.0,9215.0,5357.0,2500.0,-1.0,18182.0,12222.0,6604.0,-1.0,9297.0,3118.0,-1.0,-1.0,10589.0
1967,3778.0,3600.0,16000.0,6890.0,7074.0,9613.0,2399.0,-1.0,9294.0,10176.0,7931.0,-1.0,-1.0,-1.0,8354.0,17548.0,11584.0,7151.0,8889.0,3900.0,3900.0,5181.0,-1.0,5882.0,6601.0,9065.0,-1.0,8305.0,14053.0,-1.0,10960.0,-1.0,-1.0,12465.0,9109.0,8016.0,-1.0,-1.0,3315.0,-1.0,9249.0,3913.0,2500.0,-1.0,14286.0,12222.0,6667.0,-1.0,7584.0,2974.0,-1.0,-1.0,9282.0
1968,4222.0,5267.0,16000.0,6919.0,7124.0,9500.0,2280.0,-1.0,11202.0,13540.0,8657.0,-1.0,-1.0,-1.0,8687.0,17370.0,13078.0,6715.0,9091.0,3700.0,3700.0,6484.0,-1.0,7299.0,9792.0,8803.0,-1.0,6623.0,15163.0,-1.0,11390.0,-1.0,-1.0,11307.0,9297.0,7771.0,-1.0,-1.0,3206.0,-1.0,10365.0,5400.0,2500.0,-1.0,13333.0,12000.0,6667.0,-1.0,8868.0,2878.0,-1.0,-1.0,10550.0
1969,4200.0,4600.0,15000.0,7827.0,7788.0,9444.0,2280.0,-1.0,10211.0,12395.0,10301.0,-1.0,-1.0,-1.0,8322.0,18033.0,12100.0,7002.0,9375.0,3995.0,3995.0,6608.0,-1.0,7037.0,8965.0,10863.0,-1.0,7641.0,17627.0,-1.0,11114.0,-1.0,-1.0,11279.0,9099.0,8266.0,-1.0,-1.0,3130.0,-1.0,9778.0,5185.0,2857.0,-1.0,10526.0,12500.0,6667.0,-1.0,9873.0,2773.0,-1.0,-1.0,12587.0
1970,4600.0,4900.0,20000.0,6375.0,8260.0,9429.0,2280.0,-1.0,10507.0,14082.0,13136.0,-1.0,-1.0,-1.0,7210.0,17679.0,13150.0,6862.0,9356.0,5581.0,5581.0,7915.0,-1.0,7222.0,6953.0,9485.0,-1.0,8217.0,17670.0,-1.0,11739.0,-1.0,-1.0,13100.0,8776.0,8980.0,-1.0,-1.0,3148.0,-1.0,8492.0,5034.0,3750.0,-1.0,3333.0,13000.0,6667.0,-1.0,10198.0,2798.0,-1.0,-1.0,12869.0
